,CAS,NAME,SMILE
0,['5161-16-0'],2-methylthiane,CC1CCCCS1
1,['5161-17-1'],4-methylthiane,CC1CCSCC1
2,['5183-79-9'],None,None
3,['5185-71-7'],[4-[bis(2-chloroethyl)amino]phenyl]arsonic acid,C1=CC(=CC=C1N(CCCl)CCCl)[As](=O)(O)O
4,['5185-80-8'],2-[4-arsoroso-N-(2-hydroxyethyl)anilino]ethanol,C1=CC(=CC=C1N(CCO)CCO)[As]=O
5,['5195-37-9'],None,None
6,['5195-40-4'],None,None
7,['5203-14-5'],4-butoxybenzonitrile,CCCCOC1=CC=C(C=C1)C#N
8,['5208-49-1'],"(1R,4R,6S)-4,7,7-trimethylbicyclo[4.1.0]hept-2-ene",C[C@@H]1C[C@H]2[C@H](C2(C)C)C=C1
9,['5209-33-6'],"5-chloro-1,2-dihydroacenaphthylene",C1CC2=CC=C(C3=CC=CC1=C23)Cl
10,['5221-53-4'],5-butyl-2-(dimethylamino)-4-methyl-1H-pyrimidin-6-one,CCCCC1=C(N=C(NC1=O)N(C)C)C
11,['5259-50-7'],methyl 1-methoxybicyclo[2.2.2]oct-5-ene-2-carboxylate,COC(=O)C1CC2CCC1(C=C2)OC
12,['5266-85-3'],2-methyl-6-propan-2-ylaniline,CC1=C(C(=CC=C1)C(C)C)N
13,['5274-50-0'],None,None
14,['5275-02-5'],1H-indol-3-yl(piperidin-4-yl)methanone,C1CNCCC1C(=O)C2=CNC3=CC=CC=C32
15,['5283-67-0'],trichloro(nonyl)silane,CCCCCCCCC[Si](Cl)(Cl)Cl
16,['5284-22-0'],2-heptylphenol,CCCCCCCC1=CC=CC=C1O
17,['5299-64-9'],1-morpholin-4-ylnonan-1-one,CCCCCCCCC(=O)N1CCOCC1
18,['5299-65-0'],1-morpholin-4-yldecan-1-one,CCCCCCCCCC(=O)N1CCOCC1
19,['5302-41-0'],"4-[(4-ethylphenyl)diazenyl]-N,N-dimethylaniline",CCC1=CC=C(C=C1)N=NC2=CC=C(C=C2)N(C)C
20,['5314-83-0'],chloro(diethyl)borane,B(CC)(CC)Cl
