,CAS,NAME,SMILE
0,['52444-01-6'],1-chloro-2-(1-chloro-2-methylpropan-2-yl)sulfanyl-2-methylpropane,CC(C)(CCl)SC(C)(C)CCl
1,['52488-36-5'],4-bromo-1H-indole,C1=CC2=C(C=CN2)C(=C1)Br
2,['52497-07-1'],None,None
3,['52644-81-2'],1-iodohexacosane,CCCCCCCCCCCCCCCCCCCCCCCCCCI
4,['52645-53-1'],"(3-phenoxyphenyl)methyl 3-(2,2-dichloroethenyl)-2,2-dimethylcyclopropane-1-carboxylate",CC1(C(C1C(=O)OCC2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C
5,['52670-32-3'],"2,3,5,6-tetramethylheptane",CC(C)C(C)CC(C)C(C)C
6,['52670-33-4'],"2,3,3,4,5-pentamethylhexane",CC(C)C(C)C(C)(C)C(C)C
7,['52670-34-5'],"2,3,6,7-tetramethyloctane",CC(C)C(C)CCC(C)C(C)C
8,['52670-35-6'],"2,3,3,5,6-pentamethylheptane",CC(C)C(C)CC(C)(C)C(C)C
9,['52670-36-7'],"2,3,3,4,4,5-hexamethylhexane",CC(C)C(C)(C)C(C)(C)C(C)C
10,['52688-75-2'],3-fluorohexane,CCCC(CC)F
11,['52688-89-8'],None,None
12,['52713-81-2'],4-methylhex-1-yne,CCC(C)CC#C
13,['52731-39-2'],4-[butyl(nitroso)amino]butyl acetate,CCCCN(CCCCOC(=O)C)N=O
14,['52775-76-5'],"(1S,2R,5S)-1,5-dimethyl-3-methylidene-4-oxo-6-oxabicyclo[3.1.0]hexane-2-carboxylic acid",C[C@]12[C@@H](C(=C)C(=O)[C@]1(O2)C)C(=O)O
15,['52818-63-0'],N-[(4-methoxyphenyl)methyl]pyridin-2-amine,COC1=CC=C(C=C1)CNC2=CC=CC=N2
16,['52829-98-8'],1-cyclopentylethanol,CC(C1CCCC1)O
17,['52831-58-0'],"4-fluoro-6H-thiochromeno[4,3-b]quinoline",C1C2=CC3=CC=CC=C3N=C2C4=C(S1)C(=CC=C4)F
18,['52831-65-9'],"6-fluoro-4-thia-12-azapentacyclo[11.8.0.02,11.05,10.014,19]henicosa-1(13),2,5(10),6,8,11,14,16,18,20-decaene",C1=CC=C2C(=C1)C=CC3=C2N=C4C3=CSC5=C4C=CC=C5F
19,['52851-26-0'],None,None
20,['52896-88-5'],4-ethyl-2-methylheptane,CCCC(CC)CC(C)C
21,['52896-89-6'],4-ethyl-3-methylheptane,CCCC(CC)C(C)CC
22,['52896-90-9'],3-ethyl-5-methylheptane,CCC(C)CC(CC)CC
23,['52896-91-0'],3-ethyl-4-methylheptane,CCCC(C)C(CC)CC
24,['52896-92-1'],"2,2,3-trimethylheptane",CCCCC(C)C(C)(C)C
25,['52897-00-4'],"3-ethyl-2,3-dimethylhexane",CCCC(C)(CC)C(C)C
26,['52897-01-5'],"4-ethyl-2,3-dimethylhexane",CCC(CC)C(C)C(C)C
27,['52897-03-7'],"4-ethyl-2,4-dimethylhexane",CCC(C)(CC)CC(C)C
28,['52897-04-8'],"3-ethyl-2,5-dimethylhexane",CCC(CC(C)C)C(C)C
29,['52897-05-9'],"4-ethyl-3,3-dimethylhexane",CCC(CC)C(C)(C)CC
30,['52897-06-0'],"3-ethyl-3,4-dimethylhexane",CCC(C)C(C)(CC)CC
31,['52897-16-2'],"3,3-diethyl-2-methylpentane",CCC(CC)(CC)C(C)C
32,['52897-17-3'],"3-ethyl-2,2,3-trimethylpentane",CCC(C)(CC)C(C)(C)C
33,['52917-87-0'],1-(1-bromo-2-adamantyl)-2-diazoethanone,C1C2CC3CC1CC(C2)(C3C(=O)C=[N+]=[N-])Br
34,['52918-63-5'],"[(S)-cyano-(3-phenoxyphenyl)methyl] (1R,3R)-3-(2,2-dibromoethenyl)-2,2-dimethylcyclopropane-1-carboxylate",CC1([C@H]([C@H]1C(=O)O[C@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Br)Br)C
35,['52936-25-1'],None,None
36,['52955-41-6'],"[3-[4-[[amino-[[3-amino-6-(3,6-diaminohexanoylamino)hexanoyl]amino]methylidene]amino]-3,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-5-carbamoyloxy-2,4,6-trihydroxycyclohexyl] carbamate",C(CC(CC(=O)NCCCC(CC(=O)NC(=NC1C(C(OC(C1O)OC2C(C(C(C(C2O)OC(=O)N)O)OC(=O)N)O)CO)O)N)N)N)CN
37,['53001-22-2'],"1,1,1,3,3,3-hexadeuterio-2-deuteriooxy-2-(trideuteriomethyl)propane",[2H]C([2H])([2H])C(C([2H])([2H])[2H])(C([2H])([2H])[2H])O[2H]
38,['53043-14-4'],3-methyl-2-pentylphenol,CCCCCC1=C(C=CC=C1O)C
39,['53045-71-9'],3-bromopent-1-ene,CCC(C=C)Br
40,['53119-51-0'],None,None
41,['53121-23-6'],None,None
42,['53172-84-2'],[(E)-pent-2-en-2-yl]benzene,CC/C=C(\C)/C1=CC=CC=C1
43,['53175-28-3'],(Z)-2-chlorobut-2-enal,C/C=C(/C=O)\Cl
44,['53193-22-9'],heptadecane-1-thiol,CCCCCCCCCCCCCCCCCS
45,['53198-46-2'],[[methyl(nitroso)amino]-phenylmethyl] acetate,CC(=O)OC(C1=CC=CC=C1)N(C)N=O
46,['53213-78-8'],None,None
47,['53220-82-9'],1-bromo-4-chloronaphthalene,C1=CC=C2C(=C1)C(=CC=C2Br)Cl
48,['53252-19-0'],None,None
