,SMIELS_TRAIN,Actual,Predict
522,CCC(CC)CC,366.65,354.34999999999997
462,CCC(C)CCCC(C)C,433.55,436.11
0,C,111.65,111.65
11,C1C=CC=C1,314.15,314.15
286,CC(C)CC=C,327.05,333.8833333333334
22,CC(C)CC#C,334.35,337.3375
383,CC1CCCC(C1)C,393.25,407.01666666666665
334,CC1CCCC1C,372.65,366.57
321,CC1CCC=C1C,372.15,372.15
305,CC1CCC1C,331.15,337.3375
89,CCCCC#CCCC,425.15,423.25
195,CCCCC1CCCCC1,454.05,447.1
153,CC(=CCCC(=C)C=C)C,440.15,437.725
360,CCC(CC)C=C,357.25,357.25
18,CC1CC1C,310.15,304.42499999999995
271,CC/C=C\C,310.05,319.7214285714286
278,CC(=C)CC=C,329.15,337.3375
497,CCCCCCCC(C)CC,461.25,461.25
245,CC=C,225.55,237.75
316,C/C=C/CC=C,338.15,349.35
176,CC1CCC(=C(C)C)CC1,446.15,438.525
373,C1CC2CCCC2C1,412.15,438.525
54,CC1CC=C(C1)C,366.35,366.57
431,CCCC(CC)CCC,414.35,414.35
46,C1C=CCC2C1C2,398.15,416.45
93,C#CCC1CCCCC1,430.65,426.29999999999995
211,CCC(C)(CC)C(C)(C)C,442.65,442.65
494,CCCCCC(C)CCC,438.85,439.55
222,CCC(C)(C)CCC(C)C,425.95,417.54999999999995
559,CCCCCCCCCCCC,489.45,490.04999999999995
420,CCCC(CC)CC,391.75,404.8
468,CCC1CCC(CC1)C,425.75,427.95
184,CC1CCC2(C1C2)C(C)C,430.15,427.5
375,CCCCC(=C)C,365.15,367.2357142857142
182,CCCC/C=C/CCCC,444.15,444.15
481,CC(C)CCC(C)CC(C)C,441.25,441.25
203,CCC(C)(C)CC(C)(C)C,426.95,423.95
412,CCCC(C)CCC,390.85,392.93333333333334
69,CC/C=C\C(C)(C)C,378.65,376.29999999999995
547,CCCCC1CCCC1,429.75,426.29999999999995
529,CCC=CC=CC,381.15,381.15
231,CCC(C)C(C)CC(C)C,429.65,426.525
324,CCC=CC=C,346.65,351.95
149,CCCC(C)(C)C(C)C,410.85,418.66999999999996
124,CC(C)(C)CC(C)(C)C,395.35,395.35
407,CCCC(C)C(C)C,388.75,391.525
408,CCC(C)C(C)CC,390.85,391.525
250,CC1CC1,273.85,273.0166666666667
444,CCC(C)C(CC)C(C)C,435.15,414.71000000000004
255,CC(=C)C=C,307.15,304.42499999999995
386,CCC1(CCCC1)C,394.75,394.75
348,CCC(C)C(=C)C,357.45,353.34999999999997
514,C/C=C\C,276.85,275.4
436,CCCCCCCC,398.75,398.75
114,CC1CCC=C(C1C)C,413.15,426.525
141,CC1=CC2=CC=CC=C2C1,481.15,481.15
411,CCCCCC(C)C,390.75,403.13571428571424
248,CCC#C,281.15,279.28999999999996
536,CCCC/C=C\C,371.55,376.5
19,C1CCCC1,322.45,322.45
394,CCC/C(=C\C)/C,368.75,367.5833333333333
56,C1CC=CCCC=C1,423.95,423.95
261,C=CCC=C,299.15,299.15
530,CCC/C=C\C,341.95,357.7055555555555
393,CCC1CCCCC1,405.05,396.85
280,CC(C)C=C=C,343.15,333.8833333333334
268,CCCC=C,303.05,317.81
503,C=CCCCCCCCCC=C,481.65,481.65
426,CCCC(C)(CC)CC,413.75,403.13571428571424
25,C=CC#CC=C,358.15,353.34999999999997
540,CCCC#CCCC,404.75,416.78333333333336
302,CC1=CCCC1,348.65,348.65
257,CC(C)C=C,293.25,303.86
42,CCCCC#CC,385.15,379.97499999999997
362,CC/C=C/C(C)C,359.05,367.2357142857142
208,CCC(C)(C)C(C)C(C)C,434.75,416.45
312,C=CC=CC=C,351.65,349.35
533,CCC/C=C/CC,368.85,376.5833333333333
331,CC=C1CCCC1,388.15,375.49
154,CC(C)C1CCC(=C)C=C1,444.65,438.525
126,CCC(C)(C)C(C)(C)C,413.35,396.8500000000001
299,CC1CCC=C1,338.05,338.05
388,CC1CCCC(C1)C,397.65,407.01666666666665
174,CC1CCC(=CC1)C(C)C,440.65,446.04999999999995
31,CC(C)C(=C)C,328.75,317.81
113,CCCCCCC=C,394.35,396.9
218,CCCC(C)CC(C)(C)C,421.45,425.11666666666673
173,CC1CCC(C=C1)C(C)C,440.15,442.93
521,C/C=C\C=C/C,358.15,357.7055555555555
265,CCC=C=C,318.05,317.81
57,CC(=C)CCC(=C)C,387.45,391.525
318,C/C=C\CC=C,339.45,349.35
24,C=CC=CC#C,356.65,349.35
17,CC1CCC1,309.45,309.45
496,CCCCCCC(C)CCC,460.15,460.15
66,CC1=C(CCC1)C,378.95,378.95
509,CCCCCC1CCCCC1C,490.65,490.04999999999995
287,CCC(C)C=C,327.35,337.3375
493,CC1=C2C(=CC=CC2=CC=C1)C,543.15,543.15
538,CCCCCCC#C,399.45,396.9
465,CCCC(C)(CC)CCC,433.95,432.54999999999995
400,CCC(C)C(C)(C)C,383.15,373.04999999999995
94,CCCCC=C(C)C,395.75,395.75
180,C1CCCCC=CCCC1,468.15,468.15
238,CCCCCC/C=C\CCC,465.75,466.75
92,CCCCC(=C)CC,393.15,392.93333333333334
23,CC#CC(C)C,346.25,341.87
446,CCC(C)C(C)(CC)CC,435.25,416.78333333333336
311,CC1CCC(C1)C,364.85,366.57
485,CCCC(C)C(CC)CC,438.15,438.15
5,CCCC,272.65,279.28999999999996
116,CCCCCCC(=C)C,417.95,417.95
45,C1CC2CC1C=C2,369.15,379.97499999999997
220,CCC(C)CCC(C)(C)C,423.95,425.11666666666673
320,CC/C=C\C=C,346.25,346.89444444444445
336,CCC1CCCC1,376.65,376.65
329,C1CCC=CCC1,388.15,417.54999999999995
16,CCC1CC1,309.05,310.6
48,CC12CCCC1C2,366.25,366.25
519,CCC#CC,329.25,319.7214285714286
425,CCCCC(C)C(C)C,413.65,419.3500000000001
3,C1CC1,240.35,240.35
381,CCCC=C(C)C,368.55,374.96999999999997
434,CCCCCCC(C)C,416.35,411.875
60,CC(=CC(C)(C)C)C,379.95,374.96999999999997
196,C1CCCCCCCCC1,475.15,475.15
333,CC1CCCC1C,365.05,366.57
539,CC(C)C1CCCCC1,427.95,411.875
110,CC1=CCCC(C1)(C)C,413.15,413.15
380,CC1CCC(CC1)C,392.55,405.39
535,CCCC/C=C/C,371.15,376.5
29,CC(=C)C(=C)C,341.95,319.7214285714286
523,CCCCC=C,336.55,346.89444444444445
225,CC(C)CCC(C)C(C)C,429.15,426.525
247,CC=C=C,284.05,279.28999999999996
26,CCCCC#C,344.45,353.34999999999997
7,C1CC12CC2,312.15,310.6
181,CCCCCCCCC=C,443.65,445.4833333333333
50,C1CCC2CC2C1,389.65,405.39
108,C1CCCCC#CCCC1,477.15,477.15
229,CC1=C2CCCCC2=CC=C1,507.15,507.15
37,CC(C)CCC#C,365.15,367.2357142857142
157,CC1=CCC(CC1)C(=C)C,451.15,438.525
237,CCCCCCCC/C=C/C,465.65,467.18333333333334
534,CCC/C=C\CC,368.95,379.97499999999997
175,CC1=CCC(CC1)C(C)C,446.15,442.93
558,CCCCCCCC1CCCC1,497.15,497.15
486,CCCC(CC)C(C)CC,438.15,431.1499999999999
194,CCCC1CCCCC1C,449.15,459.45
440,CCCC(C)C(C)C(C)C,434.15,426.525
67,CC(C)(C)CCC=C,377.15,391.525
277,CC(C)C1CC1,331.45,333.8833333333334
168,CC1(C2CCC(C2)C1=C)C,433.15,430.4833333333333
369,CCCC/C=C/CC,396.45,416.78333333333336
448,CCC(CC)C(C)(C)CC,436.05,419.3500000000001
193,CCC(C)C1CCCCC1,452.45,452.45
152,C1CCC2=CC=CC=C2C1,480.75,480.75
284,CC(=CC=C)C,349.65,341.87
319,CCC1CCC=C1,370.95,376.5833333333333
424,CCC(C)C(CC)CC,413.15,392.93333333333334
290,CCCC(=C)C,335.25,337.3375
103,CC=CC=CCC(C)C,422.15,422.15
377,CCCC(=C)CC,367.15,367.2357142857142
74,CC1(CCCC1)C,360.65,360.65
367,CCC(C)CC=C,359.85,359.85
537,CCCCCCC,371.65,375.04999999999995
119,CC1CCCC(=C1C)C,423.15,417.54999999999995
335,CC1CCCCC1,374.05,375.49
355,CC(C)CC(C)C,353.55,349.35
422,CCCC(CC)C(C)C,411.15,411.15
532,CCCCCC=C,366.75,375.49
364,CCC(C)/C=C\C,359.45,367.5833333333333
298,C1C=CCC=C1,358.65,374.96999999999997
433,CCCCC(CC)CC,416.15,420.98333333333335
456,CCC(C)CC(CC)CC,431.35,431.35
438,CCCCC(C)(C)C(C)C,433.35,425.11666666666673
36,CCC(CC)C#C,357.15,354.34999999999997
139,CC1C=CC2=CC=CC=C12,472.15,472.15
253,CCC=C,266.95,273.0166666666667
338,CC(=C)C(C)(C)C,351.05,344.8
59,CCC1=CCCCC1,410.15,414.71000000000004
111,CC1CC(C=C(C1)C)C,414.15,417.54999999999995
354,CCCC(C)(C)C,352.35,349.35
307,CCC1CCC1,343.95,343.95
262,C/C=C/C=C,315.15,319.0
429,CCC(CC)(CC)CC,419.45,402.54999999999995
297,C1CC=CC=C1,353.65,353.65
150,C/C=C(\C)/C1=CC=CC=C1,467.85,461.5
266,CCC(C)(C)C,322.85,319.0
512,C=CC#C,278.25,273.0166666666667
38,CCC#CC(C)C,368.35,367.2357142857142
374,C/C=C\CC(C)C,362.65,373.04999999999995
198,CC(C)C(C)(C)C(C)(C)C,439.25,418.66999999999996
544,CCCCCCCCC,423.95,423.25
146,CC1=C2CC=CC2=CC=C1,482.15,482.15
552,C1CCC2CCCC2C1,440.15,447.1
147,CCC(=C)C1=CC=CC=C1,455.15,461.5
365,CCC/C=C\CCC,395.65,416.78333333333336
340,CC(=CC(=C)C)C,366.35,361.25
123,C1CCC/C=C\CCC1,441.15,441.15
439,CCC(C)CC(C)C(C)C,433.85,425.11666666666673
96,C1CCCC#CCCC1,451.15,451.15
143,CCC(CC)C(C)(C)C,406.95,379.97499999999997
239,CCCCCCCCCC=C,465.85,465.85
449,CCCC(C)(CC)C(C)C,439.15,416.78333333333336
97,C/C=C/C1=CC=CC=C1,451.45,446.04999999999995
469,CCCC(C)C(C)CCC,435.3,437.725
293,CC/C(=C\C)/C,340.85,344.8
447,CCC(C)C(C)C(C)CC,435.65,417.54999999999995
122,CCCCC/C=C/CC,420.65,423.25
183,CCCC/C=C\CCCC,444.15,444.15
202,CC(C)CC(C)(C)C(C)C,426.25,423.95
323,CC/C=C/C=C,346.35,346.89444444444445
246,C=C=C,238.75,238.75
363,CC/C=C\C(C)C,359.15,367.2357142857142
353,CCC(=C(C)C)C,370.65,357.7055555555555
526,CC/C=C/CC,340.25,346.89444444444445
356,CCC(C)(C)CC,359.15,346.89444444444445
470,CCCCCC/C=C/CCC,466.15,471.75
472,CCCCCCCC/C=C\C,469.25,467.18333333333334
125,CC(C)C(C)C(C)(C)C,406.15,391.525
511,CC#C,249.95,237.75
223,CCC(CC(C)C)C(C)C,427.25,416.78333333333336
498,CCC1=CC=CC2=CC=CC=C21,531.75,531.75
219,CC(C)CCCC(C)(C)C,422.05,425.11666666666673
129,CC(C)CCC(C)(C)C,397.15,418.66999999999996
500,CCCCCCCCCCC,469.05,466.75
342,C/C=C/C(C)(C)C,349.85,357.7055555555555
390,CC1CCCCC1C,396.65,405.39
450,CCC(CC)(CC)C(C)C,445.15,405.39
549,CCCCCC(CC)CC,439.65,426.29999999999995
423,CC1CC(CC(C1)C)C,411.65,411.875
349,CCC(=C)C(C)C,362.15,351.95
294,CC/C(=C/C)/C,343.55,341.87
437,CC1CCCCC1(C)C,418.35,418.35
403,CC(C)CCC(C)C,382.25,396.8500000000001
361,CC(C)CCC=C,358.45,373.04999999999995
112,CCCC=CCC(C)C,412.15,422.6499999999999
179,CCCCCC1=CCCC1,452.15,452.15
471,CCCCCCCC=CCC,466.65,467.18333333333334
402,CCC(C)(C)C(C)C,387.95,373.04999999999995
414,CCCCC(C)CC,391.15,392.93333333333334
314,C=C1CCCCC1,375.65,375.49
151,CC/C=C/C1=CC=CC=C1,471.85,471.85
428,CC1CCC(C(C1)C)C,416.05,425.11666666666673
233,CCCC(C)C1=CC=CC=C1,472.15,472.15
306,CCCC1CC1,342.25,346.89444444444445
370,CCCCC/C=C/C,398.15,416.78333333333336
164,CC=C(C)C=CCC(C)C,438.65,438.65
317,CC=CCC=C,338.15,349.35
136,CC1=CC2=C(C=CC2)C=C1,480.15,480.15
197,CC(C(C)(C)C)C(C)(C)C,432.45,418.66999999999996
416,CCCC(C)(C)CCC,408.35,414.71000000000004
258,CCC(=C)C,304.35,303.86
232,CCC1=CC=C(C=C1)C(C)C,469.75,459.45
115,CC1=C(C2CCC1C2)C,413.65,417.54999999999995
120,C=CCC1CCCCC1,405.15,426.29999999999995
415,CC(C)CCCC(C)C,408.35,419.3500000000001
224,CCC(C)CC(C)(C)CC,428.85,423.1
477,CCCCCC1CCCCC1,476.85,462.65
399,CC(C)CC(C)(C)C,372.35,363.55
347,CC(C)C=C(C)C,356.55,349.35
127,CC(C)C(C)(C)C(C)C,414.65,391.525
550,CCCCCCCC(C)C,440.25,439.55
285,CC=C(C)C=C,350.15,337.3375
515,CC(C)C#C,299.45,304.42499999999995
490,CCCCC(CC)CCC,436.85,442.93
107,CC=CCCCC=CC,424.65,427.2833333333333
441,CCC(C)(CC)CC(C)C,434.25,416.78333333333336
492,CC1=C(C2=CC=CC=C2C=C1)C,539.65,539.65
133,CCCCCCC#CCC,450.15,445.4833333333333
432,CCCCC(C)CCC,415.55,417.54999999999995
44,C1C2C=CC1C=C2,362.65,379.97499999999997
169,CC1(C2CCC(=C)C1C2)C,439.15,436.11
65,CC/C=C/C(C)(C)C,373.95,376.29999999999995
283,C/C=C(/C)\C=C,349.15,349.15
85,CCCCCCCC#C,423.95,427.05
242,C1=CC2=C3C(=C1)C=CC3=CC=C2,553.15,553.15
186,CC1CCC2C(C1)C2(C)C,442.15,440.2
457,CCCC(C)CCC(C)C,431.65,430.4833333333333
159,CCC(C)C(C)(C)CC,413.65,418.66999999999996
12,C=C1CCC1,315.35,315.35
35,CC#CC(C)(C)C,356.15,361.25
28,CCCC#CC,357.65,349.35
170,CC1=CCC2CC1C2(C)C,428.15,427.2833333333333
142,CCCC(C)C(C)(C)C,406.75,406.75
473,C1CCC2(CC1)CCCCC2,480.15,480.15
405,CCCC(C)(C)CC,385.05,391.525
221,CCCC(C)(C)CC(C)C,424.15,417.54999999999995
501,CC1=CC2=CC=CC=C2C=C1C,541.15,541.15
95,CCCCCCC#CC,435.05,435.18333333333334
51,CC1(CC=CC1)C,361.15,361.15
240,CCCCCC#CCCCCC,483.15,483.15
443,CCCC(C)C(C)(C)CC,435.05,422.6499999999999
351,C/C=C(/C)\C(C)C,362.45,357.7055555555555
452,CC(C)CC1CCCC1,421.15,427.95
178,CC1=CCC(CC1)C(C)C,447.65,442.93
464,CCC1(CCCCC1)C,425.35,425.35
41,CCCC#CCC,380.35,379.97499999999997
516,C#CC#C,283.45,279.28999999999996
480,CCCCC(C)(CC)CC,436.95,427.95
206,CC(C)C(C(C)C)C(C)C,430.25,403.13571428571424
392,CCCC1CCCC1,404.15,404.15
282,CCC(=C)C=C,348.15,337.3375
358,CC(=C)CCC=C,361.25,362.7
397,CC(C)(C)C(C)(C)C,379.55,357.7055555555555
254,CC(C)(C)C,282.55,282.55
542,CCCCCC#CC,410.75,414.71000000000004
4,CC(C)C,261.45,263.85
256,CC(=C=C)C,313.98,303.86
525,CC=CCCC=C,367.15,376.5
100,CCC(=CC(=CC)C)C,415.15,413.15
226,CC1(CCC2=CC=CC=C21)C,464.15,464.15
507,CCCCCCC1CCCCC1,497.15,497.15
213,CC1=CC=CC2=CC=CC=C12,517.85,517.85
502,C1CC=CCCC=CCCC=C1,513.15,513.15
171,CC1=CCC2CC1C2(C)C,429.05,427.2833333333333
98,C1C=CC2=CC=CC=C21,455.15,455.15
292,CCC=C(C)C,340.45,341.87
215,CCC(CC)CC(C)(C)C,420.15,416.78333333333336
61,CC(=C)CC(C)(C)C,374.55,367.5833333333333
406,CCC(CC)C(C)C,388.75,388.75
47,C1=CC=CC=CC=C1,413.65,413.65
32,CCC(C)(C)C#C,343.15,346.89444444444445
417,CCC(C)CC(C)CC,409.15,414.71000000000004
267,CC=C=CC,321.35,319.7214285714286
327,CCC1=CCCC1,379.45,379.97499999999997
200,CC(C)C(C)CC(C)(C)C,421.05,423.95
134,CCC(C)(C)CC(C)C,403.85,401.75
27,CCC#CCC,354.15,346.89444444444445
463,CCC(C)CCC(C)CC,433.95,427.05
230,CCC1=CC(=CC=C1)C(C)C,465.15,465.15
260,CCC(C)C,300.95,304.42499999999995
378,CC1CC(C(C1)C)C,389.95,376.5833333333333
