,SMIELS_TRAIN,Actual,Predict
522,CCC(CC)CC,366.65,365.43347
462,CCC(C)CCCC(C)C,433.55,432.66058
0,C,111.65,112.899315
11,C1C=CC=C1,314.15,315.47894
286,CC(C)CC=C,327.05,328.8791
22,CC(C)CC#C,334.35,333.96933
383,CC1CCCC(C1)C,393.25,395.13846
334,CC1CCCC1C,372.65,369.16986
321,CC1CCC=C1C,372.15,371.33832
305,CC1CCC1C,331.15,334.38196
89,CCCCC#CCCC,425.15,425.9703
195,CCCCC1CCCCC1,454.05,454.50107
153,CC(=CCCC(=C)C=C)C,440.15,440.58163
360,CCC(CC)C=C,357.25,357.25986
18,CC1CC1C,310.15,307.2568
271,CC/C=C\C,310.05,310.1791
278,CC(=C)CC=C,329.15,330.12045
497,CCCCCCCC(C)CC,461.25,461.4385
245,CC=C,225.55,228.84508
316,C/C=C/CC=C,338.15,337.39438
176,CC1CCC(=C(C)C)CC1,446.15,446.97992
373,C1CC2CCCC2C1,412.15,412.1134
54,CC1CC=C(C1)C,366.35,366.28763
431,CCCC(CC)CCC,414.35,414.95804
46,C1C=CCC2C1C2,398.15,397.33725
93,C#CCC1CCCCC1,430.65,431.1835
211,CCC(C)(CC)C(C)(C)C,442.65,442.29285
494,CCCCCC(C)CCC,438.85,438.87457
222,CCC(C)(C)CCC(C)C,425.95,426.65012
559,CCCCCCCCCCCC,489.45,489.22617
420,CCCC(CC)CC,391.75,392.7959
468,CCC1CCC(CC1)C,425.75,424.7993
184,CC1CCC2(C1C2)C(C)C,430.15,430.75143
375,CCCCC(=C)C,365.15,366.11728
182,CCCC/C=C/CCCC,444.15,444.70074
481,CC(C)CCC(C)CC(C)C,441.25,441.03516
203,CCC(C)(C)CC(C)(C)C,426.95,426.82065
412,CCCC(C)CCC,390.85,391.2419
69,CC/C=C\C(C)(C)C,378.65,379.47668
547,CCCCC1CCCC1,429.75,430.38464
529,CCC=CC=CC,381.15,379.99573
231,CCC(C)C(C)CC(C)C,429.65,429.6082
324,CCC=CC=C,346.65,347.57516
149,CCCC(C)(C)C(C)C,410.85,410.48236
124,CC(C)(C)CC(C)(C)C,395.35,396.064
407,CCCC(C)C(C)C,388.75,387.7411
408,CCC(C)C(C)CC,390.85,389.33862
250,CC1CC1,273.85,271.64642
444,CCC(C)C(CC)C(C)C,435.15,434.29388
255,CC(=C)C=C,307.15,309.32712
386,CCC1(CCCC1)C,394.75,394.57532
348,CCC(C)C(=C)C,357.45,357.79477
514,C/C=C\C,276.85,275.50705
436,CCCCCCCC,398.75,398.28647
114,CC1CCC=C(C1C)C,413.15,413.2248
141,CC1=CC2=CC=CC=C2C1,481.15,480.7666
411,CCCCCC(C)C,390.75,392.0754
248,CCC#C,281.15,281.95383
536,CCCC/C=C\C,371.55,371.60416
19,C1CCCC1,322.45,322.71683
394,CCC/C(=C\C)/C,368.75,367.8848
56,C1CC=CCCC=C1,423.95,423.55188
261,C=CCC=C,299.15,297.92355
530,CCC/C=C\C,341.95,343.6296
393,CCC1CCCCC1,405.05,404.14908
280,CC(C)C=C=C,343.15,343.07123
268,CCCC=C,303.05,304.661
503,C=CCCCCCCCCC=C,481.65,481.43756
426,CCCC(C)(CC)CC,413.75,414.1735
25,C=CC#CC=C,358.15,357.48373
540,CCCC#CCCC,404.75,403.93988
302,CC1=CCCC1,348.65,348.7822
257,CC(C)C=C,293.25,294.49838
42,CCCCC#CC,385.15,384.96408
362,CC/C=C/C(C)C,359.05,359.76288
208,CCC(C)(C)C(C)C(C)C,434.75,434.18048
312,C=CC=CC=C,351.65,351.2678
533,CCC/C=C/CC,368.85,369.1376
331,CC=C1CCCC1,388.15,387.68744
154,CC(C)C1CCC(=C)C=C1,444.65,444.71457
126,CCC(C)(C)C(C)(C)C,413.35,412.8918
299,CC1CCC=C1,338.05,338.65494
388,CC1CCCC(C1)C,397.65,395.13846
174,CC1CCC(=CC1)C(C)C,440.65,440.6826
31,CC(C)C(=C)C,328.75,330.23398
113,CCCCCCC=C,394.35,392.88196
218,CCCC(C)CC(C)(C)C,421.45,420.98853
173,CC1CCC(C=C1)C(C)C,440.15,439.79758
521,C/C=C\C=C/C,358.15,357.3106
265,CCC=C=C,318.05,317.89783
57,CC(=C)CCC(=C)C,387.45,387.5745
318,C/C=C\CC=C,339.45,339.11948
24,C=CC=CC#C,356.65,355.8217
17,CC1CCC1,309.45,308.58896
496,CCCCCCC(C)CCC,460.15,460.2934
66,CC1=C(CCC1)C,378.95,378.0792
509,CCCCCC1CCCCC1C,490.65,490.36923
287,CCC(C)C=C,327.35,326.7868
493,CC1=C2C(=CC=CC2=CC=C1)C,543.15,543.98376
538,CCCCCCC#C,399.45,399.03134
465,CCCC(C)(CC)CCC,433.95,434.25034
400,CCC(C)C(C)(C)C,383.15,381.42996
94,CCCCC=C(C)C,395.75,395.44507
180,C1CCCCC=CCCC1,468.15,468.61752
238,CCCCCC/C=C\CCC,465.75,465.9173
92,CCCCC(=C)CC,393.15,393.41653
23,CC#CC(C)C,346.25,345.42404
446,CCC(C)C(C)(CC)CC,435.25,436.07703
311,CC1CCC(C1)C,364.85,364.4832
485,CCCC(C)C(CC)CC,438.15,437.52216
5,CCCC,272.65,272.39285
116,CCCCCCC(=C)C,417.95,417.82394
45,C1CC2CC1C=C2,369.15,369.9482
220,CCC(C)CCC(C)(C)C,423.95,423.9563
320,CC/C=C\C=C,346.25,345.47015
336,CCC1CCCC1,376.65,376.35892
329,C1CCC=CCC1,388.15,387.34006
16,CCC1CC1,309.05,308.12933
48,CC12CCCC1C2,366.25,365.5518
519,CCC#CC,329.25,328.67825
425,CCCCC(C)C(C)C,413.65,413.7712
3,C1CC1,240.35,242.32861
381,CCCC=C(C)C,368.55,367.7192
434,CCCCCCC(C)C,416.35,416.56024
60,CC(=CC(C)(C)C)C,379.95,379.43588
196,C1CCCCCCCCC1,475.15,475.18573
333,CC1CCCC1C,365.05,369.16986
539,CC(C)C1CCCCC1,427.95,426.65115
110,CC1=CCCC(C1)(C)C,413.15,412.6015
380,CC1CCC(CC1)C,392.55,393.42288
535,CCCC/C=C/C,371.15,371.0544
29,CC(=C)C(=C)C,341.95,341.38522
523,CCCCC=C,336.55,337.81165
225,CC(C)CCC(C)C(C)C,429.15,429.68506
247,CC=C=C,284.05,283.34363
26,CCCCC#C,344.45,345.20245
7,C1CC12CC2,312.15,310.92224
181,CCCCCCCCC=C,443.65,445.83795
50,C1CCC2CC2C1,389.65,389.27768
108,C1CCCCC#CCCC1,477.15,476.3614
229,CC1=C2CCCCC2=CC=C1,507.15,506.51572
37,CC(C)CCC#C,365.15,364.27286
157,CC1=CCC(CC1)C(=C)C,451.15,450.76947
237,CCCCCCCC/C=C/C,465.65,466.05502
534,CCC/C=C\CC,368.95,369.25238
175,CC1=CCC(CC1)C(C)C,446.15,447.0492
558,CCCCCCCC1CCCC1,497.15,497.64673
486,CCCC(CC)C(C)CC,438.15,437.77875
194,CCCC1CCCCC1C,449.15,449.25864
440,CCCC(C)C(C)C(C)C,434.15,434.37827
67,CC(C)(C)CCC=C,377.15,376.32654
277,CC(C)C1CC1,331.45,334.7956
168,CC1(C2CCC(C2)C1=C)C,433.15,433.8888
369,CCCC/C=C/CC,396.45,396.03723
448,CCC(CC)C(C)(C)CC,436.05,435.99158
193,CCC(C)C1CCCCC1,452.45,451.87534
152,C1CCC2=CC=CC=C2C1,480.75,481.14377
284,CC(=CC=C)C,349.65,348.76993
319,CCC1CCC=C1,370.95,370.28244
424,CCC(C)C(CC)CC,413.15,414.4305
290,CCCC(=C)C,335.25,335.61823
103,CC=CC=CCC(C)C,422.15,422.2788
377,CCCC(=C)CC,367.15,367.12057
74,CC1(CCCC1)C,360.65,362.62695
367,CCC(C)CC=C,359.85,359.26404
537,CCCCCCC,371.65,372.29858
119,CC1CCCC(=C1C)C,423.15,422.99823
335,CC1CCCCC1,374.05,374.34106
355,CC(C)CC(C)C,353.55,354.82465
422,CCCC(CC)C(C)C,411.15,412.481
532,CCCCCC=C,366.75,367.5088
364,CCC(C)/C=C\C,359.45,359.5207
298,C1C=CCC=C1,358.65,358.09134
433,CCCCC(CC)CC,416.15,416.32492
456,CCC(C)CC(CC)CC,431.35,431.88458
438,CCCCC(C)(C)C(C)C,433.35,433.75696
36,CCC(CC)C#C,357.15,357.92755
139,CC1C=CC2=CC=CC=C12,472.15,472.16068
253,CCC=C,266.95,266.63528
338,CC(=C)C(C)(C)C,351.05,350.44675
59,CCC1=CCCCC1,410.15,408.6699
111,CC1CC(C=C(C1)C)C,414.15,413.4127
354,CCCC(C)(C)C,352.35,352.88382
307,CCC1CCC1,343.95,344.20685
262,C/C=C/C=C,315.15,314.8003
429,CCC(CC)(CC)CC,419.45,419.42783
297,C1CC=CC=C1,353.65,353.62802
150,C/C=C(\C)/C1=CC=CC=C1,467.85,467.26022
266,CCC(C)(C)C,322.85,321.03986
512,C=CC#C,278.25,277.85358
38,CCC#CC(C)C,368.35,369.1933
374,C/C=C\CC(C)C,362.65,361.84232
198,CC(C)C(C)(C)C(C)(C)C,439.25,438.65292
544,CCCCCCCCC,423.95,424.8804
146,CC1=C2CC=CC2=CC=C1,482.15,482.1337
552,C1CCC2CCCC2C1,440.15,440.4126
147,CCC(=C)C1=CC=CC=C1,455.15,455.95142
365,CCC/C=C\CCC,395.65,394.8599
340,CC(=CC(=C)C)C,366.35,365.63577
123,C1CCC/C=C\CCC1,441.15,440.94055
439,CCC(C)CC(C)C(C)C,433.85,433.08975
96,C1CCCC#CCCC1,451.15,450.71725
143,CCC(CC)C(C)(C)C,406.95,406.91296
239,CCCCCCCCCC=C,465.85,465.29742
449,CCCC(C)(CC)C(C)C,439.15,438.85107
97,C/C=C/C1=CC=CC=C1,451.45,451.88992
469,CCCC(C)C(C)CCC,435.3,434.80685
293,CC/C(=C\C)/C,340.85,340.99997
447,CCC(C)C(C)C(C)CC,435.65,436.02676
122,CCCCC/C=C/CC,420.65,420.37067
183,CCCC/C=C\CCCC,444.15,444.95712
