,SMIELS_TRAIN,Actual,Predict
522,CCC(CC)CC,366.65,354.17773
462,CCC(C)CCCC(C)C,433.55,432.56622
0,C,111.65,114.367714
11,C1C=CC=C1,314.15,338.4138
286,CC(C)CC=C,327.05,332.18082
22,CC(C)CC#C,334.35,333.5852
383,CC1CCCC(C1)C,393.25,405.9949
334,CC1CCCC1C,372.65,377.61078
321,CC1CCC=C1C,372.15,372.46744
305,CC1CCC1C,331.15,333.5852
89,CCCCC#CCCC,425.15,429.42474
195,CCCCC1CCCCC1,454.05,450.14005
153,CC(=CCCC(=C)C=C)C,440.15,438.43185
360,CCC(CC)C=C,357.25,351.37225
18,CC1CC1C,310.15,299.21234
271,CC/C=C\C,310.05,321.45044
278,CC(=C)CC=C,329.15,333.5852
497,CCCCCCCC(C)CC,461.25,458.92242
245,CC=C,225.55,241.64162
316,C/C=C/CC=C,338.15,351.8237
176,CC1CCC(=C(C)C)CC1,446.15,438.1868
373,C1CC2CCCC2C1,412.15,438.1868
54,CC1CC=C(C1)C,366.35,377.61078
431,CCCC(CC)CCC,414.35,422.3386
46,C1C=CCC2C1C2,398.15,415.33548
93,C#CCC1CCCCC1,430.65,428.84222
211,CCC(C)(CC)C(C)(C)C,442.65,411.0075
494,CCCCCC(C)CCC,438.85,438.1868
222,CCC(C)(C)CCC(C)C,425.95,422.67355
559,CCCCCCCCCCCC,489.45,491.87885
420,CCCC(CC)CC,391.75,392.40744
468,CCC1CCC(CC1)C,425.75,426.18036
184,CC1CCC2(C1C2)C(C)C,430.15,424.12457
375,CCCCC(=C)C,365.15,365.4503
182,CCCC/C=C/CCCC,444.15,453.1773
481,CC(C)CCC(C)CC(C)C,441.25,444.72705
203,CCC(C)(C)CC(C)(C)C,426.95,417.16714
412,CCCC(C)CCC,390.85,398.1451
69,CC/C=C\C(C)(C)C,378.65,376.07077
547,CCCCC1CCCC1,429.75,428.84222
529,CCC=CC=CC,381.15,393.70804
231,CCC(C)C(C)CC(C)C,429.65,428.15042
324,CCC=CC=C,346.65,351.04517
149,CCCC(C)(C)C(C)C,410.85,410.79028
124,CC(C)(C)CC(C)(C)C,395.35,384.3012
407,CCCC(C)C(C)C,388.75,384.69968
408,CCC(C)C(C)CC,390.85,384.69968
250,CC1CC1,273.85,271.47372
444,CCC(C)C(CC)C(C)C,435.15,408.8198
255,CC(=C)C=C,307.15,299.21234
386,CCC1(CCCC1)C,394.75,393.5919
348,CCC(C)C(=C)C,357.45,347.86548
514,C/C=C\C,276.85,274.75162
436,CCCCCCCC,398.75,412.44992
114,CC1CCC=C(C1C)C,413.15,428.15042
141,CC1=CC2=CC=CC=C2C1,481.15,479.30356
411,CCCCCC(C)C,390.75,400.19467
248,CCC#C,281.15,279.99304
536,CCCC/C=C\C,371.55,391.1517
19,C1CCCC1,322.45,335.07687
394,CCC/C(=C\C)/C,368.75,365.71207
56,C1CC=CCCC=C1,423.95,422.5853
261,C=CCC=C,299.15,307.88242
530,CCC/C=C\C,341.95,356.80573
393,CCC1CCCCC1,405.05,405.44482
280,CC(C)C=C=C,343.15,332.18082
268,CCCC=C,303.05,320.72327
503,C=CCCCCCCCCC=C,481.65,483.81143
426,CCCC(C)(CC)CC,413.75,400.19467
25,C=CC#CC=C,358.15,347.86548
540,CCCC#CCCC,404.75,412.35126
302,CC1=CCCC1,348.65,361.32248
257,CC(C)C=C,293.25,298.8054
42,CCCCC#CC,385.15,384.9169
362,CC/C=C/C(C)C,359.05,365.4503
208,CCC(C)(C)C(C)C(C)C,434.75,415.33548
312,C=CC=CC=C,351.65,351.8237
533,CCC/C=C/CC,368.85,392.7464
331,CC=C1CCCC1,388.15,379.67206
154,CC(C)C1CCC(=C)C=C1,444.65,438.1868
126,CCC(C)(C)C(C)(C)C,413.35,387.5484
299,CC1CCC=C1,338.05,356.67474
388,CC1CCCC(C1)C,397.65,405.9949
174,CC1CCC(=CC1)C(C)C,440.65,442.19257
31,CC(C)C(=C)C,328.75,320.72327
113,CCCCCCC=C,394.35,400.3478
218,CCCC(C)CC(C)(C)C,421.45,426.6895
173,CC1CCC(C=C1)C(C)C,440.15,438.7259
521,C/C=C\C=C/C,358.15,356.80573
265,CCC=C=C,318.05,320.72327
57,CC(=C)CCC(=C)C,387.45,384.69968
318,C/C=C\CC=C,339.45,351.8237
24,C=CC=CC#C,356.65,351.8237
17,CC1CCC1,309.45,304.53976
496,CCCCCCC(C)CCC,460.15,460.5546
66,CC1=C(CCC1)C,378.95,376.8235
509,CCCCCC1CCCCC1C,490.65,491.87885
287,CCC(C)C=C,327.35,333.5852
493,CC1=C2C(=CC=CC2=CC=C1)C,543.15,540.5145
538,CCCCCCC#C,399.45,400.3478
465,CCCC(C)(CC)CCC,433.95,428.83322
400,CCC(C)C(C)(C)C,383.15,367.71158
94,CCCCC=C(C)C,395.75,395.6965
180,C1CCCCC=CCCC1,468.15,482.05597
238,CCCCCC/C=C\CCC,465.75,465.33835
92,CCCCC(=C)CC,393.15,398.1451
23,CC#CC(C)C,346.25,342.6435
446,CCC(C)C(C)(CC)CC,435.25,412.35126
311,CC1CCC(C1)C,364.85,377.61078
485,CCCC(C)C(CC)CC,438.15,432.50134
5,CCCC,272.65,279.99304
116,CCCCCCC(=C)C,417.95,421.93762
45,C1CC2CC1C=C2,369.15,384.9169
220,CCC(C)CCC(C)(C)C,423.95,426.6895
320,CC/C=C\C=C,346.25,347.24442
336,CCC1CCCC1,376.65,380.40543
329,C1CCC=CCC1,388.15,422.67355
16,CCC1CC1,309.05,308.90646
48,CC12CCCC1C2,366.25,373.29526
519,CCC#CC,329.25,321.45044
425,CCCCC(C)C(C)C,413.65,416.17892
3,C1CC1,240.35,251.82353
381,CCCC=C(C)C,368.55,372.91656
434,CCCCCCC(C)C,416.35,415.91754
60,CC(=CC(C)(C)C)C,379.95,372.91656
196,C1CCCCCCCCC1,475.15,474.88727
333,CC1CCCC1C,365.05,377.61078
539,CC(C)C1CCCCC1,427.95,415.91754
110,CC1=CCCC(C1)(C)C,413.15,420.52985
380,CC1CCC(CC1)C,392.55,404.513
535,CCCC/C=C/C,371.15,391.1517
29,CC(=C)C(=C)C,341.95,321.45044
523,CCCCC=C,336.55,347.24442
225,CC(C)CCC(C)C(C)C,429.15,428.15042
247,CC=C=C,284.05,279.99304
26,CCCCC#C,344.45,347.86548
7,C1CC12CC2,312.15,308.90646
181,CCCCCCCCC=C,443.65,445.3563
50,C1CCC2CC2C1,389.65,404.513
108,C1CCCCC#CCCC1,477.15,474.1916
229,CC1=C2CCCCC2=CC=C1,507.15,499.18744
37,CC(C)CCC#C,365.15,365.4503
157,CC1=CCC(CC1)C(=C)C,451.15,438.1868
237,CCCCCCCC/C=C/C,465.65,470.18698
534,CCC/C=C\CC,368.95,384.9169
175,CC1=CCC(CC1)C(C)C,446.15,438.7259
558,CCCCCCCC1CCCC1,497.15,496.87207
486,CCCC(CC)C(C)CC,438.15,430.37927
194,CCCC1CCCCC1C,449.15,459.05737
