,MAE,MAPE(%),RMSE,R2,Radius,nBits,Model,,,,,,,,,,
0,0,0,0,0,0,0,0,,,Ridge,Ridge,RF,RF,XGB,XGB,KNN,KNN
1,23.16201656,5.143001287,36.5645817,0.757390649,r= 2,n= 4096,Ridge,,,23.162,28.036,16.148,26.957,20.418,26.724,0.309,39.269
2,28.03588242,6.268982143,46.41728622,0.605853773,r= 2,n= 4096,Ridge,,,5.143,6.269,3.557,5.942,4.514,5.940,0.067,8.158
3,24.13696414,5.368237751,38.73650807,0.727276662,r= 2,n= 4096,Ridge,,,36.565,46.417,26.470,44.489,30.380,43.404,3.023,55.058
4,0.30889417,0.067043328,3.023432332,0.998341228,r= 2,n= 4096,KNN,,,0.757,0.606,0.873,0.638,0.833,0.655,0.998,0.445
5,39.26877423,8.158163235,55.05838453,0.445444763,r= 2,n= 4096,KNN,,,,,,,,,,
6,8.102264345,1.685556847,24.77309442,0.888457112,r= 2,n= 4096,KNN,,,,,,,,,,
7,16.148212,3.556895297,26.47037484,0.872852888,r= 2,n= 4096,RF,,,,,,,,,,
8,26.95690229,5.94186361,44.48915792,0.637918569,r= 2,n= 4096,RF,,,,,,,,,,
9,18.31033684,4.033974305,30.92648354,0.826162907,r= 2,n= 4096,RF,,,,,,,,,,
10,20.4184072,4.514180979,30.38028934,0.832517232,r= 2,n= 4096,XGB,,,,,,,,,,
11,26.72402119,5.939534815,43.40351057,0.655374351,r= 2,n= 4096,XGB,,,,,,,,,,
12,21.67975565,4.799302752,33.39426471,0.797313353,r= 2,n= 4096,XGB,,,,,,,,,,
