"standard_relation","standard_value","standard_type","pchembl_value","assay_chembl_id","target_chembl_id","canonical_smiles","compound_chembl_id"
">",10000.0,"Ki",,"CHEMBL615807","CHEMBL214","CCN(C)C1CCCc2ccncc12.OC(=O)\C=C/C(=O)O.OC(=O)\C=C/C(=O)O","CHEMBL1794855"
"=",168.0,"Ki",6.78,"CHEMBL615460","CHEMBL214","CCCN(CCC)[C@@H]1CCc2c(OC)cccc2[C@@H]1C","CHEMBL278751"
"=",181.0,"Ki",6.74,"CHEMBL615809","CHEMBL214","C(N1CCN(CC1)c2ncccn2)c3c[nH]c(n3)c4ccccc4","CHEMBL103772"
"=",3.9,"Ki",8.41,"CHEMBL615460","CHEMBL214","CCCN1CC[C@@H]2[C@H]1CCc3ccc4ccoc4c23","CHEMBL328107"
"=",1.6,"Ki",8.8,"CHEMBL615756","CHEMBL214","COc1cccc2OC[C@H](CN3[C@@H]4CC[C@H]3C[C@@](O)(C4)c5csc6ccccc56)Oc12","CHEMBL148860"
"=",210.0,"Ki",6.68,"CHEMBL615460","CHEMBL214","CCCN(CCC)C1CCc2c(C1)ccc3ccoc23","CHEMBL96735"
"=",1.7,"Ki",8.77,"CHEMBL616120","CHEMBL214","CCc1cccc(OC[C@@H](O)CN2CCC3(CC2)OCc4c3ccc5ccccc45)c1","CHEMBL111065"
"=",344.0,"Ki",6.46,"CHEMBL615460","CHEMBL214","CCCN(CCC)C1CCc2c(O)cccc2C1","CHEMBL273273"
"=",127.7,"Ki",6.89,"CHEMBL615756","CHEMBL214","COc1cccc2OC[C@H](CN3C4CCC3C=C(C4)n5ccc6cc(F)ccc56)Oc12","CHEMBL150050"
"=",5.87,"Ki",8.23,"CHEMBL615756","CHEMBL214","CCOc1cccc2OC[C@H](CN3[C@@H]4CC[C@H]3C[C@@](O)(C4)c5ccc6ccccc6c5)Oc12","CHEMBL151786"
"=",7.8,"Ki",8.11,"CHEMBL615460","CHEMBL214","CCCN(CCC)C1CCc2ccc3occc3c2C1","CHEMBL314548"
"=",2.2,"Ki",8.66,"CHEMBL616120","CHEMBL214","OC(COCc1ccccc1)CN2CCC3(CC2)OCc4c3ccc5ccccc45","CHEMBL114452"
"=",6.1,"Ki",8.21,"CHEMBL615460","CHEMBL214","CCCN(CCC)C1CCc2ccc3ccoc3c2C1","CHEMBL93186"
"=",3.05,"Ki",8.52,"CHEMBL615756","CHEMBL214","CCOc1cccc2OC[C@H](CN3[C@@H]4CC[C@H]3C[C@@](O)(C4)c5ccccc5)Oc12","CHEMBL147477"
"=",0.33,"Ki",9.48,"CHEMBL615756","CHEMBL214","COc1cccc2OC[C@H](CN3[C@@H]4CC[C@H]3C[C@@](O)(C4)c5cccc(c5)C(F)(F)F)Oc12","CHEMBL435279"
"=",5.5,"Ki",8.26,"CHEMBL616120","CHEMBL214","OC(COc1cc(F)cc2CCCOc12)CN3CCC4(CC3)OCc5c4ccc6ccccc56","CHEMBL112841"
"=",16.7,"Ki",7.78,"CHEMBL615756","CHEMBL214","CCOc1cccc2OC[C@H](CN3[C@@H]4CC[C@H]3C[C@@](O)(C4)c5csc6ccccc56)Oc12","CHEMBL344745"
"=",39.0,"Ki",7.41,"CHEMBL615756","CHEMBL214","COc1cccc2OC[C@H](CN3[C@@H]4CC[C@H]3C[C@@](O)(C4)c5ccccc5OC)Oc12","CHEMBL421950"
"=",2.92,"Ki",8.54,"CHEMBL615756","CHEMBL214","CCOc1cccc2OC[C@H](CN3[C@@H]4CC[C@H]3C[C@@](O)(C4)c5cccc(c5)C(F)(F)F)Oc12","CHEMBL149888"
"=",1.53,"Ki",8.81,"CHEMBL615756","CHEMBL214","COc1cccc2OC[C@H](CN3[C@@H]4CC[C@H]3C[C@@](O)(C4)c5ccccc5)Oc12","CHEMBL151266"
"=",0.81,"Ki",9.09,"CHEMBL615756","CHEMBL214","COc1cccc2OC[C@H](CN3[C@@H]4CC[C@H]3C[C@@](O)(C4)c5ccc6ccccc6c5)Oc12","CHEMBL146751"
"=",357.0,"Ki",6.45,"CHEMBL615756","CHEMBL214","COc1cccc2OC[C@H](CN3C4CCC3C=C(C4)c5cccc6ccccc56)Oc12","CHEMBL356904"
"=",307.1,"Ki",6.51,"CHEMBL615756","CHEMBL214","COc1cccc2OC[C@H](CN3C4CCC3C=C(C4)c5cccc6cccnc56)Oc12","CHEMBL348708"
"=",0.4,"Ki",9.4,"CHEMBL615460","CHEMBL214","CCCN(CCC)C1CCc2cccc(O)c2C1","CHEMBL56"
"=",0.2,"Ki",9.7,"CHEMBL615460","CHEMBL214","CCCN1CC[C@@H]2[C@H]1CCc3cccc(O)c23","CHEMBL430332"
"=",47.0,"Ki",7.33,"CHEMBL615460","CHEMBL214","CCCN(CCC)C1CCc2ccc(O)cc2C1","CHEMBL285755"
"=",120.0,"Ki",6.92,"CHEMBL615460","CHEMBL214","CCCN(CCC)[C@@H]1CCc2c(ccc3ccoc23)[C@@H]1C","CHEMBL433002"
"=",0.8318,"Ki",9.08,"CHEMBL833493","CHEMBL214","O[C@H]1[C@H](CC[C@@H]1Oc2ccccc2)NC[C@H]3COc4ccccc4O3","CHEMBL135974"
"=",46.0,"Ki",7.34,"CHEMBL615756","CHEMBL214","COc1cccc2OC[C@H](CN3[C@@H]4CC[C@H]3C[C@@](O)(C4)c5ccccn5)Oc12","CHEMBL355953"
"=",61.6,"Ki",7.21,"CHEMBL615756","CHEMBL214","CCOc1cccc2OC[C@H](CN3[C@@H]4CC[C@H]3C[C@@](O)(C4)c5ccccn5)Oc12","CHEMBL357985"
"=",72.0,"Ki",7.14,"CHEMBL616120","CHEMBL214","C(CCc1ccccc1)CN2CCC3(CC2)OCc4c3ccc5ccccc45","CHEMBL113326"
"=",1.1,"Ki",8.96,"CHEMBL616120","CHEMBL214","O[C@H](COc1ccccc1)CN2CCC3(CC2)OCc4c3ccc5ccccc45","CHEMBL326751"
"=",296.0,"Ki",6.53,"CHEMBL615779","CHEMBL214","CN1CCc2cccc3c2[C@H]1Cc4ccc(O)c(O)c34","CHEMBL53"
"=",33.88,"Ki",7.47,"CHEMBL833493","CHEMBL214","COc1cccc(OC)c1O[C@@H]2CCC(NCC3COc4ccccc4O3)C2O","CHEMBL2112713"
"=",24.55,"Ki",7.61,"CHEMBL833493","CHEMBL214","COc1ccccc1O[C@@H]2CCC(NCC3COc4ccccc4O3)C2O","CHEMBL2112711"
"=",0.9333,"Ki",9.03,"CHEMBL833493","CHEMBL214","COc1ccccc1N2CCN(CCN3C(=O)CC4(CCCC4)CC3=O)CC2","CHEMBL13647"
"=",87.0,"Ki",7.06,"CHEMBL615779","CHEMBL214","CCCN(CCC)[C@H]1CCc2c(F)ccc(O)c2C1","CHEMBL22778"
"=",1.0,"Ki",9.0,"CHEMBL616120","CHEMBL214","O[C@H](COc1ccccc1F)CN2CCC3(CC2)OCc4c3ccc5ccccc45","CHEMBL327126"
"=",31.1,"Ki",7.51,"CHEMBL615779","CHEMBL214","C[C@H]1c2cccc3C[C@H]4N(C)CCc5ccc1c(c45)c23","CHEMBL27132"
"=",22.39,"Ki",7.65,"CHEMBL833493","CHEMBL214","O[C@@H]1[C@@H](CC[C@H]1Oc2ccccc2)NC[C@@H]3COc4ccccc4O3","CHEMBL134428"
"=",3.715,"Ki",8.43,"CHEMBL833493","CHEMBL214","O[C@H]1[C@H](CC[C@@H]1Oc2ccccc2)NC[C@@H]3COc4ccccc4O3","CHEMBL132378"
"=",40.7,"Ki",7.39,"CHEMBL615779","CHEMBL214","CN1CCc2ccc3Cc4cccc5C[C@@H]1c2c3c45","CHEMBL284586"
"=",50.12,"Ki",7.3,"CHEMBL833493","CHEMBL214","COc1cccc(OC)c1O[C@@H]2CCC(NCC3COc4ccccc4O3)C2O","CHEMBL2112713"
"=",8.3,"Ki",8.08,"CHEMBL616120","CHEMBL214","OC(CCc1ccccc1)CN2CCC3(CC2)OCc4c3ccc5ccccc45","CHEMBL114453"
"=",2.089,"Ki",8.68,"CHEMBL833493","CHEMBL214","COc1cccc(OC)c1OCCNCC2COc3ccccc3O2","CHEMBL25554"
"=",1.3,"Ki",8.89,"CHEMBL615779","CHEMBL214","CCCN(CCC)[C@@H]1CCc2cccc(O)c2C1","CHEMBL26998"
"=",2.3,"Ki",8.64,"CHEMBL616120","CHEMBL214","OC(COc1ccc(F)c2CCC(=O)c12)CN3CCC4(CC3)OCc5c4ccc6ccccc56","CHEMBL111713"
"=",80.0,"Ki",7.1,"CHEMBL615779","CHEMBL214","CN1CCc2cccc3c4ccccc4C[C@@H]1c23","CHEMBL281357"
"=",5.495,"Ki",8.26,"CHEMBL833493","CHEMBL214","O[C@@H]1[C@@H](CC[C@H]1Oc2ccccc2)NC[C@H]3COc4ccccc4O3","CHEMBL135973"
"=",26.92,"Ki",7.57,"CHEMBL833493","CHEMBL214","COc1ccccc1O[C@@H]2CCC(NCC3COc4ccccc4O3)C2O","CHEMBL2112711"
"=",3.467,"Ki",8.46,"CHEMBL833493","CHEMBL214","CCCN(CCC)C1CCc2cccc(O)c2C1","CHEMBL56"
"=",14.4,"Ki",7.84,"CHEMBL615779","CHEMBL214","CN1CCc2cccc3c2[C@H]1Cc4cccc(C)c34","CHEMBL27940"
"=",24.0,"Ki",7.62,"CHEMBL616120","CHEMBL214","CC(C)NCC(O)COc1cccc2[nH]ccc12","CHEMBL500"
"=",5.05,"Ki",8.3,"CHEMBL615779","CHEMBL214","C[C@@H]1c2cccc3C[C@H]4N(C)CCc5ccc1c(c45)c23","CHEMBL282863"
"=",2.089,"Ki",8.68,"CHEMBL616222","CHEMBL214","COc1cccc(OC)c1OCCNCC2COc3ccccc3O2","CHEMBL25554"
