,MAE,MAPE(%),RMSE,R2,Radius,nBits,Model
0,0,0,0,0,0,0,0
1,15.05121739,3.302780588,23.76740402,0.904229912,r= 2,n= 1024,RF
2,26.44962731,5.803036,43.25406574,0.683834189,r= 2,n= 1024,RF
3,16.19123905,3.552845759,26.37257412,0.882130227,r= 2,n= 1024,RF
4,14.58417679,3.179837605,23.6090331,0.905501962,r= 2,n= 2048,RF
5,25.73903896,5.62867855,42.55463954,0.693976439,r= 2,n= 2048,RF
6,15.69983981,3.424760515,26.12962692,0.884291884,r= 2,n= 2048,RF
7,17.28033436,3.788058807,28.33516617,0.863881262,r= 2,n= 4096,RF
8,25.94826046,5.68220452,42.30369625,0.697575018,r= 2,n= 4096,RF
9,18.14726436,3.977503401,30.02614509,0.847209426,r= 2,n= 4096,RF
10,27.77079549,6.157604399,40.44243907,0.72270562,r= 3,n= 1024,RF
11,30.47140504,6.721304782,44.65576848,0.663010656,r= 3,n= 1024,RF
12,28.04089925,6.213983372,40.88338586,0.716736174,r= 3,n= 1024,RF
13,17.42574076,3.836628561,28.215884,0.865024884,r= 3,n= 2048,RF
14,26.35855854,5.777548507,42.57980997,0.693614315,r= 3,n= 2048,RF
15,18.31916413,4.03075132,29.96402241,0.847841005,r= 3,n= 2048,RF
16,15.06512559,3.316488399,23.74820204,0.904384597,r= 3,n= 4096,RF
17,26.46290857,5.801574605,43.30819014,0.683042449,r= 3,n= 4096,RF
18,16.20508454,3.565036409,26.36588919,0.882189974,r= 3,n= 4096,RF
19,34.64316777,7.55229825,46.49342817,0.633520634,r= 4,n= 1024,RF
20,39.43806752,8.594267328,52.22513179,0.539085764,r= 4,n= 1024,RF
21,35.12273374,7.656511674,47.09809321,0.624072536,r= 4,n= 1024,RF
22,14.6694948,3.228771596,24.68266066,0.89671189,r= 4,n= 2048,RF
23,25.77403993,5.652296344,42.20849128,0.698934709,r= 4,n= 2048,RF
24,15.78012533,3.471162485,26.95337862,0.876881354,r= 4,n= 2048,RF
25,10.11453286,2.213154715,17.42116373,0.948545814,r= 4,n= 4096,RF
26,25.59850514,5.624267159,43.12164807,0.685767041,r= 4,n= 4096,RF
27,11.66317552,2.554320027,21.42707556,0.922192187,r= 4,n= 4096,RF
