,Actual,Predict
0,111.65,111.65
1,184.55,184.55
2,231.05,238.75
3,240.35,240.35
4,261.45,261.45
5,272.65,272.65
6,268.75,284.05
7,312.15,312.15
8,275.15,275.15
9,318.65,309.45
10,293.75,310.05
11,314.15,314.15
12,315.35,315.35
13,310.15,310.15
14,317.35,317.35
15,301.35,310.15
16,309.05,309.05
17,309.45,309.45
18,310.15,310.15
19,322.45,322.45
20,310.85,310.85
21,330.85,330.85
22,334.35,334.35
23,346.25,346.25
24,356.65,356.65
25,358.15,358.15
26,344.45,344.45
27,354.15,354.15
28,357.65,357.65
29,341.95,341.95
30,314.35,310.85
31,328.75,328.75
32,343.15,343.15
33,349.25,343.15
34,346.45,346.45
35,356.15,356.15
36,357.15,357.15
37,365.15,365.15
38,368.35,368.35
39,375.65,365.15
40,372.85,372.85
41,380.35,380.35
42,385.15,385.15
43,378.15,378.15
44,362.65,362.65
45,369.15,369.15
46,398.15,398.15
47,413.65,413.65
48,366.25,366.25
49,378.45,378.45
50,389.65,389.65
51,361.15,361.15
52,385.65,385.65
53,365.15,365.15
54,366.35,366.35
55,401.15,385.65
56,423.95,423.95
57,387.45,387.45
58,388.65,388.65
59,410.15,410.15
60,379.95,379.0
61,374.55,374.55
62,378.05,379.0
63,381.45,379.0
64,389.65,389.65
65,373.95,373.95
66,378.95,378.95
67,377.15,377.15
68,377.15,378.65
69,378.65,378.65
70,380.05,372.35
71,382.15,382.15
72,435.15,430.25
73,382.65,395.75
74,360.65,360.65
75,383.65,395.75
76,384.75,395.75
77,385.15,391.15
78,385.35,388.75
79,385.65,395.75
80,394.95,394.95
81,383.45,393.15
82,403.75,406.95
83,384.15,393.15
84,385.95,393.15
85,423.95,423.95
86,386.35,385.65
87,386.45,386.45
88,390.85,393.15
89,425.15,425.15
90,392.45,394.35
91,430.25,430.25
92,393.15,393.15
93,430.65,430.65
94,395.75,395.75
95,435.05,435.05
96,451.15,451.15
97,451.45,451.45
98,455.15,455.15
99,411.15,411.15
100,415.15,415.15
101,416.15,423.15
102,418.15,418.15
103,422.15,422.15
104,422.65,411.65
105,415.65,415.65
106,419.15,419.15
107,424.65,424.65
108,477.15,477.15
109,413.15,413.15
110,413.15,413.15
111,414.15,414.15
112,412.15,412.15
113,394.35,394.35
114,413.15,413.15
115,413.65,413.65
116,417.95,417.95
117,418.15,413.15
118,420.15,411.65
119,423.15,423.15
