,MAE,MAPE(%),RMSE,R2,Radius,nBits,Model
8,32.06181484,6.908508896,51.85662628,0.602239444,r= 2,n= 4096,DT
35,32.28234573,6.955292431,53.90990154,0.570116997,r= 4,n= 8192,DT
20,32.49064142,6.991829293,51.81527812,0.602873504,r= 3,n= 4096,DT
11,32.56441167,7.00396075,52.33243934,0.594906613,r= 2,n= 8192,DT
5,32.64721221,7.017830842,52.30131312,0.595388351,r= 2,n= 2048,DT
29,32.67848512,7.029719106,52.88511869,0.586305104,r= 4,n= 2048,DT
17,32.92335067,7.07384294,52.33811677,0.594818712,r= 3,n= 2048,DT
2,33.37756829,7.145422713,53.34131453,0.579137118,r= 2,n= 1024,DT
32,33.31392827,7.162157944,54.06533068,0.567634609,r= 4,n= 4096,DT
23,33.72278452,7.234749238,54.2744781,0.564282996,r= 3,n= 8192,DT
14,34.02970262,7.282645447,55.17923087,0.549635156,r= 3,n= 1024,DT
26,36.27542883,7.909407554,53.6525765,0.574211075,r= 4,n= 1024,DT
1,22.74500759,4.924443081,36.11362243,0.808862913,r= 2,n= 1024,DT
3,24.87151973,5.368639007,40.154877,0.763256254,r= 2,n= 1024,DT
4,22.54906772,4.887097169,35.82592326,0.81189617,r= 2,n= 2048,DT
6,24.56869662,5.313243904,39.67219294,0.768913631,r= 2,n= 2048,DT
7,22.91353755,4.962423511,36.45035885,0.805281833,r= 2,n= 4096,DT
9,24.74319301,5.351640588,40.0090598,0.764972541,r= 2,n= 4096,DT
10,22.63922196,4.89984497,36.17452622,0.808217683,r= 2,n= 8192,DT
12,24.6242599,5.320668126,39.93261723,0.765869784,r= 2,n= 8192,DT
13,19.61426522,4.261167607,31.51686667,0.854424287,r= 3,n= 1024,DT
15,22.4973527,4.865463175,37.46464749,0.793915554,r= 3,n= 1024,DT
16,23.45201655,5.080907374,36.73446154,0.802234645,r= 3,n= 2048,DT
18,25.34628337,5.479494487,40.34094973,0.761057088,r= 3,n= 2048,DT
19,23.2795641,5.034286461,36.6553525,0.803085518,r= 3,n= 4096,DT
21,25.12177957,5.425795027,40.14793274,0.763338131,r= 3,n= 4096,DT
22,19.96045503,4.319818406,32.20362825,0.848010892,r= 3,n= 8192,DT
24,22.71292093,4.902804572,37.66699793,0.791683375,r= 3,n= 8192,DT
25,32.58066547,7.180048866,46.74523701,0.679758517,r= 4,n= 1024,DT
27,33.31961814,7.325920604,48.20594921,0.65880458,r= 4,n= 1024,DT
28,22.68309636,4.914926075,35.81869921,0.811972022,r= 4,n= 2048,DT
30,24.68217411,5.337884681,39.82148323,0.767171158,r= 4,n= 2048,DT
31,20.41045664,4.42766334,32.42469321,0.845917042,r= 4,n= 4096,DT
33,22.99115097,4.974562261,37.75845045,0.790670594,r= 4,n= 4096,DT
34,17.03676795,3.669287499,28.11155229,0.884182947,r= 4,n= 8192,DT
36,20.0858835,4.326488485,34.83479574,0.821832514,r= 4,n= 8192,DT
