,MAE,MAPE(%),RMSE,R2,Radius,nBits,Model
0,0.0,0.0,0.0,0.0,0,0,0
1,28.528643599210177,6.31478194506196,44.263747985150886,0.6678282023311666,r= 2,n= 1024,Ridge
2,29.268035934938123,6.434066598212948,44.402100355008415,0.6668283338195442,r= 2,n= 1024,Ridge
3,28.602594552426904,6.3267123010832425,44.277604871490745,0.6677494975409108,r= 2,n= 1024,Ridge
4,27.320690631751884,6.053257127680027,42.75117291338324,0.6901421831847226,r= 2,n= 2048,Ridge
5,28.697036452926135,6.302246030763394,43.8110616109102,0.6756390329883959,r= 2,n= 2048,Ridge
6,27.458347029463248,6.078159964555222,42.85835826398461,0.688707636058556,r= 2,n= 2048,Ridge
7,26.84027979892731,5.953759575802644,42.01395534325738,0.7007366544747178,r= 2,n= 4096,Ridge
8,28.46174177940264,6.25497160666702,44.14674140308667,0.6706494918995833,r= 2,n= 4096,Ridge
9,27.0024516977512,5.983885553211968,42.232115618084165,0.6977383271514472,r= 2,n= 4096,Ridge
10,30.043910367435934,6.631863145342944,45.35499200642316,0.6512481041251961,r= 3,n= 1024,Ridge
11,30.976910917669255,6.800173169749549,45.90339409174913,0.643917500792004,r= 3,n= 1024,Ridge
12,30.137225210865516,6.648696815560184,45.41013897885588,0.6505354976856056,r= 3,n= 1024,Ridge
13,28.822605378745838,6.369853449134993,44.37912954531222,0.6660942121237325,r= 3,n= 2048,Ridge
14,29.865860601561984,6.573209187835845,44.74412400769749,0.6616758085841037,r= 3,n= 2048,Ridge
15,28.92694743701133,6.390192246269283,44.41576976937202,0.6656727375642322,r= 3,n= 2048,Ridge
16,28.431504361612873,6.2880140132514795,43.95728063133156,0.6724119713329273,r= 3,n= 4096,Ridge
17,29.37836159515207,6.459462084459093,44.483622870656276,0.665603800474383,r= 3,n= 4096,Ridge
18,28.526205093006638,6.305161537888031,44.010206505526575,0.6717503902544391,r= 3,n= 4096,Ridge
19,30.12901692715706,6.651444367366581,45.25406793129694,0.6527984649666608,r= 4,n= 1024,Ridge
20,31.131158340508012,6.839790921470591,45.90103866484449,0.6439540429604795,r= 4,n= 1024,Ridge
21,30.22924695280684,6.6702820081400205,45.31919094290289,0.6519339202852702,r= 4,n= 1024,Ridge
22,28.866878744904685,6.381430326426285,44.193397210297114,0.6688832405494332,r= 4,n= 2048,Ridge
23,29.988514383288692,6.600957822278826,44.92343656667034,0.6589586993658644,r= 4,n= 2048,Ridge
24,28.979060087085738,6.4033865556041185,44.26695458003071,0.6679093137335781,r= 4,n= 2048,Ridge
25,28.32585654537116,6.268873924419023,43.69044872837034,0.6763769861148059,r= 4,n= 4096,Ridge
26,29.336195418618225,6.456691598896336,44.41972937247831,0.6665637222333488,r= 4,n= 4096,Ridge
27,28.42690644694334,6.287658668846855,43.76393530440652,0.6754137336127406,r= 4,n= 4096,Ridge
