,Name,Actual,Predict
0,C,111.65,116.37723
1,CC,184.55,186.53482
2,CCC,231.05,234.10275
3,C1CC1,240.35,239.99687
4,CC(C)C,261.45,266.45337
5,CCCC,272.65,273.69083
6,C=CC=C,268.75,278.17163
7,C1CC12CC2,312.15,309.20056
8,C1CC=C1,275.15,277.67413
9,C1CC2C1C2,318.65,311.71338
10,CC1(CC1)C,293.75,298.51773
11,C1C=CC=C1,314.15,316.93848
12,C=C1CCC1,315.35,314.13672
13,CC1=CCC1,310.15,313.51688
14,C1CC=CC1,317.35,316.91272
15,CC1CC1C,301.35,304.06454
16,CCC1CC1,309.05,308.86655
17,CC1CCC1,309.45,308.86655
18,CC1CC1C,310.15,304.06454
19,C1CCCC1,322.45,319.98022
20,CC(C)(C)C#C,310.85,313.74716
21,CCC(C)C#C,330.85,331.1738
22,CC(C)CC#C,334.35,334.38696
23,CC#CC(C)C,346.25,344.81546
24,C=CC=CC#C,356.65,353.9436
25,C=CC#CC=C,358.15,355.67905
26,CCCCC#C,344.45,346.35806
27,CCC#CCC,354.15,352.42786
28,CCCC#CC,357.65,357.78745
29,CC(=C)C(=C)C,341.95,341.04395
30,CC(C)(C)C=C,314.35,323.04477
31,CC(C)C(=C)C,328.75,332.38962
32,CCC(C)(C)C#C,343.15,345.76993
33,CC(C)(C)CC#C,349.25,348.96912
34,CC(=C(C)C)C,346.45,343.96335
35,CC#CC(C)(C)C,356.15,356.44946
36,CCC(CC)C#C,357.15,359.12976
37,CC(C)CCC#C,365.15,361.42487
38,CCC#CC(C)C,368.35,366.9997
39,CC#CCC(C)C,375.65,373.49548
40,CCCCCC#C,372.85,373.87677
41,CCCC#CCC,380.35,379.29065
42,CCCCC#CC,385.15,383.94034
43,C1C2CC2C3C1C3,378.15,378.42294
44,C1C2C=CC1C=C2,362.65,363.65668
45,C1CC2CC1C=C2,369.15,371.86478
46,C1C=CCC2C1C2,398.15,395.45813
47,C1=CC=CC=CC=C1,413.65,411.21674
48,CC12CCCC1C2,366.25,366.3959
49,C1CC2CCC1C2,378.45,380.4506
50,C1CCC2CC2C1,389.65,384.13052
51,CC1(CC=CC1)C,361.15,358.47498
52,C=CC1CCC1C=C,385.65,386.073
53,CC1CCC(=C1)C,365.15,366.1974
54,CC1CC=C(C1)C,366.35,365.71146
55,C=CC1CCC=CC1,401.15,399.1165
56,C1CC=CCCC=C1,423.95,422.75037
57,CC(=C)CCC(=C)C,387.45,388.80164
58,C=CCCCCC=C,388.65,389.79645
59,CCC1=CCCCC1,410.15,406.92426
60,CC(=CC(C)(C)C)C,379.95,379.81595
61,CC(=C)CC(C)(C)C,374.55,374.42816
62,CC(=CC(C)(C)C)C,378.05,379.81595
63,CCC(C)(C)C(=C)C,381.45,379.62128
64,CC(C)C(=C(C)C)C,389.65,388.59402
65,CC/C=C/C(C)(C)C,373.95,376.65967
66,CC1=C(CCC1)C,378.95,377.0741
67,CC(C)(C)CCC=C,377.15,376.08542
68,CCCC(C)(C)C=C,377.15,380.44388
69,CC/C=C\C(C)(C)C,378.65,379.387
70,C/C=C\CC(C)(C)C,380.05,377.42508
71,CC=CC(C)C(C)C,382.15,384.23203
72,C#CCCCCCC#C,435.15,431.37228
73,CCC(CC)C(=C)C,382.65,386.45023
74,CC1(CCCC1)C,360.65,364.9514
75,CCCC(C)C(=C)C,383.65,387.08923
76,CC(C)CCC(=C)C,384.75,383.44553
77,CCC(C)C(C)C=C,385.15,378.7013
78,CC(C)CC=C(C)C,385.35,385.37646
79,CCC(C)C(=C)CC,385.65,385.70648
80,CCCC(=C(C)C)C,394.95,394.6828
81,CCCC(CC)C=C,383.45,388.30112
82,CC(C)CC#CC(C)C,403.75,413.4046
83,CCCCC(C)C=C,384.15,388.30112
84,CCCC(C)CC=C,385.95,388.4059
85,CCCCCCCC#C,423.95,425.83786
86,CC(C)CCCC=C,386.35,387.31128
87,CCC(C)CCC=C,386.45,388.5698
88,CCCC(=C)CCC,390.85,394.32397
89,CCCCC#CCCC,425.15,426.94467
90,CCCCCC(=C)C,392.45,393.04245
91,CCCCCC#CCC,430.25,431.56348
92,CCCCC(=C)CC,393.15,394.3999
93,C#CCC1CCCCC1,430.65,430.5073
94,CCCCC=C(C)C,395.75,393.17062
95,CCCCCCC#CC,435.05,435.05634
96,C1CCCC#CCCC1,451.15,452.54492
97,C/C=C/C1=CC=CC=C1,451.45,452.5364
98,C1C=CC2=CC=CC=C21,455.15,456.86365
99,CCC=C(C)C=C(C)C,411.15,413.39023
100,CCC(=CC(=CC)C)C,415.15,415.56
101,CC(=CCCC(=C)C)C,416.15,413.70322
102,CCC(CC=C)C(=C)C,418.15,414.54007
103,CC=CC=CCC(C)C,422.15,423.45004
104,CCC=CC(=CCC)C,422.65,421.1376
105,C=CCCCCCC=C,415.65,415.79343
106,CC=C1CC2CC1C=C2,419.15,418.9237
107,CC=CCCCC=CC,424.65,426.18082
108,C1CCCCC#CCCC1,477.15,473.80338
109,CC1=CCC(CC1)(C)C,413.15,413.38168
110,CC1=CCCC(C1)(C)C,413.15,411.6659
111,CC1CC(C=C(C1)C)C,414.15,412.8756
112,CCCC=CCC(C)C,412.15,413.01105
113,CCCCCCC=C,394.35,392.82172
114,CC1CCC=C(C1C)C,413.15,414.21774
115,CC1=C(C2CCC1C2)C,413.65,416.24478
