,Name,Actual,Predict
0,C,111.65,114.78255
1,CC,184.55,186.18686
2,CCC,231.05,233.48016
3,C1CC1,240.35,239.80164
4,CC(C)C,261.45,265.90057
5,CCCC,272.65,273.17984
6,C=CC=C,268.75,277.4879
7,C1CC12CC2,312.15,309.76196
8,C1CC=C1,275.15,277.59045
9,C1CC2C1C2,318.65,312.56726
10,CC1(CC1)C,293.75,297.5215
11,C1C=CC=C1,314.15,316.51764
12,C=C1CCC1,315.35,313.90228
13,CC1=CCC1,310.15,313.4332
14,C1CC=CC1,317.35,316.82904
15,CC1CC1C,301.35,304.7352
16,CCC1CC1,309.05,308.78287
17,CC1CCC1,309.45,308.78287
18,CC1CC1C,310.15,304.7352
19,C1CCCC1,322.45,320.8649
20,CC(C)(C)C#C,310.85,312.8532
21,CCC(C)C#C,330.85,330.55643
22,CC(C)CC#C,334.35,334.74146
23,CC#CC(C)C,346.25,345.5053
24,C=CC=CC#C,356.65,354.9539
25,C=CC#CC=C,358.15,356.35526
26,CCCCC#C,344.45,345.94272
27,CCC#CCC,354.15,352.78235
28,CCCC#CC,357.65,357.9853
29,CC(=C)C(=C)C,341.95,340.66827
30,CC(C)(C)C=C,314.35,322.40207
31,CC(C)C(=C)C,328.75,331.24847
32,CCC(C)(C)C#C,343.15,345.0304
33,CC(C)(C)CC#C,349.25,349.39166
34,CC(=C(C)C)C,346.45,344.05963
35,CC#CC(C)(C)C,356.15,356.44952
36,CCC(CC)C#C,357.15,358.56296
37,CC(C)CCC#C,365.15,361.99548
38,CCC#CC(C)C,368.35,367.5703
39,CC#CCC(C)C,375.65,374.44327
40,CCCCCC#C,372.85,373.6193
41,CCCC#CCC,380.35,379.52625
42,CCCCC#CC,385.15,383.96707
43,C1C2CC2C3C1C3,378.15,378.52652
44,C1C2C=CC1C=C2,362.65,363.56543
45,C1CC2CC1C=C2,369.15,371.00964
46,C1C=CCC2C1C2,398.15,396.24274
47,C1=CC=CC=CC=C1,413.65,411.80237
48,CC12CCCC1C2,366.25,366.421
49,C1CC2CCC1C2,378.45,380.56924
50,C1CCC2CC2C1,389.65,384.62616
51,CC1(CC=CC1)C,361.15,359.29126
52,C=CC1CCC1C=C,385.65,386.08975
53,CC1CCC(=C1)C,365.15,365.93488
54,CC1CC=C(C1)C,366.35,365.44897
55,C=CC1CCC=CC1,401.15,398.94672
56,C1CC=CCCC=C1,423.95,422.92352
57,CC(=C)CCC(=C)C,387.45,388.49484
58,C=CCCCCC=C,388.65,389.5591
59,CCC1=CCCCC1,410.15,407.5976
60,CC(=CC(C)(C)C)C,379.95,379.6375
61,CC(=C)CC(C)(C)C,374.55,374.50327
62,CC(=CC(C)(C)C)C,378.05,379.6375
63,CCC(C)(C)C(=C)C,381.45,379.6873
64,CC(C)C(=C(C)C)C,389.65,388.97043
65,CC/C=C/C(C)(C)C,373.95,375.96262
66,CC1=C(CCC1)C,378.95,377.65894
67,CC(C)(C)CCC=C,377.15,375.8836
68,CCCC(C)(C)C=C,377.15,380.24207
69,CC/C=C\C(C)(C)C,378.65,379.18704
70,C/C=C\CC(C)(C)C,380.05,377.45264
71,CC=CC(C)C(C)C,382.15,383.99567
72,C#CCCCCCC#C,435.15,431.71457
73,CCC(CC)C(=C)C,382.65,387.334
74,CC1(CCCC1)C,360.65,364.87082
75,CCCC(C)C(=C)C,383.65,386.33658
76,CC(C)CCC(=C)C,384.75,383.18588
77,CCC(C)C(C)C=C,385.15,378.50024
78,CC(C)CC=C(C)C,385.35,385.4332
79,CCC(C)C(=C)CC,385.65,386.53537
80,CCCC(=C(C)C)C,394.95,395.0815
81,CCCC(CC)C=C,383.45,388.21225
82,CC(C)CC#CC(C)C,403.75,413.9583
