,Actual,Predict
2609,478.15,444.00379769711645
8156,439.15,428.81486540950965
2616,478.15,496.5660942249939
4653,398.65,407.61574830148675
8530,489.54,442.65803823323637
10707,454.15,447.15
11822,472.15,470.80011057352374
3305,382.84,387.1440556895805
6348,548.83,509.376594637944
5852,428.68,419.3056862159866
9006,605.81,474.27945994039743
8265,455.15,456.3493793696116
6385,563.15,477.38818361559754
624,387.65,460.8958909140836
7698,547.7,490.7611614255173
11902,478.15,503.92572425281827
9290,438.65,445.15
1634,509.15,482.0498009567689
1383,483.15,495.38654599079683
5324,573.51,501.2535034642455
2876,536.15,505.0009332136686
8935,567.45,510.09701273040844
8998,601.3,521.4740202912916
4684,402.08,424.64297266413337
3422,704.0,449.4746973307729
3963,396.39,383.3658675416042
4889,437.69,433.5917806839551
3487,367.8,367.7295852797075
12068,509.82,502.7508656967002
1662,513.15,528.0986188269828
12438,589.72,511.97319517477206
6630,388.64,388.36436146759706
3094,342.15,431.3922905114497
218,425.95,436.0650042204875
1372,481.65,491.83235327557514
6698,395.68,390.3931289508783
12346,561.45,517.5361453669319
1950,578.15,526.9869808588132
1953,579.15,579.15
1530,498.15,565.9
8947,571.36,431.111179603334
9567,477.15,477.15
10913,493.55,483.6406239014606
10798,470.26,505.6364142533858
6647,390.72,374.640130732032
3068,322.65,344.483853781235
2417,440.65,471.31318491338754
11336,581.4,544.6736891489314
8846,541.15,515.0325810353836
5981,452.82,437.930996966963
10278,573.99,513.4333488654578
9137,390.15,486.6175731075748
7346,472.48,471.0481840918727
11563,451.65,532.6404010528246
1984,321.15,358.7553494709006
173,447.15,436.7424987732707
5702,409.05,379.68078129528
11365,596.34,539.201852410539
3297,366.59,340.3385446205916
8518,487.75,460.094295574774
8276,457.09,460.69448992735556
7209,457.6,439.34435832988146
3669,490.04,422.7646969633581
8582,494.15,464.0170154412465
9720,491.15,473.7853068989805
2392,433.15,433.15
1236,466.65,466.65
2189,387.65,458.985
3468,350.35,359.16226422416815
1043,444.15,474.48739806172216
10934,498.15,474.80205628519826
12123,522.39,534.9695871645827
2589,475.34999999999997,458.9406972446992
7077,443.15,427.5321897373569
5743,416.65,411.39109092830006
10739,457.29,448.29679934781296
3873,365.65,365.65
3210,383.76,336.4754454023517
720,399.65,419.32603300349575
1213,464.15,470.74560734380725
7090,443.92,418.385001024562
5045,472.51,484.95259672894116
724,400.65,390.00488421399285
10715,455.15,460.56526191776976
10402,618.99,493.51003499376776
6258,512.48,398.65
11921,479.15,479.15
10638,448.15,454.5329072511111
3344,446.15,385.89418178542206
8873,550.08,444.41449222363616
450,431.65,439.6121024544315
7512,499.45,541.7570232843216
10244,565.65,510.79842393606873
3817,337.15,374.69066955114823
10673,452.15,452.15
290,353.65,357.65
9810,501.65,497.9426249415348
3011,578.15,589.65
11430,632.15,527.1480925891389
8810,527.27,412.45796541594393
7633,531.13,488.2796278346255
1369,481.34999999999997,481.35
10912,493.25,468.05769193462424
2684,494.15,431.0170908611489
839,416.15,413.69837586036533
2927,546.15,546.15
4429,348.715,348.95
1579,502.15,515.1066666666667
4338,601.96,487.3467083249423
5502,371.15,462.92250935387983
4584,386.17,368.24881719064786
7780,582.02,523.8798525557584
6747,402.98,402.98
749,405.15,534.1230378857821
5747,417.54,416.1131921395663
9054,656.19,540.6399490729381
6464,625.02,539.4831565979965
5503,371.32,374.67859631201645
2655,486.65,433.69186366109363
11224,550.15,513.5939045658146
5965,448.15,426.7567744963193
4874,435.15,435.15
6595,384.35,380.06808203140434
1427,488.15,455.5101404032203
5049,473.15,446.6809162203574
2087,360.65,360.65
9330,443.76,426.8476289288696
7497,496.96,434.305128369871
8061,420.64,418.35
12517,625.78,507.67384225740665
4226,489.32,431.4576638860145
7370,478.54,428.65714787046073
5654,400.89,408.82459861540923
970,435.65,378.65
10365,597.99,498.13153650078146
993,438.15,438.15
12180,529.06,502.5003981954223
5353,602.52,487.15
7460,490.78,399.85914102332623
8725,512.15,441.09433876944536
1277,470.65,470.65
741,404.15,404.15
1078,447.65,447.83278899888626
4250,504.5,409.6238176869938
4365,658.89,573.15
5914,439.15,410.937508277005
3035,592.15,527.5512204353391
2303,414.65,414.65
2688,492.15,410.67179397330676
6152,488.28,419.09597318092517
8138,435.76,434.07206990945303
11427,627.85,539.5634168144715
4367,677.65,572.0369924367084
8027,415.7,415.9467586925589
3546,405.72,405.891551291672
944,432.15,416.9436269180862
10107,535.28,519.4884385103508
11689,467.15,473.15
9380,449.72,427.752900986102
1739,522.15,470.703333492552
2848,530.15,512.2566180406184
3821,337.74,363.57971713315027
8204,444.45,440.8777962257616
9892,512.54,470.7909518481027
6389,563.49,552.421091412555
2069,355.15,400.1598132329775
3954,394.65,420.47925508096773
8069,421.59,452.73465491612546
7949,398.15,398.15
8630,497.65,494.72755853933967
9182,421.2,448.51503728863077
7465,491.33,430.50097890772065
3437,317.15,524.7666531699156
3045,610.15,592.28
11187,543.02,532.9885068618279
4075,428.16,390.56438598919465
11814,472.15,468.8333553669938
12421,584.2,530.3083725032985
9942,516.47,457.83473930213285
11378,601.68,525.0264450951491
3708,518.08,375.50657505645114
7038,438.88,443.54829651057906
3464,346.15,347.9680859971031
4023,413.15,383.64073724875993
9948,516.81,457.9884535772336
4526,377.15,377.15
8330,462.86,460.6536736285559
1358,481.15,501.07049451136726
1570,501.15,482.92498866448375
4442,353.48,389.686672838289
11757,470.15,466.3930535131679
4342,606.75,530.4857574770804
9059,664.15,555.0469907755977
10078,531.19,537.575
586,380.15,399.03886160025877
247,282.55,336.32673171809375
4345,609.18,594.0653188064776
5046,472.87,424.9239080372073
3307,384.76,437.2396512597576
6482,660.67,544.1601803738713
1482,493.15,503.7787398547358
3710,520.15,487.92961689148115
9202,425.9,425.9
5611,391.4,391.4
518,378.65,374.8685912354593
4454,355.86,352.1556605231579
2791,516.15,476.65
6916,423.85,427.85645146216217
9861,508.88,488.70468905994585
1470,492.15,427.45355303182873
8104,429.29,406.3783588834737
11791,471.15,471.15
3366,478.91,358.621386957605
9859,508.65,480.1735116105282
11401,611.94,527.7949080045086
50,366.35,366.35
7642,532.6,500.59786574579186
1730,521.15,515.2965940079915
10206,554.86,497.81399189399883
1593,503.65,510.0586393631245
2407,436.65,397.25456388892104
6561,378.07,396.39375065390254
9295,439.45,439.45
6810,409.4,437.52503305415615
4053,420.44,412.7257106053276
7924,373.15,449.85183612209477
5937,443.1,442.44028177549905
5270,546.65,451.8693795967173
4015,411.65,398.54229256988464
4600,389.58,409.65
10860,482.67,472.10485764576526
8829,535.0,484.6802622608654
6119,479.07,451.31988386343414
4315,563.11,566.9975734341525
379,394.75,419.0901370005255
6341,543.68,492.9866509491338
9350,446.82,446.13094546370525
8768,518.73,506.8567375780605
8524,488.57,455.97029602217884
6822,411.99,399.0832200931188
10591,431.52,461.83679783092066
4313,561.59,488.95415713766107
9994,519.7,504.65235932190063
2333,421.75,419.6712171679168
5684,406.15,407.15
9144,393.65,476.80370050824456
10211,557.21,530.6487768038193
3231,444.29,440.8859380480403
6443,599.65,430.6098193886818
10873,484.65,466.9901223322979
4269,523.34,514.5127950646116
1237,467.15,480.63063324029036
10116,536.34,523.7868910850868
5613,391.65,405.72882645787377
11608,463.15,461.443160067725
2128,369.65,369.65
4925,446.15,478.15
8849,543.48,440.33056696041615
5526,376.67,378.9527704499535
12082,512.04,496.3675609683307
11026,510.15,503.9053746426682
7677,540.3,496.64487882005864
1328,476.45,473.1155019917741
4102,439.65,381.1481502557627
10090,533.02,465.53656270485936
10790,467.35,455.4517550978989
6101,475.56,418.68327878589804
10154,542.92,482.71242939490224
10632,447.52,460.78223731854683
11452,659.46,550.9593161071135
8757,518.15,501.2750265863025
2984,567.15,518.6606756585572
2021,339.15,395.15
11485,336.65,472.16432749769086
3375,493.02,424.42040990064396
12441,590.29,518.9821167932633
11595,460.15,463.9213104642393
2982,566.15,541.0313720307062
11038,513.1,458.41741228948
6020,460.15,378.70389298271107
149,440.15,443.92575753795285
5758,418.15,412.2078613086868
3702,513.04,487.5849213092044
9257,434.08,425.81710827884217
5610,391.31,417.1527483934916
9315,442.66,442.9
12190,531.5,498.7110385538292
6149,487.15,471.4875898997064
5333,580.9,484.30426390578793
200,429.35,439.93419149247626
10984,505.62,488.9396629642127
2820,523.15,456.4471877633995
251,304.35,312.15
8421,472.06,472.12626165760776
2145,371.34999999999997,376.38749656906435
5040,471.69,445.4611664222911
6651,390.85,390.85
3668,488.34,468.98701688236355
3889,372.9,356.8232900157419
7320,471.06,439.3511060907984
2980,566.65,566.7
9536,473.24,472.0341927892636
7655,535.12,438.5690327760507
385,404.15,411.9704569758197
6188,496.15,496.15
3946,391.65,395.15
6758,403.74,419.31913955961215
12574,659.6,555.4034234888712
7244,462.03889,467.95
3386,520.93,525.290837643538
4077,428.6,420.473044743364
4900,439.99,457.73560849834223
744,404.25,411.84761782340195
8918,560.78,548.2496472619716
10258,569.14,462.39433382880503
7174,453.15,529.6
5773,419.65,427.8166666666666
12176,528.71,510.679063822343
6346,545.34,529.8753935831481
2391,433.15,518.1666782252345
3353,457.3,387.3221115759021
10311,581.53,531.8556050191185
7040,438.88,438.88
5321,571.41,494.1931912797248
4336,601.0,599.5139135043165
4655,398.65,452.26162736329417
7628,529.67,467.1120730128008
10724,455.15,452.04205189142135
6051,465.02,473.11198588849334
1121,452.65,410.3285031368487
10841,478.91,448.746565913552
9192,424.15,398.25
3942,390.82,446.0591655450206
357,359.45,359.1041035560696
3060,311.45,346.5142351356985
5964,448.15,441.1439642771299
11520,404.55,588.15
2348,425.65,513.5714307103542
2993,569.15,651.84
4475,363.02,360.01118257352607
12320,553.32,515.8414351788617
9381,450.82,465.57039275653733
7442,487.26,455.96017423194064
4382,327.45,341.4185514186761
4483,363.46,365.79491379514036
8747,515.65,502.95515774122657
9103,363.65,501.82
12275,544.03,515.9783074740692
5587,386.64,381.0814135301642
3421,675.25,555.1883972257233
5517,375.15,389.54552897048364
11306,568.56,520.9426668139221
396,382.25,407.616372236474
6887,420.84,438.7668939430499
7625,529.34,470.11979567956286
4024,413.65,406.117763336095
9787,497.58,477.4114234909281
3222,423.28,426.2324473478401
4536,378.28,388.78092249965624
2201,389.15,519.8056673912846
6127,481.03,419.75866623185783
8710,509.56,502.6207080655376
7306,469.2,431.1820200301403
12130,522.89,480.3711914041536
2534,464.15,439.0991315096331
135,472.15,478.4518907184313
7272,466.26,438.7127106452811
1989,327.15,458.44315065555264
5050,474.16,401.2841271842464
47,361.15,361.15
3635,465.2,397.94409279170986
83,386.45,396.36617097058297
11662,465.15,463.20881267355725
5544,380.74,396.1402915774266
3131,359.65,393.7027695600399
10393,614.33,456.6880265358464
2859,532.95,496.0566657488699
7998,411.15,411.15
6298,524.74,442.0926976842005
12347,563.02,520.0182179266569
10056,528.9,461.6244197356398
3160,369.65,445.9533326862006
360,359.85,370.06229823886235
9401,454.15,449.65652990488417
8,315.35,327.69692319100943
11658,465.15,468.5547645392636
9999,520.14,500.3272437862763
3698,508.73,465.3916737035171
7159,451.56,458.0320019518282
8794,523.08,459.16992996202436
8538,490.38,433.49476980823346
1650,511.15,450.25837006873064
311,339.45,326.58685336348475
7645,533.04,471.13033720496014
2981,566.15,541.0313720307062
1617,507.15,500.3588222652439
10318,583.02,556.5683840875406
2543,466.15,470.1550161714913
11324,575.34,515.1028832531156
3522,390.1,358.63101066036796
7188,455.65,470.15
5044,472.15,435.29561760494397
2507,458.15,409.89404326916724
7072,442.15,438.80864645204423
12255,540.7,506.93384560955263
5350,597.34,514.3361834944128
5871,431.1,395.4846950022035
8724,512.15,490.94289717822755
9750,494.56,468.8420578249357
4847,428.15,384.36329670059285
2677,490.65,498.33555302674876
5459,362.15,364.65
884,423.15,434.9087877692208
5632,396.05,409.6945397141038
7481,494.65,484.15
6830,412.83,401.8065143225325
2054,351.15,400.1598132329775
3169,285.88,327.5761678654363
10009,521.07,452.1295035251494
5769,419.15,422.10504416792645
113,418.15,417.5300784194808
4132,448.41,425.11902916795896
9004,604.78,463.34517997899417
5479,366.15,451.3455554479795
5945,444.49,436.22236915605345
5171,505.04,460.0107496925531
4901,440.31,428.3936721222667
1153,458.15,528.1623376933076
8655,501.15,493.82640922225943
7049,439.98,449.5099403458145
3115,354.15,472.86
4768,414.15,403.1956680217969
9883,511.15,484.1679031461503
7502,497.8,363.15
2319,418.15,500.1696642065481
6210,501.44,430.37992382414456
5099,486.43,483.97800897070175
11291,564.49,535.2474682422487
5140,496.83,474.91576231791385
4129,448.06,442.1799432895878
4890,437.69,423.9574811356722
8875,550.15,506.5698309963831
6438,597.59,541.0973388727558
5372,627.01,523.3068786320318
429,398.75,434.4766734817963
763,407.9,420.9598338153224
9015,610.9,519.8994820385806
927,430.15,434.38636355128216
4676,401.15,411.3680831193242
2308,415.65,467.64
850,418.15,406.54448490375023
5095,486.15,507.15
1351,480.15,485.8322557621433
5186,510.93,476.7
9440,459.62,446.87203577477806
12573,658.52,591.2416837332704
9187,422.68,442.4306414684645
5418,340.65,437.5560806956092
8750,516.15,516.15
7100,444.65,403.01300251994434
4896,439.15,400.53768232800434
1825,538.65,503.0136249467536
11687,467.15,469.19522672312684
12447,592.72,522.6820343535173
12160,527.15,501.2405116115236
9584,479.65,483.9289579431848
3314,395.67,377.86411218999467
4341,604.13,528.1774471925982
2874,535.8499999999999,513.0715443081973
8660,501.86,442.4025989955536
3069,323.54999999999995,331.15676675961475
99,422.15,408.4236921188952
5817,424.72,357.65
12024,499.51,465.510642582538
11947,483.16,483.155
11299,566.84,521.4382707416021
1747,523.15,484.2253081512391
1166,459.15,443.632089911652
6879,420.16,410.09401046705443
1053,445.15,442.8097635490501
3325,409.08,416.27670235901394
304,364.85,363.85
7841,626.68,587.1563654640944
5336,582.84,457.98116469138887
538,429.75,429.85
6066,468.99,441.1532781879912
11147,534.39,513.3986560683486
12138,523.92,465.1771890703572
102,419.15,427.66196282264684
9247,433.15,430.8320557228893
8200,444.15,441.7138369422809
12544,643.42,551.9907539181485
8376,467.35,471.25337078910877
7434,486.68,475.01488107062204
772,409.15,369.15
3541,404.65,371.8915204090687
7478,494.03,454.7435838768376
434,434.25,440.75666666666666
2455,447.65,523.4361473617688
4508,370.65,369.29004771308706
5952,445.18,406.52125050044526
3550,411.15,482.9655679413138
3528,391.84,413.85923983458315
2666,490.65,518.4416425753512
811,413.15,413.15
4907,441.95,456.9208492967011
2673,490.15,473.5114762069342
4216,484.65,443.7011966593509
3877,366.42,390.4876870217983
293,363.95,363.85
12102,517.15,498.30050962378357
6817,410.6,412.04273334829463
103,424.65,423.7388272445286
7500,497.16,456.430245468719
8679,504.98,442.4625576695642
7413,483.15,465.24763164684333
9617,482.44,454.74410988484186
3706,516.14,507.3826578391295
8273,456.07,464.8563988410911
9713,490.78,493.3668174969903
2318,417.25,427.0852526635994
4191,473.15,410.2655484381996
3154,368.15,356.6654042079913
979,436.15,443.684300887064
7820,605.04,508.62155888462115
8693,506.02,429.08504724854936
33,365.15,371.89661222653416
1434,488.65,493.7030366875378
1107,451.25,435.9819180138846
9910,514.12,464.6418192095581
895,425.04999999999995,425.15
7795,586.62,544.1129398140567
8806,526.03,484.53868699861624
11560,446.65,470.1387678434375
4292,538.78,453.32020918155087
8240,450.27,455.53471478786616
11525,406.15,406.15
12287,545.65,560.50396424272
6554,376.8,382.1864969436475
12254,540.7,513.4407471049461
3328,419.15,385.30406994101213
9026,623.48,547.9245673240741
9841,505.15,482.7028215946901
5272,547.2,490.4911329816653
1114,452.15,492.2353343379586
5245,536.36,457.74974200218264
8649,500.03,469.99411593383843
10658,450.15,450.37589802455796
2998,572.15,523.8769415393782
