,Actual,Predict
2609,478.15,446.45605043456527
8156,439.15,442.30637638167383
2616,478.15,450.12793053502065
4653,398.65,402.4135645816628
8530,489.54,448.4561517931709
10707,454.15,450.094329272672
11822,472.15,474.675701333659
3305,382.84,402.1081524815462
6348,548.83,536.4318419633147
5852,428.68,422.6321227600178
9006,605.81,562.441370984571
8265,455.15,463.5606227206128
6385,563.15,518.4966043037516
624,387.65,476.6271157148408
7698,547.7,533.4013099109221
11902,478.15,507.8113006149407
9290,438.65,441.3333221840658
1634,509.15,486.72130959595967
1383,483.15,485.2657635728161
5324,573.51,537.8059772488622
2876,536.15,519.3549545590517
8935,567.45,549.2596578901653
8998,601.3,591.2809307156733
4684,402.08,410.3686888843187
3422,704.0,405.97860334748583
3963,396.39,403.1588298944028
4889,437.69,471.7383502084027
3487,367.8,364.8090039047554
12068,509.82,510.31018696786845
1662,513.15,532.5051209826283
12438,589.72,545.5849134626241
6630,388.64,389.2499986839298
3094,342.15,460.34536571928066
218,425.95,436.8201783269508
1372,481.65,479.7042453421579
6698,395.68,398.8389139021139
12346,561.45,534.4563722557413
1950,578.15,521.4408995032745
1953,579.15,523.2813857251082
1530,498.15,551.744612873793
8947,571.36,539.9286688655789
9567,477.15,591.2552806487956
10913,493.55,488.4938765473416
10798,470.26,465.9628249184149
6647,390.72,398.5224678852961
3068,322.65,367.308484222951
2417,440.65,486.788006966922
11336,581.4,546.3639710019147
8846,541.15,531.9815418070818
5981,452.82,440.20288423937177
10278,573.99,565.0526784365634
9137,390.15,517.3173459096458
7346,472.48,465.5396848945498
11563,451.65,518.2109477883228
1984,321.15,340.56338106643364
173,447.15,448.2468052122875
5702,409.05,392.106644741778
11365,596.34,509.8526778441005
3297,366.59,365.57666919779564
8518,487.75,484.1531410581083
8276,457.09,458.11144374375624
7209,457.6,427.9720514918414
3669,490.04,455.354026471657
8582,494.15,515.8096852288071
9720,491.15,467.1062723088023
2392,433.15,464.7465001456876
1236,466.65,478.06669794275166
2189,387.65,452.9122867812743
3468,350.35,351.53080229582633
1043,444.15,464.1481549303639
10934,498.15,465.84578439893454
12123,522.39,530.6587312484737
2589,475.34999999999997,474.28556353929986
7077,443.15,472.26904251901686
5743,416.65,420.00434202750466
10739,457.29,459.16657500679867
3873,365.65,370.6553079323952
3210,383.76,326.5237475498276
720,399.65,411.9997044627595
1213,464.15,456.5031913391675
7090,443.92,421.21871263333867
5045,472.51,473.2696533374958
724,400.65,441.62227391650003
10715,455.15,452.9243408075259
10402,618.99,541.2261381060603
6258,512.48,462.8120042056552
11921,479.15,480.1090889896215
10638,448.15,448.9530743877175
3344,446.15,415.94163078810084
8873,550.08,547.0802982165059
450,431.65,431.8243983446127
7512,499.45,480.5436357860196
10244,565.65,565.9058288266882
3817,337.15,394.77451899113964
10673,452.15,453.00351126207113
290,353.65,356.4972936242923
9810,501.65,499.0669566385413
3011,578.15,558.0288669080921
11430,632.15,632.0314752292154
8810,527.27,502.57675835658125
7633,531.13,526.9721336385006
1369,481.34999999999997,479.6035379351204
10912,493.25,503.96525227470227
2684,494.15,464.65618385931646
839,416.15,415.04084360778114
2927,546.15,513.2819281329785
4429,348.715,348.3401330518093
1579,502.15,518.6320385733547
4338,601.96,595.8446844372295
5502,371.15,453.38459361582863
4584,386.17,378.9230741161616
7780,582.02,553.7478026021201
6747,402.98,402.46234465922964
749,405.15,535.3457782651499
5747,417.54,415.77465417526895
9054,656.19,598.1091277410661
6464,625.02,543.0460030487641
5503,371.32,369.33506927458154
2655,486.65,431.5899801368076
11224,550.15,515.8950952214452
5965,448.15,420.39442723563997
4874,435.15,445.35111380758127
6595,384.35,383.9639610668496
1427,488.15,456.4569845848598
5049,473.15,512.2064623557438
2087,360.65,420.6437228576979
9330,443.76,433.80468784021525
7497,496.96,498.7229481413033
8061,420.64,414.0588379755374
12517,625.78,595.0327158457227
4226,489.32,475.461567383998
7370,478.54,466.56123305393504
5654,400.89,409.13966776196014
970,435.65,415.2131221925298
10365,597.99,582.34648372114
993,438.15,460.051947596807
12180,529.06,507.0818996889222
5353,602.52,497.65469600213515
7460,490.78,501.233219236078
8725,512.15,458.22897766982203
1277,470.65,477.2089893870019
741,404.15,424.17116461110766
1078,447.65,472.9131439302364
4250,504.5,462.0920790706517
4365,658.89,598.1423142465869
5914,439.15,444.6679578684722
3035,592.15,530.239795773671
2303,414.65,487.40090759934503
2688,492.15,426.5981639527629
6152,488.28,414.4762873681872
8138,435.76,438.5206881296479
11427,627.85,587.1467410955712
4367,677.65,596.0728955462594
8027,415.7,415.47951226720403
3546,405.72,413.0885323598541
944,432.15,431.4350824961319
10107,535.28,549.6704047814685
11689,467.15,473.1598433524845
9380,449.72,465.14636962096733
1739,522.15,463.6937574431288
2848,530.15,505.23747646686667
3821,337.74,323.82103156995794
8204,444.45,449.73223678367367
9892,512.54,486.13958916001485
6389,563.49,542.2437321464647
2069,355.15,357.6054306870907
3954,394.65,407.061193567821
8069,421.59,423.5701589791232
7949,398.15,446.5316214729714
8630,497.65,489.7681617882118
9182,421.2,437.5510322204463
7465,491.33,484.9289831033969
3437,317.15,564.2921092151475
3045,610.15,576.0170264649486
11187,543.02,537.6687959978909
4075,428.16,439.25209739842677
11814,472.15,471.10215467116205
12421,584.2,585.6075188031414
9942,516.47,499.76019284667314
11378,601.68,640.0774607134534
3708,518.08,453.24368820429584
7038,438.88,422.81885486890576
3464,346.15,360.8183570497777
4023,413.15,403.62733981684994
9948,516.81,496.07263483405484
4526,377.15,366.60909877983124
8330,462.86,461.1741302261625
1358,481.15,504.6953804405317
1570,501.15,490.21875387085134
4442,353.48,381.08786240272855
11757,470.15,469.6228922466423
4342,606.75,601.1863330663781
9059,664.15,601.6181718932456
10078,531.19,536.43303381549
586,380.15,386.9344911553598
247,282.55,309.73223371504315
4345,609.18,615.9635424935931
5046,472.87,443.57201606199374
3307,384.76,456.98211401223784
6482,660.67,641.7895139418913
1482,493.15,514.381560003885
3710,520.15,513.9075728846273
9202,425.9,425.7293366973304
5611,391.4,405.9628796409612
518,378.65,377.9345100883848
4454,355.86,371.3576031765458
2791,516.15,484.90352033008656
6916,423.85,426.42948877788746
9861,508.88,470.9904069136417
1470,492.15,416.03547005251284
8104,429.29,428.73266333392826
11791,471.15,468.61938552787103
3366,478.91,426.0451329423356
9859,508.65,497.7906347972859
11401,611.94,612.2295538734879
50,366.35,364.92341104164507
7642,532.6,521.805518612221
1730,521.15,516.1436930180934
10206,554.86,566.2466809252919
1593,503.65,510.10531175735997
2407,436.65,412.26026236041747
6561,378.07,387.5816556110668
9295,439.45,435.1429373364542
6810,409.4,429.5888904634254
4053,420.44,433.7394408644135
7924,373.15,484.8913430695694
5937,443.1,426.1433416292039
5270,546.65,472.84273143398264
4015,411.65,377.3710489430013
4600,389.58,399.5390142279946
10860,482.67,492.17902121933633
8829,535.0,530.8762246103895
6119,479.07,459.4636673196248
4315,563.11,605.1781060458986
379,394.75,400.31401028179835
6341,543.68,539.5541361804862
9350,446.82,433.74883914944496
8768,518.73,516.036313371269
8524,488.57,494.76387415785206
6822,411.99,409.5913001789876
10591,431.52,482.8081866539835
4313,561.59,494.167964071484
9994,519.7,473.14672902375406
2333,421.75,431.42142464326514
5684,406.15,423.7406098173393
9144,393.65,473.8088644028194
10211,557.21,516.0048528367465
3231,444.29,505.0244715981239
6443,599.65,477.6162341240296
10873,484.65,474.6175564585415
4269,523.34,525.9584791813741
1237,467.15,461.5226608949504
10116,536.34,486.7337866934455
5613,391.65,387.8648199494951
11608,463.15,458.5420774414474
2128,369.65,419.66978226911965
4925,446.15,505.11181539834433
8849,543.48,540.2305029131979
5526,376.67,380.0500556218781
12082,512.04,500.0000275571648
11026,510.15,503.28054284163557
7677,540.3,534.3504279706406
1328,476.45,476.3714795512822
4102,439.65,387.7218742750631
10090,533.02,519.4090593209569
10790,467.35,462.0709698189309
6101,475.56,449.3512137365084
10154,542.92,529.5250584618014
10632,447.52,458.2263289808802
11452,659.46,583.0974719024031
8757,518.15,507.1695796620044
2984,567.15,527.6941555812242
2021,339.15,406.7424761766013
11485,336.65,456.5515250771451
3375,493.02,434.31851099567126
12441,590.29,552.993665709152
11595,460.15,464.43173164176505
2982,566.15,533.9508425213677
11038,513.1,504.3968915637142
6020,460.15,367.97986225302503
149,440.15,444.21004628904586
5758,418.15,411.7400388566987
3702,513.04,539.9237471356422
9257,434.08,437.99266586885324
5610,391.31,398.6085177652903
9315,442.66,436.9568220624799
12190,531.5,511.4075729945055
6149,487.15,473.5826816117214
5333,580.9,570.8989262246085
200,429.35,426.8969782005492
10984,505.62,503.3763367973694
2820,523.15,455.014033831985
251,304.35,328.24771305028304
8421,472.06,471.76872486735505
2145,371.34999999999997,365.6395130995394
5040,471.69,458.68484085331335
6651,390.85,393.0932124561394
3668,488.34,524.2702787165612
3889,372.9,343.84154904317904
7320,471.06,447.52735648934373
2980,566.65,519.5770638122984
9536,473.24,481.9155512359864
7655,535.12,460.96848342546326
385,404.15,402.99409119489405
6188,496.15,501.92960912318915
3946,391.65,391.0024256518481
6758,403.74,435.4595654759128
12574,659.6,565.9364208392751
7244,462.03889,447.9521087749996
3386,520.93,564.0530895773672
4077,428.6,443.6601080448638
4900,439.99,431.10237815351314
744,404.25,400.12030929432456
8918,560.78,560.7484298729046
10258,569.14,564.1914082610692
7174,453.15,509.4828045554444
5773,419.65,423.92852807140565
12176,528.71,523.9678510730938
6346,545.34,509.0085750878288
2391,433.15,533.3069629315129
3353,457.3,468.06700136294245
10311,581.53,560.1418582797759
7040,438.88,432.2717478873903
5321,571.41,531.9948599779091
4336,601.0,615.1261327208658
4655,398.65,474.0867035961261
7628,529.67,514.8602768098568
10724,455.15,450.67215986152763
6051,465.02,457.63753784689175
1121,452.65,397.1114425385726
10841,478.91,467.2420182778333
9192,424.15,409.500483789405
3942,390.82,458.25492703574207
357,359.45,362.61154560855596
3060,311.45,334.8686626470917
5964,448.15,445.67792068598055
11520,404.55,486.36044693140184
2348,425.65,546.5531748020117
2993,569.15,636.6014554735544
4475,363.02,352.3191705500054
12320,553.32,528.6296183325009
9381,450.82,467.85807404900646
7442,487.26,484.01213863718954
4382,327.45,339.68681331057815
4483,363.46,370.1750918416307
