,Actual,Predict
2609,478.15,429.369
8156,439.15,448.67026
2616,478.15,479.95892
4653,398.65,398.91156
8530,489.54,470.42984
10707,454.15,452.34555
11822,472.15,471.604
3305,382.84,429.55255
6348,548.83,529.197
5852,428.68,424.79578
9006,605.81,571.7194
8265,455.15,444.00848
6385,563.15,495.46625
624,387.65,470.87192
7698,547.7,527.6393
11902,478.15,517.92804
9290,438.65,431.92487
1634,509.15,477.34412
1383,483.15,499.06387
5324,573.51,528.3648
2876,536.15,496.78983
8935,567.45,561.96045
8998,601.3,590.6462
4684,402.08,408.82098
3422,704.0,455.8141
3963,396.39,385.7587
4889,437.69,456.47598
3487,367.8,363.10635
12068,509.82,507.18082
1662,513.15,529.2942
12438,589.72,532.56824
6630,388.64,391.92273
3094,342.15,465.81903
218,425.95,427.26303
1372,481.65,481.59393
6698,395.68,391.6587
12346,561.45,526.2799
1950,578.15,488.8937
1953,579.15,543.6663
1530,498.15,558.33295
8947,571.36,542.3375
9567,477.15,539.5845
10913,493.55,489.77332
10798,470.26,478.587
6647,390.72,398.7241
3068,322.65,369.81564
2417,440.65,516.67523
11336,581.4,569.1243
8846,541.15,540.04535
5981,452.82,453.587
10278,573.99,578.974
9137,390.15,506.53485
7346,472.48,468.2928
11563,451.65,519.2915
1984,321.15,352.80386
173,447.15,438.06772
5702,409.05,377.70767
11365,596.34,520.6962
3297,366.59,392.41495
8518,487.75,480.6006
8276,457.09,449.14435
7209,457.6,449.0291
3669,490.04,483.9462
8582,494.15,524.74384
9720,491.15,494.99573
2392,433.15,474.67236
1236,466.65,480.22046
2189,387.65,451.5523
3468,350.35,338.2684
1043,444.15,472.93338
10934,498.15,476.34012
12123,522.39,531.4531
2589,475.34999999999997,466.68872
7077,443.15,470.48196
5743,416.65,400.20197
10739,457.29,465.2711
3873,365.65,362.59344
3210,383.76,357.49707
720,399.65,415.97574
1213,464.15,483.0234
7090,443.92,422.72867
5045,472.51,453.8789
724,400.65,412.59332
10715,455.15,452.47226
10402,618.99,606.5238
6258,512.48,469.05176
11921,479.15,471.09265
10638,448.15,448.89752
3344,446.15,406.90173
8873,550.08,529.88403
450,431.65,427.63602
7512,499.45,493.08008
10244,565.65,553.5315
3817,337.15,357.5595
10673,452.15,452.47226
290,353.65,370.22156
9810,501.65,492.06982
3011,578.15,564.1093
11430,632.15,624.9821
8810,527.27,541.3594
7633,531.13,509.7527
1369,481.34999999999997,482.37747
10912,493.25,501.51382
2684,494.15,456.6981
839,416.15,382.9903
2927,546.15,496.66666
