,MAE,MAPE(%),RMSE,R2,Radius,nBits,Model
0,0.0,0.0,0.0,0.0,0,0,XGB
1,20.152605322065423,4.438279858213666,30.0904853660914,0.8466842801949838,r= 2,n= 1024,XGB
2,28.09428357593217,6.2808400137326705,45.56166347533341,0.6465978613482831,r= 2,n= 1024,XGB
3,21.74150416250308,4.806922555758777,33.7580491896658,0.8068329800445179,r= 2,n= 1024,XGB
4,19.969861737826733,4.408716812343016,29.456176204249356,0.8530799598483457,r= 3,n= 1024,XGB
5,28.23659890625,6.331253261330963,45.7815282835523,0.6431788390468296,r= 3,n= 1024,XGB
6,21.62379541295583,4.793360440156667,33.36779621332242,0.8112733002429666,r= 3,n= 1024,XGB
7,19.840078810701844,4.377013801934194,29.12373128040397,0.8563775500781257,r= 4,n= 1024,XGB
8,28.3435976861959,6.350980895986474,45.919345386766835,0.6410273129410058,r= 4,n= 1024,XGB
9,21.541385618785355,4.771947206000855,33.171674917998395,0.8134852863462472,r= 4,n= 1024,XGB
10,21.909381557690775,4.828370349640515,32.14621427281809,0.825020177919836,r= 5,n= 1024,XGB
11,28.798603044958224,6.460347810705888,46.274709401676716,0.6354497254242781,r= 5,n= 1024,XGB
12,23.287714409101344,5.154881574675932,35.426707328545085,0.7872645454748777,r= 5,n= 1024,XGB
13,20.423225126203175,4.500065534135979,30.635243909250747,0.8410827705373787,r= 2,n= 2048,XGB
14,27.607055266700648,6.20609513121049,45.01843738523996,0.6549747636321002,r= 2,n= 2048,XGB
15,21.86050060063831,4.8413924378322095,34.00328870481094,0.8040162143839106,r= 2,n= 2048,XGB
16,19.23067611487314,4.240003179874671,28.379869737075552,0.863620499444486,r= 3,n= 2048,XGB
17,27.748307612155415,6.2335755585611174,45.335881968887044,0.6500917619995434,r= 3,n= 2048,XGB
18,20.934806448120735,4.638859031190629,32.48831610182964,0.8210907889133783,r= 3,n= 2048,XGB
19,19.05615437907009,4.202365638966797,28.0202010014246,0.8670553720720796,r= 4,n= 2048,XGB
20,27.93884072330095,6.277508597198775,45.68608147835998,0.6446651126200202,r= 4,n= 2048,XGB
21,20.83332156982703,4.617541390826523,32.336377005829995,0.8227602961430973,r= 4,n= 2048,XGB
22,19.190606048533123,4.2423088418124015,28.40340136413637,0.8633942431530637,r= 5,n= 2048,XGB
23,27.95918052274002,6.289389797189977,45.80387805848016,0.642830365785431,r= 5,n= 2048,XGB
24,20.94494277296225,4.651870203064701,32.63576543628977,0.819463132534567,r= 5,n= 2048,XGB
25,18.844293080027693,4.15685480060903,28.326885150284635,0.8641292590793297,r= 2,n= 4096,XGB
26,27.437665828654605,6.156184636312567,45.40350064931118,0.6490472040448358,r= 2,n= 4096,XGB
27,20.563577034787997,4.556862551622494,32.470214036908985,0.8212901051157798,r= 2,n= 4096,XGB
28,19.31615250061468,4.251716874373127,28.504620512249634,0.8624188842156713,r= 3,n= 4096,XGB
29,27.637715967333403,6.20965967771774,45.475742156104396,0.6479295136335699,r= 3,n= 4096,XGB
30,20.981055323448135,4.643444283924477,32.61454237201943,0.8196978627246896,r= 3,n= 4096,XGB
31,17.443659949167674,3.8507984453089783,25.734777953058448,0.8878577795586343,r= 4,n= 4096,XGB
32,27.77284023073182,6.243029563836204,46.20263434170936,0.6365844498114471,r= 4,n= 4096,XGB
33,19.510228506519883,4.329414315756274,30.933220615713022,0.8378083191811335,r= 4,n= 4096,XGB
34,19.14878505728647,4.216119956504028,28.211634223519493,0.8652326188814794,r= 5,n= 4096,XGB
35,27.694750989776598,6.219153874975874,45.614138997134944,0.6457833326515381,r= 5,n= 4096,XGB
36,20.858584286931915,4.616868786748772,32.44900751829871,0.8215234621937749,r= 5,n= 4096,XGB
