,SMIELS_TRAIN,Actual,Predict
522,CCC(CC)CC,366.65,348.75473172193927
462,CCC(C)CCCC(C)C,433.55,431.48432196282783
0,C,111.65,241.41209152021779
11,C1C=CC=C1,314.15,347.5125191321115
286,CC(C)CC=C,327.05,332.55306717968864
22,CC(C)CC#C,334.35,334.34536038687725
383,CC1CCCC(C1)C,393.25,399.7020991732405
334,CC1CCCC1C,372.65,366.12758317646455
321,CC1CCC=C1C,372.15,369.71216959084177
305,CC1CCC1C,331.15,334.34536038687725
89,CCCCC#CCCC,425.15,427.8997355484506
195,CCCCC1CCCCC1,454.05,457.8896651308493
153,CC(=CCCC(=C)C=C)C,440.15,436.8612015843937
360,CCC(CC)C=C,357.25,352.3393181363165
18,CC1CC1C,310.15,306.76883030658104
271,CC/C=C\C,310.05,322.3493885539178
278,CC(=C)CC=C,329.15,334.34536038687725
497,CCCCCCCC(C)CC,461.25,465.67994425451764
245,CC=C,225.55,274.98660751699373
316,C/C=C/CC=C,338.15,349.925918634214
176,CC1CCC(=C(C)C)CC1,446.15,435.690014672119
373,C1CC2CCCC2C1,412.15,435.690014672119
54,CC1CC=C(C1)C,366.35,366.12758317646455
431,CCCC(CC)CCC,414.35,415.2826574205772
46,C1C=CCC2C1C2,398.15,401.49439238042913
93,C#CCC1CCCCC1,430.65,432.1054282577417
211,CCC(C)(CC)C(C)(C)C,442.65,395.49640646394937
494,CCCCCC(C)CCC,438.85,441.6880005885987
222,CCC(C)(C)CCC(C)C,425.95,419.48835012986837
559,CCCCCCCCCCCC,489.45,505.25244616777337
420,CCCC(CC)CC,391.75,378.1235550094241
468,CCC1CCC(CC1)C,425.75,421.9017496319709
184,CC1CCC2(C1C2)C(C)C,430.15,423.69404283915947
375,CCCCC(=C)C,365.15,360.12959725998485
182,CCCC/C=C/CCCC,444.15,457.26855883593544
481,CC(C)CCC(C)CC(C)C,441.25,450.6494666245418
203,CCC(C)(C)CC(C)(C)C,426.95,403.28668558761774
412,CCCC(C)CCC,390.85,391.91182004957216
69,CC/C=C\C(C)(C)C,378.65,375.71015550732153
547,CCCCC1CCCC1,429.75,432.1054282577417
529,CCC=CC=CC,381.15,385.2927278381785
231,CCC(C)C(C)CC(C)C,429.65,423.0729365442456
324,CCC=CC=C,346.65,348.1336254270253
149,CCCC(C)(C)C(C)C,410.85,389.49842054746966
124,CC(C)(C)CC(C)(C)C,395.35,381.0870351288874
407,CCCC(C)C(C)C,388.75,373.9178623001329
408,CCC(C)C(C)CC,390.85,373.9178623001329
250,CC1CC1,273.85,292.98056526643296
444,CCC(C)C(CC)C(C)C,435.15,403.9077918825317
255,CC(=C)C=C,307.15,306.76883030658104
386,CCC1(CCCC1)C,394.75,384.74264722081773
348,CCC(C)C(=C)C,357.45,344.5490390126481
514,C/C=C\C,276.85,298.3574448879988
436,CCCCCCCC,398.75,402.115498675343
114,CC1CCC=C(C1C)C,413.15,423.0729365442456
141,CC1=CC2=CC=CC=C2C1,481.15,478.8471029997519
411,CCCCCC(C)C,390.75,390.11952684238355
248,CCC#C,281.15,294.77285847362157
536,CCCC/C=C\C,371.55,383.5004346309899
19,C1CCCC1,322.45,333.1741734746025
394,CCC/C(=C\C)/C,368.75,365.50647688155067
56,C1CC=CCCC=C1,423.95,463.1955190748621
261,C=CCC=C,299.15,318.7648021395405
530,CCC/C=C\C,341.95,351.7182118414026
393,CCC1CCCCC1,405.05,398.5309122609658
280,CC(C)C=C=C,343.15,332.55306717968864
268,CCCC=C,303.05,320.55709534672917
503,C=CCCCCCCCCC=C,481.65,501.6678597533961
426,CCCC(C)(CC)CC,413.75,390.11952684238355
25,C=CC#CC=C,358.15,344.5490390126481
540,CCCC#CCCC,404.75,405.70008508972023
302,CC1=CCCC1,348.65,354.1316113435051
