,SMIELS,Atom2,Func. Group,Actual,Predict
8381,CC(C)CCC1=CC=CC=N1,CHN,aromatic,473.15,443.38571428571424
11001,C1CCC(CC1)C(=O)N2CCC=CC2,CHON,amide,579.13,511.1478571428571
7968,CN(CCCNC=O)CCCNC=O,CHON,amide,615.62,508.26571428571424
9910,C1CC23CCCC2(C1)C(=O)CC3,CHO,ketone,553.01,512.4942857142858
8839,CCCCNCCNCCCC,CHN,amine,528.74,464.3649999999999
5881,CC#CC1(CC1)C#C,CH,alkyne,388.74,374.25714285714287
7296,CC(C)CC1=CC=CC=N1,CHN,aromatic,455.65,426.89642857142843
3785,C/C(=C/C(=O)C)/O,CHO,alkene,464.09,404.50499999999994
4247,CC(=O)/C=C/N(C)C,CHON,ketone,407.35,386.6771428571428
7616,CC(CC=C)/C=C(\C)/CO,CHO,alkene,497.98,416.34980642857136
6406,C1CCC2(C(C1)O2)C3CO3,CHO,ester,461.27,428.1064285714284
1059,CCCCCCCO,CHO,alcohol,449.55,456.54428571428565
7759,C#CCOCC(COCC#C)O,CHO,ester,522.34,533.7621428571427
438,CCCC(C)C(C)CCC,CH,alkane,435.3,442.2464285714285
6345,C(COCCOC(=O)/C=C\C(=O)O)O,CHO,carboxylic_acid,451.65,503.8392857142856
747,CCCCC(C)O,CHO,alcohol,409.15,446.1178571428571
7556,CC(=O)OC1CN2CCC1CC2,CHON,ester,493.93,449.0078571428572
10284,CCCC(C)CC(C)C(C)(C)C,CH,alkane,465.15,467.0071428571427
2835,CC1=NN(C(=O)C1)C2=CC=CC=C2,CHON,aromatic,560.15,502.0071428571427
3716,CC(C)(C(=O)OC)N=O,CHON,ester,432.39,413.75714285714275
1852,C1=CC(=CC=C1O)O,CHO,aromatic,559.15,539.8399999999999
6031,COC1=CC=CC(=C1O)CO,CHO,ester,408.15,503.2285714285713
9526,C1CC1C=C(C2CC2)C3CC3,CH,alkene,475.54,468.7514285714287
8643,CN(C)CCCNCCCN(C)C,CHN,amine,503.45,475.20928571428567
10617,CC#CCCCCCCC#CC,CH,alkyne,492.16,471.3607142857142
7241,CCCCCCCN(C)C,CHN,amine,445.15,451.14285714285717
3136,CNCC(=O)O,CHON,carboxylic_acid,463.92,428.8257142857142
910,CC(=O)C1CCCC1,CHO,ketone,431.65,424.5728571428572
6964,CC(CC1=CC(=CC=C1)O)N,CHON,alcohol,282.65,486.392857142857
2693,C1=CC(=CC(=C1)CN)CN,CHN,aromatic,520.15,479.57857142857125
10303,CCC(CC(C)C(C)C)C(C)C,CH,alkane,466.15,463.1499999999998
4197,CC(=O)C1(CC1)C,CHO,ketone,399.15,371.1992857142856
325,CCC(=C(C)C)C,CH,alkene,370.65,384.67999999999995
6077,C1CCC#C/C=C\C1,CH,alkene,415.02,428.1607142857143
7096,CC1(C2CCC1CC2)C,CH,alkane,418.84,438.2135714285714
3530,CCCC1N(O1)C,CHON,ester,355.86,351.6714285714285
2202,C=C/C=C/C#N,CHN,alkene,409.65,384.30428571428564
7074,CC1CCCC(C1C)C,CH,alkane,415.15,408.87142857142857
8367,CCCCOCCOC(C)(C)C,CHO,ester,470.01,483.4628571428571
2757,CC1=CC2=C(C=C1)C=CC(=N2)C,CHN,aromatic,537.65,534.9357142857142
7592,CCCCCC(C)C(C)O,CHO,alcohol,496.82,481.4635714285714
9426,CCCC(C)C(C)(C)C(C)C,CH,alkane,455.15,459.54999999999984
