,SMIELS,Atom2,Func. Group,Actual,Predict
8381,CC(C)CCC1=CC=CC=N1,CHN,aromatic,473.15,470.01893878989455
11001,C1CCC(CC1)C(=O)N2CCC=CC2,CHON,amide,579.13,541.644562647953
7968,CN(CCCNC=O)CCCNC=O,CHON,amide,615.62,607.6723864234912
9910,C1CC23CCCC2(C1)C(=O)CC3,CHO,ketone,553.01,534.6737769369515
8839,CCCCNCCNCCCC,CHN,amine,528.74,527.1907132488345
5881,CC#CC1(CC1)C#C,CH,alkyne,388.74,388.19947607904317
7296,CC(C)CC1=CC=CC=N1,CHN,aromatic,455.65,450.4841596416126
3785,C/C(=C/C(=O)C)/O,CHO,alkene,464.09,432.2353589524982
4247,CC(=O)/C=C/N(C)C,CHON,ketone,407.35,405.52513673701304
7616,CC(CC=C)/C=C(\C)/CO,CHO,alkene,497.98,487.7190097534065
6406,C1CCC2(C(C1)O2)C3CO3,CHO,ester,461.27,445.47134491203207
1059,CCCCCCCO,CHO,alcohol,449.55,453.5137655519978
7759,C#CCOCC(COCC#C)O,CHO,ester,522.34,552.1674656110557
438,CCCC(C)C(C)CCC,CH,alkane,435.3,428.73772770160366
6345,C(COCCOC(=O)/C=C\C(=O)O)O,CHO,carboxylic_acid,451.65,564.4706016086731
747,CCCCC(C)O,CHO,alcohol,409.15,413.0158484513724
7556,CC(=O)OC1CN2CCC1CC2,CHON,ester,493.93,477.8097373552144
10284,CCCC(C)CC(C)C(C)(C)C,CH,alkane,465.15,465.78554044011537
2835,CC1=NN(C(=O)C1)C2=CC=CC=C2,CHON,aromatic,560.15,526.2852777070965
3716,CC(C)(C(=O)OC)N=O,CHON,ester,432.39,428.7287546395993
1852,C1=CC(=CC=C1O)O,CHO,aromatic,559.15,543.1113380778941
6031,COC1=CC=CC(=C1O)CO,CHO,ester,408.15,478.01685812451404
9526,C1CC1C=C(C2CC2)C3CC3,CH,alkene,475.54,475.3665711895051
8643,CN(C)CCCNCCCN(C)C,CHN,amine,503.45,492.60744765773
10617,CC#CCCCCCCC#CC,CH,alkyne,492.16,491.20090245379635
7241,CCCCCCCN(C)C,CHN,amine,445.15,441.51668558802305
3136,CNCC(=O)O,CHON,carboxylic_acid,463.92,498.68347641693066
910,CC(=O)C1CCCC1,CHO,ketone,431.65,426.175367746143
6964,CC(CC1=CC(=CC=C1)O)N,CHON,alcohol,282.65,436.33921979278057
2693,C1=CC(=CC(=C1)CN)CN,CHN,aromatic,520.15,488.42055794608115
10303,CCC(CC(C)C(C)C)C(C)C,CH,alkane,466.15,466.46134182636786
4197,CC(=O)C1(CC1)C,CHO,ketone,399.15,406.9857393399036
325,CCC(=C(C)C)C,CH,alkene,370.65,369.16694889121464
6077,C1CCC#C/C=C\C1,CH,alkene,415.02,400.24368829669635
7096,CC1(C2CCC1CC2)C,CH,alkane,418.84,417.85561678156427
3530,CCCC1N(O1)C,CHON,ester,355.86,384.8276640404737
2202,C=C/C=C/C#N,CHN,alkene,409.65,399.4741036643288
7074,CC1CCCC(C1C)C,CH,alkane,415.15,415.05592263528166
8367,CCCCOCCOC(C)(C)C,CHO,ester,470.01,474.02187912504144
2757,CC1=CC2=C(C=C1)C=CC(=N2)C,CHN,aromatic,537.65,536.2181719443546
7592,CCCCCC(C)C(C)O,CHO,alcohol,496.82,477.1457643474624
9426,CCCC(C)C(C)(C)C(C)C,CH,alkane,455.15,455.4800603438483
9071,CC(=CCC/C(=C\C(=O)O)/C)C,CHO,alkene,581.99,537.0970634862358
2983,CC(C)NC(C)C,CHN,amine,357.04999999999995,376.4976422736779
10463,CCCCCCC(C)CC(C)C,CH,alkane,473.15,472.63503493436275
2440,CCNCC1=CC=CC=C1,CHN,aromatic,467.15,458.3370740669781
6037,CCOC(C(C)C)OCC,CHO,ester,408.65,415.639473924617
2947,COC1=NC=CN=C1,CHON,ester,334.15,375.3849882425255
5940,C=C1C(=C)C(=C)C1=C,CH,alkene,394.96,388.1755531187715
11045,CC1(CC(=CC(=O)C1)N2CCCC2)C,CHON,ketone,594.03,572.1517031804307
1209,C1=CC=C(C=C1)CC=O,CHO,aromatic,468.15,479.2204921307855
