,SMIELS,Atom2,Func. Group,Actual,Predict
8381,CC(C)CCC1=CC=CC=N1,CHN,aromatic,473.15,467.2942494732148
11001,C1CCC(CC1)C(=O)N2CCC=CC2,CHON,amide,579.13,562.5067445511595
7968,CN(CCCNC=O)CCCNC=O,CHON,amide,615.62,619.1473694440234
9910,C1CC23CCCC2(C1)C(=O)CC3,CHO,ketone,553.01,545.8744961805892
8839,CCCCNCCNCCCC,CHN,amine,528.74,525.0359839147025
5881,CC#CC1(CC1)C#C,CH,alkyne,388.74,393.85646523029357
7296,CC(C)CC1=CC=CC=N1,CHN,aromatic,455.65,444.8537969483842
3785,C/C(=C/C(=O)C)/O,CHO,alkene,464.09,455.26168786950404
4247,CC(=O)/C=C/N(C)C,CHON,ketone,407.35,414.20375405448925
7616,CC(CC=C)/C=C(\C)/CO,CHO,alkene,497.98,475.07241463923293
6406,C1CCC2(C(C1)O2)C3CO3,CHO,ester,461.27,424.630135060998
1059,CCCCCCCO,CHO,alcohol,449.55,459.1127421221651
7759,C#CCOCC(COCC#C)O,CHO,ester,522.34,534.0749212032688
438,CCCC(C)C(C)CCC,CH,alkane,435.3,426.71660976342133
6345,C(COCCOC(=O)/C=C\C(=O)O)O,CHO,carboxylic_acid,451.65,646.1735261654477
747,CCCCC(C)O,CHO,alcohol,409.15,430.4816099166027
7556,CC(=O)OC1CN2CCC1CC2,CHON,ester,493.93,486.2721002108833
10284,CCCC(C)CC(C)C(C)(C)C,CH,alkane,465.15,460.30600466600293
2835,CC1=NN(C(=O)C1)C2=CC=CC=C2,CHON,aromatic,560.15,541.7496713589691
3716,CC(C)(C(=O)OC)N=O,CHON,ester,432.39,428.5817957343762
1852,C1=CC(=CC=C1O)O,CHO,aromatic,559.15,491.71695726666155
6031,COC1=CC=CC(=C1O)CO,CHO,ester,408.15,500.5491217033052
9526,C1CC1C=C(C2CC2)C3CC3,CH,alkene,475.54,472.3908276431003
8643,CN(C)CCCNCCCN(C)C,CHN,amine,503.45,500.20092767553143
10617,CC#CCCCCCCC#CC,CH,alkyne,492.16,492.8800635535722
7241,CCCCCCCN(C)C,CHN,amine,445.15,431.7804152990589
3136,CNCC(=O)O,CHON,carboxylic_acid,463.92,464.5233067191059
910,CC(=O)C1CCCC1,CHO,ketone,431.65,433.8786251400751
6964,CC(CC1=CC(=CC=C1)O)N,CHON,alcohol,282.65,482.07797085253617
2693,C1=CC(=CC(=C1)CN)CN,CHN,aromatic,520.15,481.01783398412056
10303,CCC(CC(C)C(C)C)C(C)C,CH,alkane,466.15,466.69529682179416
4197,CC(=O)C1(CC1)C,CHO,ketone,399.15,404.547165717256
325,CCC(=C(C)C)C,CH,alkene,370.65,373.8577248620271
6077,C1CCC#C/C=C\C1,CH,alkene,415.02,427.565724337314
7096,CC1(C2CCC1CC2)C,CH,alkane,418.84,422.20126695848353
3530,CCCC1N(O1)C,CHON,ester,355.86,367.3840523160728
2202,C=C/C=C/C#N,CHN,alkene,409.65,407.67236953647625
7074,CC1CCCC(C1C)C,CH,alkane,415.15,421.1905977579213
8367,CCCCOCCOC(C)(C)C,CHO,ester,470.01,462.7014223818058
2757,CC1=CC2=C(C=C1)C=CC(=N2)C,CHN,aromatic,537.65,548.4711599595358
7592,CCCCCC(C)C(C)O,CHO,alcohol,496.82,483.46238834863584
9426,CCCC(C)C(C)(C)C(C)C,CH,alkane,455.15,442.6569104782312
9071,CC(=CCC/C(=C\C(=O)O)/C)C,CHO,alkene,581.99,547.9508729918371
2983,CC(C)NC(C)C,CHN,amine,357.04999999999995,348.82106417744126
10463,CCCCCCC(C)CC(C)C,CH,alkane,473.15,465.91312470477885
2440,CCNCC1=CC=CC=C1,CHN,aromatic,467.15,426.6632836634595
6037,CCOC(C(C)C)OCC,CHO,ester,408.65,439.07381849629047
2947,COC1=NC=CN=C1,CHON,ester,334.15,362.8822897931515
5940,C=C1C(=C)C(=C)C1=C,CH,alkene,394.96,396.3598308809562
11045,CC1(CC(=CC(=O)C1)N2CCCC2)C,CHON,ketone,594.03,575.9201974451248
1209,C1=CC=C(C=C1)CC=O,CHO,aromatic,468.15,444.16758883616694
994,CC(C(CO)O)O,CHO,alcohol,443.15,517.3710261522103
6352,COC1=CC(=CC(=C1O)OC)O,CHO,ester,452.15,512.2786448663697
10103,CCCCCCCC(=O)NCC(C)O,CHON,alcohol,647.06,630.1874764770083
9709,CCCCCOC(=O)CCC(C)C,CHO,ester,509.06,498.42199844947345
39,C1CC2CC1C=C2,CH,alkene,369.15,377.0500662369199
11043,CC(C)(C)OC(=O)C#CC(=O)OC(C)(C)C,CHO,ester,593.14,556.9059683215766
6894,CC(CCO)OC(C)CCO,CHO,ester,588.54,582.7587761922916
1783,CC1=C(C=C(C=C1)O)O,CHO,aromatic,541.65,509.88390134078236
5632,CCC1=C(CCC1=O)O,CHO,alkene,548.83,509.86139081701225
9422,CCCCC(C)C(C)CCC,CH,alkane,455.15,446.7459120469258
10666,CC1(CCC(CC1)C(C)(C)OC)OC,CHO,ester,504.15,541.1932009217091
7292,CCCCCCC(OC)OC,CHO,ester,455.15,445.97798154903114
7912,COC(=O)C1C(C1C(=O)OC)C(=O)OC,CHO,ester,577.58,543.1775843990275
9584,CCCN1C2CCCC1CCC2,CHN,amine,485.74,489.0586313848644
983,CCCC(=O)C(=O)CCC,CHO,ketone,441.15,458.9629809223952
3723,C1CN1CCC#N,CHN,amine,435.66,446.6905236473167
8869,COC1(C=CC(C=C1)(OC)OC)OC,CHO,ester,531.76,531.3600929077661
5749,CCC(CC)(C(=O)O)C(=O)O,CHO,alcohol,647.55,622.761074987929
4994,CN1CCC(=C)CC1,CHN,alkene,391.31,432.559085545255
5832,C(C(C(CC(=O)O)C(=O)O)C(=O)O)C(=O)O,CHO,alcohol,380.15,672.6032239341481
1771,C1CC(OC1CO)CO,CHO,ester,538.15,524.0678405187673
2718,C1CCC(CC1)NC2CCCCC2,CHN,amine,528.95,512.1238782635656
9413,C1C2C3CC4C1C5C2CC3C45,CH,alkane,453.89,445.2895139927946
778,CC(=CCO)C,CHO,alkene,413.15,397.26573609877937
9571,C1CC23CCC2(C1)CC=CC3,CH,alkene,484.35,485.5312620308015
10498,CCC(C)(C(C)C)C(C)C(C)C,CH,alkane,474.15,469.36511363269267
1094,CC(=O)C1CCCCC1,CHO,ketone,453.65,453.9079274235795
10191,CCC(C1=CC2=C(C=C1)OCO2)OC(=O)C,CHO,ester,433.65,508.45479912889584
9928,CC(C)C1CCC(CC1)C(C)O,CHO,alcohol,557.46,537.1495656732288
682,CC(=O)C1(CCCCC1)O,CHO,alcohol,398.65,518.7176927572892
6323,CCC1=NC=CC(=C1)C,CHN,aromatic,447.15,444.0973649019328
8594,C1C(O1)CCCCCCC2CO2,CHO,ester,495.78,479.7267375058573
8647,CC(C)(C)C1C(=O)N1C(C)(C)C,CHON,amide,504.67,501.4962716860426
4174,C/C=C(\C)/OC(=O)C,CHO,ester,393.15,429.34183519136263
9096,CC(C)C1CCC(CC1)C(=O)O,CHO,alcohol,588.35,582.3164497247479
2525,CCN(CC)C1=CC=CC=C1C,CHN,aromatic,482.15,492.5360428069812
10931,CC(=O)OC1CCC2CCCCC2C1,CHO,ester,558.27,546.2945500525453
7954,CCC(CO)(CO)COCC=C,CHO,ester,605.75,538.455743755751
4540,CC(C)(CC(=O)OC)O,CHO,ester,484.05,474.89358315827747
6313,CCC(C)C(OC)(OC)OC,CHO,ester,446.23,459.2758853642668
3134,CC(=O)NC(=O)N,CHON,amide,458.15,490.64256304842513
8558,CC(C)C1CCC(OC1=O)(C)C,CHO,ester,492.76,490.2795638441859
8646,CC(=O)/C=C/C1CCCCC1,CHO,alkene,504.15,480.7632666495993
7242,CCCCCC(C)OC(=O)C,CHO,ester,445.15,458.4749617873838
7818,CC(C)(C)OC(=O)/C=C/C(=O)OOC,CHO,ester,545.31,541.9577172304803
4933,CCC#CCC=C,CH,alkene,380.15,375.53888827980813
3159,C(C(CO)N)O,CHON,alcohol,524.69,498.66897500821995
5247,CCN(CC)C(C)CO,CHON,alcohol,439.15,436.4768196819034
7682,CCCCCCNC(=O)CC,CHON,amide,509.56,533.9074786043525
4691,CC(NC(=O)C)NC(=O)C,CHON,amide,544.52,555.6885276623731
117,CC(C)(C)CC(C)(C)C,CH,alkane,395.35,401.58628148949003
1250,CCCCCC(CC)(CC)O,CHO,alcohol,472.15,491.7073170491352
