,SMIELS,Atom2,Func. Group,Actual,Predict
8381,CC(C)CCC1=CC=CC=N1,CHN,aromatic,473.15,467.6161
11001,C1CCC(CC1)C(=O)N2CCC=CC2,CHON,amide,579.13,546.86456
7968,CN(CCCNC=O)CCCNC=O,CHON,amide,615.62,614.1332
9910,C1CC23CCCC2(C1)C(=O)CC3,CHO,ketone,553.01,527.90814
8839,CCCCNCCNCCCC,CHN,amine,528.74,540.38696
5881,CC#CC1(CC1)C#C,CH,alkyne,388.74,391.7372
7296,CC(C)CC1=CC=CC=N1,CHN,aromatic,455.65,461.63272
3785,C/C(=C/C(=O)C)/O,CHO,alkene,464.09,442.20456
4247,CC(=O)/C=C/N(C)C,CHON,ketone,407.35,408.16516
7616,CC(CC=C)/C=C(\C)/CO,CHO,alkene,497.98,488.95612
6406,C1CCC2(C(C1)O2)C3CO3,CHO,ester,461.27,442.9481
1059,CCCCCCCO,CHO,alcohol,449.55,449.4514
7759,C#CCOCC(COCC#C)O,CHO,ester,522.34,556.0007
438,CCCC(C)C(C)CCC,CH,alkane,435.3,434.8388
6345,C(COCCOC(=O)/C=C\C(=O)O)O,CHO,carboxylic_acid,451.65,549.7152
747,CCCCC(C)O,CHO,alcohol,409.15,423.5407
7556,CC(=O)OC1CN2CCC1CC2,CHON,ester,493.93,472.65762
10284,CCCC(C)CC(C)C(C)(C)C,CH,alkane,465.15,469.40555
2835,CC1=NN(C(=O)C1)C2=CC=CC=C2,CHON,aromatic,560.15,513.9318
3716,CC(C)(C(=O)OC)N=O,CHON,ester,432.39,412.34082
1852,C1=CC(=CC=C1O)O,CHO,aromatic,559.15,529.9498
6031,COC1=CC=CC(=C1O)CO,CHO,ester,408.15,451.9261
9526,C1CC1C=C(C2CC2)C3CC3,CH,alkene,475.54,476.76697
8643,CN(C)CCCNCCCN(C)C,CHN,amine,503.45,509.48
10617,CC#CCCCCCCC#CC,CH,alkyne,492.16,493.259
7241,CCCCCCCN(C)C,CHN,amine,445.15,430.93027
3136,CNCC(=O)O,CHON,carboxylic_acid,463.92,487.96503
910,CC(=O)C1CCCC1,CHO,ketone,431.65,421.2564
6964,CC(CC1=CC(=CC=C1)O)N,CHON,alcohol,282.65,376.77188
2693,C1=CC(=CC(=C1)CN)CN,CHN,aromatic,520.15,510.39822
10303,CCC(CC(C)C(C)C)C(C)C,CH,alkane,466.15,470.0023
4197,CC(=O)C1(CC1)C,CHO,ketone,399.15,398.7804
325,CCC(=C(C)C)C,CH,alkene,370.65,374.25635
6077,C1CCC#C/C=C\C1,CH,alkene,415.02,411.5502
7096,CC1(C2CCC1CC2)C,CH,alkane,418.84,415.41214
3530,CCCC1N(O1)C,CHON,ester,355.86,382.97824
2202,C=C/C=C/C#N,CHN,alkene,409.65,391.58127
7074,CC1CCCC(C1C)C,CH,alkane,415.15,410.77774
8367,CCCCOCCOC(C)(C)C,CHO,ester,470.01,469.44446
2757,CC1=CC2=C(C=C1)C=CC(=N2)C,CHN,aromatic,537.65,534.0198
7592,CCCCCC(C)C(C)O,CHO,alcohol,496.82,472.0783
9426,CCCC(C)C(C)(C)C(C)C,CH,alkane,455.15,448.89087
9071,CC(=CCC/C(=C\C(=O)O)/C)C,CHO,alkene,581.99,541.6235
2983,CC(C)NC(C)C,CHN,amine,357.04999999999995,374.8727
10463,CCCCCCC(C)CC(C)C,CH,alkane,473.15,471.65887
2440,CCNCC1=CC=CC=C1,CHN,aromatic,467.15,467.99573
6037,CCOC(C(C)C)OCC,CHO,ester,408.65,426.88364
2947,COC1=NC=CN=C1,CHON,ester,334.15,384.17947
5940,C=C1C(=C)C(=C)C1=C,CH,alkene,394.96,396.04944
11045,CC1(CC(=CC(=O)C1)N2CCCC2)C,CHON,ketone,594.03,561.0327
1209,C1=CC=C(C=C1)CC=O,CHO,aromatic,468.15,481.7018
994,CC(C(CO)O)O,CHO,alcohol,443.15,501.46103
6352,COC1=CC(=CC(=C1O)OC)O,CHO,ester,452.15,488.84164
10103,CCCCCCCC(=O)NCC(C)O,CHON,alcohol,647.06,602.55255
9709,CCCCCOC(=O)CCC(C)C,CHO,ester,509.06,506.16193
39,C1CC2CC1C=C2,CH,alkene,369.15,386.8428
11043,CC(C)(C)OC(=O)C#CC(=O)OC(C)(C)C,CHO,ester,593.14,557.9857
6894,CC(CCO)OC(C)CCO,CHO,ester,588.54,572.572
1783,CC1=C(C=C(C=C1)O)O,CHO,aromatic,541.65,546.91943
5632,CCC1=C(CCC1=O)O,CHO,alkene,548.83,520.94415
9422,CCCCC(C)C(C)CCC,CH,alkane,455.15,450.00995
10666,CC1(CCC(CC1)C(C)(C)OC)OC,CHO,ester,504.15,515.2672
7292,CCCCCCC(OC)OC,CHO,ester,455.15,458.08148
7912,COC(=O)C1C(C1C(=O)OC)C(=O)OC,CHO,ester,577.58,559.5576
9584,CCCN1C2CCCC1CCC2,CHN,amine,485.74,482.55798
983,CCCC(=O)C(=O)CCC,CHO,ketone,441.15,464.26935
3723,C1CN1CCC#N,CHN,amine,435.66,436.17368
8869,COC1(C=CC(C=C1)(OC)OC)OC,CHO,ester,531.76,527.7958
5749,CCC(CC)(C(=O)O)C(=O)O,CHO,alcohol,647.55,629.74347
4994,CN1CCC(=C)CC1,CHN,alkene,391.31,376.85263
5832,C(C(C(CC(=O)O)C(=O)O)C(=O)O)C(=O)O,CHO,alcohol,380.15,463.30017
1771,C1CC(OC1CO)CO,CHO,ester,538.15,552.5137
2718,C1CCC(CC1)NC2CCCCC2,CHN,amine,528.95,520.3517
9413,C1C2C3CC4C1C5C2CC3C45,CH,alkane,453.89,474.31107
778,CC(=CCO)C,CHO,alkene,413.15,408.20346
9571,C1CC23CCC2(C1)CC=CC3,CH,alkene,484.35,482.35458
10498,CCC(C)(C(C)C)C(C)C(C)C,CH,alkane,474.15,470.0023
1094,CC(=O)C1CCCCC1,CHO,ketone,453.65,447.85275
10191,CCC(C1=CC2=C(C=C1)OCO2)OC(=O)C,CHO,ester,433.65,495.9433
9928,CC(C)C1CCC(CC1)C(C)O,CHO,alcohol,557.46,538.2238
682,CC(=O)C1(CCCCC1)O,CHO,alcohol,398.65,521.4577
6323,CCC1=NC=CC(=C1)C,CHN,aromatic,447.15,462.45932
8594,C1C(O1)CCCCCCC2CO2,CHO,ester,495.78,480.25208
8647,CC(C)(C)C1C(=O)N1C(C)(C)C,CHON,amide,504.67,510.67685
4174,C/C=C(\C)/OC(=O)C,CHO,ester,393.15,407.0255
9096,CC(C)C1CCC(CC1)C(=O)O,CHO,alcohol,588.35,573.69336
2525,CCN(CC)C1=CC=CC=C1C,CHN,aromatic,482.15,481.65005
10931,CC(=O)OC1CCC2CCCCC2C1,CHO,ester,558.27,522.3053
7954,CCC(CO)(CO)COCC=C,CHO,ester,605.75,606.86835
4540,CC(C)(CC(=O)OC)O,CHO,ester,484.05,479.41818
6313,CCC(C)C(OC)(OC)OC,CHO,ester,446.23,458.6963
3134,CC(=O)NC(=O)N,CHON,amide,458.15,524.54944
8558,CC(C)C1CCC(OC1=O)(C)C,CHO,ester,492.76,474.29373
8646,CC(=O)/C=C/C1CCCCC1,CHO,alkene,504.15,486.5763
7242,CCCCCC(C)OC(=O)C,CHO,ester,445.15,460.0875
7818,CC(C)(C)OC(=O)/C=C/C(=O)OOC,CHO,ester,545.31,528.3219
4933,CCC#CCC=C,CH,alkene,380.15,362.16318
3159,C(C(CO)N)O,CHON,alcohol,524.69,504.06302
5247,CCN(CC)C(C)CO,CHON,alcohol,439.15,438.4432
7682,CCCCCCNC(=O)CC,CHON,amide,509.56,537.093
4691,CC(NC(=O)C)NC(=O)C,CHON,amide,544.52,569.16064
117,CC(C)(C)CC(C)(C)C,CH,alkane,395.35,410.77774
1250,CCCCCC(CC)(CC)O,CHO,alcohol,472.15,496.5647
9374,CCCC(C)(C)C(C)C(C)C,CH,alkane,451.15,448.89087
3676,CCC(=O)NCC,CHON,amide,418.04,449.13007
8900,C1CN(CCN1CC2CO2)CC3CO3,CHON,ester,536.34,509.75186
4720,CCC(C)C(C(=O)O)N,CHON,carboxylic_acid,554.04,556.99036
4042,C/C=C\OC(C)C,CHO,ester,363.02,369.8573
4996,CCC1=CC=C(O1)C,CHO,aromatic,391.65,419.3124
4676,CC(CC(=O)C)C(=O)O,CHO,carboxylic_acid,535.82,525.2598
10193,CCOC(=O)C(C1=CC(=C(C=C1)OC)OC)O,CHO,ester,438.15,478.9
7957,CCC1(C(=O)C=CNC1=O)CC,CHON,amide,608.66,560.22656
