,MAE,MAPE(%),RMSE,R2,Radius,nBits,Model
0,0.0,0.0,0.0,0.0,0,0,0
1,23.162016563626107,5.14300128722602,36.56458170331194,0.7573906486261968,r= 2,n= 4096,Ridge
2,28.035882416842078,6.268982142813523,46.41728621525803,0.605853773489736,r= 2,n= 4096,Ridge
3,24.136964143496474,5.368237751091975,38.73650806860353,0.7272766618657269,r= 2,n= 4096,Ridge
4,36.449480825478496,7.57068270911529,50.2635528573528,0.5415492534568188,r= 2,n= 4096,KNN
5,39.9784121543573,8.288603429752921,55.54709125634364,0.43555643638377106,r= 2,n= 4096,KNN
6,37.15539337256858,7.714292543732014,51.36395303727675,0.5204893605902311,r= 2,n= 4096,KNN
7,18.53421507135315,4.066593024134515,30.257464551611427,0.833868730381164,r= 2,n= 4096,RF
8,27.17629130034351,5.973453940509872,44.499614572418885,0.6377483434240134,r= 2,n= 4096,RF
9,20.26293957019216,4.448033443620586,33.59304344929645,0.7948931944837516,r= 2,n= 4096,RF
10,20.4754551752625,4.528384223124922,30.447606044786948,0.8317741926588225,r= 2,n= 4096,XGB
11,26.91584985189967,5.9821046191044145,43.87137272836405,0.6479046183288837,r= 2,n= 4096,XGB
12,21.76376457738817,4.819180323090046,33.565168556837016,0.7952334410045616,r= 2,n= 4096,XGB
