,MAE,MAPE(%),RMSE,R2,Radius,nBits,Model
0,0.0,0.0,0.0,0.0,0,0,0
1,20.25974833059251,4.487631330994015,30.155544549621002,0.8349860468732647,r= 2,n= 1024,XGB
2,27.15546859030845,6.0306332286816025,43.815607788669205,0.6487991469356305,r= 2,n= 1024,XGB
3,21.639139142967252,4.796286926201517,33.33891344050161,0.7979847058066305,r= 2,n= 1024,XGB
4,18.11061876385229,4.022195719632086,26.656995183304826,0.8710537534983368,r= 3,n= 1024,XGB
5,27.30345133769846,6.050566721675163,43.97510881464192,0.6462375549469619,r= 3,n= 1024,XGB
6,19.949514240245207,4.4279425044386995,30.90763861957477,0.8263746961592618,r= 3,n= 1024,XGB
7,20.318758488028536,4.500253054809584,29.588215666317453,0.8411365942121876,r= 4,n= 1024,XGB
8,28.004738024055058,6.191998125776212,44.34168401354607,0.6403150661242376,r= 4,n= 1024,XGB
9,21.856229434759197,4.838662607384409,33.070319386504764,0.8012266551516186,r= 4,n= 1024,XGB
10,17.586370795301054,3.9084384284593265,25.671819287176984,0.8804086931687856,r= 5,n= 1024,XGB
11,27.3667274242771,6.068984488032802,44.31750701772377,0.6407071906270676,r= 5,n= 1024,XGB
12,19.542792107019647,4.340624954600523,30.33296604200405,0.83277118006079,r= 5,n= 1024,XGB
13,20.451915251592077,4.518686024149713,30.261616609689064,0.8338231327729095,r= 2,n= 2048,XGB
14,26.938284426907185,5.975769615925889,43.4110498619781,0.6552546163496812,r= 2,n= 2048,XGB
15,21.74942119863131,4.810154883624711,33.309921469953174,0.7983359035074442,r= 2,n= 2048,XGB
16,18.4790883387298,4.0939233528921335,27.144738492872044,0.8662919232554225,r= 3,n= 2048,XGB
17,26.87161337549964,5.973301320177568,43.680916413998276,0.6509550462170319,r= 3,n= 2048,XGB
18,20.15789366904089,4.469866199094516,31.162731979283848,0.823496867989166,r= 3,n= 2048,XGB
19,21.00754653307644,4.6429436019247285,30.812212588499545,0.8277211004583354,r= 4,n= 2048,XGB
20,27.507392412008926,6.1068100007977755,43.640356736695075,0.6516029528581382,r= 4,n= 2048,XGB
21,22.307748303097288,4.935769265538982,33.770464615262206,0.7927209360502568,r= 4,n= 2048,XGB
22,21.71249271878844,4.823306436765748,31.87674191837372,0.8156113560658816,r= 5,n= 2048,XGB
23,28.18601578082199,6.2744651219881735,44.92982846586841,0.6307101234076513,r= 5,n= 2048,XGB
24,23.00742898347864,5.113590102909722,34.88087031232015,0.7788657604255198,r= 5,n= 2048,XGB
25,18.845942056695012,4.1723541308612955,28.058328298181745,0.8571402444803927,r= 2,n= 4096,XGB
26,26.29351562223977,5.85318740087187,43.29387588383939,0.6571131602620901,r= 2,n= 4096,XGB
27,20.335723278072546,4.5085809327707285,31.69742368666638,0.8173880066414865,r= 2,n= 4096,XGB
28,20.449313776197474,4.515871852917466,30.044197091725167,0.8362024044130879,r= 3,n= 4096,XGB
29,27.13956592020052,6.028274007032305,43.74023967821031,0.650006323135847,r= 3,n= 4096,XGB
30,21.787603612840062,4.818406404411543,33.238545377408975,0.7991992242804198,r= 3,n= 4096,XGB
31,25.1268768698529,5.570763967267762,36.82291620637703,0.7539503922136495,r= 4,n= 4096,XGB
32,28.71543625435872,6.377867607067106,44.71264654432656,0.6342716434399278,r= 4,n= 4096,XGB
33,25.84471716183313,5.732213577089854,38.53062286730441,0.7301680159839907,r= 4,n= 4096,XGB
34,20.55388529863351,4.5364586588767155,30.040448303168628,0.8362432778131144,r= 5,n= 4096,XGB
35,27.312295728482432,6.0625296394843,43.964712635621204,0.6464048015133037,r= 5,n= 4096,XGB
36,21.90580923146069,4.841727464802513,33.29502806233253,0.7985161977867367,r= 5,n= 4096,XGB
