,Name,SMILES,Tb,C Atom,Atom,Count Unique Atom,Pass Screen,Atom2,Func. Group
0,n-butane,CCCC,272.65,4,"[1, 6]",2,True,CH,alkane
1,"1,3-Butadiene",C=CC=C,268.75,4,"[1, 6]",2,True,CH,alkene
2,Spiro[2.2]pentane,C1CC12CC2,312.15,5,"[1, 6]",2,True,CH,alkane
3,Cyclobutene,C1CC=C1,275.15,4,"[1, 6]",2,True,CH,alkene
4,Bicyclo[2.1.0]pentane,C1CC2C1C2,318.65,5,"[1, 6]",2,True,CH,alkane
5,"1,1-Dimethylcyclopropane",CC1(CC1)C,293.75,5,"[1, 6]",2,True,CH,alkane
6,Cyclopentadiene,C1C=CC=C1,314.15,5,"[1, 6]",2,True,CH,alkene
7,Methylenecyclobutane,C=C1CCC1,315.35,5,"[1, 6]",2,True,CH,alkene
8,"Cyclobutene,1-methyl-",CC1=CCC1,310.15,5,"[1, 6]",2,True,CH,alkene
9,Cyclopentene,C1CC=CC1,317.35,5,"[1, 6]",2,True,CH,alkene
10,"trans-1,2-Dimethylcyclopropane",CC1CC1C,301.35,5,"[1, 6]",2,True,CH,alkane
11,Ethylcyclopropane,CCC1CC1,309.05,5,"[1, 6]",2,True,CH,alkane
12,Methylcyclobutane,CC1CCC1,309.45,5,"[1, 6]",2,True,CH,alkane
13,Cyclopentane,C1CCCC1,322.45,5,"[1, 6]",2,True,CH,alkane
14,"3,3-Dimethyl-1-butyne",CC(C)(C)C#C,310.85,6,"[1, 6]",2,True,CH,alkyne
15,"1-Pentyne,3-methyl-",CCC(C)C#C,330.85,6,"[1, 6]",2,True,CH,alkyne
16,4-Methyl-1-pentyne,CC(C)CC#C,334.35,6,"[1, 6]",2,True,CH,alkyne
17,"2-Pentyne,4-methyl-",CC#CC(C)C,346.25,6,"[1, 6]",2,True,CH,alkyne
18,"1,3-Hexadien-5-yne",C=CC=CC#C,356.65,6,"[1, 6]",2,True,CH,alkene
19,"1,5-Hexadien-3-yne",C=CC#CC=C,358.15,6,"[1, 6]",2,True,CH,alkene
20,1-Hexyne,CCCCC#C,344.45,6,"[1, 6]",2,True,CH,alkyne
21,3-Hexyne,CCC#CCC,354.15,6,"[1, 6]",2,True,CH,alkyne
22,2-Hexyne,CCCC#CC,357.65,6,"[1, 6]",2,True,CH,alkyne
23,"2,3-Dimethyl-1,3-butadiene",CC(=C)C(=C)C,341.95,6,"[1, 6]",2,True,CH,alkene
24,"3,3-Dimethyl-1-butene",CC(C)(C)C=C,314.35,6,"[1, 6]",2,True,CH,alkene
25,"2,3-Dimethyl-1-butene",CC(C)C(=C)C,328.75,6,"[1, 6]",2,True,CH,alkene
26,"1-Pentyne,3,3-dimethyl-",CCC(C)(C)C#C,343.15,7,"[1, 6]",2,True,CH,alkyne
27,"1-Pentyne,4,4-dimethyl-",CC(C)(C)CC#C,349.25,7,"[1, 6]",2,True,CH,alkyne
28,"2,3-DIMETHYL-2-BUTENE",CC(=C(C)C)C,346.45,6,"[1, 6]",2,True,CH,alkene
29,"2-Pentyne,4,4-dimethyl-",CC#CC(C)(C)C,356.15,7,"[1, 6]",2,True,CH,alkyne
30,"1-Pentyne,3-ethyl-",CCC(CC)C#C,357.15,7,"[1, 6]",2,True,CH,alkyne
31,5-Methyl-1-hexyne,CC(C)CCC#C,365.15,7,"[1, 6]",2,True,CH,alkyne
32,2-Methyl-3-hexyne,CCC#CC(C)C,368.35,7,"[1, 6]",2,True,CH,alkyne
33,5-Methyl-2-hexyne,CC#CCC(C)C,375.65,7,"[1, 6]",2,True,CH,alkyne
34,1-Heptyne,CCCCCC#C,372.85,7,"[1, 6]",2,True,CH,alkyne
35,3-Heptyne,CCCC#CCC,380.35,7,"[1, 6]",2,True,CH,alkyne
36,2-Heptyne,CCCCC#CC,385.15,7,"[1, 6]",2,True,CH,alkyne
37,"Tricyclo[4.1.0.0(2,4)]heptane",C1C2CC2C3C1C3,378.15,7,"[1, 6]",2,True,CH,alkane
38,"Bicyclo[2.2.1]hepta-2,5-diene,(Norbornadiene)",C1C2C=CC1C=C2,362.65,7,"[1, 6]",2,True,CH,alkene
39,Bicyclo[2.2.1]hept-2-ene,C1CC2CC1C=C2,369.15,7,"[1, 6]",2,True,CH,alkene
40,Bicyclo[4.1.0]hept-3-ene,C1C=CCC2C1C2,398.15,7,"[1, 6]",2,True,CH,alkene
41,Cyclooctatetraene,C1=CC=CC=CC=C1,413.65,8,"[1, 6]",2,True,CH,alkene
42,"Bicyclo[3.1.0]hexane,1-methyl-",CC12CCCC1C2,366.25,7,"[1, 6]",2,True,CH,alkane
43,Bicyclo[2.2.1]heptane,C1CC2CCC1C2,378.45,7,"[1, 6]",2,True,CH,alkane
44,Bicyclo[4.1.0]heptene,C1CCC2CC2C1,389.65,7,"[1, 6]",2,True,CH,alkane
45,"4,4-Dimethylcyclopentene",CC1(CC=CC1)C,361.15,7,"[1, 6]",2,True,CH,alkene
46,"trans-1,2-Divinylcyclobutane",C=CC1CCC1C=C,385.65,8,"[1, 6]",2,True,CH,alkene
47,"Cyclopentene,1,3-dimethyl-",CC1CCC(=C1)C,365.15,7,"[1, 6]",2,True,CH,alkene
48,"1,4-Dimethylcyclopentene",CC1CC=C(C1)C,366.35,7,"[1, 6]",2,True,CH,alkene
49,4-Vinyl-1-Cyclohexene,C=CC1CCC=CC1,401.15,8,"[1, 6]",2,True,CH,alkene
50,"1,5-Cyclooctadiene",C1CC=CCCC=C1,423.95,8,"[1, 6]",2,True,CH,alkene
51,"2,5-Dimethyl-1,5-hexadiene",CC(=C)CCC(=C)C,387.45,8,"[1, 6]",2,True,CH,alkene
52,"1,7-Octadiene",C=CCCCCC=C,388.65,8,"[1, 6]",2,True,CH,alkene
53,1-Ethylcyclohexene,CCC1=CCCCC1,410.15,8,"[1, 6]",2,True,CH,alkene
54,"2,2-Dimethylhexane",CC(=CC(C)(C)C)C,379.95,8,"[1, 6]",2,True,CH,alkene
55,"2,4,4-Trimethyl-1-pentene",CC(=C)CC(C)(C)C,374.55,8,"[1, 6]",2,True,CH,alkene
56,"2,3,3-Trimethyl-1-pentene",CCC(C)(C)C(=C)C,381.45,8,"[1, 6]",2,True,CH,alkene
57,"2,3,4-Trimethyl-2-pentene",CC(C)C(=C(C)C)C,389.65,8,"[1, 6]",2,True,CH,alkene
58,"(E)-2,2-Dimethyl-3-hexene",CC/C=C/C(C)(C)C,373.95,8,"[1, 6]",2,True,CH,alkene
59,"1,2-Dimethylcyclopentene",CC1=C(CCC1)C,378.95,7,"[1, 6]",2,True,CH,alkene
60,"5,5-Dimethyl-1-hexene",CC(C)(C)CCC=C,377.15,8,"[1, 6]",2,True,CH,alkene
61,"3,3-Dimethyl-1-hexene",CCCC(C)(C)C=C,377.15,8,"[1, 6]",2,True,CH,alkene
62,"(Z)-2,2-Dimethyl-3-hexene",CC/C=C\C(C)(C)C,378.65,8,"[1, 6]",2,True,CH,alkene
63,"(Z)-5,5-Dimethyl-2-hexene",C/C=C\CC(C)(C)C,380.05,8,"[1, 6]",2,True,CH,alkene
64,"4,5-Dimethyl-1-hexene",CC=CC(C)C(C)C,382.15,8,"[1, 6]",2,True,CH,alkene
65,"1,8-Nonadiyne",C#CCCCCCC#C,435.15,9,"[1, 6]",2,True,CH,alkyne
66,3-Ethyl-2-methyl-1-pentene,CCC(CC)C(=C)C,382.65,8,"[1, 6]",2,True,CH,alkene
67,"1,1-Dimethylcyclopentane",CC1(CCCC1)C,360.65,7,"[1, 6]",2,True,CH,alkane
68,"2,3-Dimethyl-1-hexene",CCCC(C)C(=C)C,383.65,8,"[1, 6]",2,True,CH,alkene
69,"2,5-Dimethyl-1-hexene",CC(C)CCC(=C)C,384.75,8,"[1, 6]",2,True,CH,alkene
70,"3,4-Dimethyl-1-hexene",CCC(C)C(C)C=C,385.15,8,"[1, 6]",2,True,CH,alkene
71,"2,5-Dimethyl-2-hexene",CC(C)CC=C(C)C,385.35,8,"[1, 6]",2,True,CH,alkene
72,2-Ethyl-3-methyl-1-pentene,CCC(C)C(=C)CC,385.65,8,"[1, 6]",2,True,CH,alkene
73,"2,3-Dimethyl-2-hexene",CCCC(=C(C)C)C,394.95,8,"[1, 6]",2,True,CH,alkene
74,3-Ethyl-1-hexene,CCCC(CC)C=C,383.45,8,"[1, 6]",2,True,CH,alkene
75,"3-Heptyne,2,6-dimethyl-",CC(C)CC#CC(C)C,403.75,9,"[1, 6]",2,True,CH,alkyne
76,3-Methyl-1-heptene,CCCCC(C)C=C,384.15,8,"[1, 6]",2,True,CH,alkene
77,4-Methyl-1-heptene,CCCC(C)CC=C,385.95,8,"[1, 6]",2,True,CH,alkene
78,1-Nonyne,CCCCCCCC#C,423.95,9,"[1, 6]",2,True,CH,alkyne
79,6-Methyl-1-heptene,CC(C)CCCC=C,386.35,8,"[1, 6]",2,True,CH,alkene
80,5-Methyl-1-heptene,CCC(C)CCC=C,386.45,8,"[1, 6]",2,True,CH,alkene
81,2-Propyl-1-pentene,CCCC(=C)CCC,390.85,8,"[1, 6]",2,True,CH,alkene
82,4-Nonyne,CCCCC#CCCC,425.15,9,"[1, 6]",2,True,CH,alkyne
83,2-Methyl-1-heptene,CCCCCC(=C)C,392.45,8,"[1, 6]",2,True,CH,alkene
84,3-Nonyne,CCCCCC#CCC,430.25,9,"[1, 6]",2,True,CH,alkyne
85,2-Ethyl-1-hexene,CCCCC(=C)CC,393.15,8,"[1, 6]",2,True,CH,alkene
86,"Propyne,3-cyclohexyl-",C#CCC1CCCCC1,430.65,9,"[1, 6]",2,True,CH,alkyne
