,MAE,MAPE(%),RMSE,R2,Radius,nBits,Model
0,0.0,0.0,0.0,0.0,0,0,0
1,25.151994480469842,6.171913138828415,33.16643123739147,0.7612547285936155,r= 2,n= 255,CB
2,33.945808574872814,7.835790884208728,43.56880998168409,0.5825248165772041,r= 2,n= 255,CB
3,26.910757299350436,6.504688687904478,35.49166056221817,0.7260457396607507,r= 2,n= 255,CB
4,26.069143179487305,6.424388209104727,34.30805418456587,0.7445361418384128,r= 2,n= 511,CB
5,33.48631171020208,7.737671409683007,43.35270122797283,0.5866560420208001,r= 2,n= 511,CB
6,27.55257688563026,6.687044849220383,36.29773279830658,0.7134605528562625,r= 2,n= 511,CB
7,29.170373312573844,7.1829464503992675,38.16263010995987,0.6839077206617763,r= 2,n= 1023,CB
8,34.77857697958434,8.087193642594052,44.663129250907645,0.5612899694216325,r= 2,n= 1023,CB
9,30.292014045975943,7.363795888838225,39.54830075267898,0.659841696899075,r= 2,n= 1023,CB
10,33.13950236962505,8.166646720412608,42.84718517175994,0.6015426107897213,r= 2,n= 2047,CB
11,36.27029081049136,8.49913410605346,45.84469958559169,0.5377706368164136,r= 2,n= 2047,CB
12,33.765660057798314,8.233144197540776,43.463229490376094,0.5891631355557239,r= 2,n= 2047,CB
13,28.131452941780584,6.927732395343998,36.70773675523735,0.7075494049599718,r= 2,n= 4095,CB
14,33.74188072111091,7.826541334511869,43.66564113336483,0.5806670874163361,r= 2,n= 4095,CB
15,29.25353849764665,7.107494183177572,38.20083759907632,0.6826261129782125,r= 2,n= 4095,CB
16,28.53142652567286,7.012958600743718,36.98939536118644,0.7030442378432702,r= 2,n= 8191,CB
17,33.93267052988341,7.8788012630069915,43.84543139190439,0.5772068298122099,r= 2,n= 8191,CB
18,29.61167532651497,7.186127133196372,38.45850577099126,0.6783302413876633,r= 2,n= 8191,CB
19,21.50558835481155,5.327318921171733,28.822187959055558,0.819701885808375,r= 3,n= 255,CB
20,31.842647155480158,7.283978558819884,42.20127308214589,0.608320922551304,r= 3,n= 255,CB
21,23.573000114945277,5.718650848701364,31.949402262772804,0.7780010630489467,r= 3,n= 255,CB
22,28.72608170535755,7.0818178543084365,37.61793263670013,0.6928665338144855,r= 3,n= 511,CB
23,33.47529450689385,7.776807391574934,43.2540874381376,0.5885343588654728,r= 3,n= 511,CB
24,29.675924265664815,7.2208157617617355,38.81069827648889,0.6724117370707379,r= 3,n= 511,CB
25,25.508777996738846,6.301209999763724,33.5211847961493,0.7561200975110297,r= 3,n= 1023,CB
26,32.837602214793456,7.639814824627599,42.852359998091146,0.5961419372725498,r= 3,n= 1023,CB
27,26.974542840349766,6.568930964736501,35.58371559563831,0.7246227815127126,r= 3,n= 1023,CB
28,27.380855274624196,6.784334852756286,35.77551904552461,0.7222147516469657,r= 3,n= 2047,CB
29,33.372058936809225,7.762322164012805,42.57515264279764,0.6013500668283511,r= 3,n= 2047,CB
30,28.579096007061203,6.9799323150075905,37.234915534923125,0.6984730282968676,r= 3,n= 2047,CB
31,27.490576366876457,6.793248845787268,35.721121297010974,0.7230588709889902,r= 3,n= 4095,CB
32,33.2242161292316,7.737082292041872,42.86926956574458,0.5958231491072747,r= 3,n= 4095,CB
33,28.63730431934749,6.98201553503819,37.26061808387928,0.6980566080374012,r= 3,n= 4095,CB
34,31.394943444485754,7.750814106404993,40.41530751268717,0.6454895288276749,r= 3,n= 8191,CB
35,34.46855073827402,8.062648264130733,44.03095133493947,0.5736213932555545,r= 3,n= 8191,CB
36,32.009664903243404,7.8131809379501425,41.163850647965575,0.6314831013221938,r= 3,n= 8191,CB
37,28.232560339329943,6.964356157950172,37.42031268761139,0.6960850133004969,r= 4,n= 255,CB
38,32.40904227531256,7.533670021038221,43.16022458940365,0.5903182102749849,r= 4,n= 255,CB
39,29.067856726526465,7.078218930567781,38.63657384697096,0.6753445965278142,r= 4,n= 255,CB
40,22.327476435072697,5.544007836547081,29.838103093373952,0.806767704757164,r= 4,n= 511,CB
41,30.365567825852267,7.011773724226039,40.612471619018336,0.6372577771791774,r= 4,n= 511,CB
42,23.93509471322861,5.837561014082872,32.28195296399776,0.7733555854169218,r= 4,n= 511,CB
43,28.062989664772584,6.949904758501561,36.99804167512377,0.7029053941121639,r= 4,n= 1023,CB
44,33.16108478822335,7.730726149820493,43.67921036423651,0.5804064289649066,r= 4,n= 1023,CB
45,29.082608689462734,7.106069036765347,38.42731780704973,0.6788517466729173,r= 4,n= 1023,CB
46,26.960649069989262,6.685650821605152,35.21170230447976,0.7309014639070535,r= 4,n= 2047,CB
47,33.33775345139094,7.762754684307503,43.11067341518993,0.5912583611126633,r= 4,n= 2047,CB
48,28.2360699462696,6.9010715941456215,36.92691722586218,0.7034407150889181,r= 4,n= 2047,CB
49,28.57791395927793,7.081679357940107,37.379087659005116,0.6967542756198146,r= 4,n= 4095,CB
50,33.342567729916965,7.776742416578373,43.3600770468157,0.5865153813737223,r= 4,n= 4095,CB
51,29.530844713405735,7.22069196966776,38.64940118134859,0.6751289896919273,r= 4,n= 4095,CB
52,28.511154231759427,7.037998168076186,36.69477422451601,0.7077559134958404,r= 4,n= 8191,CB
53,33.30867967800529,7.7651848562355585,43.22647662073091,0.5890595012184586,r= 4,n= 8191,CB
54,29.470659321008597,7.1834355057080606,38.090823311121575,0.6844514858086888,r= 4,n= 8191,CB
55,27.979190236348384,6.9153113931179995,37.17828801517879,0.7000035833470577,r= 5,n= 255,CB
56,31.780374072473847,7.400357074883315,42.385175284613,0.6048998129417974,r= 5,n= 255,CB
57,28.739427003573475,7.012320529471062,38.2763725628898,0.6813697779105189,r= 5,n= 255,CB
58,27.479569296980593,6.819325354887897,36.72306338010155,0.70730513948878,r= 5,n= 511,CB
59,31.9041861717394,7.478610997078282,42.54493463047177,0.6019157551622931,r= 5,n= 511,CB
60,28.364492671932357,6.951182483325972,37.958938338122515,0.6866328018442434,r= 5,n= 511,CB
61,28.19629519329794,6.99028316917857,37.18463358349009,0.6999011681841552,r= 5,n= 1023,CB
62,33.2074555821995,7.759765467287627,43.490102228127995,0.5840318053672305,r= 5,n= 1023,CB
63,29.198527271078255,7.14417962880038,38.528371080975376,0.6771604626797647,r= 5,n= 1023,CB
64,26.892238725098956,6.664958093112151,35.18153587566599,0.7313623484427176,r= 5,n= 2047,CB
65,33.45984745257453,7.7927647024381095,42.81773302514738,0.5967943509156555,r= 5,n= 2047,CB
66,28.20576047059407,6.890519414977344,36.83563526721343,0.7049050698613231,r= 5,n= 2047,CB
67,31.39676509546713,7.7558748408518285,40.62380305168844,0.6418223783998147,r= 5,n= 4095,CB
68,34.816927189513564,8.136665852498599,44.64180727778698,0.5617087457509774,r= 5,n= 4095,CB
69,32.08079751427641,7.832033043181181,41.45856836543336,0.6261873257614158,r= 5,n= 4095,CB
70,30.327098147550213,7.485989644040238,39.04056496312539,0.6691969692465953,r= 5,n= 8191,CB
