,MAE,MAPE(%),RMSE,R2,Radius,nBits,Model
0,0,0,0,0,0,0,0
58,12.01686143,2.808895009,15.79433328,0.945857303,r= 5,n= 511,RF
79,12.1450071,2.830056564,15.98822973,0.944519796,r= 6,n= 1023,RF
43,12.3218772,2.855621023,16.15647715,0.943345993,r= 4,n= 1023,RF
64,12.53489731,2.899728027,16.50112511,0.94090314,r= 5,n= 2047,RF
28,13.22702592,3.084869869,17.48568576,0.933640572,r= 3,n= 2047,RF
60,16.12091112,3.717740358,23.69019448,0.877943005,r= 5,n= 511,RF
81,16.48417709,3.792057708,24.22456479,0.872374521,r= 6,n= 1023,RF
45,16.65045265,3.807450114,24.38624374,0.870665246,r= 4,n= 1023,RF
66,16.86608905,3.85022648,24.69542184,0.867364946,r= 5,n= 2047,RF
30,17.5778344,4.050507335,25.51062726,0.858463747,r= 3,n= 2047,RF
73,17.73101843,4.294385776,23.86127994,0.876426666,r= 6,n= 255,RF
70,18.04245184,4.361567286,23.33607814,0.881806653,r= 5,n= 8191,RF
46,18.64641925,4.520212168,25.21360791,0.862022814,r= 4,n= 2047,RF
76,18.71724683,4.525094472,25.00467731,0.864300015,r= 6,n= 511,RF
49,18.95702614,4.548549463,24.69517637,0.867638538,r= 4,n= 4095,RF
40,18.97672934,4.584838067,25.27168158,0.861386486,r= 4,n= 511,RF
85,19.33227563,4.681760172,26.07340416,0.852452191,r= 6,n= 4095,RF
52,19.54191879,4.72875193,26.25644963,0.850373232,r= 4,n= 8191,RF
61,19.92526914,4.811252223,26.58188981,0.846641095,r= 5,n= 1023,RF
67,20.07120686,4.856619793,26.97702353,0.842047918,r= 5,n= 4095,RF
55,20.32773251,4.930293034,27.28569258,0.838412688,r= 5,n= 255,RF
75,20.45944149,4.872645473,28.40548755,0.824519075,r= 6,n= 255,RF
72,20.8569718,4.97252168,28.32388315,0.825525883,r= 5,n= 8191,RF
7,21.26616758,5.137801444,28.39959153,0.824950256,r= 2,n= 1023,RF
48,21.2858006,5.087701832,29.41066657,0.81187992,r= 4,n= 2047,RF
78,21.45664364,5.1106304,29.46937153,0.811128179,r= 6,n= 511,RF
1,21.4850329,5.185964011,28.70401967,0.821177266,r= 2,n= 255,RF
42,21.63771748,5.152553568,29.67793882,0.808445265,r= 4,n= 511,RF
87,21.79803534,5.209756614,30.01229164,0.804104826,r= 6,n= 4095,RF
51,21.81210536,5.146423326,29.3670714,0.812437204,r= 4,n= 4095,RF
54,22.06399938,5.267214757,30.17024253,0.802037458,r= 4,n= 8191,RF
13,22.07152924,5.325755265,29.34464227,0.813106184,r= 2,n= 4095,RF
4,22.09071891,5.338510376,29.35119651,0.813022688,r= 2,n= 511,RF
19,22.12738865,5.361683447,28.94077998,0.818215121,r= 3,n= 255,RF
69,22.35893732,5.343161898,30.61432832,0.796166815,r= 5,n= 4095,RF
63,22.42067515,5.345972421,30.56278594,0.796852586,r= 5,n= 1023,RF
57,22.51574387,5.377241157,30.79722151,0.793724099,r= 5,n= 255,RF
9,23.94215583,5.716012196,32.37331896,0.772070849,r= 2,n= 1023,RF
3,24.149847,5.754484069,32.68369986,0.767679332,r= 2,n= 255,RF
21,24.20646149,5.779249879,32.11520529,0.775690935,r= 3,n= 255,RF
15,24.44002084,5.829502929,32.83880118,0.765469133,r= 2,n= 4095,RF
6,24.55991264,5.858130028,32.98086675,0.763435513,r= 2,n= 511,RF
25,25.43556551,6.174166316,33.68840534,0.753680837,r= 3,n= 1023,RF
88,25.8507397,6.269709238,34.06968548,0.748073681,r= 6,n= 8191,RF
22,25.94665619,6.462439581,33.77251199,0.752449378,r= 3,n= 511,RF
27,26.94745396,6.472020045,35.74981194,0.722045991,r= 3,n= 1023,RF
90,27.17802718,6.52151618,35.86742464,0.72021411,r= 6,n= 8191,RF
10,27.35130784,6.630448733,35.6946982,0.723468429,r= 2,n= 2047,RF
37,27.3931686,6.69517656,35.91299305,0.720075768,r= 4,n= 255,RF
24,27.62664271,6.761586816,36.08373054,0.716829321,r= 3,n= 511,RF
34,28.37347619,6.954772249,36.88358081,0.704740794,r= 3,n= 8191,RF
39,28.43373547,6.862844178,37.43726977,0.695186809,r= 4,n= 255,RF
12,28.6739629,6.881407661,37.45897462,0.694833266,r= 2,n= 2047,RF
31,29.40362136,7.176256688,38.42101891,0.67961288,r= 3,n= 4095,RF
36,29.43232509,7.127255612,38.30346701,0.680918525,r= 3,n= 8191,RF
33,30.22265753,7.297830018,39.44133677,0.661679221,r= 3,n= 4095,RF
56,31.26778928,7.165033648,42.0036687,0.611980352,r= 5,n= 255,RF
74,31.37313373,7.185684258,41.91558055,0.613606119,r= 6,n= 255,RF
68,31.50985914,7.289330315,42.13248509,0.609596754,r= 5,n= 4095,RF
86,31.66107414,7.321742382,42.24214281,0.607561914,r= 6,n= 4095,RF
47,31.84332598,7.357660486,42.21412613,0.608082302,r= 4,n= 2047,RF
71,32.11505165,7.416339256,42.81263379,0.596890382,r= 5,n= 8191,RF
53,32.15232171,7.421066065,42.35106945,0.605535403,r= 4,n= 8191,RF
41,32.28167007,7.423415574,43.00312436,0.593295209,r= 4,n= 511,RF
62,32.40229922,7.484853211,42.94219322,0.594446913,r= 5,n= 1023,RF
77,32.41423087,7.452774115,42.91018228,0.595051321,r= 6,n= 511,RF
89,32.4871771,7.528743949,42.30114509,0.606464862,r= 6,n= 8191,RF
20,32.52275287,7.449515608,42.50478879,0.602666674,r= 3,n= 255,RF
59,32.53710988,7.353121752,42.52390759,0.602309149,r= 5,n= 511,RF
38,32.59600295,7.533514646,42.99736689,0.593404105,r= 4,n= 255,RF
26,32.99500773,7.663434963,43.01872441,0.593000079,r= 3,n= 1023,RF
50,33.23242226,7.537918776,43.27490578,0.588138184,r= 4,n= 4095,RF
32,33.49880224,7.784123335,43.28275006,0.587988857,r= 3,n= 4095,RF
35,33.6677207,7.817189065,43.52222182,0.583417152,r= 3,n= 8191,RF
80,33.84085707,7.640062284,43.72246261,0.579575033,r= 6,n= 1023,RF
14,33.91398723,7.844493582,44.13051322,0.571690976,r= 2,n= 4095,RF
11,33.96458312,7.885243375,43.81127685,0.577865265,r= 2,n= 2047,RF
44,33.96475444,7.614766477,43.92399576,0.57569031,r= 4,n= 1023,RF
65,34.19085602,7.652220291,44.27381597,0.568904808,r= 5,n= 2047,RF
23,34.34658881,7.958175756,44.13442856,0.571614972,r= 3,n= 511,RF
5,34.43668756,7.936608635,44.63985789,0.561747023,r= 2,n= 511,RF
8,34.6461088,8.028855206,44.87774178,0.557063715,r= 2,n= 1023,RF
2,34.80910339,8.0285643,45.226521,0.550152169,r= 2,n= 255,RF
29,34.98106831,7.913057197,45.06621449,0.55333551,r= 3,n= 2047,RF
82,35.49141233,8.746970886,45.72283686,0.546263592,r= 6,n= 2047,RF
84,35.84017104,8.748954531,46.04766276,0.538851709,r= 6,n= 2047,RF
16,36.02856561,8.887655689,46.14645119,0.537817063,r= 2,n= 8191,RF
18,36.46162252,8.90123477,46.52623322,0.529216529,r= 2,n= 8191,RF
83,37.2352059,8.75688911,47.32467627,0.507445182,r= 6,n= 2047,RF
17,38.19385018,8.955551092,48.0153315,0.492963608,r= 2,n= 8191,RF
