,MAE,MAPE(%),RMSE,R2,Radius,nBits,Model
0,0,0,0,0,0,0,0
1,17.60565978,4.914963123,27.3439956,0.789884123,r= 2,n= 255,XGB
2,28.33958729,7.719945552,36.22136849,0.600769196,r= 2,n= 255,XGB
3,19.75244528,5.475959609,29.33517996,0.7544152,r= 2,n= 255,XGB
4,20.65108114,5.839292995,30.53510351,0.737980441,r= 2,n= 511,XGB
5,27.41777551,7.605571348,36.35363024,0.597848303,r= 2,n= 511,XGB
6,22.00442002,6.192548665,31.78413635,0.711699896,r= 2,n= 511,XGB
7,25.13277355,7.09889321,35.18180092,0.652166784,r= 2,n= 1023,XGB
8,27.85575273,7.849823167,37.88613214,0.563227916,r= 2,n= 1023,XGB
9,25.67736939,7.249079201,35.7390416,0.635489726,r= 2,n= 1023,XGB
10,17.43398354,4.868674471,27.01285105,0.794942449,r= 2,n= 2047,XGB
11,26.34137353,7.204484252,34.86556992,0.630096985,r= 2,n= 2047,XGB
12,19.21546154,5.335836427,28.75546715,0.764025636,r= 2,n= 2047,XGB
13,19.42390044,5.465429175,28.99966645,0.763668874,r= 2,n= 4095,XGB
14,27.80314304,7.638272141,36.19015397,0.601456991,r= 2,n= 4095,XGB
15,21.09974896,5.899997768,30.57335396,0.733246493,r= 2,n= 4095,XGB
16,16.3348391,4.542846119,26.03585761,0.809507143,r= 2,n= 8191,XGB
17,26.95433227,7.349002444,35.33768021,0.620011541,r= 2,n= 8191,XGB
18,18.45873774,5.104077384,28.14325912,0.773966532,r= 2,n= 8191,XGB
19,5.506192748,1.530763356,13.07143666,0.951984488,r= 3,n= 255,XGB
20,22.1477447,5.88137413,29.01586327,0.74380814,r= 3,n= 255,XGB
21,8.834503138,2.400885511,17.46636852,0.912937886,r= 3,n= 255,XGB
22,12.00947343,3.477940175,19.56397108,0.892440458,r= 3,n= 511,XGB
23,22.85881023,6.253902691,29.58072007,0.733736389,r= 3,n= 511,XGB
24,14.17934079,4.033132678,21.93633906,0.862674158,r= 3,n= 511,XGB
25,8.972233448,2.581239059,16.45785176,0.923883079,r= 3,n= 1023,XGB
26,23.41563574,6.30794131,30.21752721,0.722148863,r= 3,n= 1023,XGB
27,11.86091391,3.326579509,19.98270497,0.886045227,r= 3,n= 1023,XGB
28,10.58665674,3.036527508,17.75726447,0.911389121,r= 3,n= 2047,XGB
29,23.08744599,6.25720585,29.91091308,0.72775891,r= 3,n= 2047,XGB
30,13.08681459,3.680663177,20.76508843,0.876947189,r= 3,n= 2047,XGB
31,13.45167483,3.872151013,21.00760293,0.875981087,r= 3,n= 4095,XGB
32,22.65706041,6.22664325,29.41789259,0.736659625,r= 3,n= 4095,XGB
33,15.29275194,4.343049461,22.93769792,0.849850591,r= 3,n= 4095,XGB
34,10.70699272,3.067265487,17.89771215,0.909981876,r= 3,n= 8191,XGB
35,22.166109,5.972075653,29.55377956,0.734221165,r= 3,n= 8191,XGB
36,12.99881597,3.64822752,20.75927883,0.877016034,r= 3,n= 8191,XGB
37,9.016113815,2.696232061,15.07351797,0.93614952,r= 4,n= 255,XGB
38,20.23575129,5.509811458,27.78101936,0.765149933,r= 4,n= 255,XGB
39,11.26004131,3.258947941,18.33373291,0.904076334,r= 4,n= 255,XGB
40,10.22030045,3.041288289,16.09805154,0.927174823,r= 4,n= 511,XGB
41,21.86926733,6.017215565,29.06885841,0.742871458,r= 4,n= 511,XGB
42,12.55009382,3.636473744,19.39890503,0.892606399,r= 4,n= 511,XGB
43,11.83127133,3.51185099,18.276087,0.906135504,r= 4,n= 1023,XGB
44,22.98751292,6.339688677,31.2530152,0.702779897,r= 4,n= 1023,XGB
45,14.06251965,4.077418528,21.50726567,0.867993788,r= 4,n= 1023,XGB
46,8.944203747,2.6533658,14.45400502,0.941290103,r= 4,n= 2047,XGB
47,22.42948284,6.056495467,29.44941634,0.73609494,r= 4,n= 2047,XGB
48,11.64125957,3.333991734,18.45503274,0.902802832,r= 4,n= 2047,XGB
49,12.23536102,3.612936438,18.62395161,0.902528289,r= 4,n= 4095,XGB
50,22.13155907,6.104542341,29.45484633,0.735997611,r= 4,n= 4095,XGB
51,14.21460063,4.111257619,21.23673358,0.871293818,r= 4,n= 4095,XGB
52,3.228114785,0.948024857,7.399563907,0.98461324,r= 4,n= 8191,XGB
53,22.00595845,5.734221922,29.90337408,0.727896128,r= 4,n= 8191,XGB
54,6.983683517,1.90526427,14.92129998,0.936461451,r= 4,n= 8191,XGB
55,2.900597931,0.903365706,6.319821855,0.988776079,r= 5,n= 255,XGB
56,21.63698169,5.642510906,28.32624193,0.755841272,r= 5,n= 255,XGB
57,6.647874683,1.851194746,13.87181729,0.945085038,r= 5,n= 255,XGB
58,8.660724425,2.635215267,14.0840007,0.944257429,r= 5,n= 511,XGB
59,20.94529334,5.714147009,27.53424971,0.769303595,r= 5,n= 511,XGB
60,11.11763821,3.251001615,17.61573847,0.911442433,r= 5,n= 511,XGB
61,8.142190432,2.477764868,13.61354594,0.947919225,r= 5,n= 1023,XGB
62,24.07906878,6.497078314,31.30194997,0.701848417,r= 5,n= 1023,XGB
63,11.3295661,3.281627558,18.55331024,0.901764879,r= 5,n= 1023,XGB
64,10.35623581,3.076198911,15.90671156,0.928895722,r= 5,n= 2047,XGB
65,22.65732049,6.225900533,30.22452019,0.722020247,r= 5,n= 2047,XGB
66,12.81645275,3.706139235,19.62455355,0.890093459,r= 5,n= 2047,XGB
67,11.70448705,3.488599669,17.71545844,0.911805864,r= 5,n= 4095,XGB
