,MAE,MAPE(%),RMSE,R2,Radius,nBits,Model
0,0.0,0.0,0.0,0.0,0,0,0
1,0.6257191446307321,0.222725625901877,2.777506775710535,0.9978320704096149,r= 2,n= 1024,SVR
2,2.797533875852359,0.7580071494257462,4.28460587503623,0.9944138049984416,r= 2,n= 1024,SVR
3,1.0600820908750574,0.3297819306066508,3.1373881832143984,0.9971909434485696,r= 2,n= 1024,SVR
4,0.4977068614112015,0.1882244585898798,2.7540756495747396,0.9978684935568246,r= 2,n= 2048,SVR
5,2.6735865717416236,0.7264721386099232,4.227018043820834,0.9945629598840573,r= 2,n= 2048,SVR
6,0.932882803477286,0.2958739945938885,3.10507366344533,0.9972485109754389,r= 2,n= 2048,SVR
7,4.519857816653814,1.4487532483945065,8.920469607895143,0.9776380148445458,r= 2,n= 4096,SVR
8,5.1632708361175315,1.6095652183172517,9.34597386568508,0.9734207049310718,r= 2,n= 4096,SVR
9,4.648540420546557,1.4809156423790557,9.007178688130843,0.976847306284647,r= 2,n= 4096,SVR
10,0.623323596540201,0.22099680020394113,2.7522038450482333,0.9978713899243156,r= 2,n= 8192,SVR
11,2.7263126153378106,0.7401427659954141,4.2235857011927145,0.9945717860625471,r= 2,n= 8192,SVR
12,1.0439214002997228,0.3248259933622357,3.102810989864277,0.997252519545831,r= 2,n= 8192,SVR
13,1.597397533547585,0.6306631919512259,6.079488589924789,0.9896135050465579,r= 3,n= 1024,SVR
14,3.8092083990329546,1.1619927834323034,6.921966577850064,0.9854201407994172,r= 3,n= 1024,SVR
15,2.039759706644659,0.7369291102474412,6.257065564063975,0.9888271136565319,r= 3,n= 1024,SVR
16,2.466113201371121,0.8713857069194348,7.128755887795748,0.9857188754893516,r= 3,n= 2048,SVR
17,5.014942515286752,1.497253914000603,8.474651688816081,0.9781456421976549,r= 3,n= 2048,SVR
18,2.975879064154247,0.9965593483356686,7.417497735461513,0.9842985842113914,r= 3,n= 2048,SVR
19,2.278148719419014,0.8233516117714971,7.091179812622386,0.9858690319308782,r= 3,n= 4096,SVR
20,4.824808997661497,1.457773200460826,8.318346692857407,0.9789443638166322,r= 3,n= 4096,SVR
21,2.7874807750675106,0.9502359295093626,7.353015928751206,0.9845703887883787,r= 3,n= 4096,SVR
22,0.5093573615394756,0.1928320936839606,2.6715139641148986,0.9979943746223534,r= 3,n= 8192,SVR
23,3.1388390580476857,0.8476086649936012,4.398259372298406,0.9941135154622824,r= 3,n= 8192,SVR
24,1.0352537008411176,0.3237874079458887,3.0949194803049194,0.9972664773384667,r= 3,n= 8192,SVR
25,3.7706894565298454,1.2594895110370976,8.373195348216512,0.9802976801125046,r= 4,n= 1024,SVR
26,5.26581291599445,1.6194584460159347,9.162682332245286,0.9744530184788707,r= 4,n= 1024,SVR
27,4.069714148422767,1.331483298032865,8.536935619755118,0.9792016931178985,r= 4,n= 1024,SVR
28,3.709441399575141,1.2470687850685465,8.288191014353075,0.9806956838247018,r= 4,n= 2048,SVR
29,4.991926201736727,1.5496954602950577,8.989522624608188,0.9754094867424872,r= 4,n= 2048,SVR
30,3.9659383600074585,1.3075941201138488,8.433124666218978,0.9797044413300148,r= 4,n= 2048,SVR
31,1.4848518097111802,0.5282875378865335,5.060802098961572,0.9928026333298209,r= 4,n= 4096,SVR
32,6.23430462605805,1.6648009041088645,8.63659257082379,0.9773024386500383,r= 4,n= 4096,SVR
33,2.434742372980554,0.7555902111309997,5.950421880401827,0.9898953916429551,r= 4,n= 4096,SVR
34,0.4204377701415153,0.1699995788906904,2.633691177255764,0.9980507631332897,r= 4,n= 8192,SVR
35,3.1906219106798273,0.8581143157791391,4.495512348647071,0.9938503170812926,r= 4,n= 8192,SVR
36,0.9744745982491777,0.3076225262683801,3.0969322932688637,0.9972629206326787,r= 4,n= 8192,SVR
