,Actual,Predict
2609,478.15,451.0781728883191
8156,439.15,451.4972002448342
2616,478.15,463.18997358886236
4653,398.65,403.0192485078056
8530,489.54,453.3992104761905
10707,454.15,454.94120990410084
11822,472.15,472.7457513093669
3305,382.84,394.06829659682387
6348,548.83,546.3034253174603
5852,428.68,413.96895350463876
9006,605.81,556.0123949845489
8265,455.15,463.1837391275427
6385,563.15,514.8896435234617
624,387.65,479.4929746159323
7698,547.7,530.4543879140698
11902,478.15,498.09458802297587
9290,438.65,442.800514838887
1634,509.15,486.64557480734044
1383,483.15,475.4430655619211
5324,573.51,521.3887408282296
2876,536.15,499.66219349759575
8935,567.45,556.6484917285815
8998,601.3,615.1496240909092
4684,402.08,413.33565314853223
3422,704.0,401.1656291328198
3963,396.39,407.9278512636802
4889,437.69,481.8291721012563
3487,367.8,353.5168546304862
12068,509.82,510.16354071428594
1662,513.15,522.5027030718579
12438,589.72,550.1355887091418
6630,388.64,389.0068055796708
3094,342.15,476.569267513727
218,425.95,431.4730669754519
1372,481.65,485.21515802188645
6698,395.68,391.33977569802687
12346,561.45,527.3325198628165
1950,578.15,571.5363951265145
1953,579.15,550.1278180024311
1530,498.15,561.7263823015878
8947,571.36,518.4304857957391
9567,477.15,572.0241109343433
10913,493.55,487.5202484027066
10798,470.26,465.00539852001896
6647,390.72,390.18486358240216
3068,322.65,363.65641476190467
2417,440.65,476.2267867504408
11336,581.4,550.8332098881675
8846,541.15,534.3105385675407
5981,452.82,445.4260877485449
10278,573.99,569.1742829421963
9137,390.15,511.596620087188
7346,472.48,467.9923527863795
11563,451.65,526.7848419158366
1984,321.15,338.5388549522291
173,447.15,448.81745968267563
5702,409.05,398.95663626373636
11365,596.34,504.6557435858588
3297,366.59,356.7712695435611
8518,487.75,478.5217980150711
8276,457.09,462.8119035868455
7209,457.6,432.07879002599793
3669,490.04,445.8211015868173
8582,494.15,529.5358402308805
9720,491.15,475.82193233731414
2392,433.15,481.9667720739466
1236,466.65,474.2457759968552
2189,387.65,455.2786094252965
3468,350.35,345.3871892132506
1043,444.15,484.68728617124776
10934,498.15,484.50942053176965
12123,522.39,528.6318374686124
2589,475.34999999999997,477.24294061965827
7077,443.15,465.40237709706963
5743,416.65,419.3345820955823
10739,457.29,458.1182910358161
3873,365.65,373.8020669096046
3210,383.76,325.1172073115698
720,399.65,411.95158140078047
1213,464.15,459.82215962683034
7090,443.92,422.45787565600057
5045,472.51,459.84535575098437
724,400.65,419.57977924603176
10715,455.15,453.2558272359688
10402,618.99,559.1574229465695
6258,512.48,452.29940709528876
11921,479.15,480.6599026821708
10638,448.15,451.8169674517119
3344,446.15,425.77900847887884
8873,550.08,549.7810746945568
450,431.65,431.4570554452212
7512,499.45,460.3603105855213
10244,565.65,559.2551579722559
3817,337.15,380.94696440976077
10673,452.15,452.54751776699857
290,353.65,351.09591869093015
9810,501.65,490.3890368806484
3011,578.15,568.0110527325971
11430,632.15,644.8591252597402
8810,527.27,504.68711648105744
7633,531.13,532.9888304395685
1369,481.34999999999997,479.7491884146475
10912,493.25,505.46615902874015
2684,494.15,481.69004476190474
839,416.15,417.4238603519493
2927,546.15,488.6253043026786
4429,348.715,347.06254663168824
1579,502.15,520.9804048809524
4338,601.96,593.2230481881357
5502,371.15,441.7494373030012
4584,386.17,377.8295536033142
7780,582.02,560.0944136924644
6747,402.98,403.12926456672557
749,405.15,527.6350564108495
5747,417.54,415.7612770332783
9054,656.19,615.9036983874456
6464,625.02,558.5466636904763
5503,371.32,381.36759574276664
2655,486.65,429.4475960971057
11224,550.15,545.1690562682663
5965,448.15,422.7057614021235
4874,435.15,442.29550892447617
6595,384.35,384.89188131405405
1427,488.15,473.523948574336
5049,473.15,511.30696084861216
2087,360.65,446.9377551681821
9330,443.76,431.5634179423258
7497,496.96,504.2483411507935
8061,420.64,414.7803872626935
12517,625.78,585.3318739382842
4226,489.32,466.9032654958982
7370,478.54,462.49521805549045
5654,400.89,407.4951198043456
970,435.65,405.76940823858814
10365,597.99,583.6541215904659
993,438.15,441.9147363932789
12180,529.06,528.4940695058474
5353,602.52,495.252860499809
7460,490.78,491.40656751491025
8725,512.15,461.2808950935048
1277,470.65,484.4639347546469
741,404.15,421.09847223275824
1078,447.65,475.48962043062676
4250,504.5,474.8675987957517
4365,658.89,632.5848520382397
5914,439.15,436.5785541391711
3035,592.15,509.3566230548001
2303,414.65,486.7219050972073
2688,492.15,438.6354006224893
6152,488.28,404.51790500549976
8138,435.76,453.13423903307444
11427,627.85,596.0543288492064
4367,677.65,607.0405819949495
8027,415.7,414.34152647897196
3546,405.72,406.68008864235816
944,432.15,431.06025736843117
10107,535.28,552.043136905767
11689,467.15,467.2774340405137
9380,449.72,466.8916614308372
1739,522.15,482.7308314392771
2848,530.15,492.54693562520197
3821,337.74,337.249020714664
8204,444.45,427.0821616183471
9892,512.54,481.504964041739
6389,563.49,549.4142847685765
2069,355.15,341.03979655026916
3954,394.65,403.51751002979205
8069,421.59,419.6320750120657
7949,398.15,480.66264841760676
8630,497.65,490.6580078082508
9182,421.2,437.62116507469074
7465,491.33,483.3083722457419
3437,317.15,561.4912809523811
3045,610.15,578.7866642731829
11187,543.02,533.641649563492
4075,428.16,435.1014056468107
11814,472.15,470.8696941179149
12421,584.2,591.6361125793651
9942,516.47,486.9932326540033
11378,601.68,625.0341501247437
3708,518.08,478.0634370238096
7038,438.88,422.92710952380963
3464,346.15,358.26737235934047
4023,413.15,404.17039347759476
9948,516.81,493.78721630931796
4526,377.15,373.10728809890446
8330,462.86,465.014226781848
1358,481.15,506.5625214695496
1570,501.15,490.5794830052855
4442,353.48,382.4658602786817
11757,470.15,469.76844106822205
4342,606.75,615.8455337687541
9059,664.15,607.9360045112782
10078,531.19,537.7970941430134
586,380.15,390.6019521224506
247,282.55,300.8556368948608
4345,609.18,615.9618224758034
5046,472.87,437.4598736281738
3307,384.76,447.46447592240503
6482,660.67,645.3889172619046
1482,493.15,522.2240327793207
3710,520.15,520.5413182047714
9202,425.9,423.93377364285726
5611,391.4,408.4690562457636
518,378.65,373.4639731631927
4454,355.86,370.98584792318235
2791,516.15,484.7762175987781
6916,423.85,426.3904577954525
9861,508.88,484.38560387548335
1470,492.15,425.7122765145214
8104,429.29,425.42594351240126
11791,471.15,471.03556974398157
3366,478.91,438.87820398310714
9859,508.65,497.26681124796056
11401,611.94,601.151788968254
50,366.35,365.7057689117243
7642,532.6,534.5509243707216
1730,521.15,493.29308253342447
10206,554.86,573.3378304913633
1593,503.65,492.0687165093769
2407,436.65,411.5088736897915
6561,378.07,387.6609085486764
9295,439.45,439.8948393872301
6810,409.4,414.01764938760874
4053,420.44,430.61569287252047
7924,373.15,503.9976038222082
5937,443.1,424.8826996025745
5270,546.65,452.12057001380293
4015,411.65,383.7354275472405
4600,389.58,397.64484987805344
10860,482.67,499.59455849400825
8829,535.0,532.5460518709639
6119,479.07,463.43693407861906
4315,563.11,589.1183261749062
379,394.75,398.4573555426182
6341,543.68,543.3899763644689
9350,446.82,429.81790787936967
8768,518.73,515.9194286108002
8524,488.57,490.85222207610536
6822,411.99,409.9392240503894
10591,431.52,483.3445032683983
4313,561.59,509.0965491551532
9994,519.7,486.56881663883826
2333,421.75,437.80405517409633
5684,406.15,420.347223936783
9144,393.65,476.02534296161537
10211,557.21,517.9566927903091
3231,444.29,495.256544215262
6443,599.65,461.1716543163433
10873,484.65,484.6257778803431
4269,523.34,526.4186648538141
1237,467.15,463.51305976019233
10116,536.34,479.15406833288034
