,Actual,Predict
2609,478.15,439.5119
8156,439.15,445.44827
2616,478.15,476.96625
4653,398.65,396.54468
8530,489.54,466.91827
10707,454.15,449.04843
11822,472.15,467.4713
3305,382.84,425.77127
6348,548.83,526.2944
5852,428.68,416.8214
9006,605.81,556.7384
8265,455.15,448.97586
6385,563.15,501.8427
624,387.65,481.64587
7698,547.7,504.76535
11902,478.15,510.51196
9290,438.65,434.5439
1634,509.15,483.6576
1383,483.15,499.34595
5324,573.51,529.63873
2876,536.15,490.19034
8935,567.45,563.7937
8998,601.3,610.04114
4684,402.08,408.70642
3422,704.0,434.30304
3963,396.39,393.5947
4889,437.69,461.62122
3487,367.8,363.5425
12068,509.82,504.91013
1662,513.15,535.5531
12438,589.72,563.6754
6630,388.64,391.44016
3094,342.15,453.41202
218,425.95,429.1686
1372,481.65,478.51953
6698,395.68,390.68225
12346,561.45,526.89417
1950,578.15,558.1513
1953,579.15,520.9338
1530,498.15,558.3506
8947,571.36,559.87115
9567,477.15,564.84955
10913,493.55,483.78146
10798,470.26,472.1727
6647,390.72,395.44836
3068,322.65,368.81067
2417,440.65,494.13004
11336,581.4,575.98035
8846,541.15,530.8861
5981,452.82,439.8085
10278,573.99,561.7554
9137,390.15,517.93066
7346,472.48,464.7712
11563,451.65,526.6523
1984,321.15,348.09055
173,447.15,440.01004
5702,409.05,406.9714
11365,596.34,515.0262
3297,366.59,375.72073
8518,487.75,484.5288
8276,457.09,453.9579
7209,457.6,449.0666
3669,490.04,468.3079
8582,494.15,531.53076
9720,491.15,489.62753
2392,433.15,479.87112
1236,466.65,482.06375
2189,387.65,458.82672
3468,350.35,344.45654
1043,444.15,482.40723
10934,498.15,479.38858
12123,522.39,527.115
2589,475.34999999999997,463.1288
7077,443.15,473.65463
5743,416.65,413.97275
10739,457.29,463.49384
3873,365.65,363.28796
3210,383.76,377.37753
720,399.65,422.86722
1213,464.15,476.45624
7090,443.92,423.25592
5045,472.51,456.62802
724,400.65,409.51904
10715,455.15,452.4562
10402,618.99,608.687
6258,512.48,472.07117
11921,479.15,471.3936
10638,448.15,449.0053
3344,446.15,406.62302
8873,550.08,543.5163
450,431.65,428.9237
7512,499.45,515.24335
10244,565.65,547.68146
3817,337.15,374.92627
10673,452.15,452.4562
290,353.65,367.49796
9810,501.65,492.47595
3011,578.15,548.3136
11430,632.15,645.9069
8810,527.27,512.3736
7633,531.13,520.55536
1369,481.34999999999997,479.24063
10912,493.25,492.15558
2684,494.15,466.4882
839,416.15,400.96564
2927,546.15,505.18024
4429,348.715,344.19635
1579,502.15,534.73364
4338,601.96,585.404
5502,371.15,449.06155
4584,386.17,383.74994
7780,582.02,567.64606
6747,402.98,403.23236
749,405.15,508.91486
5747,417.54,418.83557
9054,656.19,627.4585
6464,625.02,606.3159
5503,371.32,368.79813
2655,486.65,433.00116
11224,550.15,531.87665
5965,448.15,410.11484
4874,435.15,447.708
6595,384.35,387.1806
1427,488.15,461.1738
5049,473.15,510.12216
2087,360.65,433.0017
9330,443.76,429.1686
7497,496.96,479.29114
8061,420.64,412.52646
12517,625.78,580.25916
4226,489.32,453.695
7370,478.54,460.19168
5654,400.89,404.35544
970,435.65,428.406
10365,597.99,589.46765
993,438.15,441.75934
12180,529.06,521.6853
5353,602.52,496.87253
7460,490.78,455.48206
8725,512.15,452.84973
1277,470.65,479.4092
741,404.15,423.53177
1078,447.65,450.86908
4250,504.5,456.33044
4365,658.89,630.32513
5914,439.15,445.5253
3035,592.15,495.83417
2303,414.65,458.14462
2688,492.15,415.05728
6152,488.28,436.8983
8138,435.76,447.15247
11427,627.85,628.85034
4367,677.65,627.7931
8027,415.7,411.2488
3546,405.72,433.37408
944,432.15,434.11926
10107,535.28,533.3166
11689,467.15,467.8144
9380,449.72,462.93466
1739,522.15,476.64307
2848,530.15,517.3082
3821,337.74,344.52982
8204,444.45,449.4591
9892,512.54,481.42288
6389,563.49,550.60535
2069,355.15,359.32843
3954,394.65,414.14108
8069,421.59,420.35992
7949,398.15,473.81522
8630,497.65,492.71646
9182,421.2,440.64566
7465,491.33,465.1921
3437,317.15,558.0403
3045,610.15,563.2096
11187,543.02,543.1159
4075,428.16,402.11612
11814,472.15,459.99802
12421,584.2,574.6478
9942,516.47,493.9566
11378,601.68,603.1503
3708,518.08,452.31876
7038,438.88,425.1231
3464,346.15,332.1314
4023,413.15,408.56152
9948,516.81,475.35965
4526,377.15,369.13016
8330,462.86,456.5825
1358,481.15,505.4934
1570,501.15,493.59808
4442,353.48,384.04837
11757,470.15,469.1085
4342,606.75,604.6827
9059,664.15,619.7047
10078,531.19,511.4644
586,380.15,386.72336
247,282.55,335.88968
4345,609.18,593.14764
5046,472.87,456.0151
3307,384.76,416.3078
6482,660.67,641.23584
1482,493.15,523.7644
3710,520.15,494.6888
9202,425.9,434.6298
5611,391.4,422.05957
518,378.65,364.2254
4454,355.86,361.30942
2791,516.15,479.16788
6916,423.85,443.79773
9861,508.88,487.61383
1470,492.15,407.46445
8104,429.29,424.76245
11791,471.15,470.32596
3366,478.91,422.01276
9859,508.65,490.67462
11401,611.94,595.0345
50,366.35,382.96243
7642,532.6,517.7007
1730,521.15,498.83786
10206,554.86,569.0562
1593,503.65,500.56458
2407,436.65,424.80582
6561,378.07,396.96158
9295,439.45,431.0138
6810,409.4,436.0201
4053,420.44,421.9402
7924,373.15,489.72934
5937,443.1,425.64545
5270,546.65,450.3778
4015,411.65,370.2202
4600,389.58,398.24713
10860,482.67,510.52698
8829,535.0,529.7417
6119,479.07,471.11636
4315,563.11,609.6001
379,394.75,402.42987
6341,543.68,529.86786
9350,446.82,428.45004
8768,518.73,515.6977
8524,488.57,480.43344
6822,411.99,408.99316
10591,431.52,456.47748
4313,561.59,501.0061
9994,519.7,484.63
2333,421.75,441.50006
5684,406.15,423.1592
9144,393.65,461.73114
10211,557.21,512.2288
3231,444.29,485.57175
6443,599.65,497.29327
10873,484.65,489.41638
4269,523.34,522.6713
1237,467.15,477.78552
10116,536.34,514.6151
5613,391.65,413.38522
11608,463.15,468.52985
2128,369.65,426.3542
4925,446.15,579.9264
8849,543.48,558.445
5526,376.67,387.177
12082,512.04,504.67084
11026,510.15,482.4022
7677,540.3,543.5851
1328,476.45,472.3254
4102,439.65,384.8943
10090,533.02,517.58704
10790,467.35,463.95358
6101,475.56,459.41586
10154,542.92,548.0622
10632,447.52,463.75967
11452,659.46,602.3768
8757,518.15,494.95474
2984,567.15,519.809
2021,339.15,428.09705
11485,336.65,469.08398
3375,493.02,457.76343
12441,590.29,562.38446
11595,460.15,468.70758
2982,566.15,528.3732
11038,513.1,507.94498
6020,460.15,356.8544
149,440.15,438.63507
5758,418.15,411.30865
3702,513.04,567.6178
9257,434.08,439.19635
5610,391.31,379.73172
9315,442.66,427.5629
12190,531.5,522.8901
6149,487.15,481.5966
5333,580.9,523.4649
200,429.35,427.42044
10984,505.62,491.9369
2820,523.15,473.43695
251,304.35,323.9353
8421,472.06,468.1643
2145,371.34999999999997,370.5733
5040,471.69,468.95767
6651,390.85,397.05133
3668,488.34,478.80838
3889,372.9,353.02655
7320,471.06,458.37296
2980,566.65,509.85922
9536,473.24,479.63425
7655,535.12,452.93304
385,404.15,403.8519
6188,496.15,474.2327
3946,391.65,399.0303
6758,403.74,449.06155
12574,659.6,641.67645
7244,462.03889,446.19965
3386,520.93,573.4904
4077,428.6,447.6679
4900,439.99,418.62494
744,404.25,411.90237
8918,560.78,562.3495
10258,569.14,551.9571
7174,453.15,529.03656
5773,419.65,423.6529
12176,528.71,525.3716
6346,545.34,527.0095
2391,433.15,520.6682
3353,457.3,457.3471
10311,581.53,572.1174
7040,438.88,439.66632
5321,571.41,544.5575
4336,601.0,581.46783
4655,398.65,561.3499
7628,529.67,504.32538
10724,455.15,450.36612
6051,465.02,449.52304
1121,452.65,424.55533
10841,478.91,460.94446
9192,424.15,425.6787
3942,390.82,440.90332
357,359.45,371.0948
3060,311.45,356.26263
5964,448.15,453.03723
11520,404.55,565.4042
2348,425.65,518.6324
2993,569.15,625.6744
4475,363.02,362.08163
12320,553.32,524.16846
9381,450.82,459.8234
7442,487.26,470.6669
4382,327.45,355.49313
4483,363.46,372.9866
8747,515.65,484.28925
9103,363.65,484.67392
12275,544.03,536.5193
5587,386.64,392.82562
3421,675.25,621.5221
5517,375.15,389.14822
11306,568.56,545.69135
396,382.25,386.00302
6887,420.84,433.08975
7625,529.34,468.7296
4024,413.65,413.02197
9787,497.58,470.39157
3222,423.28,425.14584
4536,378.28,381.40176
2201,389.15,531.5375
6127,481.03,477.23404
8710,509.56,536.1604
7306,469.2,457.74017
12130,522.89,494.0263
2534,464.15,435.9867
135,472.15,475.0276
7272,466.26,449.06155
1989,327.15,473.21
5050,474.16,447.9212
47,361.15,377.2564
3635,465.2,441.78857
83,386.45,391.46176
11662,465.15,468.51575
5544,380.74,388.3364
3131,359.65,367.2057
10393,614.33,516.5444
2859,532.95,530.47644
7998,411.15,415.8407
6298,524.74,517.08154
12347,563.02,567.25745
10056,528.9,524.02136
3160,369.65,500.25482
360,359.85,360.13562
9401,454.15,492.1477
8,315.35,333.84363
11658,465.15,469.52838
9999,520.14,509.53488
3698,508.73,502.63702
7159,451.56,436.10867
8794,523.08,509.13364
8538,490.38,482.91623
1650,511.15,481.63785
311,339.45,343.5
7645,533.04,527.18
2981,566.15,528.3732
1617,507.15,526.96246
10318,583.02,590.7744
2543,466.15,491.3782
11324,575.34,579.01874
3522,390.1,405.13358
7188,455.65,479.27896
5044,472.15,473.56586
2507,458.15,434.82596
7072,442.15,472.24805
12255,540.7,524.5778
5350,597.34,571.9746
5871,431.1,449.2577
8724,512.15,497.97577
9750,494.56,489.0601
4847,428.15,434.62915
2677,490.65,495.05774
5459,362.15,372.0912
884,423.15,436.34033
5632,396.05,406.61005
7481,494.65,498.8158
6830,412.83,411.87653
2054,351.15,359.32843
3169,285.88,345.40472
10009,521.07,492.6955
5769,419.15,427.98065
113,418.15,413.1225
4132,448.41,434.73035
9004,604.78,505.6469
5479,366.15,504.69116
5945,444.49,436.77777
5171,505.04,508.22424
4901,440.31,429.15778
1153,458.15,512.50354
8655,501.15,511.15634
7049,439.98,428.2935
3115,354.15,453.45004
4768,414.15,408.2168
9883,511.15,475.0351
7502,497.8,482.7731
2319,418.15,508.61716
6210,501.44,508.67078
5099,486.43,476.15845
11291,564.49,554.66943
5140,496.83,481.6405
4129,448.06,439.9706
4890,437.69,461.62122
8875,550.15,518.66364
6438,597.59,592.1004
5372,627.01,573.6627
429,398.75,399.00443
763,407.9,427.7268
9015,610.9,576.28564
927,430.15,435.33786
4676,401.15,407.36584
2308,415.65,417.86078
850,418.15,412.49408
5095,486.15,465.6444
1351,480.15,493.7731
5186,510.93,490.09183
9440,459.62,465.0684
12573,658.52,640.32465
9187,422.68,435.3217
5418,340.65,434.45242
8750,516.15,503.3879
7100,444.65,412.60345
4896,439.15,422.95264
1825,538.65,489.3759
11687,467.15,468.98962
12447,592.72,451.80264
12160,527.15,492.06403
9584,479.65,484.30728
3314,395.67,443.67487
4341,604.13,551.715
2874,535.8499999999999,529.9837
8660,501.86,483.59262
3069,323.54999999999995,346.03796
99,422.15,410.86865
5817,424.72,428.71982
12024,499.51,499.80002
11947,483.16,485.7622
11299,566.84,546.9057
1747,523.15,483.82602
1166,459.15,469.13297
6879,420.16,425.28772
1053,445.15,451.04803
3325,409.08,414.98038
304,364.85,378.47528
7841,626.68,608.32446
5336,582.84,473.53958
538,429.75,426.4647
6066,468.99,470.90988
11147,534.39,530.1159
12138,523.92,534.31537
102,419.15,429.70175
9247,433.15,429.1686
8200,444.15,465.46738
12544,643.42,620.6266
8376,467.35,488.47943
7434,486.68,497.108
772,409.15,433.08405
3541,404.65,387.87247
7478,494.03,485.578
434,434.25,429.1686
2455,447.65,480.70944
4508,370.65,372.60684
5952,445.18,439.10538
3550,411.15,463.77826
3528,391.84,450.7596
2666,490.65,559.9464
811,413.15,406.5539
4907,441.95,457.0157
2673,490.15,465.39175
4216,484.65,467.26334
3877,366.42,397.3314
293,363.95,378.47528
12102,517.15,487.71484
6817,410.6,407.34564
103,424.65,420.55154
7500,497.16,474.19745
8679,504.98,501.2636
7413,483.15,527.96814
9617,482.44,487.96747
3706,516.14,526.56396
8273,456.07,465.01282
9713,490.78,480.88965
2318,417.25,440.8604
4191,473.15,427.93686
3154,368.15,368.55865
979,436.15,447.17438
7820,605.04,586.234
8693,506.02,497.01517
33,365.15,362.13516
1434,488.65,491.04007
1107,451.25,438.3472
9910,514.12,493.62924
895,425.04999999999995,431.21216
7795,586.62,559.32996
8806,526.03,488.84888
11560,446.65,473.5715
4292,538.78,511.59906
8240,450.27,443.4191
11525,406.15,603.0951
12287,545.65,651.34296
6554,376.8,390.61407
12254,540.7,522.9045
3328,419.15,457.45465
9026,623.48,586.9315
9841,505.15,508.41696
5272,547.2,504.28534
1114,452.15,486.51428
5245,536.36,523.31793
8649,500.03,480.33774
10658,450.15,450.36612
2998,572.15,504.2652
10425,626.93,636.70154
2754,505.65,480.03964
10708,454.15,450.58972
7007,436.07,435.7418
1457,490.65,508.78113
1039,443.65,488.1841
10540,378.15,431.72888
3921,386.15,438.89438
7717,551.92,539.5273
1402,484.65,483.59872
1261,469.15,392.48456
8251,452.15,469.06223
3910,381.22,391.04678
11528,407.65,512.0122
12612,702.6,610.61896
12328,557.26,517.907
3334,428.33,446.82776
8188,442.42,429.13638
653,390.84999999999997,403.64944
1282,471.15,510.15662
3527,391.77,409.2912
828,415.15,536.67413
5805,423.15,422.92477
9158,401.15,471.62112
3017,581.15,551.3663
9265,435.26,429.1686
4112,443.71,431.83752
2996,571.15,455.49387
10687,453.15,452.4562
647,390.65,408.11978
3025,585.15,486.89966
9705,490.65,485.21222
221,429.15,427.5629
6463,624.37,563.736
2628,479.65,491.6074
11623,463.15,468.82645
5145,498.53,473.96817
4608,390.15,401.34784
457,425.35,423.50403
5218,525.94,498.91376
8278,457.19,451.62662
4029,415.15,397.47385
333,366.35,361.98306
937,431.15,439.14175
8550,491.24,467.8256
1844,543.65,495.45218
6946,428.15,436.4477
2452,444.15,480.3628
9607,481.83,478.72516
7953,398.15,500.67737
9263,435.06,428.9237
8665,502.11,471.68234
3445,323.65,384.0887
12166,528.03,519.09454
9070,692.87,669.3409
5082,483.15,557.6003
2102,364.15,369.92215
4217,485.2,451.59247
9484,466.4,460.55676
4381,325.15,341.6741
9030,625.89,625.93005
4772,414.65,458.55328
70,360.65,378.86212
