,Actual,Predict
2609,478.15,404.36883955757617
8156,439.15,446.8146860047908
2616,478.15,503.7285446943174
4653,398.65,403.2499631180858
8530,489.54,470.852005494587
10707,454.15,443.83074638226566
11822,472.15,462.74082779137336
3305,382.84,427.3299681879136
6348,548.83,501.26795683649993
5852,428.68,422.66381371485625
9006,605.81,565.1275052080169
8265,455.15,447.2753284521585
6385,563.15,504.48092781203457
624,387.65,465.39864312739974
7698,547.7,498.952144055548
11902,478.15,456.56346741077556
9290,438.65,434.1725868173246
1634,509.15,472.2075770955953
1383,483.15,499.9023462652503
5324,573.51,547.2851206108451
2876,536.15,427.0763198213077
8935,567.45,539.3299036020851
8998,601.3,592.212740521499
4684,402.08,423.3328016891914
3422,704.0,435.965230015923
3963,396.39,396.9347715169426
4889,437.69,463.59233240997077
3487,367.8,377.13160155831855
12068,509.82,500.5194538586591
1662,513.15,520.4741336475824
12438,589.72,553.4502630214026
6630,388.64,404.2188661496514
3094,342.15,463.2908172679264
218,425.95,427.7820987117935
1372,481.65,481.8170238365753
6698,395.68,407.5664872402622
12346,561.45,530.124996425287
1950,578.15,505.11171285600255
1953,579.15,572.7708475490559
1530,498.15,543.4505014655449
8947,571.36,531.3199108833531
9567,477.15,587.3150781331747
10913,493.55,511.37018621070587
10798,470.26,458.12409546149587
6647,390.72,408.02012132879025
3068,322.65,352.7925763732728
2417,440.65,504.11480131719367
11336,581.4,562.8789014094261
8846,541.15,511.17282940051376
5981,452.82,448.60553257660155
10278,573.99,549.6173194804956
9137,390.15,502.6342500205792
7346,472.48,471.0697276787322
11563,451.65,567.5372521120701
1984,321.15,345.1133588685336
173,447.15,456.2972663343222
5702,409.05,397.49605225232307
11365,596.34,558.1980587966434
3297,366.59,365.2735497810885
8518,487.75,476.74750661815165
8276,457.09,451.39655649396104
7209,457.6,447.9486081032953
3669,490.04,467.4393431074685
8582,494.15,538.5134521856178
9720,491.15,491.8331002513644
2392,433.15,479.08703904569177
1236,466.65,490.98201125998384
2189,387.65,450.3246816147221
3468,350.35,367.3361791532228
1043,444.15,434.06988006356494
10934,498.15,456.677137251124
12123,522.39,514.1281603857085
2589,475.34999999999997,469.64301944781835
7077,443.15,472.4926776334645
5743,416.65,416.0492410057253
10739,457.29,455.7294340408404
3873,365.65,365.2214257184762
3210,383.76,347.0007487162891
720,399.65,415.8349185398887
1213,464.15,456.78724557707085
7090,443.92,428.4965221787681
5045,472.51,457.86830067968054
724,400.65,379.3338527415696
10715,455.15,446.8699556990771
10402,618.99,575.9947624157359
6258,512.48,508.5619118133285
11921,479.15,470.39667677435875
10638,448.15,444.28590773829796
3344,446.15,403.3672741422702
8873,550.08,516.9267164129743
450,431.65,427.842132913106
7512,499.45,506.41453166427146
10244,565.65,521.1187930087406
3817,337.15,385.05642700144443
10673,452.15,447.1230312998862
290,353.65,374.9968809365433
9810,501.65,503.0333770125905
3011,578.15,565.0376630869615
11430,632.15,667.4964084713425
8810,527.27,503.0564561542178
7633,531.13,524.4203671684979
1369,481.34999999999997,473.9962782660705
10912,493.25,487.65994567769155
2684,494.15,481.03359479757427
839,416.15,391.44767654086684
2927,546.15,502.0949335053897
4429,348.715,356.60831253236876
1579,502.15,524.1696030787648
4338,601.96,555.4357655255023
5502,371.15,455.4028362621566
4584,386.17,384.0561011679963
7780,582.02,553.4848202325609
6747,402.98,414.33363199115064
749,405.15,523.9303629266648
5747,417.54,421.47210958973295
9054,656.19,592.3209883530511
6464,625.02,575.6243358781632
5503,371.32,383.36592819397794
2655,486.65,433.1202684345862
11224,550.15,482.89253474171994
5965,448.15,422.5308615048659
4874,435.15,444.58543118745814
6595,384.35,393.6423732886145
1427,488.15,486.5433369874247
5049,473.15,495.6555184824479
2087,360.65,410.99001046348707
9330,443.76,438.12964205097455
7497,496.96,482.9347224473371
8061,420.64,425.0917939202205
12517,625.78,580.9900420487261
4226,489.32,470.82145640605245
7370,478.54,469.59888624463747
5654,400.89,408.20631489362717
970,435.65,441.14185099396934
10365,597.99,574.0297745529588
993,438.15,477.99423595410576
12180,529.06,511.79975242617263
5353,602.52,505.28681125491255
7460,490.78,470.4137696166669
8725,512.15,544.6945828294805
1277,470.65,449.19468196078265
741,404.15,445.01232835728257
1078,447.65,465.8673556395527
4250,504.5,464.57822632711077
4365,658.89,620.4413757800784
5914,439.15,441.7601371557618
3035,592.15,564.1860831486406
2303,414.65,540.7178524060205
2688,492.15,416.8410394885964
6152,488.28,500.1117580545323
8138,435.76,453.125098021432
11427,627.85,607.6992839385684
4367,677.65,636.1364084766271
8027,415.7,414.88021701668384
3546,405.72,443.00766277468614
944,432.15,434.6000016213209
10107,535.28,528.8446257471724
11689,467.15,460.8425602046533
9380,449.72,444.3487782819922
1739,522.15,487.62252664341736
2848,530.15,513.4265474213182
3821,337.74,353.443310450337
