,Actual,Predict
2609,478.15,387.5013205622961
8156,439.15,457.0129296392057
2616,478.15,499.13561365811364
4653,398.65,402.3293732225972
8530,489.54,443.20438558598795
10707,454.15,442.6151901273496
11822,472.15,477.3373721436693
3305,382.84,426.06104851234943
6348,548.83,513.1359945385233
5852,428.68,418.3213810497464
9006,605.81,572.7609860110553
8265,455.15,447.6341929587411
6385,563.15,489.30627041936214
624,387.65,450.28395018394235
7698,547.7,495.4403055907651
11902,478.15,472.9598211516103
9290,438.65,431.709050879904
1634,509.15,469.08242959389327
1383,483.15,509.22553863425946
5324,573.51,532.3981447329023
2876,536.15,409.2894949720677
8935,567.45,540.777354089697
8998,601.3,590.722326666474
4684,402.08,430.78161732081116
3422,704.0,398.5179122668753
3963,396.39,396.832893475714
4889,437.69,458.7029135566939
3487,367.8,368.20282371258475
12068,509.82,469.19837802859695
1662,513.15,522.8142608848646
12438,589.72,557.7717184875758
6630,388.64,402.4539189519039
3094,342.15,472.99740699054155
218,425.95,430.0302886947388
1372,481.65,481.34700895846174
6698,395.68,390.7373778777209
12346,561.45,541.4377903309548
1950,578.15,515.7456984124589
1953,579.15,569.4946242703572
1530,498.15,544.7982629646381
8947,571.36,535.9245838910815
9567,477.15,588.5100924015323
10913,493.55,493.48095259393335
10798,470.26,475.4582541633566
6647,390.72,417.21879233152475
3068,322.65,342.21774020139867
2417,440.65,500.4191185167199
11336,581.4,552.7078477821918
8846,541.15,505.62007974926235
5981,452.82,445.3993287840236
10278,573.99,552.1873610161423
9137,390.15,494.6807854303194
7346,472.48,467.44347674490143
11563,451.65,564.1343282169793
1984,321.15,336.4995592141938
173,447.15,450.65732863167136
5702,409.05,404.1275937937718
11365,596.34,559.3052805631916
3297,366.59,367.34325900971476
8518,487.75,472.82918807867634
8276,457.09,450.289367703381
7209,457.6,444.4051123324641
3669,490.04,451.1743950033815
8582,494.15,543.1451866062071
9720,491.15,492.1996600265956
2392,433.15,460.2541623476915
1236,466.65,490.2960108281426
2189,387.65,452.2548593768239
3468,350.35,370.55133103759965
1043,444.15,436.8576388906166
10934,498.15,438.85706690473404
12123,522.39,518.0577547337227
2589,475.34999999999997,467.980244847426
7077,443.15,467.6216918540284
5743,416.65,414.17140341939535
10739,457.29,466.1764898870536
3873,365.65,359.6892691523906
3210,383.76,406.16034181832276
720,399.65,421.0713929253458
1213,464.15,459.46775032768335
7090,443.92,426.1932943885854
5045,472.51,457.3451482397627
724,400.65,377.084503929176
10715,455.15,448.5048986003328
10402,618.99,592.8171033545566
6258,512.48,501.24151830677135
11921,479.15,471.2009428396617
10638,448.15,446.75025153673454
3344,446.15,407.0827193286973
8873,550.08,523.2128164385535
450,431.65,428.1100815637868
7512,499.45,504.4815881406499
10244,565.65,527.4973344079203
3817,337.15,399.0166929490773
10673,452.15,448.0173316422888
290,353.65,376.01232733066666
9810,501.65,510.6201601453141
