,MAE,MAPE(%),RMSE,R2,Radius,nBits,Model
0,0,0,0,0,0,0,0
1,27.45238223,6.121474483,39.42049141,0.736542567,r= 3,n= 4096,RF
2,30.76578825,6.813162111,45.11142661,0.656098432,r= 3,n= 4096,RF
3,27.78377535,6.19065421,40.02610816,0.72849106,r= 3,n= 4096,RF
4,21.01342237,4.664779592,31.64579471,0.830215359,r= 3,n= 4096,XGB
5,26.08474242,5.755039056,40.76930542,0.719115575,r= 3,n= 4096,XGB
6,21.52063476,4.77382282,32.67315089,0.819082973,r= 3,n= 4096,XGB
7,1.296463115,0.296681951,8.197587805,0.988606988,r= 3,n= 4096,KNN
8,38.04303477,7.828169351,55.56052736,0.478332536,r= 3,n= 4096,KNN
9,4.971702727,1.049950068,19.21524098,0.937426698,r= 3,n= 4096,KNN
10,28.43150436,6.288014013,43.95728063,0.672411971,r= 3,n= 4096,Ridge
11,29.3783616,6.459462084,44.48362287,0.6656038,r= 3,n= 4096,Ridge
12,28.52620509,6.305161538,44.01020651,0.67175039,r= 3,n= 4096,Ridge
