,Name,Actual,Predict
0,C,111.65,122.494995
1,CC,184.55,187.99266
2,CCC,231.05,235.84785
3,C1CC1,240.35,242.68016
4,CC(C)C,261.45,271.29102
5,CCCC,272.65,277.02533
6,C=CC=C,268.75,279.2553
7,C1CC12CC2,312.15,308.24265
8,C1CC=C1,275.15,280.23788
9,C1CC2C1C2,318.65,312.1488
10,CC1(CC1)C,293.75,302.21176
11,C1C=CC=C1,314.15,317.9429
12,C=C1CCC1,315.35,314.3668
13,CC1=CCC1,310.15,314.54755
14,C1CC=CC1,317.35,316.217
15,CC1CC1C,301.35,305.60742
16,CCC1CC1,309.05,310.29596
17,CC1CCC1,309.45,310.29596
18,CC1CC1C,310.15,305.60742
19,C1CCCC1,322.45,317.82614
20,CC(C)(C)C#C,310.85,319.82608
21,CCC(C)C#C,330.85,334.65723
22,CC(C)CC#C,334.35,335.53937
23,CC#CC(C)C,346.25,343.29303
24,C=CC=CC#C,356.65,350.6518
25,C=CC#CC=C,358.15,350.59344
26,CCCCC#C,344.45,344.34253
27,CCC#CCC,354.15,351.51944
28,CCCC#CC,357.65,356.10092
29,CC(=C)C(=C)C,341.95,341.90173
30,CC(C)(C)C=C,314.35,328.75043
31,CC(C)C(=C)C,328.75,335.8363
32,CCC(C)(C)C#C,343.15,350.67856
33,CC(C)(C)CC#C,349.25,350.75003
34,CC(=C(C)C)C,346.45,344.2301
35,CC#CC(C)(C)C,356.15,356.4117
36,CCC(CC)C#C,357.15,361.92657
37,CC(C)CCC#C,365.15,362.5972
38,CCC#CC(C)C,368.35,367.18414
39,CC#CCC(C)C,375.65,371.28134
40,CCCCCC#C,372.85,372.5815
41,CCCC#CCC,380.35,378.549
42,CCCCC#CC,385.15,383.1061
43,C1C2CC2C3C1C3,378.15,376.51068
44,C1C2C=CC1C=C2,362.65,370.15912
45,C1CC2CC1C=C2,369.15,375.92517
46,C1C=CCC2C1C2,398.15,390.5281
47,C1=CC=CC=CC=C1,413.65,409.57043
48,CC12CCCC1C2,366.25,365.3264
49,C1CC2CCC1C2,378.45,380.69876
50,C1CCC2CC2C1,389.65,382.2515
51,CC1(CC=CC1)C,361.15,359.76453
52,C=CC1CCC1C=C,385.65,386.86697
53,CC1CCC(=C1)C,365.15,367.79742
54,CC1CC=C(C1)C,366.35,366.59125
55,C=CC1CCC=CC1,401.15,400.2746
56,C1CC=CCCC=C1,423.95,421.17407
57,CC(=C)CCC(=C)C,387.45,388.983
58,C=CCCCCC=C,388.65,389.8347
59,CCC1=CCCCC1,410.15,405.4234
60,CC(=CC(C)(C)C)C,379.95,380.91785
61,CC(=C)CC(C)(C)C,374.55,375.19366
62,CC(=CC(C)(C)C)C,378.05,380.91785
63,CCC(C)(C)C(=C)C,381.45,379.6037
64,CC(C)C(=C(C)C)C,389.65,389.1539
65,CC/C=C/C(C)(C)C,373.95,379.80508
66,CC1=C(CCC1)C,378.95,374.9896
67,CC(C)(C)CCC=C,377.15,374.93942
68,CCCC(C)(C)C=C,377.15,380.7632
69,CC/C=C\C(C)(C)C,378.65,380.68738
70,C/C=C\CC(C)(C)C,380.05,377.74185
71,CC=CC(C)C(C)C,382.15,387.14777
72,C#CCCCCCC#C,435.15,430.77338
73,CCC(CC)C(=C)C,382.65,386.53452
74,CC1(CCCC1)C,360.65,364.59128
75,CCCC(C)C(=C)C,383.65,386.26233
76,CC(C)CCC(=C)C,384.75,383.75266
77,CCC(C)C(C)C=C,385.15,381.6033
78,CC(C)CC=C(C)C,385.35,385.4416
79,CCC(C)C(=C)CC,385.65,386.53452
80,CCCC(=C(C)C)C,394.95,394.4955
81,CCCC(CC)C=C,383.45,387.14587
82,CC(C)CC#CC(C)C,403.75,410.98428
83,CCCCC(C)C=C,384.15,387.14587
84,CCCC(C)CC=C,385.95,386.14838
85,CCCCCCCC#C,423.95,425.57977
86,CC(C)CCCC=C,386.35,384.67557
87,CCC(C)CCC=C,386.45,386.6697
88,CCCC(=C)CCC,390.85,394.80768
89,CCCCC#CCCC,425.15,427.02347
90,CCCCCC(=C)C,392.45,394.11993
91,CCCCCC#CCC,430.25,430.09177
92,CCCCC(=C)CC,393.15,395.63235
93,C#CCC1CCCCC1,430.65,431.44595
94,CCCCC=C(C)C,395.75,393.40314
95,CCCCCCC#CC,435.05,434.32294
96,C1CCCC#CCCC1,451.15,451.01163
97,C/C=C/C1=CC=CC=C1,451.45,457.9899
98,C1C=CC2=CC=CC=C21,455.15,464.4799
99,CCC=C(C)C=C(C)C,411.15,413.0978
100,CCC(=CC(=CC)C)C,415.15,413.66306
101,CC(=CCCC(=C)C)C,416.15,413.02576
102,CCC(CC=C)C(=C)C,418.15,411.14386
103,CC=CC=CCC(C)C,422.15,418.92783
104,CCC=CC(=CCC)C,422.65,420.10367
105,C=CCCCCCC=C,415.65,413.76855
106,CC=C1CC2CC1C=C2,419.15,417.55917
107,CC=CCCCC=CC,424.65,424.97784
108,C1CCCCC#CCCC1,477.15,472.05685
109,CC1=CCC(CC1)(C)C,413.15,414.81357
110,CC1=CCCC(C1)(C)C,413.15,412.5716
111,CC1CC(C=C(C1)C)C,414.15,411.62863
112,CCCC=CCC(C)C,412.15,414.38803
113,CCCCCCC=C,394.35,394.75034
114,CC1CCC=C(C1C)C,413.15,413.34677
115,CC1=C(C2CCC1C2)C,413.65,416.44122
116,CCCCCCC(=C)C,417.95,418.93564
117,CC1CC=C(CC1C)C,418.15,414.41913
118,CC1=CCCCC1(C)C,420.15,412.53503
119,CC1CCCC(=C1C)C,423.15,418.52264
120,C=CCC1CCCCC1,405.15,415.99075
121,CCCCCCCC=C,420.05,419.5301
122,CCCCC/C=C/CC,420.65,421.1781
123,C1CCC/C=C\CCC1,441.15,442.482
124,CC(C)(C)CC(C)(C)C,395.35,399.22943
125,CC(C)C(C)C(C)(C)C,406.15,405.52744
126,CCC(C)(C)C(C)(C)C,413.35,408.3056
127,CC(C)C(C)(C)C(C)C,414.65,408.5565
128,CC1(CCC(C1)(C)C)C,391.15,398.74496
129,CC(C)CCC(C)(C)C,397.15,398.8937
130,CCC(C)CC(C)(C)C,399.65,400.36884
131,CCCCCCCCC#C,447.15,455.22287
132,CCCCC#CCCCC,450.15,450.97113
133,CCCCCCC#CCC,450.15,453.94843
134,CCC(C)(C)CC(C)C,403.85,404.44565
