,Name,Actual,Predict
0,C,111.65,111.65
1,CC,184.55,184.55
2,CCC,231.05,255.73986832518023
3,C1CC1,240.35,240.35
4,CC(C)C,261.45,261.45
5,CCCC,272.65,272.65
6,C=CC=C,268.75,288.2046019255728
7,C1CC12CC2,312.15,312.15
8,C1CC=C1,275.15,275.15
9,C1CC2C1C2,318.65,327.87219955697196
10,CC1(CC1)C,293.75,304.7809511713863
11,C1C=CC=C1,314.15,314.15
12,C=C1CCC1,315.35,315.35
13,CC1=CCC1,310.15,310.15
14,C1CC=CC1,317.35,317.35
15,CC1CC1C,301.35,310.15
16,CCC1CC1,309.05,309.05
17,CC1CCC1,309.45,309.45
18,CC1CC1C,310.15,310.15
19,C1CCCC1,322.45,322.45
20,CC(C)(C)C#C,310.85,310.85
21,CCC(C)C#C,330.85,330.85
22,CC(C)CC#C,334.35,334.35
23,CC#CC(C)C,346.25,346.25
24,C=CC=CC#C,356.65,356.65
25,C=CC#CC=C,358.15,358.15
26,CCCCC#C,344.45,344.45
27,CCC#CCC,354.15,354.15
28,CCCC#CC,357.65,357.65
29,CC(=C)C(=C)C,341.95,341.95
30,CC(C)(C)C=C,314.35,321.2511964406589
31,CC(C)C(=C)C,328.75,328.75
32,CCC(C)(C)C#C,343.15,343.15
33,CC(C)(C)CC#C,349.25,344.98667103981387
34,CC(=C(C)C)C,346.45,346.45
35,CC#CC(C)(C)C,356.15,356.15
36,CCC(CC)C#C,357.15,357.15
37,CC(C)CCC#C,365.15,365.15
38,CCC#CC(C)C,368.35,368.35
39,CC#CCC(C)C,375.65,348.1077345446109
40,CCCCCC#C,372.85,372.85
41,CCCC#CCC,380.35,380.35
42,CCCCC#CC,385.15,385.15
43,C1C2CC2C3C1C3,378.15,378.15
44,C1C2C=CC1C=C2,362.65,362.65
45,C1CC2CC1C=C2,369.15,369.15
46,C1C=CCC2C1C2,398.15,398.15
47,C1=CC=CC=CC=C1,413.65,413.65
48,CC12CCCC1C2,366.25,366.25
49,C1CC2CCC1C2,378.45,378.45
50,C1CCC2CC2C1,389.65,389.65
51,CC1(CC=CC1)C,361.15,361.15
52,C=CC1CCC1C=C,385.65,385.65
53,CC1CCC(=C1)C,365.15,365.15
54,CC1CC=C(C1)C,366.35,366.35
55,C=CC1CCC=CC1,401.15,369.9295158832922
56,C1CC=CCCC=C1,423.95,423.95
57,CC(=C)CCC(=C)C,387.45,387.45
58,C=CCCCCC=C,388.65,388.65
59,CCC1=CCCCC1,410.15,410.15
60,CC(=CC(C)(C)C)C,379.95,379.0
61,CC(=C)CC(C)(C)C,374.55,374.55
62,CC(=CC(C)(C)C)C,378.05,379.0
63,CCC(C)(C)C(=C)C,381.45,361.30878576873533
64,CC(C)C(=C(C)C)C,389.65,389.65
65,CC/C=C/C(C)(C)C,373.95,373.95
66,CC1=C(CCC1)C,378.95,378.95
67,CC(C)(C)CCC=C,377.15,377.15
68,CCCC(C)(C)C=C,377.15,372.2306873108027
69,CC/C=C\C(C)(C)C,378.65,378.65
70,C/C=C\CC(C)(C)C,380.05,360.4152096372231
71,CC=CC(C)C(C)C,382.15,382.15
72,C#CCCCCCC#C,435.15,420.703827343195
73,CCC(CC)C(=C)C,382.65,379.50892467312127
74,CC1(CCCC1)C,360.65,360.65
75,CCCC(C)C(=C)C,383.65,372.2970811527489
76,CC(C)CCC(=C)C,384.75,370.5939116873954
77,CCC(C)C(C)C=C,385.15,367.8632392959402
78,CC(C)CC=C(C)C,385.35,370.6756792784012
79,CCC(C)C(=C)CC,385.65,373.0933972575382
80,CCCC(=C(C)C)C,394.95,394.95
81,CCCC(CC)C=C,383.45,373.84000222296
82,CC(C)CC#CC(C)C,403.75,383.19398217780395
83,CCCCC(C)C=C,384.15,376.16014387091815
84,CCCC(C)CC=C,385.95,372.9011861752299
85,CCCCCCCC#C,423.95,423.95
86,CC(C)CCCC=C,386.35,373.888576591558
87,CCC(C)CCC=C,386.45,386.45
88,CCCC(=C)CCC,390.85,381.3132916248157
89,CCCCC#CCCC,425.15,425.15
90,CCCCCC(=C)C,392.45,388.9771166260322
91,CCCCCC#CCC,430.25,430.25
92,CCCCC(=C)CC,393.15,393.15
93,C#CCC1CCCCC1,430.65,430.65
94,CCCCC=C(C)C,395.75,395.75
95,CCCCCCC#CC,435.05,435.05
96,C1CCCC#CCCC1,451.15,451.15
97,C/C=C/C1=CC=CC=C1,451.45,451.45
98,C1C=CC2=CC=CC=C21,455.15,455.15
99,CCC=C(C)C=C(C)C,411.15,411.15
100,CCC(=CC(=CC)C)C,415.15,415.15
101,CC(=CCCC(=C)C)C,416.15,406.4588855152927
102,CCC(CC=C)C(=C)C,418.15,418.15
103,CC=CC=CCC(C)C,422.15,422.15
104,CCC=CC(=CCC)C,422.65,406.36529860460644
105,C=CCCCCCC=C,415.65,415.65
106,CC=C1CC2CC1C=C2,419.15,419.15
107,CC=CCCCC=CC,424.65,424.65
108,C1CCCCC#CCCC1,477.15,477.15
109,CC1=CCC(CC1)(C)C,413.15,411.26442010832267
110,CC1=CCCC(C1)(C)C,413.15,413.15
111,CC1CC(C=C(C1)C)C,414.15,414.15
112,CCCC=CCC(C)C,412.15,412.15
113,CCCCCCC=C,394.35,394.35
114,CC1CCC=C(C1C)C,413.15,413.15
115,CC1=C(C2CCC1C2)C,413.65,413.65
116,CCCCCCC(=C)C,417.95,417.95
117,CC1CC=C(CC1C)C,418.15,412.7720165908481
118,CC1=CCCCC1(C)C,420.15,400.2708706253398
119,CC1CCCC(=C1C)C,423.15,423.15
