,Actual,Predict
2609,478.15,436.9161447452496
8156,439.15,452.72387004297974
2616,478.15,482.8237749610039
4653,398.65,401.83642333334757
8530,489.54,464.27089664723223
10707,454.15,465.6149204361649
11822,472.15,474.8924590593672
3305,382.84,436.4464677144792
6348,548.83,496.5713874367805
5852,428.68,422.4146495502911
9006,605.81,566.7661868950389
8265,455.15,462.3363624304144
6385,563.15,503.50328651350674
624,387.65,474.0446944275631
7698,547.7,516.6849275937677
11902,478.15,485.4285311167312
9290,438.65,439.8859366781648
1634,509.15,481.2197205741341
1383,483.15,498.61143087543877
5324,573.51,546.6585751641339
2876,536.15,463.1591722961198
8935,567.45,548.9600532835058
8998,601.3,579.5851568472643
4684,402.08,403.8699863480528
3422,704.0,455.0732877917268
3963,396.39,393.89691696729363
4889,437.69,456.41822802249544
3487,367.8,366.52557637580827
12068,509.82,490.9408281691543
1662,513.15,532.6990960372327
12438,589.72,560.3876562360508
6630,388.64,402.9768760280407
3094,342.15,459.2425924410112
218,425.95,438.2604213534082
1372,481.65,486.1405220530768
6698,395.68,394.74754249019986
12346,561.45,518.4758092277136
1950,578.15,524.7414612337294
1953,579.15,514.9587935306242
1530,498.15,544.9117222775398
8947,571.36,540.7672375195189
9567,477.15,602.5964892809992
10913,493.55,472.553474301421
10798,470.26,470.7810617841758
6647,390.72,399.92444766634316
3068,322.65,399.13269558591037
2417,440.65,482.1427488542735
11336,581.4,577.7691325507124
8846,541.15,531.0261675678144
5981,452.82,449.00591534559226
10278,573.99,559.0833112063082
9137,390.15,510.9919946126655
7346,472.48,459.122382662644
11563,451.65,520.736816034917
1984,321.15,364.4432904886011
173,447.15,444.2373588093834
5702,409.05,404.7666600272105
11365,596.34,559.9226894390043
3297,366.59,387.0156751245994
8518,487.75,472.088293205227
8276,457.09,464.92315226192864
7209,457.6,463.8218732668395
3669,490.04,469.7596535457416
8582,494.15,493.8239105489794
9720,491.15,489.34924311192253
2392,433.15,480.8761964508429
1236,466.65,481.98366115605194
2189,387.65,468.4890448756867
3468,350.35,367.50463502350306
1043,444.15,483.3430242522596
10934,498.15,479.1877232788891
12123,522.39,508.1331182855505
2589,475.34999999999997,468.2465168796805
7077,443.15,484.7011160275458
5743,416.65,425.04383268459435
10739,457.29,461.45856389110946
3873,365.65,363.59872007774163
3210,383.76,376.55542427068855
720,399.65,418.5679229235594
1213,464.15,478.82288826518516
7090,443.92,429.94962514350743
5045,472.51,472.8525203069689
724,400.65,424.81669110335815
10715,455.15,459.7486684085358
10402,618.99,572.3029167827107
6258,512.48,482.8125556982921
11921,479.15,471.6737516249986
10638,448.15,462.3927751433843
3344,446.15,440.4635246678634
8873,550.08,514.9465727714474
450,431.65,438.84419363370637
7512,499.45,473.02661256677305
10244,565.65,522.1166336920706
3817,337.15,370.60840711319975
10673,452.15,462.53449210140656
290,353.65,375.1199936344425
9810,501.65,491.18146298665505
3011,578.15,523.6399299805383
11430,632.15,620.6143806638062
8810,527.27,498.8299076264515
7633,531.13,523.2996954968496
1369,481.34999999999997,475.43781240225434
10912,493.25,500.0597363641717
2684,494.15,468.7991586656584
839,416.15,410.509577525972
2927,546.15,482.3764072673543
4429,348.715,353.81260662883466
1579,502.15,535.0903409885233
4338,601.96,568.9243541527024
5502,371.15,453.2938736412656
4584,386.17,381.459693897785
7780,582.02,563.6520993836685
6747,402.98,410.3390916087459
749,405.15,508.5023769720665
5747,417.54,424.51411780570004
9054,656.19,622.4075220710254
6464,625.02,578.5708229806078
5503,371.32,376.53448439059827
2655,486.65,430.45667345232755
11224,550.15,519.8398434624735
5965,448.15,420.6437411578013
4874,435.15,447.47152043517195
6595,384.35,387.4320150584033
1427,488.15,477.5599861452813
5049,473.15,507.6775277838987
2087,360.65,484.38443801911876
9330,443.76,438.881299318428
7497,496.96,483.80909111629074
8061,420.64,418.97782113173287
12517,625.78,575.8569766040007
4226,489.32,447.89953814766824
7370,478.54,461.45941485770237
5654,400.89,413.050164773909
970,435.65,432.6155138200251
10365,597.99,567.3026025163578
993,438.15,470.78756288191806
12180,529.06,513.6521354475242
5353,602.52,485.2734310282919
7460,490.78,457.6340350664586
8725,512.15,452.8579560926464
1277,470.65,477.49274215718714
741,404.15,440.80701833898416
1078,447.65,477.07012614737187
4250,504.5,453.7890345436212
4365,658.89,606.5057694200179
5914,439.15,438.8404715917487
3035,592.15,510.44241212067516
2303,414.65,513.8330609273801
2688,492.15,416.56134660146523
6152,488.28,445.81587956263996
8138,435.76,443.87070437640483
11427,627.85,611.3044793081866
4367,677.65,582.9441420019592
8027,415.7,419.2081800474076
3546,405.72,442.4414870488748
944,432.15,431.6931334059874
10107,535.28,536.9059284262197
11689,467.15,471.90267353963156
9380,449.72,470.187267848762
1739,522.15,480.54835373974305
2848,530.15,492.26167425649544
3821,337.74,358.6485207654328
8204,444.45,453.90099533388496
9892,512.54,483.4498578506629
6389,563.49,545.7047664466098
2069,355.15,378.19006081822937
3954,394.65,408.5749261323398
8069,421.59,424.7613649470257
7949,398.15,478.75276219263066
8630,497.65,492.7661139346413
9182,421.2,433.3508438679148
7465,491.33,469.17032991329864
3437,317.15,561.8272937057981
3045,610.15,557.8449152063815
11187,543.02,538.5129042138046
4075,428.16,413.92055441743753
11814,472.15,471.8120307246089
12421,584.2,562.3253296988295
9942,516.47,497.76287336134794
11378,601.68,598.1722185917893
3708,518.08,451.8513998096298
7038,438.88,420.74610566247736
3464,346.15,374.5651094046142
4023,413.15,416.9156663903294
9948,516.81,492.983180081835
4526,377.15,379.08824919159525
8330,462.86,455.88382757075476
1358,481.15,507.3728569214334
1570,501.15,489.74183324021396
4442,353.48,384.70467856930776
11757,470.15,471.9136191476054
4342,606.75,573.0009753597808
9059,664.15,594.4052694918066
10078,531.19,508.0791231403694
586,380.15,396.9676998124471
247,282.55,348.09168834529953
4345,609.18,590.4169954969306
5046,472.87,449.212897550872
3307,384.76,426.8490997165386
6482,660.67,622.2786923978198
1482,493.15,509.8972770307612
3710,520.15,503.1522307457186
9202,425.9,453.010629020019
5611,391.4,418.5843602740121
518,378.65,373.3808852293537
4454,355.86,375.9295961205762
2791,516.15,478.56778224993855
6916,423.85,452.12794182136207
9861,508.88,490.3626578589155
1470,492.15,398.11033258708346
8104,429.29,430.74966953554525
11791,471.15,470.81878851028563
3366,478.91,394.6177447477808
9859,508.65,484.719188487908
11401,611.94,585.5648911618201
50,366.35,384.0801706644394
7642,532.6,507.75592819144765
1730,521.15,481.0346983210738
10206,554.86,525.9373066946719
1593,503.65,490.0145456429122
2407,436.65,419.9382916834393
6561,378.07,398.9171506036341
9295,439.45,438.66503931889423
6810,409.4,438.95145749215646
4053,420.44,424.13311480786484
7924,373.15,488.9498416594645
5937,443.1,428.6177263974989
5270,546.65,447.8037865349881
4015,411.65,375.38023586559325
4600,389.58,391.3105241175091
10860,482.67,501.61957492814594
8829,535.0,521.3051624840548
6119,479.07,446.55007736458
4315,563.11,580.29991213145
379,394.75,400.29254193443523
6341,543.68,527.4475513488885
9350,446.82,439.8206221378881
8768,518.73,506.5999895442115
8524,488.57,470.2309771027238
6822,411.99,411.8396195313441
10591,431.52,468.07725948400474
4313,561.59,519.589843238657
9994,519.7,498.46048541618165
2333,421.75,465.92603658099
5684,406.15,423.6437781906919
9144,393.65,485.66929609228794
10211,557.21,514.3284206186253
3231,444.29,483.7738859670949
6443,599.65,479.5720418564382
10873,484.65,479.2885550005673
4269,523.34,515.2915885702964
1237,467.15,477.9478743924143
10116,536.34,529.6893411676292
5613,391.65,432.3263991251815
11608,463.15,467.882650281111
2128,369.65,457.6559118246649
4925,446.15,548.954599292055
8849,543.48,527.6082561285222
5526,376.67,398.9596769929582
12082,512.04,488.02549130918163
11026,510.15,485.3513079636043
7677,540.3,522.2769453842703
1328,476.45,484.82475785003373
4102,439.65,395.4087078686571
10090,533.02,512.5901927263806
10790,467.35,468.17741918782787
6101,475.56,464.02511273158166
10154,542.92,530.1425875844129
10632,447.52,457.36244754522784
11452,659.46,621.6783894422247
8757,518.15,493.64856085125956
2984,567.15,501.8561477587192
2021,339.15,422.9614587412799
11485,336.65,472.37598878068906
3375,493.02,470.889048549201
12441,590.29,549.3884749320041
11595,460.15,471.84709010975405
2982,566.15,528.4976622799957
11038,513.1,512.4760131441119
6020,460.15,400.96940394651887
149,440.15,436.38184185818056
5758,418.15,418.9830550632321
3702,513.04,531.515443573807
9257,434.08,437.73268236801965
5610,391.31,383.43212255708585
9315,442.66,438.14658157887266
12190,531.5,520.5201498741206
6149,487.15,475.8701155697467
5333,580.9,515.0295704817794
200,429.35,437.782158466243
10984,505.62,499.156109726034
2820,523.15,463.2310542066397
251,304.35,341.20141944149265
8421,472.06,462.21450758960015
2145,371.34999999999997,384.95219200275073
5040,471.69,468.7107131197244
6651,390.85,392.52618479294796
3668,488.34,514.9102051941488
3889,372.9,368.14626820829096
7320,471.06,456.7408340536815
2980,566.65,458.57184354130646
9536,473.24,490.6417068806811
7655,535.12,448.9925871260167
385,404.15,403.92786162838183
6188,496.15,473.5736823863784
3946,391.65,406.6251346768895
6758,403.74,451.78961388527523
12574,659.6,571.84541597779
7244,462.03889,429.1484898664342
3386,520.93,541.3262046497711
4077,428.6,449.6753728847504
4900,439.99,421.43608146278183
744,404.25,409.09057685668273
8918,560.78,544.7776751812168
10258,569.14,553.1933225769632
7174,453.15,507.8194875236537
5773,419.65,429.0153070375917
12176,528.71,516.3480670930329
6346,545.34,514.8253220437141
2391,433.15,522.525847627887
3353,457.3,466.4606530815296
10311,581.53,557.6385414972316
7040,438.88,441.3964701990793
5321,571.41,530.2148028736166
4336,601.0,578.073961915871
4655,398.65,533.3433904140418
7628,529.67,494.41282906331287
10724,455.15,461.5412498870833
6051,465.02,450.67321150648365
1121,452.65,439.0545490621511
10841,478.91,464.86210675114745
9192,424.15,437.7168439259663
3942,390.82,394.5192773713908
357,359.45,375.88848665940816
3060,311.45,386.0499506725354
5964,448.15,449.03635054304635
11520,404.55,520.535817664777
2348,425.65,549.0287719775379
2993,569.15,608.8238441926866
4475,363.02,380.2919251316237
12320,553.32,517.3413093073561
9381,450.82,467.91552276354065
7442,487.26,472.8694031148553
4382,327.45,365.84744192338235
4483,363.46,383.75296131606433
8747,515.65,479.0658425802996
9103,363.65,491.7583067183768
12275,544.03,531.3653175418776
5587,386.64,391.6872531929015
3421,675.25,558.6873452309394
5517,375.15,392.4508216348514
11306,568.56,546.7996739816491
396,382.25,396.633065045332
6887,420.84,425.56570713919683
7625,529.34,459.2128406071792
4024,413.65,413.22681833294826
9787,497.58,485.530956748126
3222,423.28,431.6802802706451
4536,378.28,388.16969062571195
2201,389.15,503.910382231213
6127,481.03,446.6300474857956
8710,509.56,519.0557078291772
7306,469.2,459.0264740221455
12130,522.89,477.31136792003196
2534,464.15,440.15773063638665
135,472.15,479.97107952958913
7272,466.26,452.01997280095
1989,327.15,504.159887006712
5050,474.16,447.08397450857194
47,361.15,382.9758844025924
3635,465.2,427.87183198377153
83,386.45,390.1311510716127
11662,465.15,471.4173524568477
5544,380.74,392.43671169543734
3131,359.65,384.5310969001976
10393,614.33,543.4983597597376
2859,532.95,520.9410092286573
7998,411.15,422.5708526960476
6298,524.74,491.77878995976045
12347,563.02,552.3846296981212
10056,528.9,510.6985570373247
3160,369.65,480.85052221054895
360,359.85,371.23630884428934
9401,454.15,496.2783745304234
8,315.35,347.2252209025476
11658,465.15,468.85730459001843
9999,520.14,505.0871215539771
3698,508.73,501.2910985995365
7159,451.56,441.7410432054351
8794,523.08,492.48042756139927
8538,490.38,484.37075007965245
1650,511.15,485.1467903718605
311,339.45,353.83258954735277
7645,533.04,516.5305014031629
2981,566.15,528.4976622799957
1617,507.15,526.8409498905633
10318,583.02,565.0645421840187
2543,466.15,483.96193694018405
11324,575.34,570.9987882372922
3522,390.1,391.74130660735807
7188,455.65,494.2059233374681
5044,472.15,456.944584224776
2507,458.15,448.57230580606694
7072,442.15,476.4867529843076
12255,540.7,518.4847850861528
5350,597.34,545.2049273635091
5871,431.1,462.2253000840786
8724,512.15,484.40305643396067
9750,494.56,502.84738635949606
4847,428.15,425.042023765076
2677,490.65,490.43263144807077
5459,362.15,377.34925743341074
884,423.15,457.3522596714394
5632,396.05,408.6749959919574
7481,494.65,524.5768837510831
6830,412.83,411.674575155946
2054,351.15,378.19006081822937
3169,285.88,376.79134830353746
10009,521.07,498.2965066023939
5769,419.15,433.0836294313135
113,418.15,420.1333119944424
4132,448.41,435.76346709988275
9004,604.78,556.0819580330595
5479,366.15,509.30672028794766
5945,444.49,441.52216736720686
5171,505.04,513.5553803579073
4901,440.31,428.2849675695698
1153,458.15,507.11147652671616
8655,501.15,504.7290312232958
7049,439.98,433.10958267128245
3115,354.15,455.63400429841744
4768,414.15,401.05420463228893
9883,511.15,460.65539845844035
7502,497.8,488.7147510125723
2319,418.15,493.8090672510976
6210,501.44,501.350574534769
5099,486.43,483.55357334528
11291,564.49,551.4671809094098
5140,496.83,492.2737544434324
4129,448.06,433.1846409854917
4890,437.69,463.39159674131037
8875,550.15,531.7821117598271
6438,597.59,549.6207622247239
5372,627.01,549.5555711716679
429,398.75,400.3022079687588
763,407.9,425.4697554043835
9015,610.9,554.04050306576
927,430.15,430.8743280459262
4676,401.15,414.47151998705755
2308,415.65,428.14533242384164
850,418.15,408.9001364167998
5095,486.15,468.8364759534976
1351,480.15,522.0785662387799
5186,510.93,516.8506073351871
9440,459.62,463.590751078774
12573,658.52,633.6582991554061
9187,422.68,434.9087865706046
5418,340.65,426.1432684057047
8750,516.15,507.29877898193615
7100,444.65,410.3943614117409
4896,439.15,430.8987305748169
1825,538.65,492.35779071191024
11687,467.15,468.00577933371744
12447,592.72,541.5918141731821
12160,527.15,476.5992898672733
9584,479.65,485.654190964533
3314,395.67,433.3505836584734
4341,604.13,548.2806766722973
2874,535.8499999999999,518.4607082522251
8660,501.86,488.8941931535114
3069,323.54999999999995,364.5128295215202
99,422.15,417.3226574922755
5817,424.72,428.540470685531
12024,499.51,478.7782179491769
11947,483.16,476.47688542288824
11299,566.84,551.842767235542
1747,523.15,480.48383215342426
1166,459.15,472.9973392153793
6879,420.16,440.5191048851933
1053,445.15,445.20128060339914
3325,409.08,429.98848097164705
304,364.85,382.98999434200647
7841,626.68,589.7708414794354
5336,582.84,457.99635076635576
538,429.75,426.36678388357484
6066,468.99,474.8158419567065
