,MAE,MAPE(%),RMSE,R2,Radius,nBits,Model
0,0,0,0,0,0,0,0
1,25.29408165,5.582068054,38.5600669,0.747917937,r= 2,n= 1024,CB
2,27.22098126,5.993851342,42.1532725,0.699721924,r= 2,n= 1024,CB
3,25.48680215,5.62325291,38.93437194,0.743100208,r= 2,n= 1024,CB
4,26.02864266,5.747241998,39.50656997,0.73539074,r= 2,n= 2048,CB
5,27.66099191,6.098204844,42.34926324,0.69692316,r= 2,n= 2048,CB
6,26.19190346,5.782343845,39.80002338,0.731549597,r= 2,n= 2048,CB
7,26.74990294,5.908304557,40.36952638,0.723704573,r= 2,n= 4096,CB
8,27.91148787,6.172948868,42.37046993,0.696619548,r= 2,n= 4096,CB
9,26.86607984,5.934773183,40.57409383,0.721005871,r= 2,n= 4096,CB
10,25.63536676,5.655287863,38.51307481,0.748531973,r= 3,n= 1024,CB
11,27.81526309,6.126250671,42.42886792,0.695782691,r= 3,n= 1024,CB
12,25.85339095,5.702391609,38.9224504,0.743257507,r= 3,n= 1024,CB
13,24.59916332,5.441189312,37.5503483,0.760946929,r= 3,n= 2048,CB
14,27.15342957,5.999644027,41.96867952,0.702346055,r= 3,n= 2048,CB
15,24.85463043,5.497043635,38.01537013,0.755084736,r= 3,n= 2048,CB
16,28.0363083,6.186723694,41.87343136,0.702735198,r= 3,n= 4096,CB
17,29.11243299,6.426702403,43.47715124,0.68056449,r= 3,n= 4096,CB
18,28.14393783,6.210725369,42.03658247,0.700530769,r= 3,n= 4096,CB
19,25.86019069,5.704223726,38.60075313,0.747385693,r= 4,n= 1024,CB
20,28.28562673,6.233058692,42.77618939,0.690781677,r= 4,n= 1024,CB
21,26.10277274,5.757115605,39.03846759,0.741724668,r= 4,n= 1024,CB
22,24.80333019,5.483279935,37.58706358,0.760479227,r= 4,n= 2048,CB
23,27.24426185,6.021400445,41.86359884,0.703834714,r= 4,n= 2048,CB
24,25.04746204,5.537100515,38.03643109,0.754813289,r= 4,n= 2048,CB
25,27.12166108,5.985884246,40.7829064,0.718017126,r= 4,n= 4096,CB
26,28.49504656,6.284227904,42.82126614,0.690129637,r= 4,n= 4096,CB
27,27.2590214,6.01572334,40.99133681,0.715238305,r= 4,n= 4096,CB
