,MAE,MAPE(%),RMSE,R2,Radius,nBits,Model
0,0,0,0,0,0,0,0
1,34.99165711,7.254077942,49.10424943,0.591205973,r= 2,n= 1024,KNN
2,39.22662604,8.144375966,54.61326013,0.495969012,r= 2,n= 1024,KNN
3,35.41522113,7.343121856,49.68273801,0.581680173,r= 2,n= 1024,KNN
4,1.41855573,0.322730079,8.47793457,0.987814411,r= 2,n= 2048,KNN
5,35.98625337,7.484008983,53.7214829,0.512295214,r= 2,n= 2048,KNN
6,4.875873405,1.038971478,18.79713315,0.940120159,r= 2,n= 2048,KNN
7,31.69169623,6.615319131,45.68351167,0.64617758,r= 2,n= 4096,KNN
8,36.66503832,7.648986177,52.06989518,0.541821781,r= 2,n= 4096,KNN
9,32.18910927,6.718702219,46.36186157,0.63573358,r= 2,n= 4096,KNN
10,35.53113877,7.314254738,49.49464145,0.584680089,r= 3,n= 1024,KNN
11,41.29566851,8.484567209,57.54724718,0.440358206,r= 3,n= 1024,KNN
12,36.10768312,7.431304535,50.35801632,0.570231447,r= 3,n= 1024,KNN
13,1.32427822,0.302774538,8.223153019,0.988535816,r= 3,n= 2048,KNN
14,38.75734179,7.932265023,56.68729213,0.456959205,r= 3,n= 2048,KNN
15,5.068177904,1.065844517,19.55129133,0.935218903,r= 3,n= 2048,KNN
16,27.81302917,5.819039232,40.76412016,0.718276851,r= 3,n= 4096,KNN
17,37.36048021,7.83039571,53.67364226,0.51316346,r= 3,n= 4096,KNN
18,28.7679256,6.020206761,42.23325058,0.697722081,r= 3,n= 4096,KNN
19,28.30445873,5.862159181,40.58746615,0.720713292,r= 4,n= 1024,KNN
20,44.26917669,9.159340932,61.51399035,0.3605467,r= 4,n= 1024,KNN
21,29.90118358,6.191929618,43.1397628,0.684606375,r= 4,n= 1024,KNN
22,30.71894,6.358795401,44.01443198,0.671559586,r= 4,n= 2048,KNN
23,39.67032812,8.184840703,55.70844629,0.475551165,r= 4,n= 2048,KNN
24,31.6142207,6.541428874,45.3200263,0.651921089,r= 4,n= 2048,KNN
25,1.444930919,0.332167762,8.407897829,0.988014912,r= 4,n= 4096,KNN
26,36.775598,7.585166349,54.41225706,0.499672338,r= 4,n= 4096,KNN
27,4.978557631,1.057582583,18.96677755,0.939034448,r= 4,n= 4096,KNN
