,MAE,MAPE(%),RMSE,R2,Radius,nBits,Model
0,0,0,0,0,0,0,0
1,27.79980447,6.15348977,43.17115072,0.684024334,r= 2,n= 1024,Ridge
2,29.1926309,6.418392734,44.06217728,0.671910041,r= 2,n= 1024,Ridge
3,27.93910919,6.179984265,43.26109346,0.682829789,r= 2,n= 1024,Ridge
4,27.32069063,6.053257128,42.75117291,0.690142183,r= 2,n= 2048,Ridge
5,28.69703645,6.302246031,43.81106161,0.675639033,r= 2,n= 2048,Ridge
6,27.45834703,6.078159965,42.85835826,0.688707636,r= 2,n= 2048,Ridge
7,27.32036778,6.056093548,42.87426934,0.688355224,r= 2,n= 4096,Ridge
8,28.34131826,6.229150165,43.85750738,0.674950934,r= 2,n= 4096,Ridge
9,27.42247901,6.073401953,42.97362123,0.68703101,r= 2,n= 4096,Ridge
10,29.84978463,6.590315116,45.09226392,0.655276835,r= 3,n= 1024,Ridge
11,30.77889904,6.761825432,45.76773472,0.646019069,r= 3,n= 1024,Ridge
12,29.9427108,6.607468866,45.16027642,0.654370671,r= 3,n= 1024,Ridge
13,29.04345162,6.417599173,44.67651266,0.661604235,r= 3,n= 2048,Ridge
14,29.9925635,6.59920329,44.86525648,0.659841489,r= 3,n= 2048,Ridge
15,29.13837785,6.435762464,44.69542591,0.661449417,r= 3,n= 2048,Ridge
16,27.87361343,6.172799526,43.08130402,0.685338167,r= 3,n= 4096,Ridge
17,29.54887968,6.479429218,44.53531197,0.664826225,r= 3,n= 4096,Ridge
18,28.04116661,6.203467355,43.22892898,0.683301244,r= 3,n= 4096,Ridge
19,30.12901693,6.651444367,45.25406793,0.652798465,r= 4,n= 1024,Ridge
20,31.13115834,6.839790921,45.90103866,0.643954043,r= 4,n= 1024,Ridge
21,30.22924695,6.670282008,45.31919094,0.65193392,r= 4,n= 1024,Ridge
22,29.43355249,6.50640294,44.96407509,0.657234016,r= 4,n= 2048,Ridge
23,30.17582331,6.644509515,45.08596766,0.656486489,r= 4,n= 2048,Ridge
24,29.50779134,6.520215787,44.97628115,0.657181309,r= 4,n= 2048,Ridge
25,28.38006546,6.289144544,43.39227148,0.680779218,r= 4,n= 4096,Ridge
26,29.53172915,6.503967024,44.74655031,0.661639116,r= 4,n= 4096,Ridge
27,28.49525009,6.310630197,43.52961716,0.678880188,r= 4,n= 4096,Ridge
