,MAE,MAPE(%),RMSE,R2,Radius,nBits,Model
0,0,0,0,0,0,0,0
1,19.777106,4.398629091,29.9218244,0.848210221,r= 2,n= 1024,XGB
5,25.43555374,5.586803979,40.92369316,0.716984206,r= 2,n= 2048,XGB
3,20.39719841,4.528116077,31.23221331,0.834688552,r= 2,n= 1024,XGB
4,17.71449396,3.951161566,27.39465353,0.872767514,r= 2,n= 2048,XGB
8,25.60395914,5.648661689,40.6661602,0.720535037,r= 2,n= 4096,XGB
6,18.48672232,4.114751733,29.03290984,0.857150562,r= 2,n= 2048,XGB
7,19.6539519,4.384571875,30.16354287,0.845747899,r= 2,n= 4096,XGB
2,25.97704741,5.693293748,41.18912848,0.71330096,r= 2,n= 1024,XGB
9,20.24904694,4.511000893,31.37261284,0.833198948,r= 2,n= 4096,XGB
10,18.13656374,4.048009901,27.20335143,0.874538287,r= 3,n= 1024,XGB
11,26.04534137,5.722396413,40.99601399,0.715983025,r= 3,n= 1024,XGB
12,18.92756686,4.215475092,28.88082966,0.85864319,r= 3,n= 1024,XGB
13,21.84515436,4.852938834,32.75470785,0.818107895,r= 3,n= 2048,XGB
17,26.30356408,5.786222359,41.56356395,0.708064713,r= 3,n= 4096,XGB
15,22.34723298,4.958874769,33.79260069,0.806473413,r= 3,n= 2048,XGB
16,19.99408299,4.469105024,30.84209749,0.838729772,r= 3,n= 4096,XGB
23,26.30822972,5.817392931,42.08522102,0.700690668,r= 4,n= 2048,XGB
18,20.62513111,4.600837634,32.07610901,0.825634417,r= 3,n= 4096,XGB
19,19.744182,4.396414703,29.3590571,0.853866228,r= 4,n= 1024,XGB
20,26.55389591,5.834601047,41.65111434,0.70683354,r= 4,n= 1024,XGB
21,20.42526133,4.540256134,30.80996882,0.839128199,r= 4,n= 1024,XGB
22,19.1758659,4.286992727,29.07676911,0.856662877,r= 4,n= 2048,XGB
26,26.68444045,5.899332631,41.4592924,0.709527646,r= 4,n= 4096,XGB
24,19.88921534,4.440057005,30.62750247,0.841028024,r= 4,n= 2048,XGB
25,22.20172086,4.945518622,33.6051858,0.808539588,r= 4,n= 4096,XGB
14,26.86514489,5.9121303,41.99346584,0.701994368,r= 3,n= 2048,XGB
27,22.65006387,5.040915141,34.47135476,0.798621033,r= 4,n= 4096,XGB
