iter	RMSE
0	76.48916265
1	76.39678879
2	76.24645351
3	75.74477801
4	75.66440474
5	75.59989611
6	75.56374278
7	75.4782913
8	75.39259057
9	75.30104365
10	75.22067119
11	75.08662424
12	75.05740461
13	75.01379262
14	75.00743604
15	74.89993527
16	74.82988074
17	74.8167169
18	74.39602103
19	74.36164413
20	74.27616207
21	74.18229841
22	73.73459831
23	73.64980113
24	73.47148511
25	73.44256919
26	73.2068824
27	73.15875276
28	73.13370487
29	73.04222104
30	72.78633783
31	72.76637788
32	72.70757334
33	72.66096115
34	72.61763461
35	72.60073041
36	72.57207624
37	72.3990876
38	72.38982497
39	72.36495363
40	72.23729806
41	72.21894378
42	72.14828049
43	72.12086095
44	72.06972543
45	72.06303045
46	71.73973442
47	71.72981884
48	71.72574805
49	71.56938946
50	71.56078011
51	71.48074774
52	71.37052161
53	71.33304281
54	71.21630431
55	71.19428513
56	71.13911515
57	71.07712494
58	71.01868488
59	70.51941858
60	70.49061103
61	70.24927318
62	70.24015254
63	70.20589467
64	70.14080327
65	70.13065561
66	70.05314472
67	70.04195326
68	69.83853203
69	69.80540916
70	69.6605733
71	69.63783952
72	69.63073424
73	69.61381314
74	69.6004072
75	69.51680163
76	69.50994824
77	69.48919377
78	69.4030653
79	69.36195982
80	69.35408807
81	69.29093565
82	69.28043557
83	69.11688089
84	69.02415871
85	68.96958905
86	68.87052278
87	68.78853097
88	68.69599606
89	68.66125748
90	68.55476523
91	68.54816652
92	68.54012252
93	68.46382477
94	68.44422386
95	68.27574836
96	68.2000268
97	68.08873522
98	68.05175839
99	67.98835557
100	67.84597824
101	67.73760138
102	67.68072306
103	67.30979311
104	67.29391866
105	67.23267315
106	67.1563532
107	67.04826791
108	67.04355569
109	66.95747219
110	66.91045755
111	66.88214572
112	66.85909929
113	66.8086214
114	66.67390179
115	66.64003855
116	66.59466618
117	66.34674267
118	66.14548863
119	66.14187791
120	66.09721686
121	66.06936619
122	65.97302447
123	65.83583888
124	65.62259827
125	65.56565429
126	65.55847459
127	65.49564207
128	65.47136708
129	65.46563882
130	65.45632999
131	65.43396401
132	65.35835215
133	65.29199883
134	65.28276365
135	65.22519127
136	65.1521088
137	65.12571655
138	65.08703837
139	65.00056754
140	64.91892773
141	64.89810773
142	64.8838487
143	64.88287714
144	64.82833791
145	64.81087821
146	64.7756187
147	64.71938864
148	64.70742037
149	64.59684283
150	64.57040725
151	64.48332449
152	64.44628985
153	64.36351525
154	64.35362691
155	64.31774427
156	64.17927109
157	64.1152101
158	64.10872612
159	64.02170274
160	64.01089531
161	63.96314885
162	63.95736316
163	63.89252514
164	63.87534324
165	63.84531797
166	63.79070345
167	63.70105039
168	63.61672235
169	63.54506183
170	63.53546126
171	63.46922867
172	63.43980573
173	63.41118051
174	63.36825122
175	63.35640978
176	63.19620247
177	63.1148587
178	63.07174593
179	63.0561249
180	62.98480597
181	62.85679323
182	62.71554142
183	62.70472578
184	62.68935087
185	62.54496385
186	62.5251774
187	62.47796625
188	62.46620516
189	62.45542604
190	62.4406115
191	62.43168915
192	62.36995749
193	62.36341641
194	62.33882144
195	62.2766283
196	62.25684287
197	62.22846581
198	62.20253532
199	62.12241606
200	62.06586786
201	62.04816732
202	62.03304662
203	61.89866724
204	61.76787828
205	61.71513725
206	61.70893337
207	61.62779204
208	61.53389835
209	61.48494352
210	61.46377711
211	61.44326924
212	61.42381089
213	61.41230173
214	61.40564857
215	61.36912808
216	61.35602689
217	61.2352932
218	61.16276362
219	60.99535092
220	60.91456802
221	60.85650465
222	60.82886534
223	60.81758859
224	60.70621153
225	60.5962438
226	60.57912174
227	60.51073702
228	60.43021462
229	60.39731319
230	60.3464313
231	60.33667451
232	60.18874069
233	60.18559835
234	60.12868441
235	60.09920422
236	60.09127875
237	59.93669641
238	59.87123935
239	59.85515056
240	59.8467472
241	59.77279463
242	59.76074462
243	59.74275117
244	59.66247059
245	59.65771818
246	59.59270041
247	59.56257822
248	59.52465011
249	59.47960208
250	59.45337523
251	59.38974175
252	59.37853337
253	59.36488204
254	59.33266189
255	59.27957357
256	59.16741308
257	59.1509938
258	59.14416558
259	59.00872745
260	58.9166199
261	58.8603176
262	58.82454693
263	58.78615418
264	58.76927906
265	58.73452296
266	58.67191072
267	58.61048589
268	58.5571865
269	58.54481752
270	58.53744532
271	58.39620271
272	58.26820452
273	58.23745171
274	58.19779628
275	58.16772853
276	58.10138084
277	58.02362405
278	57.94221262
279	57.92335973
280	57.78966648
281	57.68533
282	57.66580026
283	57.64111601
284	57.61343898
285	57.58227394
286	57.4046934
287	57.33693626
288	57.30492678
289	57.24075342
290	57.19124243
291	57.10917771
292	56.97969493
293	56.9169275
294	56.80403532
295	56.79255836
296	56.75125783
297	56.70882177
298	56.58417312
299	56.48285806
300	56.43823984
301	56.31018396
302	56.21114199
303	56.07315617
304	56.01360006
305	55.97768753
306	55.95634522
307	55.93742202
308	55.89879829
309	55.84952628
310	55.80572915
311	55.71062003
312	55.51086623
313	55.37192256
314	55.28488952
315	55.04441174
316	54.96416226
317	54.89096573
318	54.73588201
319	54.65947522
320	54.6231803
321	54.59324521
322	54.51345197
323	54.42346875
324	54.14086166
325	54.08708481
326	53.99002951
327	53.89754716
328	53.86430582
329	53.64722238
330	53.58533978
331	53.39360985
332	53.2379589
333	52.93198653
334	52.76154277
335	52.50090363
336	52.36853786
337	52.2687096
338	52.08432399
339	51.8253149
340	51.6542804
341	51.45035074
342	51.27485743
343	51.20778528
344	50.95085234
345	50.83231016
346	50.68650584
347	50.49772712
348	50.33580636
349	50.15468829
350	50.04195285
351	49.9108187
352	49.79582678
353	49.68105093
354	49.5646354
355	49.39009569
356	49.17740126
357	49.0902884
358	48.73146034
359	48.59567546
360	48.42380166
361	48.23147213
362	48.12075771
363	48.01152715
364	47.74023989
365	47.51286712
366	47.38821133
367	47.14085918
368	47.05321716
369	46.91330353
370	46.80458665
371	46.6775427
372	46.4262686
373	46.30185591
374	46.15379216
375	45.93412406
376	45.76842249
377	45.53928112
378	45.31591618
379	45.16021859
380	44.93608292
381	44.67812613
382	44.47483558
383	44.36657078
384	44.10089774
385	44.01268424
386	43.88527062
387	43.79028969
388	43.65645801
389	43.49896358
390	43.32167565
391	43.18110292
392	42.95642273
393	42.87313093
394	42.71985206
395	42.58662651
396	42.39326208
397	42.32074353
398	42.14931104
399	41.96874897
400	41.84089342
401	41.72800471
402	41.5866167
403	41.47569186
404	41.37442701
405	41.28592301
406	41.15922383
407	41.09239946
408	40.92278682
409	40.81447501
410	40.71975203
411	40.62451314
412	40.56606745
413	40.43344124
414	40.37648524
415	40.28067299
416	40.17234327
417	40.07034308
418	39.99879187
419	39.84027776
420	39.7929742
421	39.72522537
422	39.64228111
423	39.55484108
424	39.46764603
425	39.38716107
426	39.29011643
427	39.21724657
428	39.15756641
429	39.10335841
430	39.0469949
431	38.94624129
432	38.81586656
433	38.73425026
434	38.6905862
435	38.64655225
436	38.58477513
437	38.52540098
438	38.48817294
439	38.40742754
440	38.35068337
441	38.3054716
442	38.2514833
443	38.18509385
444	38.13994389
445	38.07654545
446	38.02855049
447	37.96551629
448	37.93289763
449	37.87045888
450	37.79634963
451	37.73934393
452	37.66726431
453	37.61275473
454	37.56897855
455	37.51772129
456	37.42987478
457	37.37188971
