iter	Passed	Remaining
0	3	3500
1	6	3399
2	9	3217
3	12	3147
4	15	3076
5	18	3036
6	21	3002
7	24	2977
8	26	2962
9	29	2950
10	32	2933
11	35	2919
12	38	2902
13	41	2895
14	44	2900
15	47	2900
16	49	2887
17	52	2879
18	56	2892
19	59	2894
20	61	2885
21	64	2877
22	67	2872
23	70	2865
24	73	2868
25	76	2861
26	79	2853
27	82	2848
28	84	2842
29	87	2838
30	90	2839
31	93	2832
32	96	2824
33	99	2819
34	102	2816
35	105	2809
36	107	2803
37	110	2800
38	113	2793
39	116	2787
40	119	2796
41	122	2800
42	126	2802
43	128	2798
44	131	2795
45	134	2795
46	137	2792
47	140	2787
48	143	2782
49	146	2777
50	149	2772
51	151	2767
52	154	2763
53	157	2761
54	160	2756
55	163	2755
56	166	2759
57	170	2758
58	172	2753
59	175	2750
60	178	2748
61	181	2744
62	184	2739
63	187	2734
64	190	2732
65	193	2735
66	196	2731
67	199	2727
68	202	2723
69	204	2718
70	207	2716
71	210	2715
72	213	2710
73	216	2706
74	219	2702
75	222	2698
76	225	2694
77	227	2690
78	230	2687
79	233	2682
80	236	2677
81	239	2674
82	242	2670
83	244	2667
84	247	2664
85	250	2659
86	253	2656
87	256	2655
88	259	2651
89	262	2647
90	264	2644
91	267	2640
92	270	2639
93	273	2635
94	276	2632
95	279	2629
96	282	2625
97	285	2624
98	288	2623
99	291	2622
100	295	2624
101	298	2623
102	301	2620
103	304	2617
104	306	2613
105	309	2609
106	312	2605
107	315	2602
108	318	2598
109	321	2594
110	323	2590
111	326	2586
112	329	2584
113	332	2579
114	335	2576
115	337	2572
116	340	2568
117	343	2567
118	346	2565
119	349	2561
120	352	2560
121	355	2558
122	358	2556
123	361	2554
124	364	2551
125	367	2548
126	370	2547
127	374	2545
128	377	2546
129	380	2544
130	384	2545
131	387	2543
132	390	2543
133	393	2541
134	396	2538
135	400	2539
136	403	2540
137	407	2541
138	410	2540
139	414	2542
140	417	2541
141	421	2542
142	425	2544
143	428	2543
144	431	2543
145	435	2544
146	438	2543
147	442	2543
148	445	2543
149	449	2542
150	452	2542
151	456	2541
152	459	2542
153	463	2541
154	466	2540
155	470	2540
156	473	2540
157	477	2539
158	480	2538
159	483	2537
160	487	2536
161	490	2535
162	494	2535
163	497	2534
164	501	2535
165	505	2534
166	508	2534
167	512	2534
168	515	2532
169	518	2530
170	522	2530
171	525	2528
172	529	2526
173	531	2521
174	535	2519
175	538	2519
176	541	2517
177	545	2515
178	548	2514
179	552	2513
180	556	2513
181	559	2513
182	563	2511
183	566	2510
184	570	2508
185	573	2506
186	576	2504
187	580	2502
188	583	2500
189	586	2498
190	589	2495
191	593	2493
192	596	2491
193	599	2489
194	603	2488
195	607	2487
196	610	2485
197	614	2483
198	617	2481
199	620	2479
200	623	2476
201	627	2474
202	630	2471
203	633	2469
204	636	2467
205	640	2465
206	644	2464
207	647	2464
208	651	2461
209	654	2460
210	658	2457
211	661	2455
212	664	2452
213	668	2451
214	671	2448
215	675	2448
216	679	2450
217	683	2449
218	687	2447
219	690	2445
220	694	2446
221	698	2443
222	701	2440
223	704	2437
224	708	2436
225	711	2435
226	715	2432
227	718	2431
228	722	2429
229	725	2427
230	729	2424
231	732	2420
232	735	2417
233	738	2414
234	741	2411
235	745	2408
236	747	2401
237	750	2398
238	753	2395
239	756	2393
240	759	2389
241	763	2386
242	766	2383
243	769	2380
244	772	2377
245	775	2374
246	778	2371
247	781	2367
248	785	2364
249	788	2362
250	792	2360
251	795	2357
252	798	2354
253	802	2352
254	805	2349
255	807	2345
256	810	2340
257	813	2336
258	816	2332
259	819	2329
260	822	2325
261	826	2324
262	829	2321
263	832	2317
264	835	2313
265	838	2310
266	841	2306
267	844	2302
268	846	2298
269	849	2294
270	852	2290
271	855	2286
272	858	2282
273	861	2278
274	864	2275
275	867	2272
276	870	2268
277	873	2264
278	876	2260
279	879	2257
280	881	2253
281	884	2249
282	887	2245
283	890	2241
284	893	2238
285	896	2234
286	899	2230
287	901	2226
288	904	2222
289	907	2218
290	910	2215
291	913	2211
292	916	2207
293	919	2203
294	921	2200
295	924	2196
296	927	2193
297	930	2189
298	933	2185
299	936	2181
300	939	2178
301	942	2174
302	944	2170
303	947	2166
304	950	2163
305	953	2159
306	956	2156
307	959	2152
308	962	2148
309	965	2145
310	967	2141
311	971	2138
312	973	2134
313	976	2131
314	979	2127
315	982	2123
316	985	2120
317	988	2116
318	991	2112
319	993	2109
320	996	2105
321	999	2101
322	1003	2099
323	1006	2096
324	1009	2093
325	1012	2090
326	1015	2087
327	1019	2085
328	1022	2082
329	1025	2079
330	1028	2076
331	1032	2073
332	1035	2070
333	1038	2068
334	1041	2065
335	1045	2062
336	1048	2060
337	1052	2057
338	1055	2054
339	1058	2051
340	1061	2048
341	1065	2046
342	1068	2043
343	1071	2040
344	1074	2037
345	1077	2034
346	1081	2031
347	1084	2028
348	1087	2025
349	1090	2022
350	1094	2019
351	1097	2016
352	1100	2013
353	1103	2011
354	1106	2008
355	1110	2005
356	1113	2002
357	1116	1999
358	1120	1996
359	1123	1994
360	1126	1991
361	1129	1988
362	1133	1985
363	1136	1982
364	1139	1979
365	1142	1976
366	1146	1973
367	1149	1970
368	1152	1967
369	1155	1964
370	1158	1961
371	1162	1958
372	1165	1955
373	1168	1953
374	1172	1950
375	1175	1947
376	1178	1944
377	1181	1941
378	1184	1938
379	1188	1935
380	1191	1932
381	1194	1929
382	1197	1926
383	1201	1923
384	1204	1920
385	1207	1917
386	1210	1913
387	1212	1910
388	1215	1906
389	1218	1903
390	1221	1899
391	1224	1896
392	1227	1892
393	1230	1889
394	1233	1886
395	1236	1882
396	1239	1879
397	1242	1875
398	1245	1872
399	1248	1869
400	1251	1865
401	1254	1862
402	1257	1859
403	1260	1856
404	1263	1852
405	1266	1849
406	1268	1845
407	1271	1842
408	1274	1838
409	1277	1835
410	1280	1832
411	1283	1828
412	1286	1825
413	1289	1821
414	1292	1818
415	1295	1814
416	1297	1811
417	1300	1808
418	1303	1804
419	1306	1801
420	1309	1797
421	1312	1794
422	1315	1790
423	1317	1787
424	1320	1783
425	1323	1780
426	1326	1776
427	1329	1773
428	1332	1769
429	1334	1766
430	1337	1763
431	1340	1759
432	1343	1756
433	1346	1752
434	1349	1749
435	1352	1746
436	1355	1743
437	1358	1739
438	1361	1736
439	1364	1733
440	1366	1729
441	1369	1726
442	1372	1722
443	1375	1719
444	1378	1715
445	1381	1712
446	1384	1709
447	1387	1705
448	1390	1702
449	1393	1699
450	1395	1696
451	1399	1693
452	1402	1690
453	1405	1687
454	1408	1684
455	1411	1681
456	1415	1678
457	1418	1675
458	1421	1672
459	1424	1669
460	1427	1666
461	1431	1663
462	1434	1660
463	1437	1657
464	1440	1654
465	1443	1651
466	1446	1648
467	1450	1645
468	1453	1642
469	1456	1639
470	1460	1636
471	1464	1635
472	1468	1632
473	1471	1629
474	1474	1626
475	1477	1623
476	1481	1621
477	1484	1618
478	1488	1615
479	1491	1612
480	1494	1609
481	1497	1606
482	1500	1603
483	1503	1600
484	1507	1597
485	1510	1594
486	1513	1591
487	1516	1588
488	1519	1584
489	1522	1581
490	1525	1578
491	1529	1575
492	1532	1572
493	1535	1569
494	1538	1566
495	1541	1563
496	1544	1560
497	1547	1557
498	1551	1554
