,Name,SMILES
0,['Methylnitrite'],CON=O
1,['Diazomethane'],C=[N+]=[N-]
2,['Methylamine'],CN
3,"['Diazene, Dimethyl-']",CN=NC
4,['Isopropyl Nitrate'],CC(C)O[N+](=O)[O-]
5,['N-Methylolmethacrylamide'],CC(=C)C(=O)NCO
6,"['1,2-Benzisoxazole']",C1=CC=C2C(=C1)C=NO2
7,['M-Nitroacetanilide'],CC(=O)NC1=CC(=CC=C1)[N+](=O)[O-]
8,['2-Nitroacetanilide'],None
9,['4-Nitroacetanilide'],CC(=O)NC1=CC=C(C=C1)[N+](=O)[O-]
10,['Phenoxypropazine'],CC(COC1=CC=CC=C1)NN
11,"['2,6-Di-t-Butylpyridine']",CC(C)(C)C1=NC(=CC=C1)C(C)(C)C
12,"['Pyridine, 1-Oxide']",C1=CC=[N+](C=C1)[O-]
13,['Octamylamine'],CC(C)CCCC(C)NCCC(C)C
14,"['Ethylamine, 2-Phenoxy-']",C1=CC=C(C=C1)OCCN
15,['Nitromethane'],C[N+](=O)[O-]
16,['Paramethadione'],CCC1(C(=O)N(C(=O)O1)C)C
17,"['Methanaminium, N,n,n-Trimethyl-, Formate']",C[N+](C)(C)C.C(=O)[O-]
18,"['2-Butanamine, 3,3-Dimethyl-']",CC(C(C)(C)C)N
19,['1-Nitro-2-Isopropylbenzene'],None
20,['2-Methylpropanenitrile'],CC(C)C#N
21,['1-Ethyl-Pyrrolidine'],CCN1CCCC1
22,['2-(methoxymethyl)-5-No2 Furan'],None
23,"['1,2-Ethanediamine, N,n-Dimethyl-']",CN(C)CCN
24,"['Butanenitrile, 4,4-Diethoxy-']",CCOC(CCC#N)OCC
25,['N-Pentylamine'],CCCCCN
26,['Amyl Nitrite'],CCCCCON=O
27,['N-Ethylamphetamine'],CCNC(C)CC1=CC=CC=C1
28,['2-Nitro-1-Butanol'],CCC(CO)[N+](=O)[O-]
29,"['2-Piperidinone, 1-Methyl-']",CN1CCCCC1=O
30,"['Morpholine, 4-(1-Cyclopenten-1-Yl)-']",C1CC=C(C1)N2CCOCC2
31,['Nitroacetic Acid Ethyl Ester'],CCOC(=O)C[N+](=O)[O-]
32,['Peroxyacetylnitrate'],None
33,"['Propane, 1-Isocyanato-2-Methyl-']",CC(C)CN=C=O
34,['3-Methyl-2-Nitrophenol'],CC1=C(C(=CC=C1)O)[N+](=O)[O-]
35,['Trimethylacetonitrile'],CC(C)(C)C#N
36,['N-Methylpiperidine'],CN1CCCCC1
37,"['P-Menthane-1,8-Diyldiamine']",CC1(CCC(CC1)C(C)(C)N)N
38,"['1-Butanamine, N-Ethyl-']",CCCCNCC
39,['Cyanoacetic Acid'],C(C#N)C(=O)O
40,"['Ethanamine, 2-Ethoxy-']",CCOCCN
41,['Cyclopentanamine'],C1CCC(C1)N
42,['O-Butyl Carbamate'],None
43,"['Oxazole, 2,4-Dimethyl-']",CC1=COC(=N1)C
44,"['Pyridine, 1,2,3,6-Tetrahydro-']",C1CNCC=C1
45,"['2-Pentanamine, 4-Methyl-']",CC(C)CC(C)N
46,['Formamide Oxime'],C(=N/O)\N
47,['Dipropylamine'],CCCNCCC
48,['1-Propylnitrate'],None
49,"['Phenol, 4-Amino-2-Nitro-']",C1=CC(=C(C=C1N)[N+](=O)[O-])O
50,"['2-Methyl-4,5-Dihydro-Oxazole']",CC1=NCCO1
51,['Diallylamine'],C=CCNCC=C
52,['Allylpropylamine'],CCCNCC=C
53,['2-Pyridinemethanol'],C1=CC=NC(=C1)CO
54,['N-Methyl O-Sec-Butyl Phenyl Carbamate'],None
55,"['2-Pyridineethanamine, N-Methyl-']",CNCCC1=CC=CC=N1
56,['N-Hydroxyurethane'],CCOC(=O)NO
57,['Caramiphen'],CCN(CC)CCOC(=O)C1(CCCC1)C2=CC=CC=C2
58,['Sym-Triazine'],C1=NC=NC=N1
59,['Cinnoline'],C1=CC=C2C(=C1)C=CN=N2
60,['Nitroethane'],CC[N+](=O)[O-]
61,['Thurfyl Nicotinate'],C1CC(OC1)COC(=O)C2=CN=CC=C2
62,['Morphinan'],C1CC[C@@]23CCN[C@@H]([C@@H]2C1)CC4=CC=CC=C34
63,['Acetaldehyde Oxime'],C/C=N/O
64,"['1,2-Ethanediamine, N-Methyl-']",CNCCN
65,['Pyrazine'],C1=CN=CC=N1
66,['N-Methylpyrrole'],CN1C=CC=C1
67,['Butyl Isocyanate'],CCCCN=C=O
68,"['1h-1,2,4-Triazole, 1-(phenylmethyl)-']",C1=CC=C(C=C1)CN2C=NC=N2
69,"['2,6-Dimethyl-n-Oxidepyridine']",None
70,['Pyridine'],C1=CC=NC=C1
71,"['Carbonocyanidic Acid, Ethyl Ester']",CCOC(=O)C#N
72,['Tremorine'],C1CCN(C1)CC#CCN2CCCC2
73,['Tremorine Dihydrochloride'],C1CCN(C1)CC#CCN2CCCC2.Cl.Cl
74,['N-Methylmorpholine'],CN1CCOCC1
75,['2-Pyridineethanol'],C1=CC=NC(=C1)CCO
76,['N-Nitrosodibutylamine'],CCCCN(CCCC)N=O
77,"['1,2-Diaminoethane']",C(CN)N
78,"[""1,2-Ethanediamine, N,n,n'-Trimethyl-""]",CNCCN(C)C
79,['Benzanilide'],C1=CC=C(C=C1)C(=O)NC2=CC=CC=C2
80,['3-Methoxypropylamine'],COCCCN
81,"['2,5-Dimethyl-Oxazole']",CC1=CN=C(O1)C
82,['Isolan'],CC1=NN(C(=C1)OC(=O)N(C)C)C(C)C
83,['Butyronitrile'],CCCC#N
84,"['Ethanol, 2-(ethyl(3-Methylphenyl)amino)-']",CCN(CCO)C1=CC=CC(=C1)C
85,['3-Methoxy-4-Hydroxyphenylethylamine'],COC1=CC=CC(=C1)CCN
86,['Dexpanthenol'],CC(C)(CO)[C@H](C(=O)NCCCO)O
87,['Pimeclone'],C1CCN(CC1)CC2CCCCC2=O
88,"['Acetonitrile, Methoxy-']",COCC#N
89,['3-Butenenitrile'],C=CCC#N
90,"['Benzaldoxime,syn']",None
91,['1-Phenylpyrrolidine'],C1CCN(C1)C2=CC=CC=C2
92,"['1,2-Diaminopropane']",CC(CN)N
93,"['1,3,5-Triazine, 2,4,6-Tris(2-Propenyloxy)-']",C=CCOC1=NC(=NC(=N1)OCC=C)OCC=C
94,['Fenpropimorph'],C[C@@H]1CN(C[C@@H](O1)C)CC(C)CC2=CC=C(C=C2)C(C)(C)C
95,"['2-Butenenitrile, E-']",None
96,"['Butane, 1-Isocyano-']",None
97,['2-Methylpiperidine'],CC1CCCCN1
98,"['Cyclohexanol, 1-Ethynyl-, Carbamate']",C#CC1(CCCCC1)OC(=O)N
99,['Diacetone Acrylamide'],CC(=O)CC(C)(C)NC(=O)C=C
100,"['Formamide, N,n-Dibutyl-']",CCCCN(CCCC)C=O
101,['5-Methylquinoxaline'],CC1=C2C(=CC=C1)N=CC=N2
102,"['Piperazine, 1-(2-Pyridinyl)-']",C1CN(CCN1)C2=CC=CC=N2
103,['2-Nitropropane'],CC(C)[N+](=O)[O-]
104,['Crotononitrile'],C/C=C/C#N
105,['Betazole'],C1=C(NN=C1)CCN
106,['Prodipine'],CC(C)N1CCC(CC1)(C2=CC=CC=C2)C3=CC=CC=C3
107,"['Cyclopentanamine, 1-Methyl-']",CC1(CCCC1)N
108,"[""N,n,n',n'-Tetrame Ethylenediamine""]",None
109,['4-Pyridine Ethaneamine'],None
110,['4-Vinylpyridine'],C=CC1=CC=NC=C1
111,"['Benzene, 1,3-Diisocyanato-']",C1=CC(=CC(=C1)N=C=O)N=C=O
112,['Methsuximide'],CC1(CC(=O)N(C1=O)C)C2=CC=CC=C2
113,"['Isoxazole, 5-Methyl-']",CC1=CC=NO1
114,['4-Isopropylnitrobenzene'],CC(C)C1=CC=C(C=C1)[N+](=O)[O-]
115,"['Nicotinic Acid, Butyl Ester']",CCCCOC(=O)C1=CN=CC=C1
116,['4-Phenylbutylamine'],C1=CC=C(C=C1)CCCCN
117,['Ethoxyquin'],CCOC1=CC2=C(C=C1)NC(C=C2C)(C)C
118,['Isobutyl Nitrate'],CC(C)CO[N+](=O)[O-]
119,['Pyrimidine'],C1=CN=CN=C1
120,"['Nitric Acid, 1-Methylpropyl Ester']",CCC(C)O[N+](=O)[O-]
121,"['2-Propanol, 1-(dimethylamino)-']",CC(CN(C)C)O
122,['Tecomanine'],C[C@H]1CN(C[C@@H]2C1=CC(=O)[C@H]2C)C
123,['Bufencarb'],CCCC(C)C1=CC(=CC=C1)OC(=O)NC.CCC(CC)C1=CC(=CC=C1)OC(=O)NC
124,['N-Nitrosodiethanolamine'],C(CO)N(CCO)N=O
125,['2-Methylbutyronitrile'],CCC(C)C#N
126,['4-Methyl-Pentylamine'],None
127,"['Hydrazine, 1,2-Bis(1-Methylethyl)-']",CC(C)NNC(C)C
128,['4-Methyl-2-Nitrophenol'],CC1=CC(=C(C=C1)O)[N+](=O)[O-]
129,"['N,n-Dimethyltriazenobenzene']",None
130,['N-(butoxymethyl)acrylamide'],CCCCOCNC(=O)C=C
