,SMILES,VP1,VP2,VP3,VP4,VP5,Column1,Name,A,B,C,Tmin,Tmax,No.C,Atom,Count Unique Atom,Pass Screen,Atom2,Func. Group
0,C=O,9.536830352,10.28929429,10.94247952,11.51481806,12.0204451,0,Methanal,21.37029225,2204.126554,-30.15,190,271,1,"[1, 6, 8]",3,TRUE,CHO,aldehyde
1,CCOC(=O)N,11.67069013,11.80984351,11.94440862,12.07460869,12.20065274,2,Urethane,23.84683764,5018.000667,-49.92,338,457,3,"[1, 6, 7, 8]",4,TRUE,CHON,ester
2,CN1CCC[C@H]1C2=CN=CC=C2,7.281769818,7.427957782,7.571312645,7.711915975,7.849846238,3,Nicotine,21.9425307,4981.654362,-42.573,334,521,10,"[1, 6, 7]",3,TRUE,CHN,amine
3,C(C(CO)O)O,6.681431811,7.179183184,7.636669384,8.058586299,8.44892694,6,Glycerol,24.32257475,6153.389259,-81.155,341,563,3,"[1, 6, 8]",3,TRUE,CHO,alcohol
4,CC(CO)O,10.17497319,10.48791803,10.78600953,11.07028063,11.3416707,11,"1,2-Propanediol",25.4251446,6091.949381,-22.45,364,483,3,"[1, 6, 8]",3,TRUE,CHO,alcohol
5,C1COC1=O,10.4879273,10.83934711,11.16900844,11.4788714,11.77066753,12,2-Oxeta,19.79214648,2704.102974,-108.679,324,435,3,"[1, 6, 8]",3,TRUE,CHO,ester
6,C1COCCN1N=O,6.513324011,7.948573333,9.251405313,10.43933728,11.52692725,18,"Morpholine, 4-nitroso-",21.73737036,4511.10498,-69.432,273,369,4,"[1, 6, 7, 8]",4,TRUE,CHON,ester
7,C1=CC=C(C=C1)N=NC2=CC=C(C=C2)N,8.108198997,8.887828428,9.59140021,10.22952654,10.81093308,20,4-Amino-azobenzene,35.41599224,13157.87844,0,433,524,12,"[1, 6, 7]",3,TRUE,CHN,amine
8,C1=CC=C(C=C1)CCO,7.581743344,9.106208978,10.33614879,11.34939731,12.19858357,21,2-Phenylethanol,20.20935187,3078.042793,-137.497,406,492,8,"[1, 6, 8]",3,TRUE,CHO,alcohol
9,CCOCC,4.087860803,6.358283015,8.161690097,9.628738547,10.84550407,22,Diethyl ether,20.97567521,2511.291406,-41.95,230,328,4,"[1, 6, 8]",3,TRUE,CHO,ester
10,CC(=O)N,10.41275031,10.7253121,11.02709589,11.31864973,11.6004851,23,Acetamide,22.95859242,4601.255791,-89.32,381,492,2,"[1, 6, 7, 8]",4,TRUE,CHON,amide
11,C1=CC=C(C=C1)C[C@@H](C(=O)O)N,7.619226247,8.569222907,9.391311521,10.10969514,10.74283278,26,L-Phenylalanine,41.53591803,18170.25619,0,450,470,9,"[1, 6, 7, 8]",4,TRUE,CHON,carboxylic_acid
12,CCO,4.851690169,6.968880801,8.800791303,10.40144215,11.81202455,27,Ethanol,22.85004856,3247.70417,-64.636,341,514,2,"[1, 6, 8]",3,TRUE,CHO,alcohol
13,C(=O)O,4.665754594,6.83194738,8.649216384,10.19558324,11.5274216,28,Methanoic acid,21.83854595,3572.184462,-27.44,278,398,1,"[1, 6, 8]",3,TRUE,CHO,carboxylic_acid
14,CC(=O)O,4.859039942,7.00901083,8.779760027,10.26348933,11.52475146,29,Ethanoic acid,21.97957929,3580.79613,-48.5,297,438,2,"[1, 6, 8]",3,TRUE,CHO,carboxylic_acid
15,C1=CC=C(C=C1)C(=O)O,4.86918428,7.060244189,8.831521285,10.29310794,11.51969424,31,Benzoic acid,23.96438461,5631.595845,-69.779,52,392,7,"[1, 6, 8]",3,TRUE,CHO,carboxylic_acid
16,CCCCCC=O,4.937334509,6.839098111,8.549142753,10.09506836,11.4994197,32,Hexanal,21.06358791,3207.501035,-65.15,303,427,6,"[1, 6, 8]",3,TRUE,CHO,aldehyde
17,CON,4.2892006,5.017546241,5.691749249,6.317630433,6.900205083,34,Methoxyamine,21.84883851,2821.265411,-47.955,210,321,1,"[1, 6, 7, 8]",4,TRUE,CHON,ester
18,CC(C)O,9.053303804,10.50963502,11.68963181,12.66512935,13.48504952,35,2-Propanol,23.58464228,3640.202825,-53.54,281,373,3,"[1, 6, 8]",3,TRUE,CHO,alcohol
19,CC(=O)C,2.591064648,3.744435069,4.762107145,5.666698481,6.476064836,36,Propa,21.22615042,2756.217382,-45.09,244,353,3,"[1, 6, 8]",3,TRUE,CHO,ketone
20,CN(C)C=O,7.592831613,8.983365444,10.19560712,11.26178128,12.20678809,42,Dimethyl formamide,20.64249115,3118.918283,-81.112,303,363,3,"[1, 6, 7, 8]",4,TRUE,CHON,amide
21,C1=CC=C(C(=C1)C(=O)O)O,7.577075739,8.974075798,10.18827386,11.2533469,12.19517826,43,2-Hydroxybenzoic acid,18.49102472,1927.298262,-251.564,445,529,7,"[1, 6, 8]",3,TRUE,CHO,carboxylic_acid
22,CCCO,9.36179844,9.580102195,9.790601974,9.993708895,10.1898057,44,1-Propanol,23.0256437,3483.673091,-67.343,293,360,3,"[1, 6, 8]",3,TRUE,CHO,alcohol
23,CCCCO,6.579990305,8.594648739,10.13653452,11.35458782,12.34113228,45,1-Butanol,22.21833434,3212.428567,-90.411,310,380,4,"[1, 6, 8]",3,TRUE,CHO,alcohol
24,CCCCCO,7.795509328,8.609759694,9.352900864,10.03385815,10.66012317,46,1-Pentanol,21.63614872,3076.27671,-106.83,326,399,5,"[1, 6, 8]",3,TRUE,CHO,alcohol
25,C1=CC=CC=C1,8.133794012,8.649345502,9.13030371,9.580037407,10.0014917,47,Benzene,20.68925666,2726.80416,-55.623,280,374,6,"[1, 6]",2,TRUE,CH,aromatic
26,C,7.197270335,8.106623516,8.894020923,9.582454518,10.18947851,49,Methane,20.1906779,911.234235,-6.469,92,118,1,"[1, 6]",2,TRUE,CH,alkane
27,CC,6.414510891,7.999897372,9.349237422,10.5115955,11.52331916,51,Ethane,20.61746205,1528.271778,-16.469,133,198,2,"[1, 6]",2,TRUE,CH,alkane
28,C=C,4.893206535,7.028530582,8.787470111,10.26148045,11.51460742,52,Ethene,20.52482905,1373.551875,-16.78,122,188,2,"[1, 6]",2,TRUE,CH,alkene
29,C#C,7.582275008,8.990050027,10.20472108,11.26347005,12.19450879,53,Ethyne,19.97202442,1217.307661,-44.36,191,201,2,"[1, 6]",2,TRUE,CH,alkyne
30,CN,6.876868218,8.37847123,9.609833263,10.63788393,11.5091367,56,Methanamine,21.97633264,2419.234054,-35.32,203,288,1,"[1, 6, 7]",3,TRUE,CHN,amine
31,CCC,4.910052976,7.125899702,8.893525429,10.33643769,11.53658451,62,Propane,20.55812443,1851.271507,-26.11,248,270,3,"[1, 6]",2,TRUE,CH,alkane
32,CCN,9.075118122,9.52532134,9.948514801,10.34705837,10.7230448,68,Ethanamine,21.72258777,2539.475047,-40.7,220,308,2,"[1, 6, 7]",3,TRUE,CHN,amine
33,CC=O,7.572662246,9.019203616,10.24567747,11.29875329,12.21277563,70,Ethanal,21.14095477,2465.147601,-37.15,219,313,2,"[1, 6, 8]",3,TRUE,CHO,aldehyde
34,C(=O)N,7.656989245,8.862560234,9.886911993,10.76804896,11.53404309,75,Formamide,23.31176292,5274.025104,-44.106,391,466,1,"[1, 6, 7, 8]",4,TRUE,CHON,amide
35,C1CO1,8.359398381,9.271941633,10.08502578,10.81407074,11.47146552,78,Oxirane,21.45286295,2491.367137,-32.638,223,284,2,"[1, 6, 8]",3,TRUE,CHO,ester
36,CC(C)C,4.88633991,6.949768342,8.705831273,10.21844536,11.53495409,81,2-Methylpropane,20.72952887,2181.791479,-24.28,188,278,4,"[1, 6]",2,TRUE,CH,alkane
37,CC1CO1,7.845951331,8.306794898,8.730851215,9.12235608,9.484919034,96,Propylene oxide,20.9517053,2455.437599,-46.846,199,307,3,"[1, 6, 8]",3,TRUE,CHO,ester
38,CC(C)(C)N,7.355249501,8.157868135,8.881146985,9.536296228,10.13250913,97,tert-Butyl amine,20.47820171,2269.694968,-63.629,292,348,4,"[1, 6, 7]",3,TRUE,CHN,amine
39,CC(C)(C)O,4.899526251,7.136936844,8.901735438,10.32936324,11.50802115,98,2-Methyl-2-propanol,21.74754779,2658.288438,-95.5,283,374,4,"[1, 6, 8]",3,TRUE,CHO,alcohol
40,CC(C)(C)CO,4.50018812,5.395051219,6.146722986,6.787026439,7.339005136,108,"2,2-Dimethyl-1-propanol",23.02631145,3694.958299,-64.95,333,406,5,"[1, 6, 8]",3,TRUE,CHO,alcohol
41,CCC(C)(C)O,4.897990781,7.254816192,9.028551784,10.41176527,11.52063829,109,2-Methyl-2-butanol,19.90400606,1988.051969,-137.85,299,396,5,"[1, 6, 8]",3,TRUE,CHO,alcohol
42,CC(C)(C#N)O,7.578818324,8.841058021,9.907813794,10.82123397,11.6121625,110,Acetone cyanohydrine,44.1152278,12812.38936,0,353,387,4,"[1, 6, 7, 8]",4,TRUE,CHON,alcohol
43,CC(C)(C)OO,7.604047655,9.161301989,10.38984123,11.38380996,12.20453488,114,tert-Butyl hydroperoxide,26.91217708,6103.409347,8.37,273,388,4,"[1, 6, 8]",3,TRUE,CHO,ester
44,CC(=O)C(C)(C)C,7.593922127,9.158085135,10.38993096,11.38519445,12.20605951,116,"3,3-Dimethyl-2-buta",23.65906183,4770.956313,13.85,283,403,6,"[1, 6, 8]",3,TRUE,CHO,ketone
45,CCC(CC)(C(=O)OCC)C(=O)OCC,7.607283856,9.163710744,10.3915972,11.38503779,12.20532662,130,Diethylmalonic acid diethyl ester,23.00485135,4701.517254,-82.373,386,491,11,"[1, 6, 8]",3,TRUE,CHO,ester
46,CCC(C)(CC)O,2.832161551,3.697618235,4.466758542,5.15481347,5.773963412,131,3-Methyl-3-pentanol,19.59822276,2187.916355,-123.65,306,419,6,"[1, 6, 8]",3,TRUE,CHO,alcohol
47,CC(C)(OC)OC,7.587876654,8.863023788,9.925189509,10.82362089,11.5934685,132,"2,2-Dimethoxy propane",19.96840937,2314.991421,-77.721,292,357,5,"[1, 6, 8]",3,TRUE,CHO,ester
48,CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O,7.607283856,9.163710744,10.3915972,11.38503779,12.20532662,134,Triethyl citrate,31.34635729,10853.87956,0,400,456,12,"[1, 6, 8]",3,TRUE,CHO,ester
49,CCC(CO)(CO)CO,7.563206541,9.135267943,10.37230452,11.37110001,12.19443343,135,"2-Ethyl-2-(hydroxymethyl)-1,3-propanediol",22.80632247,4945.326477,-129.79,433,568,6,"[1, 6, 8]",3,TRUE,CHO,alcohol
50,CCC(C)C,4.812011255,7.189660428,8.991037698,10.40300507,11.53951582,147,2-Methylbutane,20.58338379,2376.150384,-38.646,255,323,5,"[1, 6]",2,TRUE,CH,alkane
51,CC(C)CN,7.607283856,9.163710744,10.3915972,11.38503779,12.20532662,148,Isobutyl amine,20.61216611,2494.254579,-66.329,255,289,4,"[1, 6, 7]",3,TRUE,CHN,amine
52,CC(C)CO,7.536124817,9.044392455,10.24345776,11.21956274,12.02960503,149,2-Methyl-1-propanol,21.5177498,2740.951243,-106.48,303,401,4,"[1, 6, 8]",3,TRUE,CHO,alcohol
53,CC(C)C=O,4.92161379,7.253671543,9.014297496,10.39059776,11.49603026,150,2-Methylpropanal,23.01829845,2727.361386,-49.322,286,347,4,"[1, 6, 8]",3,TRUE,CHO,aldehyde
54,CCC(C)O,7.59800017,8.829413012,9.885282174,10.80064701,11.60180326,153,2-Butanol,22.10299785,3026.034303,-86.6,295,392,4,"[1, 6, 8]",3,TRUE,CHO,alcohol
55,CCC(=O)C,7.572619422,9.149794316,10.38926342,11.38900216,12.21242831,154,2-Buta,21.04240413,2838.235463,-54.46,265,378,4,"[1, 6, 8]",3,TRUE,CHO,ketone
56,CC(=O)C=C,7.577001615,9.142126605,10.37449932,11.37004006,12.19103397,155,Methyl vinyl ketone,23.75259284,4603.323513,22.27,279,355,4,"[1, 6, 8]",3,TRUE,CHO,ketone
57,CC(CN)O,7.56908616,9.143146576,10.38264775,11.38400672,12.20983889,157,1-Amino-2-propanol,25.68218217,6048.269341,-4.19,306,431,3,"[1, 6, 7, 8]",4,TRUE,CHON,alcohol
58,CCC(=O)N,7.212432112,8.538228654,9.676555525,10.66454985,11.53014736,162,Propionamide,22.70139366,4469.105828,-92.898,381,498,3,"[1, 6, 7, 8]",4,TRUE,CHON,amide
