,index,SMILES,T,Vapor_Presssure
0,0,COC1=CC=C(C=C1)CC=C,325.0,4.847630305880799
1,1,COC1=CC=C(C=C1)CC=C,365.75,7.144998273814545
2,2,COC1=CC=C(C=C1)CC=C,406.5,8.928806981367694
3,3,COC1=CC=C(C=C1)CC=C,447.25,10.353947504989613
4,4,COC1=CC=C(C=C1)CC=C,488.0,11.518713407071223
5,5,CCCCOCCOCCO,343.0,4.858981699941683
6,6,CCCCOCCOCCO,383.25,7.3442541907941585
7,7,CCCCOCCOCCO,423.5,9.128566901979747
8,8,CCCCOCCOCCO,463.75,10.47182155273379
9,9,CCCCOCCOCCO,504.0,11.519564952553324
10,10,CC1=C2C(=CC=CC2=CC=C1)C,338.0,3.5236758794735437
11,11,CC1=C2C(=CC=CC2=CC=C1)C,356.75,4.708673889866475
12,12,CC1=C2C(=CC=CC2=CC=C1)C,375.5,5.749246368253402
13,13,CC1=C2C(=CC=CC2=CC=C1)C,394.25,6.67028023258815
14,14,CC1=C2C(=CC=CC2=CC=C1)C,413.0,7.491255085171039
15,15,CC1=C(C=CC(=C1)C(C)(C)C)O,347.0,4.863397102732478
16,16,CC1=C(C=CC(=C1)C(C)(C)C)O,390.25,7.153958735584041
17,17,CC1=C(C=CC(=C1)C(C)(C)C)O,433.5,8.936014851170496
18,18,CC1=C(C=CC(=C1)C(C)(C)C)O,476.75,10.36198001965913
19,19,CC1=C(C=CC(=C1)C(C)(C)C)O,520.0,11.528890611492066
20,20,CC[C@@H]1C(O1)(C)C,297.0,8.464307661934939
21,21,CC[C@@H]1C(O1)(C)C,315.0,9.532767297323065
22,22,CC[C@@H]1C(O1)(C)C,333.0,10.352023519209588
23,23,CC[C@@H]1C(O1)(C)C,351.0,11.00015572608065
24,24,CC[C@@H]1C(O1)(C)C,369.0,11.525709737798792
25,25,CCC(CC)CC(CC)CC,452.0,11.522613338152174
26,26,CCC(CC)C(C)C(C)C,324.0,7.570412973171592
27,27,CCC(CC)C(C)C(C)C,358.75,9.142965281860146
28,28,CCC(CC)C(C)C(C)C,393.5,10.379285055696048
29,29,CCC(CC)C(C)C(C)C,428.25,11.376793755931075
30,30,CCC(CC)C(C)C(C)C,463.0,12.198591254375874
31,31,CCCCCCCCNC,365.0,8.295659378004057
32,32,CCCCCCCCNC,400.75,9.738297161700844
33,33,CCCCCCCCNC,436.5,10.90014387003539
34,34,CCCCCCCCNC,472.25,11.855907622165716
35,35,CCCCCCCCNC,508.0,12.655952772775436
36,36,CC(=O)OC1CCC(CC1)C(C)(C)C,293.0,1.1887836672330998
37,37,CC(=O)OC1CCC(CC1)C(C)(C)C,313.0,2.813797261815804
38,38,CC(=O)OC1CCC(CC1)C(C)(C)C,333.0,4.2472925598266364
39,39,CC(=O)OC1CCC(CC1)C(C)(C)C,353.0,5.5212429215542755
40,40,CC(=O)OC1CCC(CC1)C(C)(C)C,373.0,6.660879757390486
41,41,C1CCCCCC(CCCCC1)O,405.0,6.387989709516425
42,42,C1CCCCCC(CCCCC1)O,427.5,7.521263009529779
43,43,C1CCCCCC(CCCCC1)O,450.0,8.46436992938189
44,44,C1CCCCCC(CCCCC1)O,472.5,9.261471002804536
45,45,C1CCCCCC(CCCCC1)O,495.0,9.944035820418812
46,46,C(C(=O)O)O,350.0,10.412750312857142
47,47,C(C(=O)O)O,356.25,10.725312100526313
48,48,C(C(=O)O)O,362.5,11.027095895517238
49,49,C(C(=O)O)O,368.75,11.31864973135593
