,SMILES,A_Pred,B_Pred,C_Pred,A_test,B_test,C_test,A,B,C,Atom2,Func. Group,T,ln_Psat_Pred (Pa),ln_Psat_Actual (Pa),RMSE,RMSE2
0,COC1=CC=C(C=C1)CC=C,21.432566084556637,4112.286439954428,-80.33448523124929,23.104450585754876,5168.20886567072,-41.91626824691254,23.10446119,5168.216714,-41.916,CHO,ester,"[325.0, 365.75, 406.5, 447.25, 488.0]","[4.601549, 7.119984, 8.698104, 10.280438, 11.343796]","[4.84763030228174, 7.144998270041123, 8.928806977458883, 10.353947500972634, 11.51871340296584]",0.17343893994159487,Pass
1,CCCCOCCOCCO,20.87785526073511,3884.3015952316414,-95.32361881018441,19.99690645081611,3101.9850538535293,-138.0851899487995,19.99691537,3101.989678,-138.085,CHO,ester,"[343.0, 383.25, 423.5, 463.75, 504.0]","[5.170199, 7.4513083, 9.052226, 10.212561, 11.445848]","[4.858981700159865, 7.344254190871686, 9.12856690195629, 10.47182155263431, 11.519564952394546]",0.1932847363529406,Pass
2,CC1=C2C(=CC=CC2=CC=C1)C,62.518577317527146,70679.59609165989,869.2485411380617,21.784059384447392,4933.520503505922,-67.82430458291142,21.78427402,4933.721448,-67.816,CH,aromatic,"[338.0, 356.75, 375.5, 394.25, 413.0]","[4.063815, 4.8703556, 5.5688677, 6.5191717, 7.5290093]","[3.523675882393256, 4.708673892723073, 5.7492463710545785, 6.670280235340272, 7.491255087879436]",0.2737469180808858,Pass
3,CC1=C(C=CC(=C1)C(C)(C)C)O,24.774176899549,6738.517788400091,-9.795729245200588,23.208476052263396,5561.101666829804,-43.8613948660291,23.20849198,5561.113716,-43.861,CHO,alcohol,"[347.0, 390.25, 433.5, 476.75, 520.0]","[4.736749, 7.2584853, 8.651473, 10.40267, 11.58415]","[4.863397102973008, 7.1539587357342, 8.936014851250343, 10.36198001968272, 11.528890611469617]",0.15009256094545087,Pass
4,CC[C@@H]1C(O1)(C)C,18.95666435362249,2007.036712365329,-98.66809145148348,16.55788039050476,957.8723898768699,-178.65023570874203,16.5578894,957.8753987,-178.65,CHO,ester,"[297.0, 315.0, 333.0, 351.0, 369.0]","[8.824886, 9.63583, 10.488665, 11.02076, 11.472785]","[8.464307665777442, 9.53276730114942, 10.35202352302356, 11.000155729884828, 11.525709741595026]",0.18029703960701182,Pass
5,CCC(CC)C(C)C(C)C,18.229937422250746,2011.3964384526669,-133.60900547569287,20.70750019529471,3357.2006245631374,-68.44861835149851,20.70744708,3357.169066,-68.45,CH,alkane,"[324.0, 358.75, 393.5, 428.25, 463.0]","[7.667244, 9.319707, 10.424682, 11.440169, 12.126994]","[7.570412972151834, 9.142965280646145, 10.379285054329335, 11.376793754441149, 12.198591252784436]",0.10180113392928132,Pass
6,CCCCCCCCNC,19.194302174787893,2518.3259642501775,-128.94126439927436,21.676797149579233,3958.756598883657,-69.15421713361872,21.67688145,3958.83455,-69.15,CHN,amine,"[365.0, 400.75, 436.5, 472.25, 508.0]","[8.565111, 9.749409, 11.299431, 11.658555, 12.598522]","[8.29565937991375, 9.738297163750715, 10.90014387219815, 11.855907624421343, 12.6559527751088]",0.23426660504466937,Pass
7,CC(=O)OC1CCC(CC1)C(C)(C)C,20.537235490956782,4037.153646429719,-81.89385966960108,27.13955337388098,7769.409602742151,6.390281654251423,27.13992577,7769.668141,6.396,CHO,ester,"[293.0, 313.0, 333.0, 353.0, 373.0]","[1.3656722, 3.206613, 4.3753715, 5.58692, 6.721721]","[1.1887836634188425, 2.8137972580709905, 4.2472925561430825, 5.521242917925168, 6.660879753810082]",0.20494541404401878,Pass
8,C1CCCCCC(CCCCC1)O,43.549165386024804,36529.20173035198,590.9065432222485,17.250254453215483,2022.7198731079877,-219.15805407184263,18.76192385,2761.51563,-181.828,CHO,alcohol,"[405.0, 427.5, 450.0, 472.5, 495.0]","[6.96461, 7.52935, 8.458136, 9.233915, 9.916291]","[6.387989712172379, 7.521263012376059, 8.464369932386559, 9.261471005943074, 9.944035823671983]",0.25850505848836425,Pass
9,C(C(=O)O)O,20.288825350966086,2011.9494719545921,-146.24983446746714,20.793683809308778,2012.8670727403578,-156.23928197818503,28.22877221,6235.607664,0.0,CHO,carboxylic_acid,"[350.0, 356.25, 362.5, 368.75, 375.0]","[10.4246235, 10.470062, 11.313952, 11.291534, 11.34699]","[10.412750307537678, 10.725312095231224, 11.027095890245684, 11.318649726107108, 11.600485100773152]",0.20619167792929127,Pass
