,SMILES,T,Vapor_Presssure
0,C=O,217.50601,9.60591633855837
1,C=O,230.88791,10.390171127448587
2,C=O,222.67319,9.921663202160888
3,C=O,201.07127,8.474726326876477
4,C=O,224.67249,10.039331975580003
5,CCOC(=O)N,378.41006,8.570878923791769
6,CCOC(=O)N,398.0699,9.43350338501277
7,CCOC(=O)N,386.00134,8.915926493341125
8,CCOC(=O)N,354.26523,7.358980427650987
9,CCOC(=O)N,388.9386,9.045287851178696
10,CN1CCC[C@H]1C2=CN=CC=C2,397.50153,7.906875634902104
11,CN1CCC[C@H]1C2=CN=CC=C2,428.39554,9.03075425593414
12,CN1CCC[C@H]1C2=CN=CC=C2,409.4307,8.36327521320361
13,CN1CCC[C@H]1C2=CN=CC=C2,359.55963,6.226869945410156
14,CN1CCC[C@H]1C2=CN=CC=C2,414.04636,8.532001307140451
15,C(C(CO)O)O,416.38684,5.966951835593505
16,C(C(CO)O)O,453.06314,7.777120153013573
17,C(C(CO)O)O,430.54874,6.710956066253836
18,C(C(CO)O)O,371.3435,3.117774646780461
19,C(C(CO)O)O,436.02832,6.982896316069411
20,CN(C)N,256.6769,7.567472503794347
21,CN(C)N,265.7634,8.16497723560176
22,CN(C)N,260.1855,7.804045802336949
23,CN(C)N,245.51753,6.761192092516373
24,CN(C)N,261.54306,7.893567997281412
25,CC(CO)O,404.41006,9.475965761556862
26,CC(CO)O,424.0699,10.256699000876747
27,CC(CO)O,412.00134,9.786771137780748
28,CC(CO)O,380.26523,8.399739028446547
29,CC(CO)O,414.9386,9.903803592336125
30,C1COC1=O,361.69342,9.104601597710538
31,C1COC1=O,380.0316,9.826872085836836
32,C1COC1=O,368.77435,9.39556329415693
33,C1COC1=O,339.17175,8.060311358811202
34,C1COC1=O,371.51416,9.503937808099074
35,C1COCCN1N=O,305.5997,2.636092063776225
36,C1COCCN1N=O,321.45975,3.8381309783475963
37,C1COCCN1N=O,311.7238,3.11888945465137
38,C1COCCN1N=O,286.12152,0.9190817816551267
39,C1COCCN1N=O,314.09332,3.299208867112476
40,C1=CC=C(C=C1)CCO,435.20392,9.870180684617347
41,C1=CC=C(C=C1)CCO,449.41187,10.341137379205732
42,C1=CC=C(C=C1)CCO,440.69003,10.057262414117302
43,C1=CC=C(C=C1)CCO,417.7547,9.226450075624154
44,C1=CC=C(C=C1)CCO,442.81277,10.127845939145862
45,CCOCC,263.27887,9.629250271352875
46,CCOCC,279.46933,10.40267718177517
47,CCOCC,269.53052,9.940937119390327
48,CCOCC,243.39488,8.509280538925966
49,CCOCC,271.94943,10.05698997634769
50,CC(=O)N,418.69342,8.988868374658908
51,CC(=O)N,437.0316,9.725625845634069
52,CC(=O)N,425.77435,9.282871628757764
53,CC(=O)N,396.17175,7.9635475911235005
54,CC(=O)N,428.51416,9.393335904733261
55,CCO,399.7474,13.158632177881351
56,CCO,428.3285,13.920240415799498
57,CCO,410.78348,13.467619455506913
58,CCO,364.64606,12.024730898717237
59,CCO,415.0536,13.58195165739013
60,C(=O)O,318.74963,9.576045683405242
61,C(=O)O,338.57468,10.357394115601268
62,C(=O)O,326.40472,9.890031045769662
