,SMILES,T,Vapor_Presssure
0,C=O,225.28743,10.075039687993051
1,CCOC(=O)N,389.84204,9.084627304926904
2,CN1CCC[C@H]1C2=CN=CC=C2,415.46606,8.58305894552808
3,C(C(CO)O)O,437.7137,7.064858118645674
4,CN(C)N,261.9606,7.920881129506338
5,CC(CO)O,415.84204,9.939449044817081
6,C1COC1=O,372.35687,9.536818841921072
7,C1COCCN1N=O,314.82214,3.3539711139962236
8,C1=CC=C(C=C1)CCO,443.46567,10.14935842070202
9,CCOCC,272.69345,10.092196628471369
10,CC(=O)N,429.35687,9.426954640902586
11,CCO,416.367,13.616560100287476
12,C(=O)O,330.27768,10.04283919195731
13,CC(=O)O,358.42627,10.425876096605654
14,C1=CC=C(C=C1)C(=O)O,200.1201,-19.24221531640048
15,CCCCCC=O,357.02026,10.0741126731327
16,CO,290.88144,9.34879595683021
17,CON,258.35687,8.43990171351631
18,CC(C)O,321.07956,9.978419580941006
19,CC(=O)C,291.48557,10.040001919622386
20,CN(C)C=O,329.13885,8.067569441439032
21,CCCO,322.1884,9.355892172553244
22,CCCCO,340.4953,9.372951550129926
23,CCCCCO,357.80225,9.378710864298359
24,C1=CC=CC=C1,320.95087,10.412144821268178
25,C,103.32683,10.782721374561111
26,CC,161.31708,10.066602121897057
27,C=C,150.75273,10.272355569512632
28,C#C,195.35648,11.910196126935194
29,CN,240.03003,10.158474656639676
30,C#N,277.99023,10.68318830724455
31,CCC,257.58423,12.560380927962427
32,CC#C,221.41614,10.06548269443063
33,CCN,258.33698,10.054188841644615
34,CC#N,312.2379,9.992737030719283
35,CC=O,259.95087,10.07660103780402
36,C(=O)N,423.67355,9.416936937564302
37,C1CO1,249.5745,9.96854743508077
38,CC(C)C,227.20827,9.977988392292193
39,CC(C)N,226.06943,7.1949560866545355
40,CN(C)C,229.15874,9.30657036948815
41,CC1CO1,246.04991,8.62545336788351
42,CC(C)(C)N,316.39624,11.49881432619403
43,CC(C)(C)O,322.64392,10.044445952691325
44,CC(C)(C)CO,364.80225,10.70371474734013
45,CCC(C)(C)O,341.25778,10.13027985530738
46,CC(C)(C)OO,323.09946,8.498989312537024
47,CC(=O)C(C)(C)C,335.27768,9.993699288116481
48,CC(C)(C(C)(C)O)O,390.0004,9.474372515044113
49,CC(=O)O[C@H]1[C@]2(CC[C@H](C2)C1(C)C)C,396.67395,8.573010361462849
50,CCC(CC)(C(=O)OCC)C(=O)OCC,431.74298,9.547721343806833
51,CCC(C)(CC)O,355.22815,10.150369581555264
52,CC(C)(OC)OC,320.31708,10.425833729240304
53,CCC(CO)(CO)CO,491.8124,9.146045200947013
54,CC1=CC(=O)CC(C1)(C)C,377.95123,8.158433158505554
55,CCC(C)(CCCC(C)C)O,398.89157,8.932781098532551
56,CCC(C)C,284.62402,10.923372904500097
57,CC(C)CN,269.812,8.354363564559465
58,CC(C)CO,345.69345,10.059567860941595
59,CC(C)C=O,312.5745,12.658049433209438
60,CCC(C)O,337.25778,10.030624596445042
61,CCC(=O)C,314.22815,10.116370782948131
62,CC(CN)O,360.45593,8.705343277298613
63,CCC(=O)N,431.97073,9.52101852340481
64,CCC(=O)O,401.31708,11.106538592847777
65,C=CC(=O)O,350.09946,9.115497956928042
66,CC(=O)NC,407.89157,9.159122884702024
67,CC(=O)OC,299.64392,10.335037426383009
68,CC(=O)OO,320.9212,8.829850566914587
69,CC(C)C(C)C,294.95087,10.222530360264575
70,CC(C)C(=O)O,388.43604,10.160123731917457
71,CC(=C)C(=O)O,383.25778,9.652903634188716
72,CC1(C2CCC(C2)C1=C)C,371.35687,9.507665568309948
73,C/C=C(\C)/C(=O)O,417.0004,9.66910570349764
74,CN1CCN(C1=O)C,415.4758,9.172220368987489
75,C1CC2=CC=CC3=C2C1=CC=C3,387.03976,6.339951698909056
76,CC1=CNC2=CC=CC=C12,442.93134,8.490849168215341
77,C1=CC=C2C(=C1)C(=O)OC2=O,471.0897,9.304581001793766
78,CC(C)CCOC(=O)C1=CC=CC=C1O,304.86154,0.2551643593645707
79,CCOC(=O)C1=CC=CC=C1N,502.70358,10.566358269887822
80,CCCC(C)C1=CC=CC=C1O,442.3073,9.43027543098527
81,C1C2=CC=CC=C2C(=O)O1,452.95123,8.541220433684225
82,CC1=C(C(=CC=C1)C)N,392.80264,8.560715245206348
83,CCOC(=O)C(C(C(=O)OCC)O)O,451.41653,8.452752800592755
84,CC1=CC(=C(C(=C1)C)N)C,400.24805,8.044317665700664
85,CCC(CC)C(=O)O,414.5152,9.690727570918051
86,CC(C)(C)C1=CC=CC=C1O,401.6244,8.594109017708139
87,CC1=CC(=C(C=C1)C(C)(C)C)O,438.555,9.305248718452296
88,CCC(C)C1=CC=CC=C1O,478.5745,10.960891823287565
89,CC1=CC(=C(C=C1)C(C)C)O,415.23828,8.709997329396746
90,CCC1=CC=CC=C1O,453.1884,10.863309053620958
91,C1=CC=C(C(=C1)C=O)O,377.44617,8.54141933171225
92,COC1=CC=CC=C1N,402.83228,8.484212743479912
93,COC1=CC=CC=C1O,412.4064,9.526136960530014
94,CC1=CC=CC2=CC=CC=C12,460.13922,10.080990310031705
95,C1=CC=C2C(=C1)C=CC=C2O,475.86194,9.407186433792967
96,C1=CC=C(C=C1)C2=CC=CC=C2O,484.22815,9.639771546529317
97,CC1=C(C=CC=C1N=C=O)N=C=O,417.0004,8.282102586024003
98,C1=CC=C2C=CC=CC2=C1,502.95123,11.78553841541395
99,C1=CC=C2C(=C1)C=CC=N2,598.72345,13.173481760651823
100,CC1=CC2=CC=CC=C2C=C1,456.70358,10.074479252571509
101,C1=CC=C2C=C(C=CC2=C1)N,471.20865,8.66690771004551
102,CC1=CC2=C(C=C1)N=CC=C2,491.33698,10.389082307515997
103,CC1=NC2=CC=CC=C2C=C1,477.41614,10.4178507808013
104,C1=CC=C2C(=C1)C=CC(=O)O2,459.59476,8.49248410259964
105,CCN(CC)C1=CC=CC=C1,394.7531,8.507806953425138
106,CCN(CC)C1=CC(=CC=C1)O,484.58463,9.548917906278637
107,COC1=C(C=C(C=C1)CC=C)OC,429.01053,8.447786926989277
108,CC(=O)OC1=C(C=C(C=C1)CC=C)OC,452.85217,8.468621899334101
109,CC1=CC(=C(C=C1)O)OC,420.04016,9.308100576866709
110,CCC(=O)C1=CC=CC=C1,442.9013,10.235011153213202
111,COC(=O)C1=CC=CC=C1,393.555,9.111330325874018
112,CCOC(=O)C1=CC=CC=C1,385.82214,8.335708285897727
113,CCOC1=CC=CC=C1N,410.13922,8.465058267743526
114,C1C=CC2=CC=CC=C21,366.70358,8.701871938064857
115,CC1=CC=CC=C1C,370.50546,10.127683387936548
116,CC1=CC=CC=C1O,415.6837,10.063265026132887
117,CC1=CC=CC=C1N,427.15872,10.211525869089284
118,CC1=CC(=C(C=C1)C)C,393.11932,10.085865627332685
119,CC1=C(C=C(C=C1)O)C,449.42627,10.066480358577884
120,CC1=CC(=C(C=C1)N)C,394.83228,8.509140803475358
121,CC1=C(C=C(C=C1)N)N,487.04056,9.562920222819203
122,CC1=CC(=C(C=C1)C)O,434.555,10.088207700819085
123,CCOC(=O)C(=O)OCC,367.961,8.338588876590748
124,CC1=CC(=C(C=C1C)C)C,418.16885,10.083588840796082
125,CCC(C)CC,299.87167,10.211166903085106
126,CCC(=O)CC,332.97073,10.059925684581842
127,COC(=O)C=C,283.02026,8.597701622972147
128,COC(=O)CO,344.86194,8.541890161310679
129,CC1CCCC1,306.4064,10.16079076710054
130,C1CCC(C1)O,405.26755,11.25159195377439
131,CC1CCCO1,430.2878,13.437378187582896
132,C1COC(=O)O1,403.28745,7.812208001538366
133,CN1C=CC=C1,365.56473,10.882145731235296
134,CCC1=CC(=C(C=C1)O)C(C)(C)C,449.3272,9.394697487328541
135,CCOC(=O)C(=C)C,330.74298,9.39668234155204
136,CC(C)COC(=O)C(C)C,339.73322,8.565849812535262
137,CCCCOC(=O)C(=C)C,381.1291,9.78657730875243
138,CCC(CC)CO,379.09946,10.102345834632294
139,C1CC(OC1)CO,385.27768,9.408115521946856
140,C1=COC(=C1)CO,364.555,8.39632514417097
141,C1=COC(=C1)C=O,396.05966,10.348500761212497
142,CC(C)(C)C1=CC=CC=C1,392.99063,10.108369435949244
143,CC1=C(C=CC(=C1)C(C)(C)C)O,422.367,8.516218538008738
144,CC1=CC=C(C=C1)C(C)(C)C,395.58463,9.487469758913816
145,CC(C)C1=CC=CC=C1,377.8124,10.100416709411373
146,CC(C)C1=CC=CC=C1,357.29758,8.843023954621126
147,CC(C1=CC=CC=C1)O,435.3666,10.295221158968989
148,CC(=O)C1=CC=CC=C1,382.31747,8.592717968074966
149,CC1=CC(=CC=C1)C(=O)OC,384.26755,7.998210145445501
150,CC1=CCC(CC1=O)C(=C)C,404.4957,8.522156287686867
151,CC(C)C1=CC(=CC=C1)C(C)C,380.18875,8.554679969935691
152,CCC(C)C1=CC=C(C=C1)O,418.4957,8.500159080911628
153,CC1CCC(CC1)C(C)C,352.44617,8.615088470607708
154,CC1=CCC(C=C1)C(C)C,372.9411,9.087090327278188
155,CC(C)C1=CC=C(C=C1)N,406.18875,8.531595400703415
156,CC(C)C1=CC=C(C=C1)O,441.5351,9.780702408977364
157,CC1=CC=C(C=C1)N(C)C,392.70358,8.719763042778238
158,CC(C)C1=CC=C(C=C1)C(C)C,417.4064,9.683686397337105
159,C=CC1CCC=CC1,358.1884,10.174749129502818
160,CCC1=CC=CC=C1,355.6638,9.823562496560843
161,C=CC1=CC=CC=C1,342.9411,8.975946426206361
162,C1=CC=C(C=C1)C#N,372.01053,8.549780591718225
163,C1=CC=C(C=C1)CO,448.87167,10.678197465785406
164,C1=CC=C(C=C1)C=O,415.9212,10.527447310615887
165,CNC1=CC=CC=C1,378.26794,8.53353168464445
166,C1=CC=C(C=C1)NN,419.4957,8.500903540773153
167,COC1=CC=CC=C1,393.54486,10.542797250368482
168,CCC1=CC=CC=N1,367.1291,9.784396559228554
169,C1CCN(CC1)N=O,366.66418,7.237171558658266
170,CC1=CC(=CC=C1)C=C,369.76285,9.178281642464055
171,C1=CC=C(C=C1)OC2=CC=CC=C2,506.1884,10.947883160641132
