,index,SMILES,T,Vapor_Presssure
0,0,C=O,190.0,7.581574364482325
1,1,C=O,199.0,8.316537118226234
2,2,C=O,208.0,8.977115111962327
3,3,C=O,217.0,9.574057013179019
4,4,C=O,226.0,10.116135732256827
5,5,C=O,235.0,10.610582442824017
6,6,C=O,244.0,11.063411006137478
7,7,C=O,253.0,11.479663782420909
8,8,C=O,262.0,11.863600190478756
9,9,C=O,271.0,12.21884299112518
10,10,CCOC(=O)N,338.0,6.428062761494029
11,11,CCOC(=O)N,351.22223,7.192461455697213
12,12,CCOC(=O)N,364.44446,7.892591350907411
13,13,CCOC(=O)N,377.66666,8.536229377274028
14,14,CCOC(=O)N,390.8889,9.129950321468574
15,15,CCOC(=O)N,404.1111,9.67934313902677
16,16,CCOC(=O)N,417.33334,10.189193584075898
17,17,CCOC(=O)N,430.55554,10.663621378227488
18,18,CCOC(=O)N,443.77777,11.106196127940642
19,19,CCOC(=O)N,457.0,11.520020633514788
20,20,CN1CCC[C@H]1C2=CN=CC=C2,334.0,4.848526499977353
21,21,CN1CCC[C@H]1C2=CN=CC=C2,354.77777,5.986162236744422
22,22,CN1CCC[C@H]1C2=CN=CC=C2,375.55554,6.981823354217047
23,23,CN1CCC[C@H]1C2=CN=CC=C2,396.33334,7.860527294444486
24,24,CN1CCC[C@H]1C2=CN=CC=C2,417.1111,8.64173655085334
25,25,CN1CCC[C@H]1C2=CN=CC=C2,437.8889,9.340825216488351
26,26,CN1CCC[C@H]1C2=CN=CC=C2,458.66666,9.970095445942837
27,27,CN1CCC[C@H]1C2=CN=CC=C2,479.44446,10.539509809789052
28,28,CN1CCC[C@H]1C2=CN=CC=C2,500.22223,11.057219316775798
29,29,CN1CCC[C@H]1C2=CN=CC=C2,521.0,11.529961254713676
30,30,C(C(CO)O)O,341.0,0.6415754658113535
31,31,C(C(CO)O)O,365.66666,2.694676143579546
32,32,C(C(CO)O)O,390.33334,4.420180587378507
33,33,C(C(CO)O)O,415.0,5.890699900893381
34,34,C(C(CO)O)O,439.66666,7.158867106088099
35,35,C(C(CO)O)O,464.33334,8.263762024050877
36,36,C(C(CO)O)O,489.0,9.235006534133682
37,37,C(C(CO)O)O,513.6667,10.095469578543039
38,38,C(C(CO)O)O,538.3333,10.863079659825573
39,39,C(C(CO)O)O,563.0,11.552100304898362
40,40,CN(C)N,238.0,6.166674419597758
41,41,CN(C)N,244.11111,6.653305107846041
42,42,CN(C)N,250.22223,7.11157503574521
43,43,CN(C)N,256.33334,7.543893293603855
44,44,CN(C)N,262.44446,7.952403632827991
45,45,CN(C)N,268.55554,8.339018138820283
46,46,CN(C)N,274.66666,8.705454828398555
47,47,CN(C)N,280.77777,9.053251487494295
48,48,CN(C)N,286.8889,9.383795120245821
49,49,CN(C)N,293.0,9.69833845209803
50,50,C1COC1=O,324.0,7.233673437426354
51,51,C1COC1=O,336.33334,7.9140380619613975
52,52,C1COC1=O,348.66666,8.524471244102934
53,53,C1COC1=O,361.0,9.075230432584208
54,54,C1COC1=O,373.33334,9.57465698718111
55,55,C1COC1=O,385.66666,10.029606848356876
56,56,C1COC1=O,398.0,10.445770053815936
57,57,C1COC1=O,410.33334,10.827903026474276
58,58,C1COC1=O,422.66666,11.180015021735297
59,59,C1COC1=O,435.0,11.505511620459854
60,60,C1COCCN1N=O,273.0,-0.422816801046924
61,61,C1COCCN1N=O,283.66666,0.6805299130698828
62,62,C1COCCN1N=O,294.33334,1.679219929776039
63,63,C1COCCN1N=O,305.0,2.5874646852054575
64,64,C1COCCN1N=O,315.66666,3.4170208030831546
65,65,C1COCCN1N=O,326.33334,4.177691930770177
66,66,C1COCCN1N=O,337.0,4.877712329144291
67,67,C1COCCN1N=O,347.66666,5.524059491966561
68,68,C1COCCN1N=O,358.33334,6.122680150335025
69,69,C1COCCN1N=O,369.0,6.678669230373336
70,70,CCOCC,230.0,7.621293896519543
71,71,CCOCC,240.88889,8.35224364852855
72,72,CCOCC,251.77777,9.007329008358505
73,73,CCOCC,262.66666,9.59777810930399
74,74,CCOCC,273.55554,10.132707531425579
75,75,CCOCC,284.44446,10.619597687110412
76,76,CCOCC,295.33334,11.064639341369876
77,77,CCOCC,306.22223,11.473006634245564
78,78,CCOCC,317.1111,11.849053483141953
79,79,CCOCC,328.0,12.19647085411816
80,80,CC(=O)N,381.0,7.183579422879868
81,81,CC(=O)N,393.33334,7.823546905422717
82,82,CC(=O)N,405.66666,8.413612422447143
83,83,CC(=O)N,418.0,8.959396268728247
84,84,CC(=O)N,430.33334,9.465701661838391
85,85,CC(=O)N,442.66666,9.936661388720239
86,86,CC(=O)N,455.0,10.375853984756072
87,87,CC(=O)N,467.33334,10.786387734509372
88,88,CC(=O)N,479.66666,11.17097822003293
89,89,CC(=O)N,492.0,11.532011037761
90,90,C(=O)O,278.0,7.581743339846742
91,91,C(=O)O,291.33334,8.302075440577374
92,92,C(=O)O,304.66666,8.953116723335786
93,93,C(=O)O,318.0,9.544408897411895
94,94,C(=O)O,331.33334,10.083815093477885
95,95,C(=O)O,344.66666,10.577876681287455
96,96,C(=O)O,358.0,11.03208279051307
97,97,C(=O)O,371.33334,11.451068176853932
98,98,C(=O)O,384.66666,11.838775784308034
99,99,C(=O)O,398.0,12.19858356334197
100,100,CC(=O)O,297.0,7.569936915754527
101,101,CC(=O)O,312.66666,8.424514553510729
102,102,CC(=O)O,328.33334,9.183405377561925
103,103,CC(=O)O,344.0,9.861825888984772
104,104,CC(=O)O,359.66666,10.471932004316523
105,105,CC(=O)O,375.33334,11.023548636610425
106,106,CC(=O)O,391.0,11.524700078321167
107,107,CC(=O)O,406.66666,11.982009541185095
108,108,CC(=O)O,422.33334,12.40098981368734
109,109,CC(=O)O,438.0,12.78626445046213
110,110,CCCCCC=O,303.0,7.578193606867773
111,111,CCCCCC=O,316.77777,8.31658060511157
112,112,CCCCCC=O,330.55554,8.978305097426267
113,113,CCCCCC=O,344.33334,9.574718285037283
114,114,CCCCCC=O,358.1111,10.115032363804412
115,115,CCCCCC=O,371.8889,10.606807936401173
116,116,CCCCCC=O,385.66666,11.056304450587536
117,117,CCCCCC=O,399.44446,11.468750310493519
118,118,CCCCCC=O,413.22223,11.84854353780447
119,119,CCCCCC=O,427.0,12.199414813413016
120,120,CO,263.0,7.62935542327665
121,121,CO,270.1111,8.106416473251421
122,122,CO,277.22223,8.555621837340606
123,123,CO,284.33334,8.979342055633856
124,124,CO,291.44446,9.379686108183584
125,125,CO,298.55554,9.758534939335634
126,126,CO,305.66666,10.117577468154826
127,127,CO,312.77777,10.458325919502668
128,128,CO,319.8889,10.782143748376336
129,129,CO,327.0,11.090262203403784
130,130,CON,210.0,4.438456140905
131,131,CON,222.33333,5.669847465868351
132,132,CON,234.66667,6.738559733570314
133,133,CON,247.0,7.674830567072524
134,134,CON,259.33334,8.501844848268544
135,135,CON,271.66666,9.237669940543302
136,136,CON,284.0,9.896603084551463
137,137,CON,296.33334,10.490096957987658
138,138,CON,308.66666,11.027437392235225
139,139,CON,321.0,11.51623615141442
140,140,CC(C)O,281.0,7.580936903230459
141,141,CC(C)O,291.22223,8.269223705142332
142,142,CC(C)O,301.44446,8.90074811265396
143,143,CC(C)O,311.66666,9.482252102863718
144,144,CC(C)O,321.8889,10.01945523536629
145,145,CC(C)O,332.1111,10.517232791014818
146,146,CC(C)O,342.33334,10.979771333844887
147,147,CC(C)O,352.55554,11.41068369327507
148,148,CC(C)O,362.77777,11.813108636892792
149,149,CC(C)O,373.0,12.189779621138172
150,150,CC(=O)C,244.0,7.3695450105183244
151,151,CC(=O)C,256.1111,8.164815830306656
152,152,CC(=O)C,268.22223,8.87375563461134
153,153,CC(=O)C,280.33334,9.509698252113903
154,154,CC(=O)C,292.44446,10.083366076436857
155,155,CC(=O)C,304.55554,10.603478288519089
156,156,CC(=O)C,316.66666,11.077202356566328
157,157,CC(=O)C,328.77777,11.510478248717185
158,158,CC(=O)C,340.8889,11.908274264519356
159,159,CC(=O)C,353.0,12.274777025176837
160,160,CN(C)C=O,303.0,6.58621824204644
161,161,CN(C)C=O,309.66666,6.99622232817025
162,162,CN(C)C=O,316.33334,7.382987414012254
163,163,CN(C)C=O,323.0,7.748431572840325
164,164,CN(C)C=O,329.66666,8.094272070171478
165,165,CN(C)C=O,336.33334,8.422046573708537
166,166,CN(C)C=O,343.0,8.733131870460658
167,167,CN(C)C=O,349.66666,9.028772275354278
168,168,CN(C)C=O,356.33334,9.310091404870501
169,169,CN(C)C=O,363.0,9.578102871676696
170,170,CCCCO,310.0,7.58905615666659
171,171,CCCCO,317.77777,8.089495051275655
172,172,CCCCO,325.55554,8.556828358259072
173,173,CCCCO,333.33334,8.994237615762218
174,174,CCCCO,341.1111,9.404504663927103
