,SMILES,A_Pred,B_Pred,C_Pred,A_test,B_test,C_test,A,B,C,Tmin,Tmax,T
0,CC(CO)O,15.965441225168224,1261.827950902699,-244.77702546954774,25.425148242149252,6091.95205310949,-22.44992110994993,25.4251446,6091.949381,-22.45,364,483,"[364.0, 377.22223, 390.44446, 403.66666, 416.8889, 430.1111, 443.33334, 456.55554, 469.77777, 483.0]"
1,C1=CC=C(C=C1)CCO,13.382272479797441,349.08386170384983,-350.1357857183878,20.20934850541844,3078.0409977147683,-137.49707479897063,20.20935187,3078.042793,-137.497,406,492,"[406.0, 415.55554, 425.1111, 434.66666, 444.22223, 453.77777, 463.33334, 472.8889, 482.44446, 492.0]"
2,CCO,13.187319760179909,159.5736104823103,-304.7162181124864,22.85004998311472,3247.7051018757766,-64.6359549144118,22.85004856,3247.70417,-64.636,341,514,"[341.0, 360.22223, 379.44446, 398.66666, 417.8889, 437.1111, 456.33334, 475.55554, 494.77777, 514.0]"
3,CCCO,4.643240165631341,394.8578103962578,-431.1898295529367,23.025649871921527,3483.675853126041,-67.34291431153963,23.0256437,3483.673091,-67.343,293,360,"[293.0, 300.44446, 307.8889, 315.33334, 322.77777, 330.22223, 337.66666, 345.1111, 352.55554, 360.0]"
4,CCCCCO,11.794710185950349,89.06540545456248,-309.3825922876281,21.636145675049484,3076.2756425913303,-106.83002346908552,21.63614872,3076.27671,-106.83,326,399,"[326.0, 334.1111, 342.22223, 350.33334, 358.44446, 366.55554, 374.66666, 382.77777, 390.8889, 399.0]"
5,C=C,10.093510631468762,5.581989996755743e-07,-0.37292114537871124,20.524828926133317,1373.5518294426963,-16.780002824776545,20.52482905,1373.551875,-16.78,122,188,"[122.0, 129.33333, 136.66667, 144.0, 151.33333, 158.66667, 166.0, 173.33333, 180.66667, 188.0]"
6,C#C,10.0371446609471,-5.442326562859741e-10,-0.3220136686028301,19.97202394940391,1217.3078375541625,-44.3599691131211,19.97202442,1217.307661,-44.36,191,201,"[191.0, 192.11111, 193.22223, 194.33333, 195.44444, 196.55556, 197.66667, 198.77777, 199.88889, 201.0]"
7,CC(C)N,10.24858597156515,-0.3939847661733279,-217.88401944496042,21.85846286244707,2712.0950265251236,-41.114009415574145,21.85846331,2712.095247,-41.114,213,243,"[213.0, 216.33333, 219.66667, 223.0, 226.33333, 229.66667, 233.0, 236.33333, 239.66667, 243.0]"
8,CC1CO1,13.82810981156696,415.1842499189337,-142.48320948573732,20.95170530630822,2455.437601462348,-46.845999906820644,20.9517053,2455.437599,-46.846,199,307,"[199.0, 211.0, 223.0, 235.0, 247.0, 259.0, 271.0, 283.0, 295.0, 307.0]"
9,CC(C)(C)N,11.370328731848332,-2.6644559694798398,-305.19343087495514,20.47820583627095,2269.69689153405,-63.6289027629454,20.47820171,2269.694968,-63.629,292,348,"[292.0, 298.22223, 304.44446, 310.66666, 316.8889, 323.1111, 329.33334, 335.55554, 341.77777, 348.0]"
