,SMILES,VP1,VP2,VP3,VP4,VP5,Column1,Name,A,B,C,Tmin,Tmax,No.C,Atom,Count Unique Atom,Pass Screen,Atom2
0,C=O,9.536830352098322,10.289294294611722,10.942479520247447,11.51481806315841,12.020445099332749,0,Methanal,21.37029224807774,2204.1265544176204,-30.15,190,271,1,"[1, 6, 8]",3,True,CHO
1,CCOC(=O)N,11.670690128862677,11.809843513193567,11.94440861658503,12.074608691321004,12.200652737113668,2,Urethane,23.846837644847486,5018.000667310994,-49.92,338,457,3,"[1, 6, 7, 8]",4,True,CHON
2,CN1CCC[C@H]1C2=CN=CC=C2,7.281769818335805,7.427957781511902,7.571312644626444,7.711915974859711,7.849846237978275,3,Nicotine,21.94253069538862,4981.654361618083,-42.573,334,521,10,"[1, 6, 7]",3,True,CHN
3,C(C(CO)O)O,6.68143181096754,7.179183184422929,7.636669383608963,8.058586299059963,8.44892694013861,6,Glycerol,24.322574750910984,6153.389258570707,-81.155,341,563,3,"[1, 6, 8]",3,True,CHO
4,CN(C)N,10.174973185333243,10.48791803384169,10.78600952620162,11.070280629627195,11.341670698678799,10,"1,1-Dimethyl-hydrazine",22.379837656250047,3202.0024613386363,-40.506,238,293,2,"[1, 6, 7]",3,True,CHN
5,CC(CO)O,9.892362405001142,10.359304896298115,10.791252677590238,11.191997642972352,11.564802950140097,11,"1,2-Propanediol",25.42514459684025,6091.949380534347,-22.45,364,483,3,"[1, 6, 8]",3,True,CHO
6,C1COC1=O,10.48792729865368,10.839347111483656,11.169008441037331,11.47887140115704,11.770667533419777,12,2-Oxeta,19.79214647704148,2704.1029737550684,-108.679,324,435,3,"[1, 6, 8]",3,True,CHO
7,C1COCCN1N=O,6.5133240107823624,7.9485733329520905,9.251405313274493,10.4393372774116,11.526927251381334,18,"Morpholine, 4-nitroso-",21.73737036360285,4511.1049797690985,-69.432,273,369,4,"[1, 6, 7, 8]",4,True,CHON
8,C1=CC=C(C=C1)N=NC2=CC=C(C=C2)N,8.108198997084704,8.887828427821269,9.59140021027867,10.229526539393957,10.810933082634538,20,4-Amino-azobenzene,35.41599223778863,13157.87843989462,0.0,433,524,12,"[1, 6, 7]",3,True,CHN
9,C1=CC=C(C=C1)CCO,7.581743344155486,9.10620897807695,10.336148794007403,11.349397310443415,12.198583567093802,21,2-Phenylethanol,20.209351870041072,3078.0427928573017,-137.497,406,492,8,"[1, 6, 8]",3,True,CHO
10,CCOCC,4.087860802610475,6.3582830151926295,8.161690096809501,9.628738546573704,10.845504071866957,22,Diethyl ether,20.975675214840415,2511.2914058230263,-41.95,230,328,4,"[1, 6, 8]",3,True,CHO
11,CC(=O)N,10.412750307537678,10.725312095231224,11.027095890245683,11.318649726107108,11.600485100773152,23,Acetamide,22.958592419374103,4601.255791330002,-89.32,381,492,2,"[1, 6, 7, 8]",4,True,CHON
12,C1=CC=C(C=C1)C[C@@H](C(=O)O)N,8.786872560773784,9.314361522067937,9.816170245498927,10.294129489323655,10.749900030145735,26,L-Phenylalanine,41.53591802720285,18170.25619440852,0.0,450,470,9,"[1, 6, 7, 8]",4,True,CHON
13,CCO,7.61922624691557,8.569222907313353,9.3913115206249,10.109695140462973,10.74283277776266,27,Ethanol,22.850048558090364,3247.704170264382,-64.636,341,514,2,"[1, 6, 8]",3,True,CHO
14,C(=O)O,4.8516901690564325,6.9688808005126965,8.800791302567582,10.401442150540102,11.812024553778244,28,Methanoic acid,21.83854595258901,3572.1844615691034,-27.44,278,398,1,"[1, 6, 8]",3,True,CHO
15,CC(=O)O,4.665754593758415,6.831947380080532,8.649216383830282,10.195583241780465,11.527421604314753,29,Ethanoic acid,21.979579289534893,3580.7961298169,-48.5,297,438,2,"[1, 6, 8]",3,True,CHO
16,C1=CC=C(C=C1)C(=O)O,3.551130379167084,4.809154573901701,5.920222655636099,6.908663647240612,7.793717107178956,31,Benzoic acid,23.96438461384483,5631.595845477141,-69.779,52,392,7,"[1, 6, 8]",3,True,CHO
17,CCCCCC=O,4.859039942143539,7.009010829578401,8.779760027376355,10.263489330355167,11.52475145612486,32,Hexanal,21.06358791369093,3207.501034540706,-65.15,303,427,6,"[1, 6, 8]",3,True,CHO
18,CO,4.86918427959834,7.060244188819194,8.831521285225069,10.293107936446127,11.519694236844067,33,Methanol,23.492746109246863,3638.268653738032,-33.65,263,327,1,"[1, 6, 8]",3,True,CHO
19,CON,4.937334508558429,6.839098111050269,8.549142753041508,10.095068355758269,11.499419696141327,34,Methoxyamine,21.84883850795469,2821.265411041885,-47.955,210,321,1,"[1, 6, 7, 8]",4,True,CHON
20,CC(=O)C,4.289200600038519,5.017546240724943,5.69174924903216,6.31763043282184,6.9002050828097765,36,Propa,21.226150421256317,2756.217382164803,-45.09,244,353,3,"[1, 6, 8]",3,True,CHO
21,CN(C)C=O,9.053303803779448,10.509635024532162,11.689631813434215,12.665129347431893,13.485049516330921,42,Dimethyl formamide,20.64249115188418,3118.918283428132,-81.112,303,363,3,"[1, 6, 7, 8]",4,True,CHON
22,C1=CC=C(C(=C1)C(=O)O)O,7.1878323050932975,7.833552186841276,8.355090392034775,8.785127455926212,9.145801465543084,43,2-Hydroxybenzoic acid,18.491024718543336,1927.2982616124116,-251.564,445,529,7,"[1, 6, 8]",3,True,CHO
23,CCCO,2.591064647729901,3.744435068766915,4.762107145029486,5.666698480518166,6.476064836410162,44,1-Propanol,23.02564369728209,3483.673090594412,-67.343,293,360,3,"[1, 6, 8]",3,True,CHO
24,CCCCO,7.592831612795397,8.983365444426116,10.195607124185077,11.261781281794399,12.206788090807262,45,1-Butanol,22.218334337827446,3212.4285666397136,-90.411,310,380,4,"[1, 6, 8]",3,True,CHO
25,CCCCCO,7.577075738990022,8.974075797801834,10.188273859083392,11.253346904718306,12.19517825720813,46,1-Pentanol,21.636148722914832,3076.276710090975,-106.83,326,399,5,"[1, 6, 8]",3,True,CHO
26,C1=CC=CC=C1,9.361798440426648,9.58010219537525,9.790601973869485,9.993708895223575,10.189805699665113,47,Benzene,20.68925665512289,2726.804160186897,-55.623,280,374,6,"[1, 6]",2,True,CH
27,C,6.5799903052021484,8.594648738839885,10.13653452421641,11.35458782089935,12.341132278207146,49,Methane,20.19067790493689,911.2342350418356,-6.469,92,118,1,"[1, 6]",2,True,CH
28,CC,7.795509327678541,8.609759693504252,9.352900863790449,10.033858153003788,10.660123171250897,51,Ethane,20.617462051923333,1528.271777922008,-16.469,133,198,2,"[1, 6]",2,True,CH
29,C=C,8.133794011537596,8.64934550182253,9.13030371029181,9.58003740679764,10.001491702508984,52,Ethene,20.524829053632185,1373.551875183366,-16.78,122,188,2,"[1, 6]",2,True,CH
30,C#C,7.19727033505456,8.106623516224156,8.894020922905762,9.582454518484539,10.189478511371728,53,Ethyne,19.972024424506174,1217.307661113162,-44.36,191,201,2,"[1, 6]",2,True,CH
31,CN,6.4145108910080495,7.999897372142485,9.349237421641345,10.511595499441297,11.523319164837773,56,Methanamine,21.97633264455377,2419.2340538051244,-35.32,203,288,1,"[1, 6, 7]",3,True,CHN
32,C#N,4.893206534966975,7.028530582379272,8.787470111193688,10.261480454926264,11.514607420251862,57,Hydrogen cyanide,21.88646274837421,2886.895993947494,-20.307,261,300,1,"[1, 6, 7]",3,True,CHN
33,CCC,7.582275008486402,8.990050027031469,10.204721078496082,11.263470047587342,12.194508785043585,62,Propane,20.55812443407688,1851.2715070119336,-26.11,248,270,3,"[1, 6]",2,True,CH
34,CC#C,6.876868218236261,8.378471230244303,9.609833262503333,10.637883934205327,11.509136703809364,63,Propyne,21.288665606531097,2153.1242946078023,-29.57,187,266,3,"[1, 6]",2,True,CH
35,CCN,4.910052976193988,7.125899702159188,8.893525428529092,10.336437687950339,11.536584506748248,68,Ethanamine,21.72258776730583,2539.475047361273,-40.7,220,308,2,"[1, 6, 7]",3,True,CHN
36,CC=O,9.075118122263817,9.525321339607627,9.948514800535643,10.347058374161554,10.72304479733971,70,Ethanal,21.140954772815533,2465.147600559425,-37.15,219,313,2,"[1, 6, 8]",3,True,CHO
37,C(=O)N,7.5726622458640485,9.01920361566642,10.245677467242826,11.298753291527396,12.212775625326724,75,Formamide,23.31176292093753,5274.025103801002,-44.106,391,466,1,"[1, 6, 7, 8]",4,True,CHON
