,Column1,Name,SMILES,A,B,C,Tmin,Tmax,No.C,Atom,Count Unique Atom,Pass Screen,Atom2,Func. Group
0,0,Methanal,C=O,21.37029224807774,2204.1265544176204,-30.15,190,271,1,"[1, 6, 8]",3,True,CHO,aldehyde
1,2,Urethane,CCOC(=O)N,23.846837644847486,5018.000667310994,-49.92,338,457,3,"[1, 6, 7, 8]",4,True,CHON,ester
2,3,Nicotine,CN1CCC[C@H]1C2=CN=CC=C2,21.94253069538862,4981.654361618083,-42.573,334,521,10,"[1, 6, 7]",3,True,CHN,amine
3,6,Glycerol,C(C(CO)O)O,24.322574750910984,6153.389258570707,-81.155,341,563,3,"[1, 6, 8]",3,True,CHO,alcohol
4,11,"1,2-Propanediol",CC(CO)O,25.42514459684025,6091.949380534347,-22.45,364,483,3,"[1, 6, 8]",3,True,CHO,alcohol
5,12,2-Oxeta,C1COC1=O,19.79214647704148,2704.1029737550684,-108.679,324,435,3,"[1, 6, 8]",3,True,CHO,ester
6,18,"Morpholine, 4-nitroso-",C1COCCN1N=O,21.73737036360285,4511.1049797690985,-69.432,273,369,4,"[1, 6, 7, 8]",4,True,CHON,ester
7,20,4-Amino-azobenzene,C1=CC=C(C=C1)N=NC2=CC=C(C=C2)N,35.41599223778863,13157.87843989462,0.0,433,524,12,"[1, 6, 7]",3,True,CHN,amine
8,21,2-Phenylethanol,C1=CC=C(C=C1)CCO,20.209351870041072,3078.0427928573017,-137.497,406,492,8,"[1, 6, 8]",3,True,CHO,alcohol
9,22,Diethyl ether,CCOCC,20.975675214840415,2511.2914058230263,-41.95,230,328,4,"[1, 6, 8]",3,True,CHO,ester
10,23,Acetamide,CC(=O)N,22.958592419374103,4601.255791330002,-89.32,381,492,2,"[1, 6, 7, 8]",4,True,CHON,amide
11,24,4-Ethoxyacetanilide,CCOC1=CC=C(C=C1)NC(=O)C,25.155166494686704,7507.682312036271,-62.423,465,529,10,"[1, 6, 7, 8]",4,True,CHON,ester
12,26,L-Phenylalanine,C1=CC=C(C=C1)C[C@@H](C(=O)O)N,41.53591802720285,18170.25619440852,0.0,450,470,9,"[1, 6, 7, 8]",4,True,CHON,carboxylic_acid
13,27,Ethanol,CCO,22.850048558090364,3247.704170264382,-64.636,341,514,2,"[1, 6, 8]",3,True,CHO,alcohol
14,28,Methanoic acid,C(=O)O,21.83854595258901,3572.1844615691034,-27.44,278,398,1,"[1, 6, 8]",3,True,CHO,carboxylic_acid
15,29,Ethanoic acid,CC(=O)O,21.979579289534893,3580.7961298169,-48.5,297,438,2,"[1, 6, 8]",3,True,CHO,carboxylic_acid
16,31,Benzoic acid,C1=CC=C(C=C1)C(=O)O,23.96438461384483,5631.595845477141,-69.779,52,392,7,"[1, 6, 8]",3,True,CHO,carboxylic_acid
17,32,Hexanal,CCCCCC=O,21.06358791369093,3207.501034540706,-65.15,303,427,6,"[1, 6, 8]",3,True,CHO,aldehyde
18,33,Methanol,CO,23.492746109246863,3638.268653738032,-33.65,263,327,1,"[1, 6, 8]",3,True,CHO,alcohol
19,34,Methoxyamine,CON,21.84883850795469,2821.265411041885,-47.955,210,321,1,"[1, 6, 7, 8]",4,True,CHON,ester
20,35,2-Propanol,CC(C)O,23.58464228030825,3640.202825216147,-53.54,281,373,3,"[1, 6, 8]",3,True,CHO,alcohol
21,36,Propa,CC(=O)C,21.226150421256317,2756.217382164803,-45.09,244,353,3,"[1, 6, 8]",3,True,CHO,ketone
22,42,Dimethyl formamide,CN(C)C=O,20.64249115188418,3118.918283428132,-81.112,303,363,3,"[1, 6, 7, 8]",4,True,CHON,amide
23,43,2-Hydroxybenzoic acid,C1=CC=C(C(=C1)C(=O)O)O,18.491024718543336,1927.2982616124116,-251.564,445,529,7,"[1, 6, 8]",3,True,CHO,carboxylic_acid
