,Method,Training Predict,Training Actual
0,DT,4.84763030228174,4.84763030228174
1,DT,7.146612593337853,7.144998270041123
2,DT,8.879815579730156,8.928806977458883
3,DT,9.467102934072289,10.353947500972634
4,DT,11.517347456576893,11.51871340296584
5,DT,5.531897814545122,4.858981700159865
6,DT,7.344254190871686,7.344254190871686
7,DT,9.658607254877095,9.12856690195629
8,DT,10.990222006431182,10.47182155263431
9,DT,11.519564952394546,11.519564952394546
10,DT,3.523675882393256,3.523675882393256
11,DT,5.164965839522746,4.708673892723073
12,DT,5.164965839522746,5.7492463710545785
13,DT,6.356188308239545,6.670280235340272
14,DT,7.595778959413905,7.491255087879436
15,DT,4.862005869103285,4.863397102973008
16,DT,7.31064172478317,7.1539587357342
17,DT,9.092679329261964,8.936014851250343
18,DT,10.553396275182017,10.361980019682719
19,DT,11.529765390237118,11.528890611469615
20,DT,8.998537483463432,8.464307665777442
21,DT,8.998537483463432,9.53276730114942
22,DT,10.352023523023561,10.352023523023561
23,DT,11.000155729884828,11.000155729884828
24,DT,11.525709741595026,11.525709741595026
25,DT,11.522620896123588,11.522613341468016
26,DT,7.570412972151834,7.570412972151834
27,DT,9.142965280646145,9.142965280646145
28,DT,10.379285054329335,10.379285054329335
29,DT,11.376793754441147,11.376793754441147
30,DT,12.198134535149247,12.198591252784437
31,DT,8.535332510392706,8.29565937991375
32,DT,9.738297163750715,9.738297163750715
33,DT,10.90014387219815,10.90014387219815
34,DT,11.69409109714449,11.855907624421345
35,DT,12.665296753106961,12.655952775108801
36,DT,1.3472351646659106,1.1887836634188425
37,DT,2.7521869859953805,2.8137972580709905
38,DT,4.215362692397615,4.2472925561430825
39,DT,5.5384745876811845,5.521242917925168
40,DT,6.615700502724879,6.660879753810082
41,DT,6.387989712172379,6.387989712172379
42,DT,8.377212971586292,7.521263012376059
43,DT,8.615432546676177,8.464369932386559
44,DT,9.610184394356718,9.261471005943074
45,DT,9.610184394356718,9.944035823671983
46,DT,10.77513584259822,10.412750307537678
47,DT,10.77513584259822,10.725312095231224
48,DT,11.167040249106298,11.027095890245683
49,DT,11.424059038070984,11.318649726107108
50,DT,11.895132360771484,11.600485100773152
51,DT,8.308286400601602,8.308286400601602
52,DT,9.200562712909734,9.27845825880847
53,DT,10.17949109180152,10.143548530358169
54,DT,10.919323258489024,10.919752585237289
55,DT,11.644180490892355,11.620100334753223
56,DT,11.52116094840597,11.52115758908153
57,DT,7.207021704322665,7.214847975130752
58,DT,8.80468727559732,8.550938124528447
59,DT,9.713600188559964,9.687037739016262
60,DT,10.661973074552446,10.664923108762085
61,DT,11.521670935956777,11.51549236798461
62,DT,4.7304768777164306,4.870081208586043
63,DT,5.922542268464705,7.035564691404414
64,DT,8.802902377061692,8.802902377061692
65,DT,10.339246299491903,10.272654402573897
66,DT,11.514376617498556,11.51414581474525
67,DT,7.575718174482421,7.588173982492849
68,DT,9.16719855259976,9.152284302660261
69,DT,10.451262776096822,10.38623232768336
70,DT,11.276689160938737,11.384577112908504
71,DT,12.208915367621117,12.208915367621117
72,DT,10.170149204485194,10.164330842464294
73,DT,10.539535936288456,10.539535936288456
74,DT,10.898661425045717,10.889494550991538
75,DT,11.22038223800885,11.21667189341821
76,DT,11.520095650568212,11.52322233236261
77,DT,7.611507045819023,7.6167140642681606
78,DT,9.166802492785784,9.167430963197265
79,DT,10.390460340471734,10.391917070798742
80,DT,11.381742061018596,11.383320237255504
81,DT,12.202408404633275,12.202408404633275
82,DT,6.984745407518817,7.198675542074984
83,DT,8.742156288211548,8.522560925810218
84,DT,9.999293804615366,9.659006572940802
85,DT,11.154787338046686,10.645188193850057
86,DT,11.509060180134826,11.509060180134826
87,DT,9.518575252586752,9.524996997156395
88,DT,10.128319632673913,10.10666013951659
89,DT,10.631255133502414,10.634683689471812
90,DT,11.226725602558712,11.11616038296672
91,DT,11.226725602558712,11.55698525461624
92,DT,7.192156179218038,7.195839939986858
93,DT,8.73808775386598,8.667705478598423
94,DT,9.840384687624725,9.826848049392606
95,DT,10.757999881321503,10.763361650240604
96,DT,11.53354983515786,11.535764974908142
97,DT,7.584953112088243,7.584953112088243
98,DT,9.181076617354577,9.143271447302798
99,DT,10.357109682262251,10.378416614945115
100,DT,11.218137437066629,11.381475827236805
101,DT,12.00857195194498,12.212245224549964
102,DT,7.561728332078827,7.561728332078827
103,DT,9.205423110806441,9.226048966293533
104,DT,10.469410139106495,10.469410139106495
105,DT,11.433592440702014,11.433592440702014
106,DT,12.203133426137676,12.203133426137676
107,DT,-1.4806644904174675,-2.1576605499678614
108,DT,-1.4806644904174675,-0.8036684308670701
109,DT,1.3294669357401698,0.4404217305144993
110,DT,1.3294669357401698,1.5874689775917368
111,DT,1.3294669357401698,2.64840156647999
112,DT,11.522792209428356,11.522792209428356
113,DT,4.919608754094121,4.919608754094121
114,DT,7.2563422569829115,7.2563422569829115
115,DT,9.003751182297185,9.021262227902314
116,DT,10.39616885925486,10.40137718602893
117,DT,11.507677239799406,11.510164777167084
118,DT,7.240619121045059,7.11678228289265
119,DT,8.377212971586292,8.571818796849856
120,DT,9.966779726639096,9.742075780371824
121,DT,10.703706401224904,10.703706401224904
122,DT,11.357595407141584,11.507933762382034
123,DT,7.616231268759117,7.61619524660728
124,DT,9.174516046584278,9.175349246510278
125,DT,10.399294626695976,10.400523108190184
126,DT,11.386730700093642,11.388646225951144
127,DT,12.20145052536726,12.202448101067407
128,DT,7.569978558991139,7.5675243127421705
129,DT,9.06440975816617,9.06440975816617
130,DT,10.254787561941155,10.254787561941155
131,DT,11.224056820050244,11.224056820050244
132,DT,12.136793090890343,12.028587488133965
133,DT,10.147763607034836,10.49486779760626
134,DT,10.712131676066237,10.798758381450833
