,SMILES,A_Pred,B_Pred,C_Pred,A_test,B_test,C_test,A,B,C,Atom2,Func. Group,T,ln_Psat_Pred (Pa),ln_Psat_Actual (Pa),RMSE,RMSE2
0,COC1=CC=C(C=C1)CC=C,23.104461187479732,5168.216714673397,-41.915999995745054,23.104461187479732,5168.216714673397,-41.915999995745054,21.37029224807774,2204.1265544176204,-30.15,CHO,aldehyde,"[325.0, 365.75, 406.5, 447.25, 488.0]","[4.601549, 7.119984, 8.698104, 10.280438, 11.343796]","[4.84763030228174, 7.144998270041123, 8.928806977458883, 10.353947500972634, 11.51871340296584]",0.17343893994159487,Pass
1,CCCCOCCOCCO,19.99691536894749,3101.9896775891057,-138.0850000094005,19.99691536894749,3101.9896775891057,-138.0850000094005,23.846837644847486,5018.000667310994,-49.92,CHON,ester,"[343.0, 383.25, 423.5, 463.75, 504.0]","[5.170199, 7.4513083, 9.052226, 10.212561, 11.445848]","[4.858981700159865, 7.344254190871686, 9.12856690195629, 10.47182155263431, 11.519564952394546]",0.1932847363529406,Pass
2,CC1=C2C(=CC=CC2=CC=C1)C,21.78427388125249,4933.721358529352,-67.81600281740273,21.78427388125249,4933.721358529352,-67.81600281740273,21.94253069538862,4981.654361618083,-42.573,CHN,amine,"[338.0, 356.75, 375.5, 394.25, 413.0]","[4.063815, 4.8703556, 5.5688677, 6.5191717, 7.5290093]","[3.523675882393256, 4.708673892723073, 5.7492463710545785, 6.670280235340272, 7.491255087879436]",0.2737469180808858,Pass
3,CC1=C(C=CC(=C1)C(C)(C)C)O,23.2084919408197,5561.113686848778,-43.86100096271483,23.2084919408197,5561.113686848778,-43.86100096271483,24.322574750910984,6153.389258570707,-81.155,CHO,alcohol,"[347.0, 390.25, 433.5, 476.75, 520.0]","[4.736749, 7.2584853, 8.651473, 10.40267, 11.58415]","[4.863397102973008, 7.1539587357342, 8.936014851250343, 10.36198001968272, 11.528890611469617]",0.15009256094545087,Pass
4,CC[C@@H]1C(O1)(C)C,16.557887270719807,957.8746628481545,-178.6500638692827,16.557887270719807,957.8746628481545,-178.6500638692827,25.42514459684025,6091.949380534347,-22.45,CHO,alcohol,"[297.0, 315.0, 333.0, 351.0, 369.0]","[8.824886, 9.63583, 10.488665, 11.02076, 11.472785]","[8.464307665777442, 9.53276730114942, 10.35202352302356, 11.000155729884828, 11.525709741595026]",0.18029703960701182,Pass
5,CCC(CC)C(C)C(C)C,20.70744709336077,3357.1690758787204,-68.44999957721721,20.70744709336077,3357.1690758787204,-68.44999957721721,19.79214647704148,2704.1029737550684,-108.679,CHO,ester,"[324.0, 358.75, 393.5, 428.25, 463.0]","[7.667244, 9.319707, 10.424682, 11.440169, 12.126994]","[7.570412972151834, 9.142965280646145, 10.379285054329335, 11.376793754441149, 12.198591252784436]",0.10180113392928132,Pass
6,CCCCCCCCNC,21.676881453208257,3958.8345503710434,-69.1500000011063,21.676881453208257,3958.8345503710434,-69.1500000011063,21.73737036360285,4511.1049797690985,-69.432,CHON,ester,"[365.0, 400.75, 436.5, 472.25, 508.0]","[8.565111, 9.749409, 11.299431, 11.658555, 12.598522]","[8.29565937991375, 9.738297163750715, 10.90014387219815, 11.855907624421343, 12.6559527751088]",0.23426660504466937,Pass
7,CC(=O)OC1CCC(CC1)C(C)(C)C,27.13992578298344,7769.6681492946245,6.396000117343604,27.13992578298344,7769.6681492946245,6.396000117343604,35.41599223778863,13157.87843989462,0.0,CHN,amine,"[293.0, 313.0, 333.0, 353.0, 373.0]","[1.3656722, 3.206613, 4.3753715, 5.58692, 6.721721]","[1.1887836634188425, 2.8137972580709905, 4.2472925561430825, 5.521242917925168, 6.660879753810082]",0.20494541404401878,Pass
8,C1CCCCCC(CCCCC1)O,18.761923854733947,2761.5156304637094,-181.82800000000316,18.761923854733947,2761.5156304637094,-181.82800000000316,20.209351870041072,3078.0427928573017,-137.497,CHO,alcohol,"[405.0, 427.5, 450.0, 472.5, 495.0]","[6.96461, 7.52935, 8.458136, 9.233915, 9.916291]","[6.387989712172379, 7.521263012376059, 8.464369932386559, 9.261471005943074, 9.944035823671983]",0.25850505848836425,Pass
9,C(C(=O)O)O,28.228772125120027,6235.607608657568,-1.5354534635442663e-06,28.228772125120027,6235.607608657568,-1.5354534635442663e-06,20.97567521484041,2511.2914058230263,-41.95,CHO,ester,"[350.0, 356.25, 362.5, 368.75, 375.0]","[10.4246235, 10.470062, 11.313952, 11.291534, 11.34699]","[10.412750307537678, 10.725312095231224, 11.027095890245684, 11.318649726107108, 11.600485100773152]",0.20619167792929127,Pass
