,Actual,Predict,diff,ARD
8521,11.7946125,11.492599,0.302013971,2.560605571
10157,11.522621,11.55666,0.034038696,0.295410202
7881,11.78148757,11.046391,0.735097034,6.23942064
4874,11.52137696,10.220207,1.301169746,11.29352824
11421,5.124626458,6.9307113,1.806084811,35.24324859
7745,10.8255143,10.861845,0.036330717,0.335602535
3692,10.1044342,8.032894,2.071540064,20.50129832
1496,2.10124013,5.039421,2.938180952,139.8307994
1213,8.98325713,8.669609,0.31364806,3.491474478
5464,-2.67850649,0.7499832,3.428489682,-128.0000516
11100,4.581586988,6.058453,1.476866096,32.23481332
11168,1.466236612,0.730464,0.73577263,50.18102848
4083,8.14033667,6.996217,1.144119896,14.05494289
8098,8.130316606,7.9949555,0.135361066,1.664893416
9205,8.674241213,8.462987,0.211254266,2.435420083
2216,9.782213227,9.953398,0.171184524,1.749959536
1669,6.416941972,7.269969,0.853027014,13.29335736
812,9.406796521,9.976491,0.569694453,6.05620072
11887,4.396674604,6.9824142,2.585739642,58.81125689
8144,10.46693762,9.907438,0.559499345,5.345399422
2980,11.33991916,8.479484,2.860435555,25.22447576
5963,9.70975831,9.223906,0.485852747,5.003752872
7656,11.1002003,10.6781645,0.422035818,3.802055718
6962,3.253197897,4.998969,1.745771181,53.663231
741,12.35638881,11.133699,1.22268939,9.895203416
5297,6.421638527,5.084993,1.336645642,20.81471141
11356,5.116177248,8.936054,3.819876982,74.66271333
4064,4.186535966,4.7294226,0.542886603,12.96744226
10974,-0.792894637,1.2303832,2.023277795,-255.1761283
2615,11.21179463,9.724534,1.48726059,13.26514331
9237,10.11734247,9.447104,0.670238016,6.624649424
3881,11.29164618,8.916529,2.375117483,21.03428628
5265,7.02282006,6.9986315,0.024188583,0.344428022
8834,6.690639304,7.2049685,0.514329148,7.687295224
11467,4.367838048,7.678574,3.310736037,75.79804735
6794,9.401051204,9.134108,0.266943614,2.839503775
828,7.62931324,7.4003997,0.228913555,3.000447521
9676,11.79475957,10.725529,1.069230852,9.065301946
4338,5.652390942,6.8567653,1.204374329,21.30734358
7787,8.66312866,8.348695,0.314433859,3.629562394
8819,8.621575548,8.734164,0.11258869,1.305891845
1457,9.115787096,7.972585,1.143201895,12.54090386
2664,8.545848069,7.549836,0.99601191,11.65492366
5508,10.09539341,9.34528,0.750113718,7.430254384
749,8.777925257,6.9070764,1.870848898,21.3131099
6298,9.694501671,9.749345,0.054843155,0.565715814
6691,11.25143115,10.509031,0.742399852,6.598273035
8598,11.52421711,11.164131,0.360085944,3.124603654
9421,11.30200222,10.234385,1.067617679,9.446266201
4885,10.43109212,9.123487,1.307604648,12.53564924
11212,5.107373012,5.258397,0.15102409,2.956979789
4193,5.626203082,7.4623647,1.836161592,32.635893
8414,3.576118238,4.148185,0.572066538,15.99686374
9245,2.989492265,3.4902763,0.500784071,16.75147451
7887,10.82202549,10.535171,0.286854936,2.650654369
9608,5.685148218,7.589735,1.904586813,33.50109283
10675,9.472136512,9.885118,0.412981019,4.35996132
11629,3.803305936,7.3633475,3.560041594,93.60387052
5337,9.423952197,9.832321,0.40836897,4.333307238
7985,1.391791071,0.43428665,0.957504417,68.796563
293,9.424896138,8.048524,1.376372236,14.60357884
11861,5.120475915,9.002487,3.882011267,75.81348197
4313,7.677094616,8.891257,1.21416267,15.81538908
10211,11.52265659,11.585079,0.062422601,0.541736248
4867,10.10987694,8.431171,1.678705519,16.60461296
311,10.81009233,10.778816,0.031276102,0.289325239
3316,11.82051214,10.836731,0.983781184,8.322660892
3585,10.07017863,8.798403,1.271775848,12.62912686
9378,7.379422726,7.3249583,0.054464401,0.738058083
772,5.79989324,5.6275873,0.172305921,2.970846745
927,8.63369236,8.597416,0.036276436,0.420172026
6157,8.447330754,8.565281,0.11795016,1.396301974
4953,6.295248373,5.617735,0.677513464,10.76229773
5022,9.645023644,8.768546,0.87647754,9.087356096
3891,11.300456,10.418928,0.881527849,7.80081791
11856,5.122534314,10.42039,5.297855815,103.4225514
11988,3.54947057,5.957276,2.407805297,67.83562174
304,7.723284103,8.453744,0.730459832,9.457892365
5758,7.208190983,7.062176,0.146014755,2.025681384
6128,8.141480862,8.013153,0.128327786,1.576222608
811,11.07844537,10.822522,0.255923207,2.310101843
4093,5.240160918,6.343995,1.103834177,21.06488903
10723,11.52268019,11.578634,0.055954071,0.485597173
3997,10.08492625,9.017948,1.066978096,10.57993108
247,10.14307619,8.574871,1.56820513,15.46084406
1617,9.108475255,8.916305,0.192170667,2.109796091
200,9.464421955,8.833474,0.630947796,6.666523936
4907,9.129663501,9.560774,0.431110348,4.722085305
10407,11.52263269,11.585079,0.062446501,0.541944794
10542,11.52247134,10.922083,0.600388443,5.210586566
4671,11.16879448,9.392198,1.776596868,15.90678815
3487,8.225011773,8.543249,0.318237357,3.869140077
11676,5.120358346,8.793255,3.672896506,71.73124234
9891,7.390554855,8.24629,0.855735352,11.57876725
9297,8.464739983,8.524862,0.060122306,0.710264192
5899,8.793596018,7.6631103,1.130485761,12.85578409
3617,10.09720841,9.220133,0.87707558,8.686315783
3931,11.54921132,10.34699,1.202221687,10.40955339
9318,9.518521483,9.415648,0.102873022,1.080771659
3025,9.879872273,8.786864,1.093007993,11.0629798
4410,10.16887725,8.890776,1.278101569,12.56875482
1188,8.092027198,8.131559,0.039532174,0.488527794
8015,6.872226978,7.8645997,0.992372727,14.44033681
4441,11.77971799,9.092747,2.686971251,22.81014697
10943,11.5227701,11.578634,0.055864165,0.484813136
2754,6.629391704,7.520656,0.891264405,13.44413388
2952,9.075801117,8.282573,0.793228371,8.740034151
7146,11.29088201,10.158807,1.132075206,10.02645326
9075,10.52607845,10.365923,0.160155526,1.521511119
8394,6.242995297,7.9058537,1.662858452,26.63558635
6536,11.08577053,11.21631,0.130539014,1.177540757
10628,11.5226687,11.571089,0.048420092,0.420217768
3872,9.985420324,8.816439,1.168981649,11.70688149
518,-0.135696285,1.5931735,1.728869788,-1274.073045
