,CAS,NAME,SMILE
0,['520-52-5'],[3-[2-(dimethylamino)ethyl]-1H-indol-4-yl] dihydrogen phosphate,CN(C)CCC1=CNC2=C1C(=CC=C2)OP(=O)(O)O
1,['53716-82-8'],"(1S,5R)-6,8-dioxabicyclo[3.2.1]octan-4-one",C1CC(=O)[C@@H]2OC[C@H]1O2
2,['54084-70-7'],None,None
3,['54144-19-3'],,*
4,['54369-12-9'],,C/C(=C\C=C\C=C(/C)\C=C\C=C(/C)\C=C=C1[C@](C[C@H](CC1(C)C)OC(=O)C)(C)O)/C=C/C=C(\C)/C=C/[C@]23[C@](O2)(C[C@H](CC3(C)C)O)C
5,['54665-47-3'],"(3R)-2,2,3-trimethylpentane",CC[C@@H](C)C(C)(C)C
6,['552-79-4'],"(1R,2S)-2-(dimethylamino)-1-phenylpropan-1-ol",C[C@@H]([C@@H](C1=CC=CC=C1)O)N(C)C
7,['555-66-8'],(E)-1-(4-hydroxy-3-methoxyphenyl)dec-4-en-3-one,CCCCC/C=C/C(=O)CCC1=CC(=C(C=C1)O)OC
8,['57-83-0'],"(8S,9S,10R,13S,14S,17S)-17-acetyl-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one",CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C
9,['5954-72-3'],(E)-but-2-ene-1-thiol,C/C=C/CS
10,['59734-16-6'],N-heptylformamide,CCCCCCCNC=O
11,['599-54-2'],"3-[(2,4-dihydroxy-3,3-dimethylbutanoyl)amino]propanoic acid",CC(C)(CO)C(C(=O)NCCC(=O)O)O
12,['59983-39-0'],(2S)-2-(methoxymethyl)pyrrolidin-1-amine,COC[C@@H]1CCCN1N
13,['612091-87-9'],None,None
14,['61-50-7'],"2-(1H-indol-3-yl)-N,N-dimethylethanamine",CN(C)CCC1=CNC2=CC=CC=C21
15,['61756-56-7'],"(2E,4E)-5-(6-methoxy-1,3-benzodioxol-5-yl)-1-piperidin-1-ylpenta-2,4-dien-1-one",COC1=CC2=C(C=C1/C=C/C=C/C(=O)N3CCCCC3)OCO2
16,['617-65-2'],2-aminopentanedioic acid,C(CC(=O)O)C(C(=O)O)N
17,['6258-60-2'],(4-methoxyphenyl)methanethiol,COC1=CC=C(C=C1)CS
18,['62-76-0'],disodium;oxalate,C(=O)(C(=O)[O-])[O-].[Na+].[Na+]
19,['638-36-8'],"2,6,10,14-tetramethylhexadecane",CCC(C)CCCC(C)CCCC(C)CCCC(C)C
