,A_act,A_pred,B_act,B_pred,C_act,C_pred,0
1424,19.995925257771454,21.092224,3126.634246074755,3583.8362,-84.0,-66.71365,453.0
111,20.681519969210427,20.985855,3466.0237758566127,3641.3032,-93.99,-71.05064,402.5
1850,19.797741758817452,20.350607,3168.034726046788,3231.2095,-86.15,-77.718094,469.0
968,21.66090151266452,21.033108,4389.093298276438,3659.1882,-64.054,-68.99014,368.0
415,24.136111410080325,21.543709,5877.3645679629535,3931.2183,-42.345,-61.70264,428.0
1781,20.02781606130942,20.399763,3247.6581185625223,3236.416,-87.15,-77.08234,469.0
70,22.219186294311854,22.268099,3695.331317512611,4243.0933,-82.0,-48.95599,395.0
530,21.09511030361402,19.917412,3633.698022328439,3029.2673,-81.803,-87.76215,408.0
617,22.191509221494066,21.667862,4805.870410448732,3952.2505,-73.685,-59.454014,368.5
1033,19.78710381568782,26.459465,3398.56033521698,6518.1665,-53.744,14.276616,325.5
1394,20.805583254020952,21.285807,3026.9783632499725,3708.2588,-58.15,-63.47077,348.5
949,23.2329914849062,20.741518,4877.549884393637,3468.1687,0.0,-73.395004,321.0
1085,22.724258334460096,20.763369,4679.117706249595,3430.838,-14.118,-72.32267,355.0
128,23.084474746408087,21.521494,4507.807677915931,3836.9739,-34.889,-61.516945,354.0
367,22.75389260460693,21.201435,4673.356638346924,3692.6316,-48.09,-66.93633,378.5
1895,22.969483646863964,23.06225,4844.371935788686,4676.4546,-66.958,-38.46519,425.5
1214,21.524864785370436,21.626385,2444.8157741882883,3858.6794,-45.996,-58.79004,251.0
730,25.317314536935346,21.547441,6457.215361591272,3856.49,-9.294,-60.294563,401.0
374,24.192133305392872,24.388763,6471.677898560368,5344.0435,-48.247,-19.076635,507.0
1329,20.794622948978297,20.024149,3042.8662003916315,3017.6553,-58.15,-82.98823,350.5
275,21.242291542758203,20.150064,3641.215962657064,3198.6858,-63.14,-83.605225,398.0
861,23.69894260432448,23.516655,5978.841795596294,4887.9146,-32.836,-31.924442,437.0
1189,20.859578874451657,20.601578,3375.014100056023,3352.3252,-63.15,-74.292114,385.5
1273,21.216226279505506,22.45712,4611.580582886987,4369.8486,0.0,-47.71174,325.5
212,21.15357293912514,21.442308,3667.511484419056,3868.1633,-103.146,-62.72122,440.5
777,23.54747855690733,21.852571,5252.334752224998,4018.7761,-33.5,-55.781296,393.0
135,23.34148929448808,21.18325,4612.147018819864,3648.7156,0.0,-66.39013,337.5
1465,20.351651628788105,20.245678,2534.2712050511063,3130.017,-42.0,-79.136024,329.0
1654,20.06606199970405,20.969208,3143.9957376759303,3522.869,-84.0,-68.488655,452.0
1265,20.988822975721416,21.450361,3742.41227490906,3871.5623,-93.08,-64.63759,464.0
654,20.81253706100179,20.441608,3074.45766786751,3244.6187,-59.735,-76.516716,351.0
857,20.752738926136736,20.56719,2599.158052971679,3320.2905,-49.15,-74.77809,300.0
1538,20.772379976979977,20.825804,3079.016786351638,3460.822,-58.15,-70.68702,354.5
1497,20.79328744962436,21.07002,3039.64258126144,3579.7166,-58.15,-66.91802,350.0
231,21.01806580640244,20.639917,2728.2294603594605,3325.3538,-49.132,-73.667816,332.0
1283,20.63519195713939,20.618242,2769.5032981513787,3348.5393,-55.479,-73.59391,326.0
1304,21.22292680212612,20.671432,3888.145188029746,3365.4866,-23.15,-72.61926,381.0
1289,20.631991363860127,21.672798,3454.315130658738,3996.4019,-66.0,-59.413876,445.0
