,Name,SMILES,A,B,C,Tmin,Tmax,No.C
0,Methanal,C=O,21.37029225,2204.126554,-30.15,190,271,1
1,Urethane,CCOC(=O)N,23.84683764,5018.000667,-49.92,338,457,3
2,Nicotine,CN1CCC[C@H]1C2=CN=CC=C2,21.9425307,4981.654362,-42.573,334,521,10
3,Glycerol,C(C(CO)O)O,24.32257475,6153.389259,-81.155,341,563,3
4,"1,1-Dimethyl-hydrazine",CN(C)N,22.37983766,3202.002461,-40.506,238,293,2
5,"1,2-Propanediol",CC(CO)O,25.4251446,6091.949381,-22.45,364,483,3
6,2-Oxeta,C1COC1=O,19.79214648,2704.102974,-108.679,324,435,3
7,"Morpholine, 4-nitroso-",C1COCCN1N=O,21.73737036,4511.10498,-69.432,273,369,4
8,2-Phenylethanol,C1=CC=C(C=C1)CCO,20.20935187,3078.042793,-137.497,406,492,8
9,Diethyl ether,CCOCC,20.97567521,2511.291406,-41.95,230,328,4
10,Acetamide,CC(=O)N,22.95859242,4601.255791,-89.32,381,492,2
11,Ethanol,CCO,22.85004856,3247.70417,-64.636,341,514,2
12,Methanoic acid,C(=O)O,21.83854595,3572.184462,-27.44,278,398,1
13,Ethanoic acid,CC(=O)O,21.97957929,3580.79613,-48.5,297,438,2
14,Benzoic acid,C1=CC=C(C=C1)C(=O)O,23.96438461,5631.595845,-69.779,52,392,7
15,Hexanal,CCCCCC=O,21.06358791,3207.501035,-65.15,303,427,6
16,Methanol,CO,23.49274611,3638.268654,-33.65,263,327,1
17,Methoxyamine,CON,21.84883851,2821.265411,-47.955,210,321,1
18,2-Propanol,CC(C)O,23.58464228,3640.202825,-53.54,281,373,3
19,Propa,CC(=O)C,21.22615042,2756.217382,-45.09,244,353,3
20,Dimethyl formamide,CN(C)C=O,20.64249115,3118.918283,-81.112,303,363,3
21,1-Propanol,CCCO,23.0256437,3483.673091,-67.343,293,360,3
22,1-Butanol,CCCCO,22.21833434,3212.428567,-90.411,310,380,4
23,1-Pentanol,CCCCCO,21.63614872,3076.27671,-106.83,326,399,5
24,Benzene,C1=CC=CC=C1,20.68925666,2726.80416,-55.623,280,374,6
25,Methane,C,20.1906779,911.234235,-6.469,92,118,1
26,Ethane,CC,20.61746205,1528.271778,-16.469,133,198,2
27,Ethene,C=C,20.52482905,1373.551875,-16.78,122,188,2
28,Ethyne,C#C,19.97202442,1217.307661,-44.36,191,201,2
29,Methanamine,CN,21.97633264,2419.234054,-35.32,203,288,1
30,Hydrogen cyanide,C#N,21.88646275,2886.895994,-20.307,261,300,1
31,Propane,CCC,20.55812443,1851.271507,-26.11,248,270,3
32,Propyne,CC#C,21.28866561,2153.124295,-29.57,187,266,3
33,Ethanamine,CCN,21.72258777,2539.475047,-40.7,220,308,2
34,Acetonitrile,CC#N,21.92316595,3436.320428,-24.208,280,354,2
35,Ethanal,CC=O,21.14095477,2465.147601,-37.15,219,313,2
36,Formamide,C(=O)N,23.31176292,5274.025104,-44.106,391,466,1
37,Oxirane,C1CO1,21.45286295,2491.367137,-32.638,223,284,2
38,2-Methylpropane,CC(C)C,20.72952887,2181.791479,-24.28,188,278,4
39,Isopropyl amine,CC(C)N,21.85846331,2712.095247,-41.114,213,243,3
40,Trimethyl amine,CN(C)C,20.78472183,2242.621172,-33.777,193,276,3
41,Propylene oxide,CC1CO1,20.9517053,2455.437599,-46.846,199,307,3
42,tert-Butyl amine,CC(C)(C)N,20.47820171,2269.694968,-63.629,292,348,4
43,2-Methyl-2-propanol,CC(C)(C)O,21.74754779,2658.288438,-95.5,283,374,4
44,"2,2-Dimethyl-1-propanol",CC(C)(C)CO,23.02631145,3694.958299,-64.95,333,406,5
45,2-Methyl-2-butanol,CCC(C)(C)O,19.90400606,1988.051969,-137.85,299,396,5
46,tert-Butyl hydroperoxide,CC(C)(C)OO,26.91217708,6103.409347,8.37,273,388,4
47,"3,3-Dimethyl-2-buta",CC(=O)C(C)(C)C,23.65906183,4770.956313,13.85,283,403,6
48,"2,3-Dimethyl-2,3-butanediol",CC(C)(C(C)(C)O)O,21.08415,3111.784875,-121.969,346,447,6
49,D-Bornyl acetate,CC(=O)O[C@H]1[C@]2(CC[C@H](C2)C1(C)C)C,22.27253719,4969.119088,-33.952,320,496,12
50,Diethylmalonic acid diethyl ester,CCC(CC)(C(=O)OCC)C(=O)OCC,23.00485135,4701.517254,-82.373,386,491,11
51,3-Methyl-3-pentanol,CCC(C)(CC)O,19.59822276,2187.916355,-123.65,306,419,6
52,"2,2-Dimethoxy propane",CC(C)(OC)OC,19.96840937,2314.991421,-77.721,292,357,5
53,"2-Ethyl-2-(hydroxymethyl)-1,3-propanediol",CCC(CO)(CO)CO,22.80632247,4945.326477,-129.79,433,568,6
54,"3,5,5-Trimethyl-2-cyclohexen-1-one",CC1=CC(=O)CC(C1)(C)C,21.67280588,4588.619204,-38.415,293,488,9
55,"2,6-Dimethyl-6-octanol",CCC(C)(CCCC(C)C)O,24.55315562,6228.492677,-0.15,344,470,10
56,2-Methylbutane,CCC(C)C,20.58338379,2376.150384,-38.646,255,323,5
57,Isobutyl amine,CC(C)CN,20.61216611,2494.254579,-66.329,255,289,4
58,2-Methyl-1-propanol,CC(C)CO,21.5177498,2740.951243,-106.48,303,401,4
59,2-Methylpropanal,CC(C)C=O,23.01829845,2727.361386,-49.322,286,347,4
60,2-Butanol,CCC(C)O,22.10299785,3026.034303,-86.6,295,392,4
61,2-Buta,CCC(=O)C,21.04240413,2838.235463,-54.46,265,378,4
62,1-Amino-2-propanol,CC(CN)O,25.68218217,6048.269341,-4.19,306,431,3
63,Propionamide,CCC(=O)N,22.70139366,4469.105828,-92.898,381,498,3
64,Propanoic acid,CCC(=O)O,22.2092161,3674.465291,-70.364,373,438,3
65,Propenoic acid,C=CC(=O)O,24.14824603,5030.084634,-15.491,300,415,3
66,N-Methylacetamide,CC(=O)NC,24.92755596,6431.81094,0,353,479,3
67,Methyl ethanoate,CC(=O)OC,21.28532686,2725.569975,-50.74,260,351,3
68,Peroxyethanoic acid,CC(=O)OO,25.41109883,5321.27415,0,273,383,2
69,"2,3-Dimethylbutane",CC(C)C(C)C,20.57327544,2595.934434,-44.154,254,348,6
70,2-Methylpropanoic acid,CC(C)C(=O)O,22.21918629,3695.331318,-82,344,446,4
71,2-Methylpropenoic acid,CC(=C)C(=O)O,23.24344522,4402.082181,-59.35,341,438,4
72,Camphene,CC1(C2CCC(C2)C1=C)C,22.33383201,4299.508923,-36.143,323,434,10
73,(E)-2-Methyl-2-butenoic acid,C/C=C(\C)/C(=O)O,21.58166956,3524.336743,-121.15,373,474,5
74,"1,3-Dimethyl-2-imidazolidi",CN1CCN(C1=O)C,20.823175,3805.758693,-88.828,351,499,5
75,Acenaphthene,C1CC2=CC=CC3=C2C1=CC=C3,21.5657587,4810.894651,-71.07,367,413,12
76,3-Methylindole,CC1=CNC2=CC=CC=C12,24.02333079,6188.549733,-44.505,368,540,9
77,Phthalic anhydride,C1=CC=C2C(=C1)C(=O)OC2=O,20.02951997,3622.387724,-133.336,404,558,8
78,Isopentyl salicylate,CC(C)CCOC(=O)C1=CC=CC=C1O,18.39394773,3468.489844,-113.642,287,328,12
79,Ethyl anthranilate,CCOC(=O)C1=CC=CC=C1N,20.82939198,3994.40949,-113.5,433,593,9
