,Name,SMILES,A,B,C,Tmin,Tmax,No.C,SMILES,Atom,Count Unique Atom,Pass Screen
0,Methanal,C=O,21.37029225,2204.126554,-30.15,190,271,1,C=O,"[1, 6, 8]",3,TRUE
1,Urethane,CCOC(=O)N,23.84683764,5018.000667,-49.92,338,457,3,CCOC(=O)N,"[1, 6, 7, 8]",4,TRUE
2,Nicotine,CN1CCC[C@H]1C2=CN=CC=C2,21.9425307,4981.654362,-42.573,334,521,10,CN1CCC[C@H]1C2=CN=CC=C2,"[1, 6, 7]",3,TRUE
3,Glycerol,C(C(CO)O)O,24.32257475,6153.389259,-81.155,341,563,3,C(C(CO)O)O,"[1, 6, 8]",3,TRUE
4,"1,1-Dimethyl-hydrazine",CN(C)N,22.37983766,3202.002461,-40.506,238,293,2,CN(C)N,"[1, 6, 7]",3,TRUE
5,"1,2-Propanediol",CC(CO)O,25.4251446,6091.949381,-22.45,364,483,3,CC(CO)O,"[1, 6, 8]",3,TRUE
6,2-Oxeta,C1COC1=O,19.79214648,2704.102974,-108.679,324,435,3,C1COC1=O,"[1, 6, 8]",3,TRUE
7,"Morpholine, 4-nitroso-",C1COCCN1N=O,21.73737036,4511.10498,-69.432,273,369,4,C1COCCN1N=O,"[1, 6, 7, 8]",4,TRUE
8,2-Phenylethanol,C1=CC=C(C=C1)CCO,20.20935187,3078.042793,-137.497,406,492,8,C1=CC=C(C=C1)CCO,"[1, 6, 8]",3,TRUE
9,Diethyl ether,CCOCC,20.97567521,2511.291406,-41.95,230,328,4,CCOCC,"[1, 6, 8]",3,TRUE
10,Acetamide,CC(=O)N,22.95859242,4601.255791,-89.32,381,492,2,CC(=O)N,"[1, 6, 7, 8]",4,TRUE
11,Ethanol,CCO,22.85004856,3247.70417,-64.636,341,514,2,CCO,"[1, 6, 8]",3,TRUE
12,Methanoic acid,C(=O)O,21.83854595,3572.184462,-27.44,278,398,1,C(=O)O,"[1, 6, 8]",3,TRUE
13,Ethanoic acid,CC(=O)O,21.97957929,3580.79613,-48.5,297,438,2,CC(=O)O,"[1, 6, 8]",3,TRUE
14,Hexanal,CCCCCC=O,21.06358791,3207.501035,-65.15,303,427,6,CCCCCC=O,"[1, 6, 8]",3,TRUE
15,Methanol,CO,23.49274611,3638.268654,-33.65,263,327,1,CO,"[1, 6, 8]",3,TRUE
16,Methoxyamine,CON,21.84883851,2821.265411,-47.955,210,321,1,CON,"[1, 6, 7, 8]",4,TRUE
17,2-Propanol,CC(C)O,23.58464228,3640.202825,-53.54,281,373,3,CC(C)O,"[1, 6, 8]",3,TRUE
18,Propa,CC(=O)C,21.22615042,2756.217382,-45.09,244,353,3,CC(=O)C,"[1, 6, 8]",3,TRUE
19,Dimethyl formamide,CN(C)C=O,20.64249115,3118.918283,-81.112,303,363,3,CN(C)C=O,"[1, 6, 7, 8]",4,TRUE
20,1-Propanol,CCCO,23.0256437,3483.673091,-67.343,293,360,3,CCCO,"[1, 6, 8]",3,TRUE
21,1-Butanol,CCCCO,22.21833434,3212.428567,-90.411,310,380,4,CCCCO,"[1, 6, 8]",3,TRUE
