,CRe,DoubleCCRe,TripleCC,Bracket,Benzene,CycleRe,SingleCO,DoubleCO
0,9,0,0,1,0,2,0,0
1,11,1,0,0,0,0,5,0
2,9,0,1,0,0,0,2,0
3,9,0,2,1,0,0,0,1
4,12,2,3,2,0,0,0,0
5,12,2,0,4,0,0,0,2
6,11,1,0,1,0,1,3,0
7,12,0,0,4,0,0,2,1
8,8,1,0,1,0,0,0,1
9,12,0,3,0,0,1,2,0
10,11,1,2,0,0,0,1,0
11,7,1,0,2,0,0,0,0
12,12,1,0,0,0,0,1,2
13,11,1,1,3,0,0,2,0
14,11,0,0,2,0,0,4,0
15,11,0,0,1,0,0,0,0
16,10,0,1,0,0,1,2,0
17,12,2,0,2,0,0,1,1
18,11,3,0,0,0,0,1,1
19,9,0,0,1,0,0,0,2
20,12,0,3,1,0,0,0,1
21,11,1,0,1,0,0,0,0
22,11,0,0,0,0,1,3,2
23,11,0,1,5,0,0,0,1
24,7,2,0,3,0,0,0,0
25,10,0,0,1,0,0,2,0
26,7,0,0,1,0,0,1,2
27,12,0,0,3,0,1,0,2
28,12,1,0,1,0,0,5,2
29,12,0,1,2,1,0,2,0
30,11,0,0,6,0,1,0,1
31,4,0,0,0,0,0,0,1
32,11,1,3,0,0,0,0,0
33,11,0,0,1,0,0,3,1
34,11,0,0,0,0,0,0,2
35,12,1,2,1,0,0,2,0
36,9,1,0,4,0,1,0,0
37,12,0,2,5,0,0,1,0
38,10,1,0,0,0,1,0,0
39,11,0,0,7,0,0,2,1
40,12,0,0,2,0,0,1,2
41,9,0,0,8,0,0,1,0
42,9,0,1,3,0,0,2,0
43,10,0,1,6,0,0,0,1
44,10,1,0,4,0,0,2,0
45,10,0,2,3,0,0,0,1
46,11,1,1,3,0,0,1,0
47,11,0,2,3,0,0,1,1
48,12,0,1,4,0,0,2,1
49,12,0,1,0,0,0,6,0
50,12,0,2,2,0,0,2,1
51,4,2,0,0,0,0,0,0
52,9,1,0,0,0,0,1,1
53,12,1,2,4,0,0,2,0
54,10,0,0,3,0,1,0,2
